Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[437.0],[372.0],[372.0],[437.0],[372.0],[437.0],[437.0],[24.0],[372.0],[437.0],[437.0],[372.0],[437.0],[437.0],[372.0],[437.0],[372.0],[155.0],[372.0],[370.0],[372.0],[372.0],[437.0],[437.0],[372.0],[372.0],[372.0],[372.0],[437.0],[437.0],[437.0],[372.0],[437.0],[372.0],[24.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[303.0],[437.0],[372.0],[372.0],[24.0],[372.0],[437.0],[437.0],[437.0],[372.0],[24.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[437.0],[372.0],[437.0],[372.0],[372.0],[372.0],[372.0],[155.0],[437.0],[370.0],[437.0],[437.0],[372.0],[437.0],[24.0],[437.0],[372.0],[437.0],[372.0],[372.0],[437.0],[370.0],[372.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[372.0],[372.0],[372.0],[370.0],[437.0],[437.0],[437.0],[372.0],[372.0],[372.0],[372.0],[24.0],[372.0]
1,[370.0],[437.0],[437.0],[372.0],[370.0],[303.0],[372.0],[155.0],[317.0],[155.0],[370.0],[370.0],[372.0],[155.0],[437.0],[370.0],[437.0],[437.0],[437.0],[437.0],[219.0],[437.0],[372.0],[372.0],[370.0],[370.0],[370.0],[303.0],[372.0],[370.0],[372.0],[370.0],[372.0],[437.0],[370.0],[372.0],[332.0],[24.0],[303.0],[372.0],[370.0],[372.0],[5.0],[437.0],[24.0],[437.0],[24.0],[219.0],[24.0],[24.0],[24.0],[370.0],[372.0],[372.0],[372.0],[372.0],[372.0],[370.0],[372.0],[303.0],[24.0],[24.0],[219.0],[370.0],[370.0],[372.0],[372.0],[24.0],[372.0],[370.0],[437.0],[370.0],[372.0],[24.0],[437.0],[372.0],[437.0],[370.0],[370.0],[155.0],[5.0],[370.0],[370.0],[372.0],[372.0],[372.0],[155.0],[437.0],[437.0],[370.0],[333.0],[372.0],[24.0],[372.0],[370.0],[370.0],[370.0],[437.0],[437.0],[437.0]
2,[317.0],[24.0],[24.0],[155.0],[333.0],[372.0],[24.0],[372.0],[437.0],[306.0],[5.0],[301.0],[24.0],[303.0],[24.0],[396.0],[396.0],[370.0],[370.0],[372.0],[437.0],[24.0],[155.0],[5.0],[437.0],[333.0],[24.0],[370.0],[370.0],[372.0],[24.0],[24.0],[333.0],[155.0],[437.0],[24.0],[119.0],[317.0],[372.0],[155.0],[372.0],[5.0],[372.0],[370.0],[155.0],[372.0],[333.0],[372.0],[372.0],[473.0],[155.0],[437.0],[155.0],[333.0],[370.0],[155.0],[24.0],[332.0],[303.0],[317.0],[370.0],[370.0],[437.0],[437.0],[396.0],[24.0],[24.0],[155.0],[24.0],[317.0],[370.0],[24.0],[437.0],[372.0],[219.0],[24.0],[370.0],[437.0],[301.0],[437.0],[333.0],[437.0],[155.0],[306.0],[396.0],[370.0],[372.0],[370.0],[370.0],[437.0],[24.0],[370.0],[5.0],[370.0],[437.0],[24.0],[155.0],[370.0],[370.0],[370.0]
3,[24.0],[25.0],[370.0],[370.0],[437.0],[24.0],[219.0],[25.0],[219.0],[372.0],[372.0],[333.0],[370.0],[476.0],[396.0],[372.0],[24.0],[473.0],[24.0],[303.0],[5.0],[155.0],[317.0],[219.0],[155.0],[437.0],[155.0],[333.0],[396.0],[317.0],[219.0],[219.0],[370.0],[370.0],[372.0],[219.0],[530.0],[372.0],[306.0],[317.0],[134.0],[24.0],[24.0],[155.0],[219.0],[370.0],[370.0],[24.0],[155.0],[372.0],[437.0],[473.0],[471.0],[332.0],[506.0],[24.0],[5.0],[437.0],[5.0],[370.0],[303.0],[5.0],[24.0],[241.0],[155.0],[437.0],[5.0],[317.0],[155.0],[155.0],[24.0],[333.0],[370.0],[370.0],[370.0],[370.0],[155.0],[155.0],[155.0],[303.0],[332.0],[24.0],[437.0],[5.0],[370.0],[430.0],[24.0],[219.0],[264.0],[155.0],[25.0],[504.0],[372.0],[135.0],[332.0],[437.0],[396.0],[155.0],[372.0],[333.0]
4,[372.0],[219.0],[155.0],[24.0],[132.0],[219.0],[370.0],[5.0],[332.0],[24.0],[294.0],[529.0],[25.0],[24.0],[5.0],[24.0],[219.0],[333.0],[5.0],[396.0],[303.0],[25.0],[370.0],[370.0],[219.0],[5.0],[333.0],[239.0],[219.0],[24.0],[370.0],[333.0],[24.0],[24.0],[332.0],[396.0],[317.0],[370.0],[333.0],[24.0],[24.0],[370.0],[317.0],[5.0],[437.0],[317.0],[437.0],[333.0],[396.0],[36.0],[5.0],[155.0],[301.0],[317.0],[396.0],[370.0],[370.0],[333.0],[219.0],[24.0],[5.0],[219.0],[370.0],[24.0],[25.0],[370.0],[303.0],[372.0],[36.0],[333.0],[155.0],[317.0],[155.0],[317.0],[333.0],[332.0],[476.0],[306.0],[135.0],[372.0],[303.0],[306.0],[24.0],[370.0],[24.0],[333.0],[301.0],[453.0],[303.0],[5.0],[5.0],[24.0],[370.0],[529.0],[36.0],[317.0],[132.0],[36.0],[332.0],[155.0]
5,[396.0],[370.0],[219.0],[529.0],[155.0],[396.0],[5.0],[303.0],[396.0],[5.0],[24.0],[134.0],[402.0],[25.0],[370.0],[241.0],[294.0],[24.0],[430.0],[24.0],[155.0],[301.0],[333.0],[396.0],[24.0],[24.0],[25.0],[529.0],[25.0],[219.0],[396.0],[155.0],[155.0],[303.0],[219.0],[301.0],[24.0],[219.0],[24.0],[306.0],[25.0],[301.0],[219.0],[332.0],[370.0],[430.0],[219.0],[370.0],[294.0],[370.0],[370.0],[372.0],[333.0],[303.0],[24.0],[5.0],[389.0],[24.0],[24.0],[333.0],[155.0],[98.0],[301.0],[5.0],[248.0],[306.0],[25.0],[5.0],[473.0],[24.0],[134.0],[301.0],[219.0],[529.0],[24.0],[529.0],[5.0],[333.0],[219.0],[132.0],[370.0],[155.0],[396.0],[301.0],[155.0],[155.0],[219.0],[25.0],[36.0],[303.0],[396.0],[5.0],[453.0],[317.0],[25.0],[155.0],[24.0],[395.0],[389.0],[303.0]
6,[471.0],[333.0],[317.0],[396.0],[303.0],[370.0],[239.0],[333.0],[303.0],[219.0],[430.0],[26.0],[219.0],[372.0],[241.0],[333.0],[529.0],[332.0],[135.0],[402.0],[333.0],[333.0],[219.0],[24.0],[5.0],[396.0],[5.0],[24.0],[36.0],[430.0],[36.0],[301.0],[5.0],[5.0],[5.0],[118.0],[374.0],[5.0],[155.0],[370.0],[504.0],[219.0],[370.0],[430.0],[332.0],[333.0],[303.0],[155.0],[186.0],[333.0],[333.0],[180.0],[370.0],[529.0],[332.0],[25.0],[333.0],[155.0],[36.0],[389.0],[396.0],[303.0],[5.0],[303.0],[303.0],[303.0],[396.0],[36.0],[370.0],[335.0],[219.0],[132.0],[5.0],[333.0],[389.0],[132.0],[396.0],[430.0],[5.0],[24.0],[24.0],[5.0],[317.0],[24.0],[333.0],[24.0],[333.0],[392.0],[5.0],[306.0],[239.0],[303.0],[487.0],[24.0],[155.0],[219.0],[219.0],[136.0],[385.0],[24.0]
7,[25.0],[37.0],[303.0],[301.0],[69.0],[317.0],[25.0],[306.0],[471.0],[301.0],[333.0],[402.0],[5.0],[5.0],[219.0],[155.0],[332.0],[303.0],[396.0],[529.0],[24.0],[5.0],[396.0],[301.0],[453.0],[303.0],[437.0],[300.0],[301.0],[333.0],[5.0],[437.0],[248.0],[219.0],[389.0],[332.0],[301.0],[301.0],[370.0],[402.0],[5.0],[37.0],[155.0],[24.0],[303.0],[471.0],[301.0],[317.0],[5.0],[219.0],[392.0],[5.0],[396.0],[155.0],[219.0],[396.0],[284.0],[5.0],[471.0],[5.0],[219.0],[155.0],[401.0],[132.0],[333.0],[301.0],[370.0],[303.0],[396.0],[132.0],[529.0],[396.0],[87.0],[301.0],[396.0],[301.0],[303.0],[396.0],[24.0],[332.0],[132.0],[16.0],[108.0],[333.0],[301.0],[395.0],[5.0],[396.0],[529.0],[402.0],[301.0],[132.0],[396.0],[473.0],[471.0],[491.0],[333.0],[219.0],[303.0],[25.0]
8,[219.0],[301.0],[301.0],[219.0],[186.0],[471.0],[333.0],[476.0],[401.0],[132.0],[87.0],[471.0],[121.0],[538.0],[430.0],[332.0],[132.0],[132.0],[25.0],[219.0],[317.0],[396.0],[24.0],[25.0],[301.0],[132.0],[86.0],[36.0],[132.0],[332.0],[86.0],[317.0],[301.0],[333.0],[303.0],[37.0],[103.0],[517.0],[87.0],[333.0],[430.0],[471.0],[132.0],[300.0],[471.0],[396.0],[264.0],[5.0],[301.0],[301.0],[430.0],[396.0],[5.0],[396.0],[333.0],[132.0],[239.0],[139.0],[301.0],[402.0],[301.0],[487.0],[402.0],[219.0],[5.0],[5.0],[397.0],[471.0],[471.0],[303.0],[396.0],[303.0],[303.0],[132.0],[317.0],[239.0],[86.0],[24.0],[332.0],[396.0],[392.0],[219.0],[397.0],[395.0],[529.0],[491.0],[118.0],[397.0],[219.0],[471.0],[303.0],[219.0],[306.0],[396.0],[529.0],[471.0],[303.0],[132.0],[5.0],[219.0]
9,[37.0],[317.0],[396.0],[5.0],[471.0],[37.0],[396.0],[396.0],[301.0],[402.0],[389.0],[219.0],[401.0],[239.0],[301.0],[301.0],[473.0],[389.0],[303.0],[389.0],[396.0],[217.0],[471.0],[239.0],[132.0],[332.0],[219.0],[219.0],[317.0],[132.0],[476.0],[504.0],[36.0],[392.0],[132.0],[36.0],[303.0],[529.0],[219.0],[461.0],[219.0],[98.0],[529.0],[306.0],[301.0],[397.0],[214.0],[301.0],[402.0],[37.0],[374.0],[219.0],[103.0],[24.0],[529.0],[303.0],[219.0],[529.0],[389.0],[217.0],[37.0],[471.0],[180.0],[461.0],[289.0],[396.0],[155.0],[219.0],[301.0],[98.0],[301.0],[5.0],[396.0],[401.0],[132.0],[5.0],[132.0],[5.0],[306.0],[22.0],[289.0],[333.0],[219.0],[471.0],[132.0],[121.0],[25.0],[86.0],[155.0],[301.0],[132.0],[396.0],[333.0],[219.0],[317.0],[108.0],[394.0],[303.0],[132.0],[5.0]
