Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[437.0],[372.0],[372.0],[437.0],[372.0],[437.0],[437.0],[372.0],[437.0],[372.0],[437.0],[372.0],[372.0],[437.0],[437.0],[437.0],[372.0],[437.0],[372.0],[372.0],[437.0],[372.0],[437.0],[437.0],[372.0],[372.0],[372.0],[372.0],[437.0],[437.0],[437.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[370.0],[437.0],[372.0],[372.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[437.0],[372.0],[437.0],[370.0],[437.0],[437.0],[372.0],[372.0],[437.0],[372.0],[372.0],[437.0],[372.0],[437.0],[370.0],[372.0],[437.0],[437.0],[372.0],[372.0],[437.0],[372.0],[372.0],[372.0],[372.0],[372.0],[437.0],[372.0],[372.0],[437.0],[372.0],[437.0],[370.0],[437.0],[437.0],[437.0],[372.0],[372.0],[303.0],[437.0],[437.0],[437.0]
1,[370.0],[437.0],[437.0],[372.0],[437.0],[370.0],[372.0],[24.0],[370.0],[155.0],[372.0],[219.0],[437.0],[220.0],[5.0],[370.0],[437.0],[370.0],[437.0],[437.0],[372.0],[437.0],[370.0],[372.0],[437.0],[437.0],[437.0],[303.0],[372.0],[370.0],[372.0],[24.0],[437.0],[372.0],[372.0],[372.0],[332.0],[370.0],[372.0],[372.0],[372.0],[5.0],[24.0],[437.0],[437.0],[437.0],[333.0],[372.0],[372.0],[372.0],[24.0],[437.0],[372.0],[372.0],[372.0],[372.0],[372.0],[437.0],[372.0],[303.0],[370.0],[303.0],[372.0],[372.0],[303.0],[437.0],[372.0],[396.0],[437.0],[370.0],[437.0],[24.0],[437.0],[437.0],[317.0],[24.0],[437.0],[437.0],[370.0],[437.0],[317.0],[437.0],[437.0],[437.0],[396.0],[437.0],[437.0],[372.0],[437.0],[372.0],[333.0],[372.0],[372.0],[372.0],[437.0],[437.0],[155.0],[372.0],[370.0],[372.0]
2,[317.0],[306.0],[24.0],[155.0],[219.0],[5.0],[301.0],[155.0],[219.0],[437.0],[24.0],[301.0],[24.0],[352.0],[372.0],[24.0],[301.0],[333.0],[24.0],[396.0],[301.0],[402.0],[155.0],[219.0],[24.0],[333.0],[24.0],[333.0],[5.0],[24.0],[219.0],[437.0],[5.0],[155.0],[219.0],[219.0],[24.0],[333.0],[312.0],[24.0],[5.0],[303.0],[372.0],[24.0],[24.0],[24.0],[437.0],[219.0],[24.0],[333.0],[5.0],[155.0],[155.0],[333.0],[5.0],[396.0],[5.0],[24.0],[24.0],[24.0],[333.0],[333.0],[5.0],[5.0],[529.0],[303.0],[24.0],[155.0],[24.0],[5.0],[529.0],[5.0],[333.0],[303.0],[372.0],[372.0],[155.0],[155.0],[155.0],[396.0],[24.0],[529.0],[155.0],[332.0],[372.0],[333.0],[24.0],[25.0],[317.0],[36.0],[24.0],[396.0],[5.0],[24.0],[301.0],[333.0],[372.0],[36.0],[24.0],[317.0]
3,[301.0],[333.0],[36.0],[24.0],[471.0],[219.0],[24.0],[303.0],[301.0],[301.0],[333.0],[264.0],[332.0],[24.0],[219.0],[396.0],[24.0],[24.0],[37.0],[24.0],[396.0],[392.0],[301.0],[396.0],[132.0],[396.0],[5.0],[5.0],[36.0],[301.0],[317.0],[301.0],[396.0],[333.0],[24.0],[396.0],[473.0],[24.0],[155.0],[396.0],[301.0],[301.0],[219.0],[219.0],[155.0],[5.0],[24.0],[317.0],[219.0],[24.0],[372.0],[24.0],[301.0],[301.0],[301.0],[24.0],[24.0],[5.0],[219.0],[471.0],[396.0],[24.0],[317.0],[303.0],[36.0],[5.0],[5.0],[317.0],[473.0],[24.0],[301.0],[370.0],[24.0],[135.0],[430.0],[317.0],[317.0],[36.0],[24.0],[24.0],[303.0],[303.0],[301.0],[317.0],[5.0],[396.0],[430.0],[219.0],[219.0],[333.0],[301.0],[5.0],[36.0],[333.0],[396.0],[24.0],[301.0],[5.0],[333.0],[471.0]
4,[219.0],[471.0],[306.0],[396.0],[301.0],[317.0],[396.0],[5.0],[332.0],[5.0],[396.0],[396.0],[303.0],[396.0],[24.0],[219.0],[219.0],[284.0],[219.0],[391.0],[5.0],[5.0],[36.0],[132.0],[5.0],[24.0],[301.0],[24.0],[430.0],[396.0],[24.0],[349.0],[24.0],[5.0],[396.0],[301.0],[389.0],[219.0],[87.0],[219.0],[219.0],[24.0],[471.0],[108.0],[333.0],[471.0],[219.0],[108.0],[396.0],[155.0],[396.0],[139.0],[333.0],[132.0],[24.0],[36.0],[401.0],[155.0],[333.0],[402.0],[352.0],[139.0],[397.0],[219.0],[155.0],[301.0],[301.0],[303.0],[301.0],[392.0],[103.0],[132.0],[155.0],[395.0],[24.0],[396.0],[402.0],[301.0],[303.0],[303.0],[389.0],[98.0],[538.0],[24.0],[392.0],[24.0],[5.0],[471.0],[402.0],[219.0],[396.0],[24.0],[396.0],[87.0],[219.0],[219.0],[24.0],[300.0],[241.0],[301.0]
5,[396.0],[37.0],[303.0],[5.0],[402.0],[24.0],[5.0],[294.0],[396.0],[435.0],[301.0],[471.0],[402.0],[301.0],[301.0],[132.0],[333.0],[394.0],[333.0],[402.0],[136.0],[155.0],[24.0],[82.0],[219.0],[471.0],[303.0],[395.0],[301.0],[333.0],[5.0],[389.0],[301.0],[301.0],[389.0],[317.0],[219.0],[128.0],[5.0],[301.0],[396.0],[396.0],[87.0],[87.0],[471.0],[396.0],[349.0],[396.0],[301.0],[301.0],[301.0],[5.0],[396.0],[155.0],[87.0],[132.0],[132.0],[487.0],[402.0],[301.0],[24.0],[155.0],[108.0],[389.0],[333.0],[443.0],[396.0],[5.0],[5.0],[301.0],[402.0],[402.0],[87.0],[301.0],[5.0],[301.0],[471.0],[103.0],[332.0],[306.0],[529.0],[36.0],[36.0],[301.0],[155.0],[331.0],[301.0],[36.0],[389.0],[25.0],[392.0],[301.0],[430.0],[301.0],[5.0],[394.0],[36.0],[430.0],[301.0],[24.0]
6,[24.0],[301.0],[396.0],[301.0],[317.0],[529.0],[332.0],[349.0],[100.0],[402.0],[132.0],[186.0],[264.0],[264.0],[303.0],[303.0],[396.0],[301.0],[36.0],[219.0],[155.0],[301.0],[5.0],[24.0],[317.0],[301.0],[136.0],[301.0],[25.0],[317.0],[389.0],[87.0],[292.0],[396.0],[303.0],[37.0],[5.0],[349.0],[136.0],[5.0],[135.0],[430.0],[5.0],[5.0],[301.0],[301.0],[471.0],[5.0],[103.0],[349.0],[155.0],[301.0],[5.0],[5.0],[309.0],[5.0],[301.0],[471.0],[303.0],[121.0],[301.0],[301.0],[333.0],[37.0],[134.0],[245.0],[303.0],[24.0],[136.0],[155.0],[219.0],[529.0],[5.0],[471.0],[303.0],[5.0],[303.0],[333.0],[301.0],[108.0],[332.0],[37.0],[24.0],[132.0],[303.0],[5.0],[303.0],[158.0],[301.0],[301.0],[303.0],[219.0],[303.0],[471.0],[25.0],[301.0],[5.0],[25.0],[135.0],[219.0]
7,[332.0],[529.0],[301.0],[214.0],[5.0],[69.0],[132.0],[389.0],[24.0],[530.0],[219.0],[529.0],[132.0],[303.0],[333.0],[389.0],[303.0],[22.0],[303.0],[303.0],[303.0],[135.0],[93.0],[301.0],[36.0],[5.0],[87.0],[370.0],[473.0],[264.0],[529.0],[317.0],[36.0],[24.0],[264.0],[232.0],[301.0],[529.0],[301.0],[31.0],[333.0],[16.0],[158.0],[120.0],[396.0],[317.0],[301.0],[82.0],[303.0],[303.0],[252.0],[303.0],[349.0],[128.0],[517.0],[136.0],[473.0],[370.0],[69.0],[5.0],[303.0],[529.0],[529.0],[36.0],[530.0],[98.0],[473.0],[349.0],[36.0],[136.0],[5.0],[135.0],[301.0],[473.0],[476.0],[349.0],[529.0],[5.0],[529.0],[119.0],[65.0],[373.0],[303.0],[303.0],[136.0],[69.0],[219.0],[5.0],[396.0],[186.0],[37.0],[349.0],[473.0],[219.0],[36.0],[303.0],[430.0],[219.0],[372.0],[121.0]
8,[303.0],[24.0],[394.0],[303.0],[332.0],[303.0],[69.0],[119.0],[430.0],[473.0],[303.0],[333.0],[529.0],[372.0],[370.0],[301.0],[527.0],[69.0],[520.0],[301.0],[349.0],[26.0],[352.0],[333.0],[303.0],[394.0],[352.0],[420.0],[136.0],[402.0],[303.0],[303.0],[355.0],[473.0],[158.0],[24.0],[373.0],[301.0],[529.0],[136.0],[529.0],[309.0],[303.0],[332.0],[370.0],[529.0],[5.0],[303.0],[473.0],[396.0],[430.0],[36.0],[24.0],[402.0],[219.0],[219.0],[303.0],[529.0],[158.0],[317.0],[69.0],[26.0],[301.0],[24.0],[25.0],[529.0],[60.0],[389.0],[155.0],[529.0],[317.0],[100.0],[317.0],[119.0],[146.0],[102.0],[5.0],[68.0],[5.0],[394.0],[248.0],[120.0],[5.0],[5.0],[301.0],[394.0],[136.0],[300.0],[529.0],[370.0],[5.0],[303.0],[136.0],[5.0],[332.0],[317.0],[530.0],[301.0],[220.0],[158.0]
9,[453.0],[144.0],[155.0],[491.0],[303.0],[306.0],[16.0],[333.0],[227.0],[214.0],[317.0],[461.0],[69.0],[98.0],[289.0],[135.0],[529.0],[158.0],[455.0],[5.0],[24.0],[24.0],[306.0],[303.0],[473.0],[473.0],[219.0],[230.0],[529.0],[303.0],[121.0],[529.0],[332.0],[447.0],[291.0],[36.0],[264.0],[121.0],[24.0],[132.0],[303.0],[155.0],[132.0],[331.0],[158.0],[332.0],[370.0],[121.0],[333.0],[352.0],[303.0],[135.0],[473.0],[24.0],[303.0],[303.0],[529.0],[451.0],[301.0],[529.0],[136.0],[219.0],[24.0],[527.0],[396.0],[24.0],[510.0],[529.0],[317.0],[120.0],[24.0],[473.0],[352.0],[332.0],[333.0],[36.0],[133.0],[366.0],[473.0],[317.0],[396.0],[333.0],[136.0],[121.0],[121.0],[389.0],[529.0],[69.0],[303.0],[145.0],[214.0],[306.0],[24.0],[529.0],[303.0],[529.0],[391.0],[529.0],[481.0],[461.0]
