Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.42156655,0.0052853227,0.493542,0.828838,0.9203462,0.78338814,0.740537,0.5771238,0.83700407,0.75593215,0.36020666,0.13936797,0.9417919,0.37072682,0.38767684,0.345181,0.5852948,0.14469692,0.7883936,0.027475923,0.28266865,0.5380728,0.19597787,0.67908716,0.48108432,0.046628058,0.3409858,0.21482843,0.9510151,0.6691543,0.43278545,0.3372972,0.88454366,0.6275079,0.81762534,0.9905459,0.40445647,0.057620794,0.32508838,0.48374942,0.943487,0.09014803,0.9070771,0.27317044,0.44738558,0.029819667,0.65274096,0.23490542,0.018981725,0.49427372,0.98686075,0.20987955,0.18398196,0.6102218,0.9010384,0.2770341,0.96084833,0.73528075,0.040442884,0.7168775,0.5852057,0.78300226,0.29804128,0.87497854,0.8392595,0.9594904,0.94360256,0.7932064,0.18945438,0.23092127,0.9251729,0.20639783,0.39820737,0.41921905,0.23604828,0.1763339,0.04805836,0.9750681,0.08173746,0.59303725,0.096055865,0.76692,0.96165454,0.29651684,0.44396186,0.028249025,0.01221019,0.31709892,0.083868325,0.5023977,0.92280173,0.4199012,0.9316603,0.6832807,0.62152433,0.030980945,0.9923422,0.49781066,0.94713974,0.8865081
1,0.15926605,0.006595522,0.84739566,0.7106693,0.7714155,0.3448188,0.09041381,0.8374909,0.050757825,0.44677243,0.8897495,0.20617971,0.7414824,0.860661,0.9990343,0.42585975,0.4797447,0.90100014,0.9879706,0.1694819,0.032331496,0.9304793,0.008203268,0.6713448,0.88204455,0.74084204,0.58301395,0.43003246,0.8155134,0.84457254,0.9896179,0.6968806,0.97673166,0.74722683,0.0952034,0.12100229,0.10508111,0.95524657,0.408218,0.01301837,0.1811052,0.30131593,0.7544066,0.019357085,0.77941495,0.97699094,0.25457117,0.42587334,0.085449785,0.886961,0.033839107,0.2511624,0.8621191,0.9287816,0.86135566,0.9447015,0.11048561,0.007493019,0.50092363,0.6929343,0.17743501,0.11459622,0.49479786,0.5955645,0.041357607,0.7040018,0.48506677,0.22674161,0.06814596,0.24653089,0.017294526,0.3063745,0.7703924,0.9799532,0.6661994,0.56767607,0.98085845,0.053765327,0.5185866,0.041281193,0.31474626,0.87924194,0.0977959,0.05431053,0.6674691,0.6788437,0.280376,0.3780986,0.7588589,0.011066169,0.3093657,0.71770835,0.82463914,0.7048895,0.9046361,0.44598398,0.88607854,0.048147142,0.29434735,0.1219967
2,0.9622963,0.12953618,0.35802713,0.12565234,0.7066007,0.797492,0.32344532,0.6224955,0.76950496,0.72160363,0.45635673,0.7202028,0.3222523,0.9805034,0.9287609,0.41142642,0.74229455,0.72875166,0.9812006,0.0024378002,0.29103804,0.014550239,0.10687366,0.021685213,0.50690204,0.72170603,0.0759798,0.011464715,0.9569092,0.14071158,0.89717305,0.59560674,0.0563277,0.20371425,0.5924165,0.21673962,0.7202507,0.41808867,0.9826256,0.9364017,0.6814625,0.66230077,0.6087149,0.4978994,0.12360519,0.0067040324,0.20060822,0.43614584,0.4367229,0.29437882,0.735396,0.20541689,0.6980315,0.9707465,0.99163973,0.17946848,0.43063402,0.0019601285,0.27259415,0.9880988,0.18784651,0.5980091,0.8511301,0.8054676,0.53214073,0.78817356,0.09599131,0.043165714,0.16305086,0.8414673,0.37787965,0.14423817,0.02304703,0.09483117,0.9840756,0.68282497,0.12208867,0.32935998,0.81924427,0.6665131,0.40515667,0.8177487,0.20105025,0.02944538,0.29182577,0.8659202,0.17411658,0.7136455,0.16649023,0.7383956,0.15110797,0.33082247,0.8398788,0.04227394,0.75988686,0.2822141,0.7452929,0.095241636,0.13011229,0.34970862
3,0.52796763,0.94549185,0.62506557,0.9386276,0.24080989,0.30553955,0.7658819,0.6694107,0.67519605,0.42236823,0.3215709,0.037556708,0.3256619,0.7646117,0.9429058,0.27166957,0.3159318,0.8200489,0.018697679,0.118524104,0.12191743,0.28234577,0.21776617,0.15603855,0.39821714,0.9893044,0.6016265,0.055796683,0.63196194,0.097467065,0.9856925,0.094878644,0.94904387,0.8747326,0.5881235,0.2475195,0.14211845,0.029563218,0.9519284,0.8109555,0.9029462,0.39566803,0.6807026,0.108520925,0.96331257,0.40378022,0.9700746,0.3520136,0.81639194,0.90595937,0.33500037,0.5600007,0.3767275,0.39564288,0.8902813,0.3013046,0.4458638,0.8361489,0.20527002,0.85327584,0.14205989,0.13600653,0.10028702,0.025361598,0.115053535,0.5795854,0.48486027,0.983067,0.87339234,0.03433028,0.09884918,0.44141284,0.42913747,0.04791397,0.58859897,0.19128197,0.9774934,0.99331194,0.85360765,0.6793849,0.17579663,0.9736843,0.41193053,0.029062808,0.7053472,0.70522404,0.049346507,0.4022665,0.25354838,0.32448205,0.65961236,0.93367964,0.91420186,0.75262845,0.9523704,0.68806064,0.9805405,0.8180442,0.9720448,0.0061603785
4,0.553223,0.20254275,0.74796987,0.8930098,0.045904785,0.6711904,0.8464506,0.6107892,0.14621902,0.77757895,0.5550232,0.6905168,0.017150432,0.37732366,0.80169487,0.54552996,0.12615213,0.9965807,0.22923604,0.11455044,0.45656875,0.71421385,0.841054,0.86101735,0.8551334,0.73699844,0.7836854,0.10695246,0.56830937,0.6248922,0.52014804,0.3959606,0.07319993,0.81450284,0.6283831,0.20099959,0.07989833,0.7796713,0.1031332,0.37818766,0.31175056,0.25711882,0.006475121,0.5950953,0.97733855,0.60622317,0.5051781,0.07031709,0.05349347,0.8642405,0.25140756,0.9989307,0.4766681,0.021235734,0.8455316,0.98319185,0.47478312,0.80568206,0.051608324,0.06473625,0.6760565,0.21710247,0.4654326,0.89599454,0.9206606,0.92287266,0.84019274,0.45926297,0.33010137,0.43464634,0.37992558,0.40844482,0.082922876,0.947682,0.016970664,0.6262614,0.8114422,0.97003853,0.090848505,0.9756397,0.31556022,0.973096,0.62963504,0.93152905,0.7799446,0.63069105,0.5323575,0.15403852,0.009348214,0.65666115,0.89511216,0.7947284,0.8491042,0.13824221,0.75949466,0.11398706,0.9502765,0.6220283,0.13029909,0.95259464
5,0.2849549,0.011465102,0.94494236,0.94598484,0.51737136,0.621616,0.95840544,0.39079005,0.37562537,0.98507583,0.75769854,0.06829673,0.1908794,0.80187106,0.5026816,0.9501029,0.37136483,0.32567555,0.97667974,0.30234188,0.38939965,0.004789144,0.38392675,0.84463644,0.88467157,0.90326416,0.5594342,0.8650995,0.44418478,0.16475537,0.42914203,0.9109577,0.020688742,0.826496,0.84031487,0.26924545,0.64781415,0.57710606,0.93082476,0.01197499,0.78453577,0.9458641,0.8772323,0.021878451,0.8809545,0.20519581,0.5493964,0.72884303,0.6154381,0.017467618,0.719857,0.5824905,0.87125534,0.13420537,0.20821273,0.99279094,0.74445915,0.12485936,0.48409706,0.95119673,0.1457752,0.26214406,0.46740663,0.97197807,0.09472522,0.007786125,0.38963324,0.32536662,0.6813034,0.10068926,0.030513108,0.02458471,0.68464565,0.9387169,0.20902237,0.29642063,0.3957297,0.4415989,0.3540694,0.021656364,0.754309,0.93029165,0.63879883,0.857756,0.35880625,0.4453694,0.17298171,0.6738342,0.5277572,0.49708262,0.23572123,0.2152409,0.4270078,0.51308835,0.6104952,0.25901675,0.034430414,0.9653982,0.108647615,0.26668805
6,0.7992326,0.9655038,0.78567976,0.030214846,0.21697795,0.7365555,0.861825,0.74017173,0.3153897,0.96960795,0.92349064,0.8686748,0.91316664,0.37042022,0.4158483,0.6850368,0.34278908,0.87840265,0.9730153,0.82928115,0.6961458,0.956013,0.850778,0.24892133,0.7743324,0.86554414,0.43503577,0.019691557,0.21820164,0.18144736,0.051094055,0.736879,0.2606235,0.93071854,0.78429604,0.6748133,0.1083993,0.13311154,0.24241361,0.05825171,0.439995,0.76721346,0.9768584,0.5399077,0.26693597,0.04318267,0.4145329,0.8767844,0.19554257,0.13844183,0.88748455,0.017195433,0.3408845,0.80004776,0.38672414,0.0966976,0.3464899,0.9960866,0.6430304,0.5458829,0.41935298,0.653539,0.9837078,0.04039201,0.90897256,0.034831166,0.020130932,0.9124155,0.19075337,0.27337706,0.31885892,0.08139533,0.20377395,0.27983427,0.55099297,0.032099694,0.21901271,0.6538219,0.038262278,0.009537339,0.1012817,0.9288715,0.033544004,0.9877601,0.28181946,0.3640884,0.009502023,0.6392493,0.19511124,0.8212459,0.14634979,0.39425427,0.6167151,0.4647681,0.9773693,0.52676827,0.11207336,0.22889924,0.61451906,0.9679305
7,0.5314407,0.123390585,0.81161803,0.62340283,0.2741811,0.35364467,0.8698994,0.9437429,0.013653129,0.9447793,0.111044526,0.8751528,0.99851376,0.6637128,0.36114144,0.6100692,0.4937996,0.7698336,0.024517447,0.64506227,0.7910286,0.9919034,0.20952663,0.45030487,0.52908325,0.8563,0.32586074,0.9860133,0.8939914,0.014165282,0.6694865,0.8964902,0.3349005,0.9514104,0.12408736,0.31357187,0.40304697,0.96072316,0.30134508,0.1375368,0.8258048,0.9127389,0.9219271,0.43116754,0.044668168,0.3104741,0.3541183,0.913447,0.5626865,0.97610927,0.5589219,0.40349394,0.88367623,0.116773665,0.9893569,0.8112119,0.39757568,0.4198041,0.16020992,0.059063792,0.9777818,0.78703773,0.863185,0.35834908,0.98240054,0.45003858,0.7253952,0.7262484,0.51486576,0.7258117,0.69126,0.047992826,0.18856898,0.9071606,0.48682088,0.27765942,0.498128,0.25954646,0.70551825,0.06631881,0.17605266,0.9425198,0.22091156,0.042334855,0.99709535,0.07843453,0.00041395426,0.59002167,0.8007256,0.087268054,0.5189951,0.5823926,0.89496017,0.6541024,0.71268106,0.4880136,0.9897831,0.6944649,0.6323811,0.33938935
8,0.9215544,0.6535733,0.58789605,0.8018744,0.108041346,0.008856475,0.9540614,0.26056945,0.049321324,0.98910546,0.7113224,0.19475377,0.17508933,0.7427181,0.81479657,0.66751516,0.57279587,0.56717736,0.86461663,0.33475947,0.18075189,0.89375293,0.63497984,0.94922566,0.58994645,0.92512584,0.92624,0.81645226,0.06839469,0.6252448,0.27033713,0.5084789,0.8340373,0.18991703,0.9979147,0.71978825,0.48538268,0.58090395,0.65974796,0.26456887,0.80239034,0.7548824,0.008134067,0.42146868,0.4242854,0.004350662,0.51359856,0.30527803,0.943378,0.39580345,0.9606281,0.0037385523,0.89808315,0.03290239,0.28586304,0.9932224,0.3485043,0.5198247,0.7772571,0.3632059,0.85183156,0.033701032,0.41215247,0.9202792,0.7939241,0.9910176,0.23613292,0.11726609,0.54165536,0.50078624,0.25332516,0.40774927,0.07326487,0.3041225,0.52530754,0.6438568,0.075264126,0.86825246,0.7993897,0.005066186,0.6966031,0.43065855,0.08054826,0.76228267,0.017525852,0.5713807,0.19496089,0.31634504,0.9334177,0.42591938,0.96055305,0.02727586,0.6299161,0.4327224,0.3439163,0.05195883,0.99403334,0.11226693,0.63818765,0.8974784
9,0.8025956,0.45593145,0.8877652,0.40627196,0.91190064,0.058436662,0.3003931,0.0153622925,0.41206428,0.9451531,0.22218552,0.52817714,0.0021380186,0.78673416,0.98227024,0.2867782,0.3301864,0.3662941,0.9510504,0.746033,0.44219533,0.19651505,0.34990257,0.35015976,0.2832839,0.35919604,0.91113603,0.38751012,0.61387295,0.19546223,0.9458942,0.43170086,0.26320133,0.62115765,0.874092,0.82613903,0.49307275,0.12941897,0.0015783012,0.1516985,0.29203105,0.74911976,0.24571383,0.054272592,0.34703976,0.98245895,0.7570121,0.45315558,0.7066521,0.7120641,0.9388517,0.96197605,0.50797766,0.98097575,0.07451984,0.24193168,0.3445392,0.55869555,0.88743067,0.24478242,0.19715965,0.33346528,0.11790097,0.97354674,0.9857799,0.72369826,0.85797477,0.13002154,0.25132275,0.087821364,0.9117755,0.93635345,0.09934479,0.76563954,0.7261612,0.7215011,0.06099853,0.8074741,0.16347751,0.96569145,0.6730257,0.5854188,0.6678611,0.10655606,0.46129203,0.09024522,0.55338466,0.3305257,0.9452214,0.04179737,0.9954839,0.69193316,0.2779802,0.027900755,0.12354553,0.9850253,0.7195839,0.41961956,0.5771396,0.8073841
