Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,51.78030443191528,61.838852405548096,59.51312971115112,78.23249626159668,99.70999431610107,100.01609587669373,98.69829297065735,97.86950254440308,101.20480108261108,101.22792482376099,100.106698513031,100.36748504638672,148.03494811058044
1,44.46670937538147,53.432737588882446,50.01322627067566,64.55265665054321,77.02413439750671,76.34689927101135,76.34570932388306,77.35369443893433,77.11702966690063,77.53856563568115,78.29961585998535,77.04166316986084,206.80847787857056
2,51.637367963790894,62.41440725326538,60.49420094490051,76.96464014053345,93.01978874206543,93.08881306648254,93.13561677932739,92.61227440834045,92.51764106750488,93.245769739151,93.1372344493866,89.93786406517029,414.5931816101074
3,43.92385911941528,51.30157923698425,48.98696041107178,61.346545696258545,73.43270516395569,73.29699873924255,73.2935254573822,73.13244819641113,72.7778832912445,73.0260546207428,73.37255215644836,73.51451182365417,239.4700207710266
4,43.67680335044861,51.049914836883545,48.54706597328186,60.79249906539917,71.56439757347107,71.57971477508545,71.6638777256012,71.49099159240723,71.38083052635193,71.87424969673157,72.11423516273499,72.40405893325806,175.95933270454407
5,42.782283544540405,50.15863585472107,47.67320203781128,60.054073095321655,71.62951707839966,71.78650045394897,71.63569569587708,71.63698554039001,71.54940915107727,71.45650935173035,71.315669298172,71.33896803855896,119.25255513191223
6,47.5137152671814,57.88680648803711,57.10919666290283,72.45033025741577,88.68060755729675,91.31157732009888,91.30287456512451,91.34041786193848,91.2948751449585,91.36886382102966,91.29855418205261,91.46538734436035,156.56356000900269
7,54.30503535270691,64.37929272651672,63.61809492111206,78.48529624938965,97.6461935043335,97.22618341445923,97.65376448631287,97.41294503211975,98.02657794952393,98.19234800338745,96.14250922203064,98.99933409690857,148.93043613433838
8,49.80317211151123,60.63797187805176,58.510777950286865,75.22965431213379,91.60860276222229,91.67208051681519,91.74372839927673,91.47759127616882,91.1423089504242,91.16139221191406,91.1304132938385,90.22690892219543,428.96750950813293
9,59.68632364273071,69.73911809921265,66.5131938457489,84.75830674171448,100.62287020683289,100.71003937721252,100.49006533622742,101.92021608352661,100.46339583396912,101.23673415184021,101.60081005096436,96.3064296245575,313.6959025859833
10,50.462890625,60.441662073135376,57.15405464172363,74.52944278717041,94.17841625213623,94.79678583145142,96.00783443450928,96.94460868835449,97.57440710067749,99.35815978050232,99.95886445045471,97.8460750579834,200.2662386894226
11,49.995891094207764,59.66126751899719,56.505656003952026,74.12645411491394,93.44461917877197,93.97915148735046,94.73499774932861,95.29735350608826,95.83143758773804,97.51712346076965,98.33385944366455,97.45251131057739,194.31522512435913
12,42.40731883049011,52.99310851097107,47.35137891769409,59.42826557159424,71.11180424690247,71.09020972251892,71.07666230201721,71.1379623413086,71.33507752418518,71.49776291847229,71.58496594429016,71.81730604171753,127.10477495193481
13,46.91638684272766,61.524317026138306,58.479225635528564,75.42573142051697,96.7813515663147,98.93734788894653,98.30801200866699,97.70562744140625,97.9041256904602,101.23402881622314,100.24723076820374,98.90306544303894,140.29867100715637
14,43.485159397125244,51.33319091796875,48.98095369338989,62.18479895591736,74.61292791366577,74.83871030807495,74.8429901599884,74.56188178062439,74.31005573272705,75.35712003707886,75.33964824676514,74.38115859031677,164.68356370925903
15,48.660258769989014,57.80902814865112,55.36157822608948,71.51882982254028,87.68046355247498,87.83727312088013,90.42648124694824,87.7211561203003,88.66005825996399,88.50966286659241,87.99190020561218,87.43026828765869,142.01005601882935
16,48.75289726257324,58.854798316955566,54.75103950500488,72.3296868801117,88.43349885940552,88.93617343902588,88.79203295707703,88.89685392379761,89.35610556602478,90.85486483573914,89.76586556434631,91.01485896110535,152.62039637565613
17,51.120211601257324,61.087523221969604,57.711254596710205,75.6459653377533,95.50029563903809,95.58442640304565,96.66410326957703,97.27622628211975,97.77193403244019,100.14003467559814,100.41803050041199,96.73476719856262,196.7094066143036
18,57.51110649108887,66.73532009124756,66.54594254493713,83.03525972366333,102.90086317062378,100.81987953186035,104.46124744415283,98.52116250991821,98.33139300346375,98.86616969108582,100.06933045387268,100.5875072479248,203.10838270187378
19,43.10461759567261,50.32103705406189,47.972798109054565,60.477686405181885,70.85514783859253,71.11477589607239,71.16649627685547,71.73687767982483,72.01715731620789,72.37514400482178,72.21654677391052,72.55314922332764,173.78062772750854
20,52.776477575302124,62.821590185165405,60.424965143203735,78.99820399284363,99.56490278244019,99.6666271686554,98.69402766227722,97.80355548858643,100.79955220222473,100.79658269882202,99.57726860046387,100.86693382263184,148.52377104759216
21,48.5315043926239,60.0944709777832,56.200371503829956,74.04392194747925,92.91326999664307,93.70211720466614,94.76791071891785,95.15409803390503,95.6213366985321,98.5763771533966,98.51071953773499,98.03542065620422,118.49018716812134
22,48.16571354866028,57.90190672874451,55.434547901153564,70.71495270729065,85.78253245353699,85.93196892738342,85.97178339958191,85.89445090293884,85.74859714508057,85.87096500396729,85.82767701148987,85.41925191879272,273.02382731437683
23,43.01517963409424,51.275367736816406,48.4905002117157,61.26145267486572,73.41466641426086,73.54979705810547,73.55731129646301,73.5591459274292,73.44555354118347,74.66429710388184,75.16937685012817,74.34432005882263,159.63377046585083
24,42.510756731033325,49.76225423812866,47.29860973358154,59.36453604698181,70.77802538871765,70.92089343070984,71.37211728096008,71.45828914642334,71.55208086967468,71.60320210456848,71.62287449836731,71.50880479812622,112.86639261245728
25,47.06319999694824,56.812294721603394,54.33927249908447,69.20963835716248,84.16955590248108,84.11173582077026,84.05628848075867,84.17100787162781,84.04663395881653,84.22831702232361,84.45439720153809,85.2338297367096,269.3048369884491
26,49.353907108306885,55.200437784194946,51.889721155166626,68.4254949092865,83.13447642326355,85.17433428764343,85.1613256931305,85.16639757156372,83.77733373641968,86.96858382225037,89.2546956539154,88.58619213104248,153.78883838653564
27,51.07041692733765,61.875831604003906,59.87715721130371,76.10595893859863,92.53430771827698,92.70974826812744,93.0759928226471,93.18477177619934,93.06381058692932,93.06853675842285,92.6263918876648,89.91545367240906,417.86680817604065
28,48.59721326828003,61.19080948829651,56.8756377696991,74.42796683311462,93.97142434120178,94.48024654388428,95.64202284812927,96.08137059211731,96.63029074668884,98.39975762367249,100.04847121238708,99.3834810256958,158.53644585609436
29,60.953829765319824,70.94042325019836,67.90069723129272,86.5161247253418,102.08015727996826,101.0354745388031,100.6699891090393,101.7463686466217,100.99484848976135,102.0206823348999,102.26932048797607,96.93727469444275,304.60653471946716
30,42.62216281890869,50.408905267715454,48.01664209365845,61.3922073841095,73.36496829986572,73.58589625358582,73.61836981773376,73.25975108146667,73.12318253517151,73.98734378814697,73.9395899772644,73.05227160453796,162.73371195793152
