Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,1158,1463,487,1107,1513,66,1018,836,730,31,846,1486,1114,313,378,120,1139,112,486,988,745,68,178,839,960,663,613,1357,708,731,622,822,383,286,419,178,724,140,1136,1508,851,798,14,1457,300,353,1410,87,1310,332,511,887,253,1003,1154,11,685,1517,1267,70,22,1456,1400,906,9,1035,620,172,1389,337,391,484,1220,89,81,159,52,491,660,1422,1452,136,757,186,475,150,1310,839,1312,678,95,941,460,1334,406,51,638,783,827,645
1,1465,1450,1054,1286,828,518,1578,822,395,1174,1198,1172,932,345,1428,35,181,699,415,1281,1316,1542,896,105,72,1475,396,1302,1377,1479,723,830,509,508,1364,1253,569,1581,836,1437,1556,1572,524,1295,741,1327,1505,397,589,767,898,1380,1063,667,720,1442,880,687,220,551,380,1016,785,1019,930,253,1149,1006,434,1028,283,1409,889,1102,1251,164,1167,858,180,965,151,1396,215,443,1392,1333,579,1516,200,1196,1039,657,1056,312,692,1261,1236,441,594,369
2,1425,816,483,1581,670,1477,1340,1484,868,1450,674,297,1252,321,1590,662,522,1585,411,1381,648,862,1498,877,1452,802,1220,489,609,1509,843,208,601,870,819,1202,1091,468,407,1184,514,1484,1370,507,1163,1090,833,958,1043,1294,663,1199,403,825,326,1249,465,510,1202,1494,411,773,1229,1129,1394,237,763,327,795,428,845,1108,43,601,1326,175,1153,1428,486,910,616,521,462,1277,346,283,1523,877,1335,1134,448,821,1390,1341,1256,428,764,1053,428,688
3,1,69,752,126,749,949,260,1164,429,452,469,181,48,571,289,34,436,571,1048,1257,1458,528,524,319,1343,1456,754,1589,33,1520,793,684,737,1417,1372,1239,1435,555,862,1044,1584,1498,453,416,926,1031,1209,153,1283,985,1407,832,2,459,1231,1217,609,218,189,1021,1080,1474,323,577,1542,1586,612,828,531,345,208,162,755,117,733,317,751,1400,797,1082,889,1540,643,1437,1125,2,952,617,34,893,1584,933,322,533,382,172,125,195,1146,283
4,1118,58,1393,186,178,384,463,842,565,344,464,1008,1143,488,780,1146,0,481,1117,1566,352,1544,988,120,629,89,692,633,262,323,905,927,1302,977,1202,1409,472,1250,1228,582,1550,850,121,1085,684,369,576,715,240,692,989,1335,809,1127,299,1465,1523,154,816,1572,1246,1267,189,848,34,469,742,1072,856,760,790,333,369,890,1581,836,532,91,1316,1245,281,1212,773,338,1530,324,1304,1433,871,297,1220,1222,1543,683,69,1283,295,669,1418,647
5,683,1514,1222,834,51,375,1416,1393,721,1523,634,1498,1498,80,1020,1129,687,1023,516,622,337,1400,152,42,1528,175,1324,215,834,1021,1226,996,433,1423,1271,1135,644,1433,805,1412,1225,627,1433,281,527,1135,1023,123,58,882,95,890,1178,301,820,507,634,907,1345,286,444,682,592,175,448,288,1566,1096,228,70,1413,85,815,644,1595,1325,1535,952,862,659,462,486,959,930,932,677,60,108,1428,1201,1525,915,885,1173,1181,1418,1473,57,1106,1124
6,334,1288,466,717,442,1562,949,495,297,667,33,298,402,882,765,338,963,651,1408,1070,180,20,1318,476,216,604,0,50,380,415,265,1385,457,105,834,1440,1363,999,253,324,1455,68,1363,28,993,954,1206,1576,1443,155,660,603,997,1105,725,287,967,1559,724,829,465,198,1094,1249,1305,535,730,1529,999,1248,278,1182,414,1458,1413,268,885,336,1595,252,58,211,346,1284,1185,1516,499,449,25,1112,498,648,902,957,945,734,1224,914,468,1346
7,79,1383,864,1476,1354,10,509,205,493,345,1560,923,1099,1270,13,82,1587,1287,886,317,247,369,1345,703,937,1199,1089,380,1471,1590,1153,48,187,1362,76,377,97,459,78,1380,440,1206,1394,1530,1028,1275,656,1161,140,260,973,806,1413,287,1531,807,942,950,68,682,958,934,310,69,359,1331,1502,563,572,1542,126,1415,693,1548,334,193,210,162,410,1544,55,958,683,216,892,310,642,1440,358,1342,509,956,1048,785,368,1330,750,335,549,371
8,1524,116,769,1328,549,32,860,153,1380,1448,734,827,451,956,805,271,725,706,490,1400,1508,1058,911,190,1086,900,701,811,608,481,1597,607,418,576,1565,809,1436,654,443,1531,1298,1431,1213,1149,680,777,1179,439,1551,1202,80,358,555,71,303,606,1351,306,536,501,1029,527,1082,646,1344,1358,1560,55,853,1597,1508,575,305,1478,1064,349,293,556,503,1008,159,1120,788,667,469,1403,280,212,1134,1215,1382,48,129,1135,1406,436,425,630,1400,193
9,418,581,307,1174,737,442,632,1521,342,123,291,1377,161,691,796,1554,943,1271,923,1462,1548,630,137,1441,1266,45,949,820,714,893,1435,1057,1452,299,428,1022,402,1138,66,1106,1422,241,1026,225,744,608,662,941,492,1009,551,1080,768,99,966,419,1357,187,1079,554,86,873,969,959,371,449,1043,736,196,1558,1598,188,820,304,930,586,1134,520,64,46,1454,129,101,1472,1507,1285,158,966,1167,559,167,1544,943,1118,1032,492,866,229,208,16
10,1183,1144,473,927,1540,796,1486,848,299,87,512,494,38,22,1127,990,1446,59,71,1041,785,221,718,464,771,327,1442,561,232,1287,1512,568,586,1142,791,1413,1287,467,294,671,1486,198,654,821,478,1487,983,1206,170,488,1541,964,855,647,1495,171,748,672,359,838,1202,1084,794,308,153,619,1227,37,272,451,1559,1440,76,1011,222,496,1017,572,895,1468,54,1097,510,19,788,272,172,547,404,633,142,789,662,888,26,87,104,474,1545,1089
11,26,1437,231,815,963,1342,793,355,601,389,1053,35,298,1169,1494,1523,124,312,61,1226,639,429,1474,558,1319,1106,485,64,1561,959,1119,1270,966,1555,1394,1250,1100,1474,372,117,1464,275,900,320,1317,444,250,1111,1359,886,1319,972,1433,1455,1354,159,1567,794,1367,692,676,1154,472,1568,747,1148,1252,442,565,695,611,1566,277,1142,1215,1131,695,1410,50,756,96,255,1409,1215,803,456,6,249,1122,422,1268,1321,765,169,377,811,753,1205,1457,1085
12,877,1226,613,739,1215,135,723,1202,398,1291,908,42,264,1489,862,1505,779,88,25,815,819,1018,1137,231,1187,284,36,861,1308,799,1373,844,488,654,1498,904,1459,177,1541,1174,66,826,1013,1437,98,1362,87,229,174,287,484,466,332,27,1385,360,1497,82,338,896,1383,657,412,329,225,425,640,1093,670,1181,131,463,1282,971,101,43,1339,648,146,1148,1328,16,706,1328,775,1471,1562,1391,750,240,1007,1177,192,535,565,683,378,1125,1243,1585
13,911,448,1304,360,386,778,742,45,1056,798,781,304,190,490,852,712,253,823,64,559,1174,1299,1356,1296,1513,309,634,1080,1160,245,1365,267,1319,777,700,421,898,1199,905,1544,1034,1467,772,733,862,1151,1413,1154,1172,1098,201,224,581,395,358,711,658,166,1427,432,1147,1010,918,227,1448,1041,1535,856,938,835,18,157,840,759,761,1281,577,47,375,1532,1013,114,324,1579,531,1597,302,1009,1085,980,798,205,1336,462,1552,1529,1429,313,1509,780
