Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[1081.0],[258.0],[98.0],[258.0],[258.0],[832.0],[258.0],[1081.0],[480.0],[1081.0],[480.0],[861.0],[151.0],[92.0],[258.0],[1540.0],[1435.0],[651.0],[617.0],[1434.0],[421.0],[258.0],[258.0],[1081.0],[92.0],[258.0],[151.0],[258.0],[1081.0],[151.0],[1574.0],[151.0],[652.0],[151.0],[723.0],[151.0],[151.0],[680.0],[151.0],[1402.0],[1574.0],[151.0],[1574.0],[1299.0],[652.0],[1185.0],[258.0],[151.0],[151.0],[480.0],[1574.0],[258.0],[480.0],[480.0],[151.0],[151.0],[151.0],[151.0],[651.0],[151.0],[884.0],[1435.0],[1054.0],[1574.0],[480.0],[1434.0],[480.0],[151.0],[258.0],[308.0],[151.0],[258.0],[151.0],[271.0],[1081.0],[244.0],[1299.0],[1081.0],[258.0],[92.0],[1333.0],[302.0],[1434.0],[1435.0],[1244.0],[1435.0],[1435.0],[1457.0],[1244.0],[258.0],[651.0],[1235.0],[1574.0],[786.0],[258.0],[201.0],[1244.0],[258.0],[91.0],[1081.0],[92.0],[258.0],[1087.0],[92.0],[1340.0],[723.0],[151.0],[861.0],[114.0],[1280.0],[258.0],[151.0],[1280.0],[151.0],[480.0],[151.0],[94.0],[151.0],[1263.0],[1081.0],[151.0],[1468.0],[260.0],[151.0],[484.0]
1,[243.0],[1558.0],[463.0],[861.0],[1574.0],[1526.0],[1244.0],[723.0],[151.0],[480.0],[861.0],[1017.0],[480.0],[559.0],[861.0],[268.0],[1081.0],[1235.0],[1464.0],[120.0],[1461.0],[652.0],[651.0],[92.0],[151.0],[1435.0],[1081.0],[92.0],[480.0],[1574.0],[652.0],[723.0],[1299.0],[1018.0],[1435.0],[1316.0],[1574.0],[674.0],[1244.0],[877.0],[982.0],[480.0],[396.0],[652.0],[151.0],[1098.0],[1574.0],[1270.0],[652.0],[1299.0],[92.0],[1574.0],[371.0],[258.0],[652.0],[1434.0],[1435.0],[1574.0],[463.0],[1477.0],[1152.0],[151.0],[487.0],[151.0],[151.0],[1316.0],[258.0],[1017.0],[1434.0],[1405.0],[1435.0],[1574.0],[1299.0],[1387.0],[1435.0],[258.0],[92.0],[723.0],[1299.0],[258.0],[1038.0],[726.0],[544.0],[1574.0],[480.0],[92.0],[1299.0],[442.0],[1081.0],[723.0],[861.0],[258.0],[1435.0],[564.0],[480.0],[533.0],[151.0],[92.0],[480.0],[151.0],[151.0],[723.0],[1277.0],[151.0],[472.0],[672.0],[1574.0],[92.0],[1463.0],[1209.0],[1574.0],[1434.0],[1276.0],[480.0],[1081.0],[1574.0],[1435.0],[480.0],[444.0],[723.0],[1435.0],[919.0],[711.0],[480.0],[1299.0]
2,[1244.0],[1434.0],[1312.0],[1299.0],[49.0],[836.0],[672.0],[1574.0],[1316.0],[86.0],[91.0],[92.0],[92.0],[95.0],[652.0],[907.0],[94.0],[652.0],[1523.0],[151.0],[367.0],[480.0],[92.0],[258.0],[1299.0],[672.0],[564.0],[1018.0],[91.0],[652.0],[1081.0],[1299.0],[926.0],[258.0],[833.0],[258.0],[723.0],[1038.0],[395.0],[573.0],[92.0],[723.0],[92.0],[1017.0],[1435.0],[1583.0],[652.0],[672.0],[1435.0],[1408.0],[243.0],[652.0],[45.0],[652.0],[1434.0],[652.0],[1235.0],[92.0],[652.0],[258.0],[110.0],[144.0],[646.0],[652.0],[258.0],[1131.0],[92.0],[651.0],[1299.0],[595.0],[92.0],[151.0],[1508.0],[1108.0],[723.0],[1081.0],[258.0],[609.0],[198.0],[652.0],[970.0],[756.0],[515.0],[1256.0],[258.0],[480.0],[982.0],[1015.0],[151.0],[395.0],[1434.0],[1316.0],[684.0],[1173.0],[92.0],[1093.0],[652.0],[1017.0],[861.0],[480.0],[1235.0],[1081.0],[667.0],[1081.0],[1431.0],[652.0],[258.0],[151.0],[931.0],[833.0],[92.0],[584.0],[1579.0],[651.0],[737.0],[925.0],[559.0],[1435.0],[905.0],[1574.0],[1574.0],[355.0],[1321.0],[291.0],[480.0]
3,[608.0],[1374.0],[904.0],[1081.0],[92.0],[463.0],[652.0],[1434.0],[652.0],[151.0],[1017.0],[353.0],[1079.0],[144.0],[1316.0],[63.0],[92.0],[1081.0],[1023.0],[1114.0],[567.0],[1316.0],[515.0],[1114.0],[652.0],[484.0],[861.0],[1299.0],[1017.0],[1081.0],[258.0],[652.0],[653.0],[1299.0],[151.0],[1244.0],[652.0],[610.0],[480.0],[692.0],[651.0],[1081.0],[1533.0],[1126.0],[1574.0],[1242.0],[1081.0],[291.0],[1574.0],[1514.0],[515.0],[13.0],[881.0],[1081.0],[86.0],[1126.0],[258.0],[1017.0],[1435.0],[652.0],[408.0],[559.0],[82.0],[1299.0],[652.0],[502.0],[652.0],[258.0],[92.0],[329.0],[1299.0],[544.0],[694.0],[839.0],[861.0],[92.0],[239.0],[163.0],[1435.0],[1574.0],[65.0],[348.0],[1574.0],[92.0],[1374.0],[258.0],[672.0],[394.0],[652.0],[1017.0],[652.0],[92.0],[24.0],[1264.0],[559.0],[480.0],[1574.0],[652.0],[244.0],[564.0],[652.0],[652.0],[1233.0],[861.0],[236.0],[335.0],[652.0],[258.0],[625.0],[270.0],[1299.0],[652.0],[1324.0],[1299.0],[652.0],[258.0],[1081.0],[142.0],[995.0],[1299.0],[291.0],[593.0],[1244.0],[56.0],[151.0]
4,[151.0],[1574.0],[171.0],[126.0],[439.0],[1388.0],[92.0],[652.0],[1081.0],[564.0],[833.0],[151.0],[652.0],[151.0],[1435.0],[135.0],[480.0],[291.0],[1257.0],[673.0],[1350.0],[1081.0],[353.0],[1299.0],[480.0],[652.0],[1574.0],[1508.0],[652.0],[861.0],[1299.0],[1434.0],[1593.0],[1009.0],[226.0],[92.0],[523.0],[1225.0],[1126.0],[493.0],[652.0],[652.0],[652.0],[1574.0],[1081.0],[444.0],[480.0],[962.0],[258.0],[998.0],[344.0],[1081.0],[1235.0],[400.0],[672.0],[889.0],[652.0],[652.0],[244.0],[267.0],[857.0],[480.0],[1095.0],[1360.0],[1217.0],[92.0],[244.0],[672.0],[480.0],[1041.0],[1426.0],[652.0],[1140.0],[1345.0],[651.0],[652.0],[126.0],[983.0],[1081.0],[588.0],[241.0],[700.0],[877.0],[258.0],[1108.0],[982.0],[558.0],[601.0],[935.0],[1126.0],[151.0],[1081.0],[954.0],[1486.0],[861.0],[618.0],[544.0],[1434.0],[1508.0],[833.0],[672.0],[861.0],[606.0],[90.0],[99.0],[484.0],[1342.0],[395.0],[790.0],[1167.0],[652.0],[1299.0],[1509.0],[723.0],[861.0],[861.0],[480.0],[83.0],[1537.0],[57.0],[1018.0],[1302.0],[825.0],[1390.0],[509.0]
5,[652.0],[92.0],[400.0],[38.0],[603.0],[793.0],[1081.0],[276.0],[1435.0],[258.0],[1434.0],[1490.0],[1161.0],[1114.0],[92.0],[434.0],[544.0],[151.0],[424.0],[63.0],[1545.0],[1435.0],[584.0],[1476.0],[144.0],[1299.0],[45.0],[544.0],[1299.0],[258.0],[666.0],[1168.0],[868.0],[254.0],[1574.0],[652.0],[217.0],[760.0],[383.0],[40.0],[290.0],[861.0],[1081.0],[92.0],[1299.0],[1246.0],[92.0],[800.0],[651.0],[120.0],[258.0],[1434.0],[610.0],[1574.0],[493.0],[1478.0],[672.0],[442.0],[672.0],[1474.0],[509.0],[609.0],[542.0],[322.0],[1053.0],[852.0],[1081.0],[1114.0],[1131.0],[566.0],[395.0],[353.0],[1259.0],[1380.0],[1235.0],[151.0],[1370.0],[1342.0],[1312.0],[1299.0],[48.0],[55.0],[1038.0],[672.0],[861.0],[353.0],[1100.0],[1264.0],[870.0],[1574.0],[43.0],[1018.0],[308.0],[952.0],[432.0],[535.0],[1018.0],[1574.0],[145.0],[525.0],[1398.0],[226.0],[335.0],[707.0],[333.0],[151.0],[1271.0],[588.0],[199.0],[352.0],[1090.0],[610.0],[1115.0],[584.0],[1435.0],[1131.0],[92.0],[522.0],[883.0],[1312.0],[1131.0],[506.0],[785.0],[652.0],[1478.0]
6,[92.0],[160.0],[809.0],[92.0],[325.0],[1014.0],[244.0],[375.0],[42.0],[1018.0],[651.0],[844.0],[1598.0],[85.0],[169.0],[450.0],[1436.0],[1018.0],[419.0],[926.0],[1121.0],[1299.0],[889.0],[1372.0],[1018.0],[120.0],[258.0],[186.0],[1126.0],[809.0],[969.0],[1126.0],[1024.0],[617.0],[1235.0],[1114.0],[952.0],[581.0],[1443.0],[268.0],[861.0],[1005.0],[1434.0],[109.0],[1156.0],[1300.0],[243.0],[804.0],[69.0],[170.0],[1299.0],[672.0],[673.0],[92.0],[1590.0],[1299.0],[174.0],[291.0],[151.0],[1319.0],[981.0],[784.0],[80.0],[966.0],[833.0],[115.0],[1321.0],[92.0],[752.0],[421.0],[1024.0],[1057.0],[672.0],[1391.0],[874.0],[552.0],[134.0],[45.0],[92.0],[1186.0],[1230.0],[1420.0],[767.0],[1470.0],[92.0],[1270.0],[684.0],[308.0],[1577.0],[469.0],[1005.0],[1434.0],[651.0],[597.0],[1081.0],[25.0],[168.0],[651.0],[672.0],[623.0],[649.0],[943.0],[1470.0],[58.0],[538.0],[796.0],[1201.0],[409.0],[1345.0],[462.0],[573.0],[243.0],[663.0],[263.0],[151.0],[1081.0],[223.0],[85.0],[1360.0],[38.0],[480.0],[491.0],[127.0],[389.0],[652.0]
7,[1366.0],[1299.0],[702.0],[849.0],[331.0],[631.0],[151.0],[244.0],[901.0],[698.0],[1239.0],[942.0],[1360.0],[508.0],[1081.0],[776.0],[353.0],[118.0],[1040.0],[1502.0],[1056.0],[723.0],[916.0],[120.0],[1038.0],[126.0],[244.0],[341.0],[287.0],[1193.0],[471.0],[1584.0],[92.0],[344.0],[1081.0],[1081.0],[889.0],[971.0],[861.0],[1597.0],[752.0],[260.0],[34.0],[120.0],[1589.0],[838.0],[1186.0],[1143.0],[1343.0],[995.0],[690.0],[544.0],[1447.0],[520.0],[227.0],[204.0],[186.0],[1063.0],[455.0],[633.0],[616.0],[254.0],[1519.0],[353.0],[1375.0],[652.0],[624.0],[104.0],[1235.0],[327.0],[1169.0],[1199.0],[707.0],[5.0],[1018.0],[1166.0],[672.0],[1469.0],[126.0],[1396.0],[1366.0],[525.0],[352.0],[1319.0],[652.0],[120.0],[399.0],[1353.0],[777.0],[14.0],[1017.0],[749.0],[755.0],[427.0],[652.0],[1235.0],[392.0],[1263.0],[463.0],[522.0],[1175.0],[455.0],[428.0],[1072.0],[455.0],[550.0],[543.0],[754.0],[240.0],[416.0],[138.0],[1042.0],[388.0],[21.0],[526.0],[244.0],[1364.0],[1233.0],[1158.0],[100.0],[1248.0],[482.0],[1429.0],[1081.0],[544.0]
8,[1396.0],[1508.0],[563.0],[1459.0],[38.0],[1105.0],[612.0],[756.0],[1416.0],[920.0],[1316.0],[1521.0],[1241.0],[188.0],[1299.0],[898.0],[337.0],[905.0],[666.0],[765.0],[470.0],[13.0],[854.0],[690.0],[1067.0],[1374.0],[285.0],[798.0],[134.0],[1498.0],[823.0],[858.0],[49.0],[1103.0],[1017.0],[717.0],[1221.0],[1156.0],[1211.0],[581.0],[323.0],[711.0],[83.0],[1312.0],[745.0],[94.0],[1374.0],[1506.0],[1437.0],[1217.0],[1018.0],[1299.0],[1340.0],[1109.0],[1566.0],[1586.0],[1598.0],[371.0],[1081.0],[1114.0],[319.0],[732.0],[113.0],[1351.0],[699.0],[1574.0],[572.0],[142.0],[588.0],[1153.0],[208.0],[646.0],[354.0],[85.0],[25.0],[1436.0],[1435.0],[151.0],[120.0],[1248.0],[593.0],[941.0],[691.0],[789.0],[1445.0],[739.0],[891.0],[947.0],[869.0],[1319.0],[494.0],[925.0],[1315.0],[203.0],[1508.0],[734.0],[344.0],[392.0],[767.0],[1471.0],[1193.0],[1131.0],[651.0],[470.0],[578.0],[946.0],[235.0],[1435.0],[1015.0],[841.0],[409.0],[1444.0],[196.0],[911.0],[645.0],[1342.0],[1028.0],[1574.0],[290.0],[9.0],[125.0],[69.0],[201.0],[542.0],[1240.0]
9,[1073.0],[127.0],[1446.0],[85.0],[623.0],[450.0],[1374.0],[370.0],[821.0],[871.0],[231.0],[576.0],[774.0],[1130.0],[127.0],[769.0],[1240.0],[550.0],[886.0],[269.0],[115.0],[226.0],[433.0],[1018.0],[1081.0],[635.0],[358.0],[1120.0],[1415.0],[1033.0],[378.0],[348.0],[158.0],[942.0],[211.0],[578.0],[26.0],[351.0],[1232.0],[593.0],[1081.0],[1017.0],[1182.0],[672.0],[142.0],[31.0],[1334.0],[968.0],[1566.0],[92.0],[705.0],[126.0],[861.0],[492.0],[1527.0],[1410.0],[760.0],[1130.0],[363.0],[1081.0],[12.0],[358.0],[911.0],[887.0],[1034.0],[1546.0],[32.0],[198.0],[584.0],[225.0],[634.0],[370.0],[652.0],[670.0],[637.0],[1574.0],[863.0],[270.0],[151.0],[292.0],[528.0],[1073.0],[710.0],[1108.0],[731.0],[1519.0],[1512.0],[1044.0],[1202.0],[378.0],[768.0],[1577.0],[1440.0],[694.0],[253.0],[216.0],[1050.0],[1114.0],[1574.0],[424.0],[855.0],[1260.0],[401.0],[1574.0],[1025.0],[1448.0],[1235.0],[672.0],[870.0],[1223.0],[1017.0],[651.0],[831.0],[437.0],[618.0],[1138.0],[1394.0],[1398.0],[1234.0],[1328.0],[1548.0],[1207.0],[175.0],[1175.0],[69.0]
