Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[151.0],[258.0],[498.0],[480.0],[151.0],[7.0],[258.0],[480.0],[151.0],[258.0],[258.0],[92.0],[151.0],[151.0],[258.0],[544.0],[480.0],[151.0],[911.0],[151.0],[1077.0],[151.0],[151.0],[151.0],[258.0],[151.0],[151.0],[151.0],[1574.0],[480.0],[1235.0],[258.0],[92.0],[151.0],[1435.0],[258.0],[1574.0],[557.0],[1434.0],[1029.0],[151.0],[1435.0],[1244.0],[258.0],[258.0],[1131.0],[1435.0],[92.0],[1435.0],[1574.0],[151.0],[258.0],[1244.0],[258.0],[151.0],[480.0],[151.0],[1434.0],[258.0],[151.0],[756.0],[1435.0],[1288.0],[1435.0],[151.0],[1434.0],[480.0],[258.0],[258.0],[94.0],[151.0],[151.0],[92.0],[652.0],[151.0],[151.0],[151.0],[151.0],[151.0],[151.0],[1114.0],[984.0],[480.0],[258.0],[480.0],[151.0],[1435.0],[239.0],[480.0],[1434.0],[151.0],[1434.0],[1081.0],[170.0],[480.0],[652.0],[480.0],[151.0],[151.0],[258.0],[258.0],[151.0],[1289.0],[1081.0],[1003.0],[92.0],[151.0],[151.0],[126.0],[1029.0],[258.0],[480.0],[501.0],[1434.0],[480.0],[258.0],[258.0],[258.0],[853.0],[1081.0],[258.0],[1498.0],[1228.0],[258.0],[151.0]
1,[480.0],[151.0],[699.0],[258.0],[258.0],[559.0],[151.0],[258.0],[480.0],[151.0],[480.0],[258.0],[92.0],[92.0],[151.0],[1029.0],[258.0],[1235.0],[49.0],[1434.0],[279.0],[480.0],[1434.0],[1435.0],[480.0],[1435.0],[258.0],[1435.0],[1081.0],[151.0],[1081.0],[151.0],[258.0],[258.0],[258.0],[1081.0],[258.0],[488.0],[151.0],[1022.0],[1244.0],[480.0],[480.0],[1244.0],[1435.0],[1081.0],[151.0],[151.0],[1235.0],[151.0],[480.0],[151.0],[480.0],[92.0],[480.0],[1434.0],[1435.0],[480.0],[1244.0],[480.0],[982.0],[151.0],[1468.0],[151.0],[258.0],[480.0],[151.0],[1434.0],[480.0],[198.0],[258.0],[92.0],[151.0],[17.0],[1435.0],[258.0],[258.0],[92.0],[258.0],[92.0],[602.0],[290.0],[151.0],[1081.0],[151.0],[1574.0],[480.0],[1287.0],[151.0],[151.0],[258.0],[258.0],[480.0],[996.0],[258.0],[1206.0],[151.0],[258.0],[1435.0],[151.0],[1435.0],[258.0],[596.0],[258.0],[366.0],[651.0],[258.0],[92.0],[903.0],[1527.0],[480.0],[151.0],[173.0],[151.0],[258.0],[1435.0],[151.0],[92.0],[222.0],[151.0],[480.0],[690.0],[802.0],[92.0],[480.0]
2,[1081.0],[92.0],[398.0],[151.0],[92.0],[544.0],[1114.0],[1244.0],[1435.0],[1235.0],[1434.0],[151.0],[258.0],[258.0],[106.0],[603.0],[1435.0],[258.0],[747.0],[1574.0],[288.0],[258.0],[92.0],[1574.0],[1435.0],[258.0],[1434.0],[92.0],[1434.0],[258.0],[480.0],[1244.0],[480.0],[1574.0],[92.0],[1435.0],[92.0],[756.0],[92.0],[997.0],[480.0],[151.0],[91.0],[151.0],[1081.0],[1299.0],[480.0],[258.0],[258.0],[480.0],[258.0],[480.0],[258.0],[1081.0],[92.0],[1574.0],[258.0],[1435.0],[480.0],[92.0],[1593.0],[1434.0],[93.0],[258.0],[480.0],[258.0],[258.0],[1299.0],[151.0],[775.0],[1435.0],[258.0],[1081.0],[974.0],[1081.0],[1081.0],[1574.0],[1574.0],[1244.0],[258.0],[98.0],[161.0],[1235.0],[1435.0],[1299.0],[258.0],[258.0],[1003.0],[1435.0],[480.0],[480.0],[92.0],[1018.0],[327.0],[151.0],[710.0],[258.0],[1574.0],[258.0],[1081.0],[92.0],[1574.0],[1414.0],[1435.0],[836.0],[258.0],[1434.0],[258.0],[690.0],[244.0],[151.0],[258.0],[1455.0],[258.0],[1081.0],[1081.0],[92.0],[151.0],[1274.0],[1079.0],[1435.0],[724.0],[378.0],[557.0],[861.0]
3,[258.0],[1558.0],[1014.0],[1081.0],[480.0],[1186.0],[1435.0],[1081.0],[1081.0],[1081.0],[151.0],[1081.0],[1574.0],[442.0],[480.0],[1253.0],[92.0],[651.0],[1088.0],[92.0],[501.0],[1435.0],[258.0],[1081.0],[151.0],[1081.0],[1574.0],[1434.0],[92.0],[1081.0],[1299.0],[92.0],[151.0],[1018.0],[1574.0],[151.0],[480.0],[555.0],[258.0],[1215.0],[400.0],[92.0],[151.0],[480.0],[1244.0],[724.0],[92.0],[730.0],[1299.0],[1435.0],[1574.0],[442.0],[151.0],[480.0],[1434.0],[258.0],[1081.0],[258.0],[92.0],[258.0],[544.0],[92.0],[731.0],[1244.0],[92.0],[1081.0],[92.0],[151.0],[1434.0],[1110.0],[81.0],[1435.0],[258.0],[49.0],[652.0],[480.0],[442.0],[258.0],[92.0],[106.0],[1186.0],[1367.0],[92.0],[480.0],[861.0],[1081.0],[861.0],[1484.0],[258.0],[258.0],[396.0],[151.0],[258.0],[1498.0],[1435.0],[903.0],[1435.0],[1244.0],[1081.0],[861.0],[480.0],[1081.0],[1416.0],[1316.0],[773.0],[1434.0],[92.0],[1244.0],[1312.0],[390.0],[106.0],[1081.0],[330.0],[480.0],[92.0],[480.0],[1081.0],[480.0],[299.0],[92.0],[92.0],[553.0],[1471.0],[1435.0],[1081.0]
4,[1316.0],[1434.0],[76.0],[81.0],[1435.0],[861.0],[480.0],[1079.0],[258.0],[480.0],[463.0],[723.0],[1114.0],[754.0],[861.0],[601.0],[861.0],[92.0],[474.0],[1081.0],[39.0],[1574.0],[652.0],[258.0],[92.0],[480.0],[106.0],[258.0],[652.0],[1574.0],[258.0],[1081.0],[1299.0],[652.0],[723.0],[1079.0],[1299.0],[198.0],[1269.0],[198.0],[86.0],[1574.0],[258.0],[1299.0],[1434.0],[996.0],[1574.0],[480.0],[652.0],[1434.0],[1244.0],[92.0],[1574.0],[151.0],[1574.0],[1508.0],[92.0],[151.0],[672.0],[1081.0],[1595.0],[480.0],[899.0],[480.0],[1081.0],[151.0],[861.0],[1235.0],[1081.0],[516.0],[1319.0],[652.0],[106.0],[1147.0],[1574.0],[92.0],[1018.0],[243.0],[91.0],[81.0],[618.0],[1421.0],[651.0],[151.0],[258.0],[1244.0],[652.0],[126.0],[169.0],[92.0],[1574.0],[480.0],[1244.0],[279.0],[1574.0],[904.0],[652.0],[92.0],[92.0],[480.0],[151.0],[92.0],[281.0],[1079.0],[1147.0],[1081.0],[1574.0],[1081.0],[659.0],[226.0],[1081.0],[92.0],[424.0],[1299.0],[1435.0],[151.0],[480.0],[442.0],[1074.0],[480.0],[1434.0],[1176.0],[336.0],[86.0],[1079.0]
5,[92.0],[1081.0],[458.0],[652.0],[1574.0],[601.0],[1299.0],[442.0],[1434.0],[81.0],[652.0],[480.0],[1434.0],[1081.0],[1574.0],[440.0],[1081.0],[480.0],[926.0],[258.0],[1276.0],[1299.0],[1574.0],[1079.0],[1081.0],[1269.0],[1435.0],[1081.0],[480.0],[861.0],[1574.0],[1574.0],[652.0],[1435.0],[151.0],[1299.0],[1081.0],[376.0],[1435.0],[1497.0],[652.0],[1299.0],[652.0],[92.0],[91.0],[1466.0],[91.0],[1270.0],[92.0],[1081.0],[652.0],[1081.0],[1299.0],[86.0],[258.0],[92.0],[291.0],[1017.0],[1081.0],[633.0],[1287.0],[1299.0],[724.0],[1081.0],[652.0],[1316.0],[1574.0],[802.0],[723.0],[1316.0],[1434.0],[1081.0],[559.0],[279.0],[1434.0],[1434.0],[480.0],[244.0],[1081.0],[480.0],[731.0],[1077.0],[1081.0],[564.0],[92.0],[92.0],[1081.0],[544.0],[1235.0],[1017.0],[81.0],[1244.0],[1574.0],[1244.0],[92.0],[1190.0],[1574.0],[1299.0],[553.0],[652.0],[1316.0],[1299.0],[1522.0],[92.0],[541.0],[480.0],[1299.0],[652.0],[364.0],[1498.0],[1574.0],[378.0],[320.0],[925.0],[151.0],[106.0],[1435.0],[1574.0],[633.0],[1434.0],[45.0],[239.0],[1126.0],[1574.0],[92.0]
6,[243.0],[1316.0],[1068.0],[1079.0],[1081.0],[442.0],[106.0],[651.0],[92.0],[1476.0],[106.0],[243.0],[652.0],[480.0],[1081.0],[1574.0],[652.0],[1474.0],[366.0],[1370.0],[510.0],[1081.0],[1235.0],[1299.0],[1299.0],[1558.0],[651.0],[1299.0],[1131.0],[169.0],[652.0],[1434.0],[1574.0],[723.0],[1081.0],[1319.0],[1079.0],[271.0],[651.0],[1420.0],[92.0],[258.0],[1081.0],[339.0],[1079.0],[1078.0],[258.0],[81.0],[1316.0],[92.0],[1018.0],[1299.0],[1434.0],[1558.0],[1435.0],[86.0],[1299.0],[1299.0],[151.0],[652.0],[862.0],[258.0],[1299.0],[1079.0],[861.0],[861.0],[1018.0],[106.0],[1299.0],[370.0],[1081.0],[244.0],[861.0],[76.0],[1079.0],[1435.0],[1299.0],[1081.0],[353.0],[1574.0],[36.0],[1371.0],[396.0],[92.0],[1235.0],[81.0],[672.0],[756.0],[1081.0],[1319.0],[652.0],[91.0],[1316.0],[731.0],[861.0],[705.0],[92.0],[106.0],[1574.0],[1079.0],[652.0],[1079.0],[795.0],[1114.0],[1059.0],[1299.0],[1435.0],[86.0],[638.0],[802.0],[1316.0],[106.0],[679.0],[861.0],[1434.0],[463.0],[651.0],[86.0],[493.0],[982.0],[151.0],[1045.0],[703.0],[151.0],[1299.0]
7,[652.0],[353.0],[526.0],[92.0],[91.0],[1178.0],[1081.0],[1299.0],[1079.0],[92.0],[1299.0],[400.0],[1017.0],[291.0],[833.0],[1067.0],[1079.0],[291.0],[661.0],[1235.0],[1190.0],[92.0],[1316.0],[480.0],[1018.0],[1244.0],[339.0],[126.0],[151.0],[1018.0],[92.0],[106.0],[1017.0],[480.0],[1316.0],[244.0],[354.0],[1178.0],[86.0],[1542.0],[258.0],[442.0],[564.0],[1081.0],[151.0],[126.0],[1081.0],[1574.0],[151.0],[672.0],[106.0],[1574.0],[652.0],[1079.0],[1316.0],[151.0],[1434.0],[353.0],[442.0],[1235.0],[836.0],[1574.0],[1261.0],[1316.0],[1296.0],[92.0],[86.0],[396.0],[1235.0],[501.0],[92.0],[291.0],[86.0],[9.0],[723.0],[1079.0],[1235.0],[652.0],[442.0],[1316.0],[519.0],[731.0],[1434.0],[1114.0],[723.0],[559.0],[559.0],[81.0],[244.0],[1299.0],[1081.0],[81.0],[1079.0],[1067.0],[723.0],[938.0],[86.0],[86.0],[91.0],[584.0],[91.0],[480.0],[277.0],[151.0],[391.0],[151.0],[1081.0],[1316.0],[1176.0],[1018.0],[1558.0],[91.0],[366.0],[1081.0],[1574.0],[1299.0],[1299.0],[1435.0],[390.0],[1299.0],[861.0],[756.0],[674.0],[652.0],[86.0]
8,[1435.0],[1574.0],[557.0],[1434.0],[86.0],[855.0],[244.0],[151.0],[652.0],[652.0],[1081.0],[861.0],[291.0],[1079.0],[1435.0],[723.0],[1434.0],[243.0],[1480.0],[1316.0],[941.0],[1316.0],[1017.0],[1018.0],[1079.0],[723.0],[1131.0],[291.0],[1079.0],[723.0],[400.0],[651.0],[1081.0],[1299.0],[243.0],[1316.0],[151.0],[364.0],[1299.0],[1214.0],[244.0],[91.0],[1079.0],[861.0],[1299.0],[1124.0],[291.0],[1018.0],[1574.0],[94.0],[92.0],[1244.0],[1081.0],[1574.0],[1299.0],[1299.0],[652.0],[861.0],[1018.0],[1299.0],[837.0],[1316.0],[1484.0],[92.0],[1244.0],[652.0],[244.0],[45.0],[1079.0],[131.0],[442.0],[1574.0],[91.0],[283.0],[258.0],[1316.0],[291.0],[1270.0],[1299.0],[1321.0],[1078.0],[1364.0],[1574.0],[559.0],[1316.0],[1435.0],[1299.0],[1126.0],[92.0],[91.0],[92.0],[1081.0],[92.0],[126.0],[91.0],[1438.0],[1299.0],[480.0],[1299.0],[1574.0],[106.0],[690.0],[1483.0],[106.0],[890.0],[243.0],[1079.0],[480.0],[724.0],[1178.0],[92.0],[651.0],[652.0],[92.0],[1079.0],[861.0],[861.0],[1299.0],[198.0],[833.0],[652.0],[1467.0],[740.0],[544.0],[258.0]
9,[1319.0],[1299.0],[979.0],[353.0],[1434.0],[603.0],[1434.0],[1434.0],[861.0],[1079.0],[544.0],[651.0],[1435.0],[1435.0],[553.0],[1334.0],[91.0],[861.0],[1489.0],[652.0],[1023.0],[652.0],[1081.0],[396.0],[106.0],[92.0],[244.0],[480.0],[1299.0],[652.0],[151.0],[244.0],[395.0],[45.0],[861.0],[1244.0],[1316.0],[338.0],[1574.0],[1253.0],[861.0],[81.0],[396.0],[91.0],[651.0],[997.0],[86.0],[243.0],[1081.0],[258.0],[1081.0],[81.0],[651.0],[1017.0],[652.0],[559.0],[544.0],[652.0],[1235.0],[1316.0],[370.0],[127.0],[1369.0],[1299.0],[81.0],[243.0],[1244.0],[1017.0],[672.0],[1058.0],[91.0],[544.0],[1299.0],[1235.0],[1299.0],[651.0],[106.0],[1435.0],[106.0],[1244.0],[1156.0],[928.0],[1017.0],[106.0],[652.0],[91.0],[1434.0],[1481.0],[861.0],[608.0],[95.0],[652.0],[244.0],[513.0],[1319.0],[375.0],[81.0],[564.0],[400.0],[672.0],[1574.0],[106.0],[206.0],[651.0],[1488.0],[861.0],[861.0],[1299.0],[939.0],[614.0],[244.0],[1299.0],[731.0],[1435.0],[1299.0],[614.0],[1270.0],[1434.0],[651.0],[86.0],[91.0],[1469.0],[1160.0],[91.0],[291.0]
