Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[498.0],[338.0],[544.0],[1011.0],[366.0],[570.0],[1410.0],[724.0],[1287.0],[338.0],[821.0],[1077.0],[1191.0],[175.0],[1369.0],[731.0],[913.0],[1270.0],[1235.0],[724.0],[126.0],[1471.0],[695.0],[1484.0],[390.0]
1,[699.0],[442.0],[440.0],[1126.0],[544.0],[731.0],[1591.0],[1040.0],[390.0],[1193.0],[127.0],[974.0],[1086.0],[338.0],[1287.0],[1077.0],[911.0],[281.0],[1276.0],[1437.0],[1014.0],[652.0],[1320.0],[724.0],[1321.0]
2,[56.0],[544.0],[442.0],[442.0],[1476.0],[1301.0],[1346.0],[553.0],[345.0],[647.0],[65.0],[911.0],[1059.0],[731.0],[126.0],[556.0],[705.0],[1235.0],[649.0],[1276.0],[1489.0],[1079.0],[998.0],[939.0],[807.0]
3,[1068.0],[394.0],[394.0],[1319.0],[364.0],[338.0],[914.0],[1186.0],[1178.0],[1301.0],[775.0],[652.0],[1014.0],[1376.0],[281.0],[911.0],[659.0],[836.0],[1149.0],[1078.0],[1130.0],[1577.0],[1488.0],[553.0],[999.0]
4,[398.0],[996.0],[1319.0],[1021.0],[680.0],[271.0],[1186.0],[1287.0],[802.0],[685.0],[998.0],[1126.0],[731.0],[1364.0],[911.0],[455.0],[1276.0],[108.0],[1086.0],[1186.0],[861.0],[280.0],[633.0],[1489.0],[1426.0]
5,[647.0],[366.0],[1067.0],[1233.0],[362.0],[1410.0],[1484.0],[1149.0],[1595.0],[1410.0],[493.0],[1233.0],[1276.0],[378.0],[1191.0],[1186.0],[1059.0],[1574.0],[910.0],[974.0],[488.0],[558.0],[705.0],[731.0],[1178.0]
6,[826.0],[463.0],[374.0],[1403.0],[539.0],[1186.0],[1455.0],[94.0],[1588.0],[1468.0],[1228.0],[679.0],[974.0],[1124.0],[81.0],[1147.0],[941.0],[723.0],[1077.0],[36.0],[723.0],[1018.0],[1396.0],[1488.0],[94.0]
7,[541.0],[601.0],[1299.0],[723.0],[294.0],[1040.0],[985.0],[1018.0],[1316.0],[912.0],[420.0],[371.0],[910.0],[907.0],[912.0],[1287.0],[1147.0],[494.0],[1131.0],[1410.0],[1542.0],[501.0],[415.0],[1142.0],[444.0]
8,[633.0],[359.0],[1410.0],[309.0],[325.0],[347.0],[1301.0],[710.0],[660.0],[795.0],[1376.0],[533.0],[1080.0],[1175.0],[1022.0],[516.0],[1080.0],[497.0],[494.0],[731.0],[374.0],[353.0],[543.0],[1186.0],[553.0]
9,[731.0],[603.0],[127.0],[530.0],[442.0],[755.0],[1201.0],[1316.0],[544.0],[709.0],[46.0],[1147.0],[795.0],[996.0],[468.0],[395.0],[1032.0],[340.0],[1288.0],[1176.0],[1455.0],[1126.0],[608.0],[705.0],[455.0]
10,[252.0],[1371.0],[1287.0],[122.0],[917.0],[1388.0],[1064.0],[679.0],[1301.0],[1554.0],[1114.0],[413.0],[911.0],[997.0],[907.0],[1489.0],[1086.0],[773.0],[1201.0],[1577.0],[1437.0],[911.0],[651.0],[911.0],[740.0]
11,[1484.0],[1410.0],[371.0],[50.0],[1056.0],[571.0],[1299.0],[731.0],[1407.0],[651.0],[1051.0],[455.0],[1147.0],[1488.0],[258.0],[378.0],[516.0],[861.0],[873.0],[127.0],[65.0],[1574.0],[843.0],[1031.0],[484.0]
12,[1557.0],[364.0],[555.0],[795.0],[510.0],[488.0],[1369.0],[1484.0],[1270.0],[914.0],[239.0],[375.0],[1403.0],[1591.0],[544.0],[1181.0],[1484.0],[444.0],[723.0],[1056.0],[210.0],[74.0],[1459.0],[1290.0],[1157.0]
13,[683.0],[1300.0],[437.0],[826.0],[1079.0],[1480.0],[1287.0],[1512.0],[1410.0],[1299.0],[1178.0],[395.0],[774.0],[1276.0],[1484.0],[861.0],[413.0],[1302.0],[281.0],[1147.0],[472.0],[553.0],[1235.0],[830.0],[1301.0]
14,[1416.0],[633.0],[480.0],[1235.0],[1018.0],[861.0],[1193.0],[1178.0],[1376.0],[1287.0],[1301.0],[516.0],[1235.0],[1086.0],[1432.0],[986.0],[1079.0],[198.0],[339.0],[1081.0],[904.0],[1287.0],[1126.0],[1396.0],[541.0]
15,[473.0],[538.0],[1574.0],[1490.0],[558.0],[997.0],[127.0],[996.0],[1369.0],[38.0],[516.0],[353.0],[1156.0],[1056.0],[1130.0],[998.0],[1334.0],[1367.0],[1244.0],[1079.0],[903.0],[488.0],[354.0],[1003.0],[559.0]
16,[408.0],[608.0],[1191.0],[747.0],[599.0],[1300.0],[1200.0],[394.0],[836.0],[127.0],[45.0],[539.0],[1186.0],[1081.0],[170.0],[1126.0],[1077.0],[1114.0],[1126.0],[795.0],[1094.0],[267.0],[1432.0],[1064.0],[1186.0]
17,[679.0],[362.0],[611.0],[487.0],[245.0],[390.0],[1237.0],[729.0],[1181.0],[1369.0],[695.0],[378.0],[1081.0],[278.0],[1234.0],[972.0],[1235.0],[354.0],[294.0],[1080.0],[1557.0],[1132.0],[45.0],[793.0],[1588.0]
18,[560.0],[1178.0],[1369.0],[1143.0],[625.0],[198.0],[925.0],[537.0],[837.0],[836.0],[455.0],[484.0],[1482.0],[501.0],[1410.0],[652.0],[494.0],[215.0],[1147.0],[494.0],[544.0],[609.0],[95.0],[889.0],[491.0]
19,[1455.0],[1435.0],[907.0],[728.0],[11.0],[729.0],[926.0],[1498.0],[1234.0],[1177.0],[1388.0],[501.0],[1078.0],[494.0],[422.0],[1079.0],[215.0],[1287.0],[862.0],[645.0],[378.0],[1114.0],[35.0],[1122.0],[1202.0]
20,[1302.0],[371.0],[367.0],[371.0],[911.0],[1321.0],[401.0],[1455.0],[1228.0],[1131.0],[95.0],[1235.0],[494.0],[210.0],[826.0],[408.0],[1142.0],[591.0],[1190.0],[1484.0],[1178.0],[320.0],[1578.0],[1270.0],[557.0]
21,[558.0],[464.0],[1255.0],[1244.0],[997.0],[999.0],[94.0],[371.0],[131.0],[1064.0],[1126.0],[1079.0],[705.0],[1080.0],[645.0],[413.0],[1598.0],[795.0],[1011.0],[910.0],[1233.0],[395.0],[144.0],[998.0],[1264.0]
22,[956.0],[593.0],[281.0],[774.0],[608.0],[1512.0],[553.0],[705.0],[1077.0],[829.0],[559.0],[256.0],[1124.0],[1432.0],[64.0],[484.0],[1176.0],[364.0],[1001.0],[35.0],[679.0],[724.0],[1044.0],[1299.0],[1228.0]
23,[1078.0],[326.0],[359.0],[1150.0],[470.0],[916.0],[724.0],[338.0],[1574.0],[724.0],[660.0],[861.0],[1371.0],[974.0],[1014.0],[150.0],[649.0],[1112.0],[394.0],[65.0],[277.0],[442.0],[716.0],[44.0],[1530.0]
