Iteration,Sim_0,Sim_1,Sim_2
0,[861.0],[1435.0],[151.0]
1,[151.0],[652.0],[1079.0]
2,[1574.0],[92.0],[480.0]
3,[1079.0],[1244.0],[86.0]
4,[1244.0],[723.0],[923.0]
5,[325.0],[1574.0],[1434.0]
6,[92.0],[1079.0],[1017.0]
7,[649.0],[33.0],[1235.0]
8,[1435.0],[1114.0],[378.0]
9,[33.0],[1131.0],[1474.0]
10,[291.0],[502.0],[649.0]
11,[378.0],[120.0],[291.0]
12,[614.0],[13.0],[614.0]
13,[1038.0],[795.0],[324.0]
14,[568.0],[608.0],[544.0]
15,[501.0],[1558.0],[1475.0]
16,[1081.0],[651.0],[501.0]
17,[522.0],[226.0],[672.0]
18,[480.0],[324.0],[258.0]
19,[795.0],[515.0],[201.0]
20,[1367.0],[345.0],[1018.0]
21,[181.0],[1321.0],[1114.0]
22,[645.0],[1289.0],[515.0]
23,[120.0],[1367.0],[366.0]
24,[1321.0],[1570.0],[395.0]
25,[916.0],[347.0],[1299.0]
26,[499.0],[378.0],[1316.0]
27,[1558.0],[861.0],[566.0]
28,[1207.0],[156.0],[281.0]
29,[1476.0],[650.0],[42.0]
30,[1299.0],[595.0],[522.0]
31,[1178.0],[730.0],[1570.0]
32,[1413.0],[645.0],[350.0]
33,[42.0],[1388.0],[1038.0]
34,[1176.0],[777.0],[861.0]
35,[88.0],[1408.0],[538.0]
36,[926.0],[522.0],[1388.0]
37,[608.0],[291.0],[120.0]
38,[832.0],[580.0],[832.0]
39,[625.0],[86.0],[633.0]
40,[731.0],[672.0],[584.0]
41,[821.0],[485.0],[432.0]
42,[1043.0],[1296.0],[88.0]
43,[432.0],[501.0],[19.0]
44,[1154.0],[79.0],[910.0]
45,[442.0],[1207.0],[364.0]
46,[1456.0],[1350.0],[911.0]
47,[726.0],[38.0],[559.0]
48,[198.0],[625.0],[568.0]
49,[544.0],[1235.0],[169.0]
50,[1437.0],[1176.0],[510.0]
51,[515.0],[1476.0],[1412.0]
52,[455.0],[923.0],[591.0]
53,[774.0],[364.0],[1413.0]
54,[15.0],[395.0],[689.0]
55,[538.0],[557.0],[1288.0]
56,[1477.0],[429.0],[1439.0]
57,[258.0],[633.0],[9.0]
58,[559.0],[215.0],[1090.0]
59,[1118.0],[1437.0],[1118.0]
60,[651.0],[1166.0],[982.0]
61,[413.0],[278.0],[127.0]
62,[502.0],[941.0],[54.0]
63,[591.0],[1301.0],[147.0]
64,[429.0],[1470.0],[833.0]
65,[210.0],[1126.0],[455.0]
66,[94.0],[1482.0],[338.0]
67,[307.0],[567.0],[567.0]
68,[994.0],[1513.0],[1482.0]
69,[43.0],[295.0],[396.0]
70,[409.0],[43.0],[624.0]
71,[746.0],[467.0],[342.0]
72,[584.0],[796.0],[553.0]
73,[38.0],[1371.0],[795.0]
74,[1426.0],[726.0],[1100.0]
75,[633.0],[323.0],[390.0]
76,[69.0],[837.0],[38.0]
77,[1402.0],[680.0],[1228.0]
78,[639.0],[1448.0],[723.0]
79,[49.0],[1203.0],[1408.0]
80,[1184.0],[1456.0],[511.0]
81,[1374.0],[27.0],[1371.0]
82,[946.0],[916.0],[347.0]
83,[537.0],[468.0],[1332.0]
84,[281.0],[40.0],[705.0]
85,[852.0],[710.0],[1157.0]
86,[684.0],[350.0],[1426.0]
87,[1570.0],[988.0],[889.0]
88,[938.0],[482.0],[974.0]
89,[505.0],[469.0],[1028.0]
90,[595.0],[880.0],[1176.0]
91,[1157.0],[889.0],[284.0]
92,[1262.0],[249.0],[1110.0]
93,[889.0],[436.0],[442.0]
94,[86.0],[584.0],[744.0]
95,[1269.0],[57.0],[394.0]
96,[169.0],[307.0],[198.0]
97,[1301.0],[198.0],[609.0]
98,[1230.0],[1269.0],[670.0]
99,[554.0],[807.0],[837.0]
100,[510.0],[882.0],[1120.0]
101,[1167.0],[1261.0],[950.0]
102,[366.0],[377.0],[1207.0]
103,[1077.0],[949.0],[1276.0]
104,[534.0],[339.0],[938.0]
105,[917.0],[817.0],[1589.0]
106,[350.0],[1100.0],[1027.0]
107,[1276.0],[678.0],[325.0]
108,[1388.0],[154.0],[882.0]
109,[185.0],[946.0],[75.0]
110,[1094.0],[455.0],[155.0]
111,[1296.0],[938.0],[1367.0]
112,[215.0],[606.0],[668.0]
113,[1513.0],[413.0],[74.0]
114,[46.0],[910.0],[494.0]
115,[833.0],[54.0],[937.0]
116,[20.0],[1111.0],[1241.0]
117,[567.0],[1156.0],[926.0]
118,[990.0],[276.0],[348.0]
119,[1128.0],[776.0],[1459.0]
120,[730.0],[155.0],[339.0]
121,[1005.0],[1192.0],[1513.0]
122,[940.0],[510.0],[1073.0]
123,[1090.0],[1110.0],[413.0]
124,[1098.0],[210.0],[505.0]
125,[330.0],[289.0],[154.0]
126,[1231.0],[722.0],[451.0]
127,[11.0],[667.0],[477.0]
128,[1018.0],[1299.0],[231.0]
129,[1226.0],[691.0],[777.0]
130,[634.0],[157.0],[39.0]
131,[953.0],[930.0],[1487.0]
132,[339.0],[95.0],[1231.0]
133,[944.0],[1529.0],[1389.0]
134,[606.0],[597.0],[295.0]
135,[710.0],[780.0],[691.0]
136,[375.0],[1286.0],[1005.0]
137,[1080.0],[1475.0],[1524.0]
138,[444.0],[549.0],[1558.0]
139,[1455.0],[1459.0],[1591.0]
140,[929.0],[456.0],[1192.0]
141,[837.0],[240.0],[243.0]
142,[802.0],[1016.0],[1233.0]
143,[1369.0],[1537.0],[1093.0]
144,[127.0],[327.0],[1109.0]
145,[1536.0],[992.0],[331.0]
146,[143.0],[1036.0],[940.0]
147,[147.0],[1122.0],[1515.0]
148,[801.0],[1120.0],[773.0]
