Iteration,Sim_0,Sim_1,Sim_2
0,[1574.0],[1435.0],[480.0]
1,[1081.0],[92.0],[1079.0]
2,[151.0],[1244.0],[86.0]
3,[1244.0],[652.0],[151.0]
4,[480.0],[1574.0],[1235.0]
5,[291.0],[1079.0],[1434.0]
6,[649.0],[723.0],[1017.0]
7,[614.0],[1131.0],[649.0]
8,[861.0],[13.0],[911.0]
9,[92.0],[33.0],[501.0]
10,[325.0],[502.0],[378.0]
11,[378.0],[795.0],[1269.0]
12,[33.0],[1558.0],[201.0]
13,[501.0],[324.0],[324.0]
14,[181.0],[1321.0],[923.0]
15,[639.0],[515.0],[614.0]
16,[1321.0],[1114.0],[42.0]
17,[94.0],[651.0],[281.0]
18,[1299.0],[1570.0],[1570.0]
19,[1558.0],[861.0],[861.0]
20,[568.0],[889.0],[1299.0]
21,[795.0],[291.0],[515.0]
22,[837.0],[226.0],[1114.0]
23,[198.0],[1367.0],[291.0]
24,[1038.0],[595.0],[584.0]
25,[442.0],[38.0],[566.0]
26,[1207.0],[79.0],[19.0]
27,[42.0],[672.0],[120.0]
28,[916.0],[777.0],[169.0]
29,[926.0],[608.0],[1475.0]
30,[1043.0],[1235.0],[1090.0]
31,[15.0],[522.0],[982.0]
32,[608.0],[378.0],[1288.0]
33,[645.0],[923.0],[1038.0]
34,[591.0],[557.0],[723.0]
35,[625.0],[1166.0],[538.0]
36,[1367.0],[347.0],[591.0]
37,[258.0],[1296.0],[544.0]
38,[515.0],[633.0],[147.0]
39,[731.0],[678.0],[366.0]
40,[889.0],[467.0],[338.0]
41,[554.0],[43.0],[396.0]
42,[651.0],[1289.0],[553.0]
43,[366.0],[837.0],[39.0]
44,[1178.0],[1207.0],[705.0]
45,[1157.0],[1470.0],[258.0]
46,[43.0],[1371.0],[633.0]
47,[1296.0],[345.0],[889.0]
48,[432.0],[730.0],[837.0]
49,[595.0],[567.0],[1371.0]
50,[281.0],[916.0],[350.0]
51,[1570.0],[198.0],[1367.0]
52,[169.0],[710.0],[833.0]
53,[499.0],[482.0],[1316.0]
54,[559.0],[120.0],[1412.0]
55,[413.0],[1203.0],[390.0]
56,[584.0],[57.0],[522.0]
57,[522.0],[499.0],[347.0]
58,[730.0],[625.0],[624.0]
59,[1374.0],[645.0],[1474.0]
60,[833.0],[1388.0],[79.0]
61,[544.0],[436.0],[38.0]
62,[429.0],[1482.0],[126.0]
63,[917.0],[95.0],[1176.0]
64,[38.0],[289.0],[432.0]
65,[1456.0],[1126.0],[198.0]
66,[1176.0],[249.0],[568.0]
67,[1388.0],[882.0],[689.0]
68,[79.0],[584.0],[1589.0]
69,[1090.0],[650.0],[882.0]
70,[127.0],[469.0],[1207.0]
71,[46.0],[350.0],[795.0]
72,[567.0],[780.0],[494.0]
73,[1226.0],[1226.0],[1276.0]
74,[633.0],[339.0],[1231.0]
75,[339.0],[1456.0],[609.0]
76,[832.0],[1176.0],[339.0]
77,[409.0],[1437.0],[832.0]
78,[510.0],[776.0],[1408.0]
79,[307.0],[729.0],[442.0]
80,[710.0],[941.0],[1147.0]
81,[1476.0],[240.0],[1118.0]
82,[1154.0],[485.0],[455.0]
83,[852.0],[1301.0],[413.0]
84,[689.0],[510.0],[451.0]
85,[946.0],[266.0],[777.0]
86,[350.0],[549.0],[926.0]
87,[634.0],[756.0],[243.0]
88,[636.0],[1403.0],[1558.0]
89,[543.0],[691.0],[691.0]
90,[1413.0],[946.0],[1109.0]
91,[49.0],[468.0],[1156.0]
92,[1301.0],[413.0],[1085.0]
93,[1231.0],[1408.0],[409.0]
94,[1426.0],[156.0],[877.0]
95,[375.0],[606.0],[1515.0]
96,[95.0],[1299.0],[1126.0]
97,[802.0],[395.0],[1257.0]
98,[444.0],[1513.0],[776.0]
99,[147.0],[1476.0],[744.0]
100,[588.0],[69.0],[477.0]
101,[1165.0],[1036.0],[482.0]
102,[615.0],[367.0],[1403.0]
103,[1158.0],[1122.0],[672.0]
104,[185.0],[580.0],[348.0]
105,[1403.0],[1269.0],[1120.0]
106,[1098.0],[354.0],[505.0]
107,[1167.0],[1111.0],[558.0]
108,[35.0],[56.0],[284.0]
109,[455.0],[539.0],[88.0]
