Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.8902464,0.31293184,0.2908011,0.40338624,0.6797142,0.252956,0.9799676,0.13003334,0.681939,0.0011897683,0.70834804,0.0678083,0.95873797,0.42350924,0.9070811,0.26350248,0.11510691,0.5473494,0.9535681,0.79509854,0.55499154,0.1119259,0.068865806,0.9610795,0.2046496,0.5005842,0.619802,0.9199122,0.069151014,0.8112826,0.95101,0.19764924,0.2909358,0.71386933,0.9081208,0.18503395,0.9824769,0.6253225,0.23229697,0.5951676,0.53205806,0.5022917,0.048163295,0.67105025,0.41774702,0.13751557,0.11666021,0.8036306,0.7209682,0.68000454,0.09882948,0.4289147,0.6956848,0.3005681,0.9329183,0.061157405,0.438594,0.9804987,0.01932007,0.9043263,0.44734725,0.14736336,0.5203033,0.0879848,0.35748333,0.54877776,0.024925739,0.9542685,0.3680124,0.71221936,0.943934,0.094961196,0.88147175,0.14024556,0.19794339,0.5492746,0.8190588,0.20523676,0.59318084,0.035012424,0.42669678,0.31098783,0.4733859,0.09872475,0.380368,0.7906112,0.4174791,0.46373436,0.09603751,0.9021295,0.750296,0.42816576,0.84590006,0.8377283,0.36811438,0.017177045,0.034056753,0.67502195,0.43995455,0.46899065
1,0.03859213,0.9658288,0.1952967,0.34472734,0.5625671,0.0683265,0.429638,0.99294394,0.09727189,0.77045107,0.11007929,0.6250141,0.9577086,0.29649317,0.010970414,0.099030316,0.9597708,0.6705478,0.3321494,0.057750344,0.08021885,0.7455167,0.11143264,0.08996007,0.8882845,0.038912654,0.49857023,0.8511041,0.79665446,0.7989762,0.2924561,0.033489823,0.34437582,0.33668572,0.4620556,0.3492241,0.37343043,0.89406174,0.37974715,0.3660519,0.50976324,0.13363084,0.72768056,0.82907236,0.6179524,0.97904503,0.23413596,0.60214436,0.20968187,0.38764232,0.7307309,0.047161162,0.12930074,0.8866224,0.7458718,0.97420657,0.14152968,0.6635821,0.23194358,0.9823004,0.92153585,0.17499498,0.7932888,0.7060555,0.6866098,0.03151709,0.20261034,0.49621233,0.64743906,0.85233766,0.92915285,0.5873022,0.26659986,0.33834296,0.8426405,0.95772034,0.16084465,0.32208064,0.93889725,0.9957267,0.5078235,0.98181355,0.036510438,0.45442322,0.6974231,0.7186934,0.9803221,0.26895827,0.08321574,0.19273645,0.3752189,0.7421721,0.560933,0.14455864,0.37655938,0.2267718,0.5380177,0.8218405,0.6309324,0.6012466
2,0.37022358,0.78525263,0.5464497,0.00764513,0.3559292,0.4274553,0.7313241,0.08916512,0.83224344,0.21842024,0.5991507,0.80316675,0.8955511,0.10352251,0.9942975,0.7221118,0.2141664,0.48385286,0.24051738,0.77884704,0.032933325,0.9192557,0.5422013,0.52781165,0.5868064,0.28886873,0.5951778,0.3797768,0.08618441,0.93772763,0.5753601,0.08988035,0.13743249,0.030816317,0.32826275,0.3473051,0.79105145,0.4641005,0.33722767,0.12967354,0.90462893,0.8647424,0.91077423,0.80353105,0.572566,0.57080376,0.099659026,0.9459382,0.37336063,0.7982733,0.7452325,0.8676079,0.39003503,0.28684765,0.57721543,0.77433914,0.03849843,0.25928557,0.2076334,0.6886804,0.9470016,0.062342048,0.29206434,0.9521173,0.09062168,0.40515682,0.0297634,0.9121345,0.016760439,0.77557826,0.8127705,0.017445773,0.75384843,0.50803745,0.6780903,0.90679973,0.00976631,0.5529074,0.94725084,0.2909732,0.98491305,0.37419218,0.8054996,0.9250922,0.4815838,0.77437,0.2742495,0.008250713,0.6657466,0.20963994,0.23387837,0.11575407,0.88066673,0.91645956,0.4850841,0.36857882,0.010728627,0.19843262,0.63401985,0.545497
3,0.41158047,0.7114353,0.16316867,0.1766119,0.71788013,0.6829732,0.40674782,0.96215445,0.32745528,0.97393936,0.37736958,0.5709606,0.3353743,0.19937947,0.7425269,0.3786386,0.9043759,0.78639853,0.7628752,0.99739504,0.510621,0.94044536,0.016259521,0.7245145,0.42914307,0.77553254,0.89180684,0.13210067,0.1856494,0.80862546,0.969104,0.24892005,0.24859199,0.13601774,0.38076523,0.34155586,0.09969559,0.8288249,0.54389787,0.07624784,0.9429581,0.39524224,0.9545785,0.9158764,0.08002296,0.50072527,0.71277195,0.7873814,0.7948165,0.88790727,0.29819328,0.57529116,0.8794364,0.69071424,0.47357827,0.9936928,0.07669762,0.35181195,0.28856397,0.9587182,0.018191546,0.27555758,0.4623381,0.9191743,0.9862252,0.6986456,0.5228472,0.3384115,0.03845629,0.89072883,0.6777812,0.18419117,0.28600645,0.031468123,0.7949289,0.0976997,0.7398854,0.9784334,0.86850214,0.884053,0.8837603,0.024266332,0.05511436,0.39521515,0.17649862,0.42740995,0.3142354,0.7456066,0.11222923,0.8797475,0.72944957,0.86747676,0.9648391,0.7295798,0.41784042,0.7953683,0.79200387,0.45652908,0.9460937,0.15305251
4,0.8692991,0.79120266,0.094033,0.2719771,0.75712955,0.27180135,0.3371868,0.010056943,0.7823751,0.054627925,0.51514953,0.46297467,0.9470104,0.6620265,0.006957382,0.107528836,0.48175764,0.15239397,0.8284158,0.9027908,0.17109132,0.36855665,0.9033454,0.9322719,0.96355534,0.2552966,0.33579904,0.100477874,0.079270095,0.78001714,0.34376347,0.19045877,0.84772575,0.9126787,0.17626366,0.19832906,0.021223783,0.6512396,0.15129623,0.10644862,0.99076515,0.9238242,0.26019746,0.55088365,0.79942846,0.46749395,0.5682832,0.9721618,0.45526809,0.2771526,0.9941984,0.01859349,0.13883144,0.78562576,0.7379524,0.16720316,0.09468374,0.46244353,0.83921957,0.08115962,0.9951098,0.7761558,0.9302182,0.7253304,0.95673835,0.67263794,0.54414976,0.9257996,0.24959135,0.6447901,0.10151541,0.27481455,0.87373465,0.2266295,0.99035454,0.9426657,0.6346488,0.7749733,0.0011376739,0.76520807,0.15914774,0.8614999,0.20867172,0.63148075,0.790044,0.9579998,0.22367558,0.35397175,0.21064726,0.78599495,0.9603369,0.11397436,0.5828343,0.71475214,0.19712457,0.59817463,0.6802296,0.26055142,0.22192302,0.33107877
5,0.20945424,0.29619557,0.04901856,0.5584745,0.8437879,0.0703423,0.387491,0.7524687,0.51085216,0.9004303,0.53604645,0.61353266,0.66479576,0.13748503,0.08780289,0.72984684,0.1144855,0.3946573,0.97126734,0.12947366,0.935936,0.4025229,0.3318786,0.83631575,0.35555434,0.44259515,0.07702124,0.95343137,0.39746743,0.5820973,0.4446113,0.078531355,0.18138334,0.8312515,0.82203186,0.09992021,0.8856771,0.5536662,0.03151816,0.8159261,0.9824711,0.113927305,0.994072,0.38352656,0.08573821,0.25650495,0.33439046,0.9910123,0.5250742,0.85230505,0.112493664,0.9470521,0.050462484,0.95099145,0.11510971,0.048180014,0.8878114,0.8249146,0.2778968,0.24020687,0.99987537,0.84243184,0.43974957,0.889771,0.17089471,0.18645087,0.55964804,0.023168027,0.6595822,0.8082397,0.16139251,0.94537485,0.89389896,0.35361236,0.38078415,0.11873847,0.6141614,0.059618115,0.08126283,0.002120763,0.681508,0.30941266,0.1298913,0.6614585,0.88077116,0.44208428,0.4456048,0.63385683,0.67071927,0.22606134,0.7448425,0.8447878,0.29405153,0.7254595,0.16246206,0.9977101,0.01823759,0.6670061,0.96858704,0.9660361
6,0.34733328,0.8295197,0.027927458,0.16351578,0.28695047,0.97147197,0.111349106,0.16421384,0.59680915,0.09683931,0.3249427,0.28925365,0.45326868,0.83577573,0.7322901,0.14409685,0.67610174,0.8727911,0.15969375,0.03598547,0.9833342,0.19482106,0.38598168,0.72585803,0.27027562,0.09778333,0.49065697,0.9663145,0.6490366,0.041216344,0.9571228,0.12567407,0.85648614,0.6195188,0.94274867,0.3039888,0.08335227,0.8430158,0.55262387,0.010175496,0.35792208,0.053337485,0.88806677,0.8196633,0.57561064,0.17193943,0.6565514,0.8574058,0.882517,0.684917,0.23811552,0.93538666,0.8915484,0.40921298,0.43231264,0.23494288,0.5387526,0.9757675,0.3366842,0.5893265,0.99408937,0.13768151,0.748899,0.9271748,0.30693084,0.0052808523,0.26492953,0.0791581,0.24774492,0.84220076,0.06930497,0.40382016,0.3107987,0.009795874,0.34074032,0.8816484,0.515669,0.35484254,0.7575879,0.25085086,0.6009137,0.029218316,0.9209165,0.39865106,0.8820429,0.80006164,0.3011285,0.6450345,0.6902702,0.98940694,0.8557017,0.91924965,0.9733397,0.9162301,0.77299297,0.88696736,0.92448634,0.18677098,0.92894804,0.016759872
7,0.8516638,0.20532113,0.13906303,0.9724073,0.64301807,0.7595537,0.91984606,0.029824704,0.185336,0.3945995,0.4239124,0.59516186,0.0968191,0.4504999,0.6887561,0.3385719,0.9504174,0.32993543,0.52480435,0.14338812,0.23722383,0.13974229,0.9814477,0.23674166,0.8896253,0.30011016,0.37011576,0.8407006,0.030127794,0.48650575,0.03862202,0.17918667,0.23597163,0.1927011,0.91105604,0.529921,0.45477998,0.29072213,0.37526596,0.06694844,0.77648556,0.6297656,0.7409376,0.036754638,0.8166826,0.76557463,0.9239795,0.64521325,0.059516758,0.8073938,0.31693926,0.53476256,0.3019684,0.73484325,0.49599183,0.5441775,0.06346157,0.7437563,0.5154165,0.06039849,0.68602353,0.64870614,0.00832361,0.84977937,0.03880644,0.7650462,0.09784803,0.045844376,0.4341902,0.8139608,0.34871268,0.6863945,0.34841236,0.8247316,0.07746154,0.3156182,0.23901421,0.09365371,0.27764255,0.5445124,0.9920669,0.8679968,0.48383918,0.045985818,0.61089236,0.8417222,0.1491999,0.82733583,0.26441044,0.73532474,0.25649443,0.759793,0.4426793,0.085894644,0.86988974,0.9010099,0.42448962,0.50295794,0.14484665,0.7348717
8,0.88218546,0.28695685,0.026040137,0.94496596,0.47952536,0.7962615,0.9790787,0.44137433,0.278305,0.9975047,0.31907976,0.20810997,0.742987,0.9374462,0.77305275,0.21342406,0.94513947,0.08830339,0.95333564,0.5713256,0.23542053,0.58435446,0.48941863,0.21713763,0.53133875,0.14662439,0.1260275,0.8436879,0.745099,0.7094194,0.8344158,0.059374303,0.033007026,0.7503624,0.949636,0.5302322,0.9310169,0.36865383,0.29987526,0.3070879,0.8019558,0.33594254,0.3267089,0.6644871,0.8291564,0.8191697,0.54394674,0.063696176,0.0176242,0.32631606,0.15356967,0.33753228,0.7358789,0.2032266,0.49312776,0.4427653,0.39635068,0.16246498,0.48069537,0.33606958,0.99117386,0.25925654,0.32526708,0.7101561,0.29052895,0.98817086,0.23402706,0.8794295,0.13217914,0.5836647,0.15878427,0.73089164,0.26181322,0.6251968,0.038585216,0.7073493,0.15723082,0.83324003,0.8040223,0.6658663,0.5934567,0.75144154,0.6128472,0.46763816,0.8159032,0.2894364,0.5296517,0.069966346,0.024900883,0.73124564,0.6557592,0.75913703,0.11402419,0.9240272,0.035033017,0.93053126,0.86755,0.9793492,0.35808718,0.80466866
9,0.26297948,0.023752451,0.06937781,0.19476706,0.597049,0.92980397,0.09648821,0.01318121,0.2882372,0.4797187,0.8669342,0.6589356,0.17614374,0.050542742,0.04978928,0.1724683,0.9717581,0.76707876,0.8261838,0.22196683,0.7677029,0.22292855,0.017303854,0.34702677,0.56272405,0.69337,0.94800246,0.09758443,0.5062651,0.5868568,0.6953765,0.15472078,0.78565264,0.867207,0.31072265,0.4791345,0.9325472,0.5797321,0.53985995,0.015390754,0.37448108,0.8223096,0.5931611,0.5720961,0.031386435,0.95648277,0.2940131,0.09224415,0.91266084,0.24320522,0.76633996,0.9518944,0.23056862,0.22074041,0.533737,0.40803558,0.13615423,0.47537017,0.3498903,0.109677225,0.1948213,0.71076924,0.89268017,0.31364232,0.63530606,0.87158966,0.6684799,0.42220864,0.032767445,0.49543533,0.51434404,0.009907812,0.47589532,0.49568057,0.18244979,0.86514163,0.2408219,0.86458004,0.5062335,0.076504916,0.7660619,0.98614025,0.6152584,0.14616168,0.24907815,0.94279146,0.38519913,0.93500596,0.28262234,0.8576827,0.6627744,0.29445177,0.8185047,0.3294515,0.7201534,0.5887787,0.72918314,0.33641106,0.37938577,0.52250963
