Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[2730.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[2730.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[2730.0],[1220.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0],[3139.0]
1,[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[4533.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[4533.0],[4533.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[4533.0],[2730.0],[2730.0],[2730.0],[2730.0],[1220.0],[2730.0],[2730.0],[2730.0],[2730.0],[4533.0],[264.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[3639.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0],[2730.0]
2,[4568.0],[4568.0],[4533.0],[4568.0],[4568.0],[4568.0],[4533.0],[4533.0],[24.0],[4568.0],[4568.0],[858.0],[4568.0],[4533.0],[4533.0],[4533.0],[24.0],[4533.0],[4533.0],[4533.0],[1220.0],[4533.0],[4533.0],[24.0],[4533.0],[4533.0],[4533.0],[4568.0],[4533.0],[4533.0],[2309.0],[4533.0],[4533.0],[4533.0],[55.0],[4568.0],[4533.0],[4533.0],[4533.0],[55.0],[4533.0],[2309.0],[4533.0],[4533.0],[4568.0],[4533.0],[4533.0],[24.0],[4533.0],[2730.0],[4533.0],[4533.0],[2309.0],[4533.0],[4568.0],[1252.0],[4533.0],[4568.0],[4533.0],[4533.0],[4568.0],[2692.0],[4533.0],[1937.0],[4533.0],[4533.0],[4533.0],[4533.0],[4568.0],[4568.0],[4533.0],[4568.0],[4533.0],[24.0],[4533.0],[4533.0],[4533.0],[4533.0],[4533.0],[4568.0],[4568.0],[4533.0],[4533.0],[24.0],[4533.0],[4533.0],[4533.0],[4568.0],[4533.0],[4568.0],[4533.0],[4568.0],[55.0],[4533.0],[4533.0],[24.0],[24.0],[4533.0],[4533.0],[4533.0]
3,[4533.0],[4533.0],[24.0],[1906.0],[24.0],[858.0],[4568.0],[4568.0],[4568.0],[858.0],[24.0],[4568.0],[4533.0],[4568.0],[1220.0],[4568.0],[2692.0],[2309.0],[858.0],[4568.0],[1316.0],[24.0],[858.0],[1220.0],[4568.0],[4568.0],[4568.0],[4533.0],[2309.0],[55.0],[24.0],[55.0],[24.0],[55.0],[858.0],[2309.0],[4568.0],[4568.0],[24.0],[4533.0],[2309.0],[24.0],[2309.0],[24.0],[1906.0],[4568.0],[4568.0],[4577.0],[858.0],[502.0],[4568.0],[4568.0],[338.0],[2731.0],[24.0],[3656.0],[4568.0],[24.0],[2309.0],[2309.0],[24.0],[4533.0],[2309.0],[3656.0],[858.0],[2309.0],[4568.0],[2698.0],[24.0],[1937.0],[4568.0],[4533.0],[4568.0],[338.0],[338.0],[4568.0],[2309.0],[24.0],[4568.0],[1220.0],[338.0],[4568.0],[4568.0],[338.0],[4577.0],[24.0],[4568.0],[858.0],[55.0],[24.0],[2309.0],[4435.0],[24.0],[4577.0],[858.0],[4533.0],[338.0],[858.0],[4577.0],[4568.0]
4,[24.0],[2309.0],[4568.0],[2692.0],[2309.0],[2309.0],[24.0],[4577.0],[4533.0],[24.0],[1220.0],[707.0],[2309.0],[2309.0],[4568.0],[1906.0],[4568.0],[1906.0],[2309.0],[2309.0],[1815.0],[4577.0],[2309.0],[338.0],[3656.0],[2731.0],[55.0],[24.0],[338.0],[4568.0],[1220.0],[4577.0],[4568.0],[4568.0],[2309.0],[338.0],[2731.0],[2309.0],[4568.0],[1220.0],[4568.0],[4533.0],[4568.0],[55.0],[24.0],[24.0],[2692.0],[707.0],[2309.0],[503.0],[55.0],[2309.0],[55.0],[2309.0],[1220.0],[4435.0],[24.0],[4533.0],[24.0],[24.0],[2309.0],[24.0],[4568.0],[4089.0],[2309.0],[4568.0],[24.0],[3656.0],[4533.0],[24.0],[2309.0],[2309.0],[55.0],[2309.0],[55.0],[2309.0],[4577.0],[4568.0],[24.0],[55.0],[4533.0],[3656.0],[2309.0],[4568.0],[55.0],[4568.0],[858.0],[4533.0],[4568.0],[1220.0],[55.0],[4437.0],[4577.0],[4568.0],[4568.0],[4568.0],[4533.0],[2309.0],[858.0],[24.0]
5,[55.0],[24.0],[2309.0],[3656.0],[338.0],[1220.0],[2309.0],[1906.0],[338.0],[2309.0],[707.0],[4533.0],[24.0],[4577.0],[858.0],[2692.0],[55.0],[24.0],[3656.0],[338.0],[1252.0],[1220.0],[24.0],[2309.0],[338.0],[2309.0],[2309.0],[2309.0],[55.0],[2309.0],[4568.0],[24.0],[1906.0],[4577.0],[24.0],[858.0],[2309.0],[55.0],[858.0],[4568.0],[1906.0],[338.0],[858.0],[4568.0],[2309.0],[338.0],[2309.0],[4533.0],[24.0],[4435.0],[1906.0],[1316.0],[3656.0],[24.0],[1906.0],[1316.0],[2309.0],[2698.0],[4568.0],[858.0],[1906.0],[2698.0],[858.0],[2730.0],[1220.0],[24.0],[2309.0],[2692.0],[338.0],[2692.0],[24.0],[3656.0],[2309.0],[55.0],[2309.0],[24.0],[4568.0],[55.0],[338.0],[4533.0],[1220.0],[2309.0],[24.0],[858.0],[1906.0],[338.0],[24.0],[2309.0],[2731.0],[1906.0],[858.0],[24.0],[338.0],[55.0],[24.0],[55.0],[4568.0],[24.0],[4568.0],[2309.0]
6,[1906.0],[55.0],[2731.0],[2698.0],[2731.0],[24.0],[3656.0],[1316.0],[2309.0],[1906.0],[55.0],[24.0],[338.0],[858.0],[24.0],[1196.0],[338.0],[4568.0],[4568.0],[55.0],[1820.0],[338.0],[4568.0],[4435.0],[55.0],[1316.0],[338.0],[338.0],[2698.0],[24.0],[2201.0],[2309.0],[338.0],[3656.0],[2692.0],[1906.0],[24.0],[24.0],[2309.0],[2692.0],[55.0],[858.0],[55.0],[3656.0],[3656.0],[55.0],[2698.0],[1316.0],[4568.0],[3656.0],[2309.0],[2731.0],[4577.0],[4568.0],[858.0],[1815.0],[1220.0],[4435.0],[858.0],[4568.0],[4533.0],[4568.0],[55.0],[2698.0],[4568.0],[858.0],[4577.0],[707.0],[2201.0],[1316.0],[338.0],[858.0],[1906.0],[2731.0],[24.0],[1906.0],[24.0],[1220.0],[2309.0],[2692.0],[24.0],[55.0],[1220.0],[4577.0],[4568.0],[858.0],[2309.0],[2692.0],[24.0],[4533.0],[4568.0],[4533.0],[2309.0],[2309.0],[55.0],[338.0],[2309.0],[4568.0],[2309.0],[3656.0]
7,[3656.0],[2731.0],[55.0],[4435.0],[858.0],[338.0],[338.0],[3656.0],[4435.0],[3656.0],[2731.0],[1252.0],[4577.0],[24.0],[2698.0],[55.0],[858.0],[858.0],[55.0],[1220.0],[4435.0],[707.0],[2731.0],[4568.0],[1220.0],[24.0],[1906.0],[3656.0],[1906.0],[2692.0],[4533.0],[858.0],[55.0],[1906.0],[1220.0],[24.0],[4435.0],[858.0],[843.0],[2698.0],[3875.0],[4568.0],[24.0],[858.0],[1121.0],[858.0],[3656.0],[2626.0],[338.0],[1252.0],[858.0],[858.0],[1316.0],[55.0],[3656.0],[4437.0],[4577.0],[1906.0],[2626.0],[707.0],[338.0],[264.0],[2698.0],[1316.0],[24.0],[3656.0],[55.0],[4568.0],[55.0],[707.0],[55.0],[55.0],[2698.0],[1220.0],[858.0],[55.0],[858.0],[338.0],[2731.0],[3656.0],[4435.0],[2692.0],[858.0],[1316.0],[858.0],[2309.0],[338.0],[707.0],[2309.0],[3656.0],[338.0],[3656.0],[4435.0],[24.0],[4435.0],[2692.0],[1316.0],[55.0],[55.0],[55.0]
8,[1220.0],[1220.0],[338.0],[338.0],[1121.0],[55.0],[55.0],[858.0],[1220.0],[2731.0],[2309.0],[2309.0],[858.0],[707.0],[2692.0],[1191.0],[503.0],[338.0],[1316.0],[24.0],[3716.0],[55.0],[850.0],[4437.0],[4577.0],[4577.0],[858.0],[55.0],[1252.0],[858.0],[1121.0],[2731.0],[3656.0],[1121.0],[338.0],[55.0],[1220.0],[1220.0],[338.0],[858.0],[4435.0],[2731.0],[338.0],[1316.0],[1316.0],[4435.0],[1937.0],[843.0],[55.0],[1316.0],[338.0],[3332.0],[4568.0],[3656.0],[2309.0],[502.0],[3656.0],[1937.0],[338.0],[55.0],[3656.0],[4435.0],[1906.0],[3276.0],[55.0],[1121.0],[338.0],[2309.0],[2309.0],[4533.0],[2692.0],[1906.0],[3656.0],[4435.0],[4568.0],[338.0],[2731.0],[2698.0],[55.0],[24.0],[59.0],[858.0],[1906.0],[2731.0],[338.0],[55.0],[1906.0],[24.0],[1196.0],[338.0],[1906.0],[850.0],[4568.0],[1906.0],[2309.0],[2309.0],[4577.0],[338.0],[2626.0],[338.0]
9,[2209.0],[4577.0],[858.0],[2309.0],[1220.0],[3656.0],[2692.0],[1121.0],[1316.0],[55.0],[3656.0],[4435.0],[2731.0],[3875.0],[1316.0],[2698.0],[4577.0],[4435.0],[4577.0],[3656.0],[4437.0],[2626.0],[2692.0],[1316.0],[1906.0],[858.0],[2692.0],[1316.0],[2692.0],[338.0],[2692.0],[2698.0],[2309.0],[858.0],[2698.0],[4577.0],[1906.0],[338.0],[4435.0],[1316.0],[24.0],[1220.0],[4577.0],[2731.0],[2626.0],[2731.0],[1316.0],[2309.0],[707.0],[1815.0],[59.0],[860.0],[858.0],[858.0],[2731.0],[2626.0],[1906.0],[4437.0],[55.0],[338.0],[858.0],[338.0],[4577.0],[2692.0],[338.0],[1316.0],[1220.0],[24.0],[1906.0],[3835.0],[858.0],[2698.0],[24.0],[858.0],[2698.0],[2201.0],[55.0],[3656.0],[3656.0],[2698.0],[55.0],[1316.0],[3656.0],[55.0],[3656.0],[4577.0],[707.0],[2698.0],[3656.0],[2309.0],[4577.0],[338.0],[2731.0],[3656.0],[3656.0],[1906.0],[3656.0],[4435.0],[843.0],[4577.0]
