Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
0,4.484387397766113,3.9811692237854004,4.104833126068115,4.082068681716919,4.151947975158691,4.22798490524292,4.09687876701355,4.129674196243286,4.143126487731934,4.139372825622559,4.113511562347412,4.082537889480591,21.904970407485962,5.9238362312316895
1,3.9856231212615967,4.27486252784729,4.51695990562439,4.553019046783447,4.536479949951172,4.308655500411987,4.107257604598999,4.131421089172363,4.188663959503174,4.218245983123779,4.217065334320068,4.207506895065308,6.805767774581909,5.909924268722534
2,3.719183921813965,3.6638660430908203,3.783496618270874,3.803907871246338,3.823641538619995,3.8107526302337646,3.7913978099823,3.7996599674224854,3.8249316215515137,3.7983195781707764,3.796488046646118,3.803365707397461,28.471785068511963,5.489584445953369
3,3.610135555267334,3.720608949661255,3.8349905014038086,3.8898885250091553,3.905575752258301,3.9065163135528564,3.988881826400757,4.078024387359619,4.036049127578735,3.9247286319732666,4.041074275970459,4.119722127914429,10.716482162475586,6.09738302230835
4,3.761488914489746,3.7000274658203125,3.81258487701416,3.8416855335235596,3.8741631507873535,3.871936798095703,3.846435546875,3.8557076454162598,3.864123821258545,3.863969564437866,3.8575401306152344,3.8732874393463135,28.287428379058838,5.583934783935547
5,3.802189350128174,3.944448709487915,4.059577703475952,4.104387044906616,4.097116708755493,4.097328186035156,4.113487005233765,4.103338241577148,4.079462766647339,4.0979530811309814,4.082270622253418,4.103137254714966,8.0968017578125,5.826386213302612
6,4.08314061164856,3.872067451477051,3.9086103439331055,3.833665370941162,3.8456063270568848,3.87393856048584,3.8580822944641113,3.9122376441955566,3.9568114280700684,3.9287631511688232,3.9311437606811523,3.9649994373321533,8.197861194610596,5.821244239807129
7,3.584019184112549,3.6719768047332764,3.7906761169433594,3.8036181926727295,3.8260419368743896,3.833592653274536,3.825925350189209,3.801809310913086,3.819077491760254,3.8171374797821045,3.8243563175201416,3.826215982437134,27.644487380981445,5.552873611450195
8,4.046255350112915,4.16872763633728,4.256665468215942,4.2628014087677,4.306608200073242,4.276400804519653,4.280161142349243,4.311901569366455,4.248945713043213,4.208971738815308,4.109567403793335,4.116003513336182,6.208012580871582,5.719192028045654
9,3.790571451187134,3.896758794784546,3.9898977279663086,4.038261413574219,4.028836965560913,4.023224592208862,3.993425130844116,3.995512008666992,3.989687204360962,3.973964214324951,3.970996379852295,3.9631736278533936,31.55477523803711,5.95920467376709
10,3.5406534671783447,3.6496224403381348,3.7371060848236084,3.783139705657959,3.81960129737854,3.891411542892456,3.8602304458618164,3.85178804397583,3.8589248657226562,3.8428661823272705,3.784032106399536,3.7778379917144775,5.5883948802948,5.496413946151733
11,3.603262424468994,3.7231531143188477,3.82198429107666,3.8517465591430664,3.913687229156494,3.887418508529663,3.8056159019470215,3.842000722885132,3.812490463256836,3.7805123329162598,3.777296304702759,3.7895896434783936,5.6667399406433105,5.476860046386719
12,3.570262908935547,3.694608688354492,3.8129305839538574,3.823091506958008,3.796403169631958,3.816760540008545,3.769300937652588,3.75787615776062,3.7623863220214844,3.7558953762054443,3.7539122104644775,3.774756908416748,5.536937236785889,5.429276704788208
13,3.6122355461120605,3.722569704055786,3.816287040710449,3.8298234939575195,3.820612907409668,3.784303903579712,3.791822671890259,3.796611785888672,3.8154819011688232,3.8404734134674072,3.876469850540161,3.8675076961517334,6.059663772583008,5.538607835769653
