Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[28.0],[167.0],[224.0],[27.0],[224.0],[265.0],[27.0],[84.0],[28.0],[27.0],[28.0],[223.0],[28.0],[28.0],[294.0],[278.0],[223.0],[279.0],[266.0],[237.0],[307.0],[210.0],[28.0],[28.0],[210.0],[41.0],[41.0],[294.0],[168.0],[251.0],[70.0],[41.0],[250.0],[210.0],[210.0],[294.0],[252.0],[27.0],[28.0],[41.0],[41.0],[28.0],[210.0],[41.0],[41.0],[279.0],[41.0],[69.0],[14.0],[14.0],[28.0],[28.0],[294.0],[210.0],[238.0],[307.0],[41.0],[307.0],[14.0],[252.0],[280.0],[294.0],[41.0],[70.0],[27.0],[210.0],[307.0],[27.0],[83.0],[238.0],[14.0],[28.0],[28.0],[14.0],[266.0],[251.0],[307.0],[41.0],[97.0],[41.0],[279.0],[28.0],[70.0],[251.0],[210.0],[266.0],[168.0],[41.0],[41.0],[224.0],[83.0],[41.0],[154.0],[41.0],[28.0],[266.0],[14.0],[83.0],[28.0],[307.0]
1,[41.0],[41.0],[265.0],[41.0],[279.0],[182.0],[307.0],[14.0],[26.0],[41.0],[27.0],[27.0],[223.0],[29.0],[279.0],[209.0],[238.0],[41.0],[41.0],[224.0],[28.0],[211.0],[166.0],[41.0],[14.0],[40.0],[294.0],[251.0],[27.0],[27.0],[223.0],[40.0],[28.0],[223.0],[41.0],[236.0],[223.0],[29.0],[251.0],[26.0],[28.0],[41.0],[28.0],[295.0],[294.0],[41.0],[27.0],[210.0],[251.0],[237.0],[41.0],[27.0],[307.0],[41.0],[294.0],[294.0],[294.0],[14.0],[307.0],[28.0],[279.0],[223.0],[28.0],[41.0],[223.0],[279.0],[28.0],[293.0],[294.0],[168.0],[167.0],[252.0],[14.0],[293.0],[14.0],[250.0],[28.0],[40.0],[251.0],[69.0],[168.0],[29.0],[26.0],[41.0],[223.0],[267.0],[224.0],[223.0],[28.0],[41.0],[14.0],[307.0],[41.0],[266.0],[41.0],[28.0],[41.0],[28.0],[266.0],[168.0]
2,[223.0],[166.0],[293.0],[28.0],[266.0],[41.0],[223.0],[265.0],[224.0],[29.0],[41.0],[222.0],[29.0],[195.0],[266.0],[14.0],[167.0],[40.0],[29.0],[41.0],[238.0],[83.0],[29.0],[294.0],[56.0],[223.0],[307.0],[41.0],[28.0],[210.0],[41.0],[39.0],[249.0],[41.0],[28.0],[251.0],[84.0],[30.0],[181.0],[168.0],[14.0],[279.0],[211.0],[225.0],[210.0],[181.0],[294.0],[281.0],[266.0],[27.0],[306.0],[252.0],[28.0],[27.0],[210.0],[28.0],[28.0],[70.0],[222.0],[307.0],[238.0],[14.0],[29.0],[307.0],[41.0],[238.0],[168.0],[70.0],[210.0],[14.0],[279.0],[307.0],[210.0],[15.0],[28.0],[14.0],[29.0],[84.0],[210.0],[279.0],[28.0],[27.0],[41.0],[28.0],[265.0],[265.0],[210.0],[40.0],[252.0],[280.0],[238.0],[238.0],[27.0],[195.0],[40.0],[29.0],[267.0],[266.0],[307.0],[237.0]
3,[222.0],[28.0],[294.0],[40.0],[251.0],[40.0],[238.0],[210.0],[211.0],[223.0],[70.0],[83.0],[210.0],[30.0],[267.0],[223.0],[27.0],[210.0],[40.0],[40.0],[280.0],[223.0],[279.0],[167.0],[266.0],[14.0],[195.0],[27.0],[210.0],[250.0],[14.0],[266.0],[265.0],[222.0],[71.0],[41.0],[41.0],[31.0],[27.0],[210.0],[27.0],[182.0],[29.0],[251.0],[28.0],[28.0],[14.0],[41.0],[250.0],[41.0],[223.0],[29.0],[251.0],[166.0],[41.0],[154.0],[40.0],[27.0],[28.0],[210.0],[41.0],[222.0],[70.0],[28.0],[14.0],[28.0],[224.0],[294.0],[182.0],[41.0],[28.0],[265.0],[265.0],[294.0],[251.0],[294.0],[210.0],[39.0],[69.0],[40.0],[169.0],[168.0],[307.0],[210.0],[14.0],[264.0],[27.0],[14.0],[195.0],[181.0],[223.0],[279.0],[28.0],[182.0],[280.0],[168.0],[28.0],[252.0],[236.0],[28.0]
4,[40.0],[168.0],[41.0],[69.0],[294.0],[223.0],[222.0],[181.0],[29.0],[222.0],[238.0],[294.0],[266.0],[27.0],[181.0],[56.0],[41.0],[39.0],[307.0],[238.0],[237.0],[28.0],[265.0],[251.0],[279.0],[28.0],[40.0],[295.0],[41.0],[154.0],[28.0],[28.0],[41.0],[28.0],[307.0],[295.0],[253.0],[14.0],[29.0],[169.0],[307.0],[40.0],[27.0],[97.0],[223.0],[83.0],[237.0],[28.0],[249.0],[40.0],[293.0],[266.0],[41.0],[40.0],[252.0],[210.0],[29.0],[280.0],[252.0],[27.0],[40.0],[238.0],[307.0],[182.0],[265.0],[239.0],[252.0],[28.0],[14.0],[223.0],[278.0],[41.0],[27.0],[28.0],[29.0],[168.0],[223.0],[28.0],[265.0],[307.0],[29.0],[210.0],[25.0],[238.0],[28.0],[263.0],[26.0],[279.0],[265.0],[238.0],[15.0],[27.0],[26.0],[279.0],[27.0],[293.0],[29.0],[41.0],[280.0],[181.0]
5,[210.0],[181.0],[223.0],[26.0],[307.0],[307.0],[14.0],[264.0],[41.0],[307.0],[239.0],[41.0],[252.0],[182.0],[27.0],[28.0],[40.0],[238.0],[306.0],[167.0],[41.0],[29.0],[278.0],[27.0],[15.0],[293.0],[168.0],[168.0],[251.0],[14.0],[29.0],[195.0],[14.0],[40.0],[27.0],[28.0],[27.0],[97.0],[307.0],[40.0],[223.0],[237.0],[280.0],[69.0],[14.0],[27.0],[251.0],[27.0],[29.0],[266.0],[167.0],[251.0],[14.0],[223.0],[28.0],[29.0],[181.0],[294.0],[27.0],[26.0],[278.0],[266.0],[14.0],[224.0],[222.0],[29.0],[29.0],[168.0],[167.0],[69.0],[166.0],[181.0],[252.0],[97.0],[15.0],[252.0],[30.0],[222.0],[223.0],[97.0],[41.0],[265.0],[28.0],[211.0],[224.0],[223.0],[14.0],[39.0],[266.0],[27.0],[41.0],[239.0],[40.0],[306.0],[14.0],[154.0],[168.0],[29.0],[167.0],[29.0]
6,[307.0],[40.0],[40.0],[210.0],[210.0],[224.0],[252.0],[266.0],[307.0],[221.0],[40.0],[251.0],[30.0],[223.0],[28.0],[307.0],[39.0],[27.0],[280.0],[252.0],[195.0],[30.0],[251.0],[250.0],[16.0],[237.0],[210.0],[265.0],[40.0],[279.0],[40.0],[38.0],[264.0],[181.0],[252.0],[40.0],[40.0],[26.0],[26.0],[28.0],[181.0],[83.0],[41.0],[250.0],[27.0],[29.0],[307.0],[26.0],[223.0],[238.0],[27.0],[253.0],[238.0],[39.0],[14.0],[279.0],[307.0],[28.0],[221.0],[154.0],[251.0],[295.0],[279.0],[97.0],[28.0],[211.0],[41.0],[26.0],[166.0],[56.0],[27.0],[266.0],[29.0],[266.0],[267.0],[224.0],[222.0],[14.0],[28.0],[210.0],[238.0],[182.0],[306.0],[29.0],[29.0],[41.0],[237.0],[210.0],[279.0],[225.0],[307.0],[28.0],[29.0],[223.0],[266.0],[30.0],[223.0],[265.0],[27.0],[266.0]
7,[294.0],[27.0],[252.0],[307.0],[181.0],[294.0],[294.0],[28.0],[40.0],[97.0],[223.0],[39.0],[307.0],[41.0],[29.0],[222.0],[237.0],[294.0],[224.0],[266.0],[279.0],[237.0],[30.0],[70.0],[238.0],[222.0],[28.0],[263.0],[26.0],[56.0],[252.0],[237.0],[167.0],[29.0],[14.0],[265.0],[307.0],[238.0],[41.0],[238.0],[294.0],[265.0],[212.0],[168.0],[84.0],[14.0],[306.0],[25.0],[221.0],[39.0],[40.0],[279.0],[29.0],[222.0],[40.0],[41.0],[69.0],[223.0],[29.0],[294.0],[224.0],[181.0],[168.0],[29.0],[264.0],[224.0],[223.0],[41.0],[307.0],[278.0],[29.0],[195.0],[26.0],[223.0],[223.0],[293.0],[251.0],[266.0],[29.0],[224.0],[265.0],[279.0],[30.0],[252.0],[41.0],[28.0],[307.0],[307.0],[267.0],[226.0],[28.0],[29.0],[266.0],[222.0],[210.0],[41.0],[210.0],[294.0],[154.0],[223.0]
8,[14.0],[223.0],[210.0],[265.0],[222.0],[56.0],[210.0],[27.0],[223.0],[294.0],[14.0],[38.0],[251.0],[251.0],[278.0],[168.0],[252.0],[14.0],[265.0],[181.0],[181.0],[222.0],[238.0],[237.0],[278.0],[265.0],[167.0],[26.0],[14.0],[26.0],[27.0],[279.0],[238.0],[266.0],[237.0],[250.0],[266.0],[210.0],[252.0],[224.0],[266.0],[14.0],[252.0],[265.0],[154.0],[266.0],[26.0],[279.0],[237.0],[223.0],[280.0],[267.0],[27.0],[168.0],[279.0],[280.0],[14.0],[15.0],[293.0],[155.0],[28.0],[265.0],[223.0],[210.0],[221.0],[181.0],[253.0],[210.0],[165.0],[252.0],[41.0],[40.0],[167.0],[222.0],[41.0],[28.0],[224.0],[29.0],[14.0],[265.0],[278.0],[30.0],[252.0],[237.0],[27.0],[29.0],[265.0],[38.0],[27.0],[39.0],[40.0],[26.0],[237.0],[238.0],[237.0],[14.0],[251.0],[253.0],[265.0],[30.0]
9,[39.0],[224.0],[253.0],[167.0],[237.0],[27.0],[279.0],[294.0],[168.0],[14.0],[71.0],[307.0],[224.0],[279.0],[223.0],[167.0],[236.0],[211.0],[39.0],[39.0],[29.0],[280.0],[237.0],[29.0],[236.0],[27.0],[154.0],[169.0],[224.0],[264.0],[280.0],[14.0],[210.0],[251.0],[265.0],[296.0],[28.0],[307.0],[279.0],[181.0],[295.0],[15.0],[40.0],[169.0],[237.0],[307.0],[40.0],[252.0],[30.0],[235.0],[14.0],[26.0],[252.0],[169.0],[15.0],[27.0],[265.0],[29.0],[220.0],[25.0],[180.0],[251.0],[306.0],[266.0],[279.0],[14.0],[254.0],[307.0],[279.0],[266.0],[223.0],[154.0],[166.0],[27.0],[222.0],[279.0],[306.0],[181.0],[238.0],[154.0],[14.0],[41.0],[181.0],[212.0],[15.0],[293.0],[238.0],[294.0],[26.0],[26.0],[224.0],[30.0],[14.0],[252.0],[223.0],[223.0],[154.0],[264.0],[41.0],[306.0]
