Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[235.0],[105.0],[263.0],[40.0],[137.0],[69.0],[206.0],[70.0],[221.0],[164.0],[195.0],[122.0],[222.0],[123.0],[55.0],[14.0],[264.0],[220.0],[81.0],[13.0],[153.0],[55.0],[153.0],[109.0],[275.0]
1,[109.0],[106.0],[122.0],[97.0],[237.0],[66.0],[207.0],[211.0],[151.0],[166.0],[111.0],[263.0],[68.0],[40.0],[180.0],[181.0],[83.0],[81.0],[82.0],[234.0],[278.0],[235.0],[26.0],[12.0],[262.0]
2,[262.0],[288.0],[165.0],[248.0],[235.0],[67.0],[250.0],[125.0],[152.0],[27.0],[264.0],[276.0],[195.0],[235.0],[40.0],[179.0],[80.0],[222.0],[304.0],[165.0],[138.0],[265.0],[152.0],[110.0],[277.0]
3,[124.0],[278.0],[264.0],[236.0],[250.0],[68.0],[137.0],[222.0],[307.0],[26.0],[193.0],[277.0],[194.0],[265.0],[53.0],[26.0],[67.0],[27.0],[41.0],[236.0],[67.0],[138.0],[293.0],[293.0],[263.0]
4,[123.0],[153.0],[111.0],[291.0],[251.0],[293.0],[93.0],[195.0],[66.0],[251.0],[26.0],[151.0],[111.0],[264.0],[250.0],[54.0],[97.0],[41.0],[36.0],[125.0],[125.0],[264.0],[11.0],[292.0],[234.0]
5,[304.0],[139.0],[166.0],[134.0],[153.0],[291.0],[233.0],[83.0],[235.0],[304.0],[208.0],[80.0],[221.0],[138.0],[54.0],[25.0],[222.0],[206.0],[13.0],[235.0],[124.0],[165.0],[292.0],[55.0],[278.0]
6,[237.0],[138.0],[83.0],[96.0],[279.0],[292.0],[26.0],[25.0],[97.0],[179.0],[277.0],[152.0],[139.0],[97.0],[179.0],[153.0],[167.0],[26.0],[93.0],[121.0],[68.0],[237.0],[25.0],[54.0],[165.0]
7,[236.0],[55.0],[222.0],[55.0],[108.0],[262.0],[66.0],[194.0],[94.0],[69.0],[223.0],[81.0],[123.0],[167.0],[251.0],[152.0],[25.0],[265.0],[250.0],[123.0],[164.0],[275.0],[80.0],[107.0],[195.0]
8,[195.0],[96.0],[221.0],[125.0],[221.0],[111.0],[237.0],[220.0],[80.0],[178.0],[83.0],[221.0],[138.0],[220.0],[263.0],[250.0],[166.0],[234.0],[37.0],[124.0],[304.0],[194.0],[111.0],[27.0],[193.0]
9,[179.0],[166.0],[279.0],[195.0],[264.0],[55.0],[251.0],[82.0],[111.0],[180.0],[222.0],[249.0],[122.0],[194.0],[219.0],[67.0],[195.0],[125.0],[38.0],[83.0],[111.0],[139.0],[250.0],[26.0],[181.0]
10,[181.0],[111.0],[195.0],[279.0],[278.0],[54.0],[236.0],[111.0],[69.0],[149.0],[125.0],[41.0],[69.0],[277.0],[165.0],[221.0],[218.0],[208.0],[25.0],[110.0],[55.0],[136.0],[125.0],[277.0],[111.0]
11,[209.0],[167.0],[262.0],[37.0],[122.0],[136.0],[27.0],[67.0],[138.0],[236.0],[235.0],[39.0],[237.0],[195.0],[109.0],[237.0],[220.0],[279.0],[305.0],[68.0],[95.0],[279.0],[24.0],[235.0],[194.0]
12,[194.0],[40.0],[278.0],[191.0],[110.0],[235.0],[166.0],[27.0],[11.0],[263.0],[27.0],[307.0],[279.0],[124.0],[110.0],[55.0],[82.0],[83.0],[65.0],[220.0],[40.0],[111.0],[124.0],[165.0],[27.0]
13,[111.0],[41.0],[237.0],[38.0],[236.0],[221.0],[165.0],[307.0],[237.0],[137.0],[275.0],[40.0],[27.0],[164.0],[83.0],[165.0],[194.0],[195.0],[222.0],[222.0],[41.0],[83.0],[303.0],[236.0],[166.0]
14,[82.0],[265.0],[236.0],[194.0],[111.0],[220.0],[306.0],[108.0],[165.0],[261.0],[237.0],[139.0],[81.0],[111.0],[81.0],[163.0],[81.0],[65.0],[68.0],[81.0],[122.0],[250.0],[237.0],[83.0],[265.0]
