Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[126.0],[28.0],[28.0],[28.0],[84.0],[38.0],[210.0],[210.0],[238.0],[84.0],[238.0],[35.0],[28.0],[84.0],[28.0],[238.0],[224.0],[238.0],[41.0],[28.0],[305.0],[182.0],[28.0],[28.0],[84.0],[210.0],[28.0],[294.0],[84.0],[222.0],[70.0],[306.0],[14.0],[224.0],[168.0],[307.0],[238.0],[294.0],[56.0],[56.0],[28.0],[14.0],[168.0],[28.0],[28.0],[266.0],[168.0],[28.0],[41.0],[56.0],[28.0],[224.0],[223.0],[28.0],[222.0],[28.0],[252.0],[84.0],[32.0],[221.0],[280.0],[14.0],[70.0],[28.0],[14.0],[28.0],[40.0],[221.0],[252.0],[28.0],[168.0],[28.0],[154.0],[28.0],[252.0],[307.0],[154.0],[28.0],[238.0],[210.0],[251.0],[182.0],[304.0],[223.0],[70.0],[224.0],[182.0],[210.0],[27.0],[14.0],[182.0],[28.0],[28.0],[40.0],[182.0],[70.0],[238.0],[294.0],[294.0],[98.0]
1,[223.0],[97.0],[221.0],[251.0],[307.0],[95.0],[233.0],[97.0],[40.0],[223.0],[219.0],[307.0],[27.0],[14.0],[41.0],[223.0],[83.0],[307.0],[37.0],[41.0],[37.0],[84.0],[238.0],[221.0],[222.0],[28.0],[38.0],[176.0],[83.0],[277.0],[41.0],[35.0],[81.0],[38.0],[305.0],[215.0],[223.0],[84.0],[194.0],[221.0],[168.0],[78.0],[41.0],[168.0],[266.0],[223.0],[307.0],[166.0],[279.0],[182.0],[41.0],[181.0],[40.0],[40.0],[40.0],[41.0],[39.0],[41.0],[307.0],[305.0],[41.0],[76.0],[36.0],[40.0],[83.0],[70.0],[305.0],[95.0],[304.0],[223.0],[83.0],[84.0],[83.0],[83.0],[246.0],[178.0],[41.0],[73.0],[248.0],[41.0],[152.0],[36.0],[97.0],[82.0],[25.0],[22.0],[69.0],[279.0],[41.0],[194.0],[39.0],[40.0],[27.0],[223.0],[220.0],[33.0],[40.0],[307.0],[266.0],[25.0]
2,[97.0],[154.0],[224.0],[70.0],[215.0],[162.0],[181.0],[14.0],[279.0],[279.0],[40.0],[67.0],[181.0],[238.0],[97.0],[70.0],[221.0],[181.0],[307.0],[167.0],[95.0],[70.0],[291.0],[249.0],[180.0],[174.0],[97.0],[289.0],[28.0],[69.0],[26.0],[210.0],[195.0],[265.0],[237.0],[56.0],[266.0],[41.0],[180.0],[126.0],[167.0],[222.0],[222.0],[195.0],[24.0],[32.0],[27.0],[289.0],[210.0],[41.0],[223.0],[272.0],[238.0],[266.0],[280.0],[97.0],[97.0],[70.0],[84.0],[165.0],[84.0],[210.0],[14.0],[95.0],[210.0],[251.0],[97.0],[249.0],[223.0],[238.0],[280.0],[95.0],[27.0],[27.0],[174.0],[154.0],[97.0],[216.0],[96.0],[237.0],[84.0],[28.0],[210.0],[28.0],[209.0],[97.0],[84.0],[27.0],[251.0],[248.0],[223.0],[27.0],[224.0],[250.0],[13.0],[94.0],[181.0],[96.0],[224.0],[190.0]
3,[167.0],[210.0],[126.0],[221.0],[70.0],[84.0],[27.0],[40.0],[168.0],[220.0],[84.0],[153.0],[154.0],[168.0],[56.0],[82.0],[84.0],[167.0],[66.0],[83.0],[223.0],[252.0],[266.0],[84.0],[97.0],[252.0],[280.0],[28.0],[222.0],[307.0],[266.0],[40.0],[24.0],[294.0],[14.0],[305.0],[224.0],[154.0],[247.0],[224.0],[238.0],[27.0],[140.0],[97.0],[252.0],[221.0],[65.0],[222.0],[152.0],[154.0],[27.0],[69.0],[222.0],[70.0],[306.0],[218.0],[92.0],[266.0],[154.0],[154.0],[154.0],[27.0],[223.0],[168.0],[140.0],[210.0],[70.0],[192.0],[84.0],[112.0],[222.0],[252.0],[181.0],[222.0],[84.0],[182.0],[210.0],[111.0],[91.0],[97.0],[272.0],[97.0],[195.0],[307.0],[224.0],[14.0],[307.0],[28.0],[168.0],[238.0],[154.0],[280.0],[180.0],[221.0],[180.0],[307.0],[70.0],[238.0],[25.0],[168.0]
4,[80.0],[236.0],[181.0],[84.0],[182.0],[178.0],[14.0],[293.0],[280.0],[182.0],[250.0],[97.0],[216.0],[69.0],[14.0],[168.0],[307.0],[27.0],[236.0],[305.0],[140.0],[220.0],[84.0],[97.0],[238.0],[152.0],[14.0],[41.0],[216.0],[14.0],[35.0],[27.0],[69.0],[223.0],[218.0],[92.0],[221.0],[80.0],[306.0],[22.0],[97.0],[219.0],[238.0],[210.0],[237.0],[293.0],[266.0],[84.0],[81.0],[223.0],[221.0],[280.0],[265.0],[83.0],[221.0],[39.0],[70.0],[80.0],[68.0],[190.0],[293.0],[238.0],[224.0],[27.0],[41.0],[41.0],[168.0],[293.0],[218.0],[222.0],[181.0],[307.0],[182.0],[84.0],[14.0],[110.0],[14.0],[41.0],[167.0],[266.0],[307.0],[70.0],[194.0],[219.0],[264.0],[154.0],[36.0],[223.0],[36.0],[27.0],[79.0],[154.0],[194.0],[265.0],[39.0],[14.0],[137.0],[24.0],[112.0],[280.0]
5,[266.0],[40.0],[153.0],[249.0],[303.0],[139.0],[179.0],[167.0],[181.0],[81.0],[294.0],[83.0],[98.0],[265.0],[194.0],[251.0],[41.0],[70.0],[39.0],[39.0],[110.0],[154.0],[14.0],[14.0],[277.0],[14.0],[273.0],[70.0],[42.0],[232.0],[168.0],[92.0],[238.0],[280.0],[230.0],[13.0],[182.0],[238.0],[41.0],[280.0],[266.0],[168.0],[26.0],[306.0],[97.0],[181.0],[236.0],[151.0],[39.0],[222.0],[182.0],[307.0],[14.0],[272.0],[224.0],[167.0],[244.0],[291.0],[92.0],[279.0],[235.0],[181.0],[292.0],[34.0],[279.0],[154.0],[210.0],[28.0],[79.0],[280.0],[233.0],[181.0],[223.0],[41.0],[279.0],[210.0],[37.0],[182.0],[294.0],[294.0],[223.0],[41.0],[209.0],[237.0],[181.0],[41.0],[223.0],[84.0],[262.0],[223.0],[238.0],[236.0],[293.0],[224.0],[265.0],[84.0],[26.0],[77.0],[195.0],[164.0]
6,[221.0],[180.0],[292.0],[266.0],[304.0],[98.0],[40.0],[70.0],[67.0],[224.0],[223.0],[111.0],[250.0],[207.0],[38.0],[277.0],[280.0],[237.0],[195.0],[293.0],[221.0],[237.0],[97.0],[112.0],[28.0],[265.0],[83.0],[39.0],[80.0],[81.0],[210.0],[168.0],[209.0],[221.0],[238.0],[280.0],[294.0],[177.0],[38.0],[195.0],[161.0],[166.0],[38.0],[209.0],[223.0],[307.0],[252.0],[154.0],[306.0],[238.0],[140.0],[293.0],[81.0],[196.0],[238.0],[294.0],[266.0],[66.0],[182.0],[293.0],[168.0],[307.0],[28.0],[194.0],[27.0],[223.0],[26.0],[41.0],[168.0],[220.0],[274.0],[126.0],[28.0],[182.0],[41.0],[28.0],[177.0],[66.0],[279.0],[37.0],[280.0],[278.0],[14.0],[264.0],[280.0],[182.0],[221.0],[224.0],[95.0],[222.0],[221.0],[272.0],[40.0],[263.0],[264.0],[69.0],[56.0],[42.0],[77.0],[83.0]
7,[237.0],[27.0],[42.0],[307.0],[232.0],[236.0],[111.0],[83.0],[140.0],[25.0],[14.0],[195.0],[41.0],[307.0],[94.0],[76.0],[237.0],[293.0],[280.0],[250.0],[280.0],[266.0],[82.0],[265.0],[219.0],[237.0],[111.0],[224.0],[252.0],[66.0],[223.0],[24.0],[193.0],[263.0],[97.0],[27.0],[279.0],[182.0],[196.0],[288.0],[265.0],[97.0],[28.0],[154.0],[140.0],[279.0],[303.0],[204.0],[182.0],[266.0],[154.0],[28.0],[263.0],[81.0],[42.0],[69.0],[96.0],[39.0],[174.0],[280.0],[39.0],[280.0],[221.0],[280.0],[293.0],[38.0],[179.0],[168.0],[222.0],[236.0],[36.0],[68.0],[24.0],[97.0],[154.0],[41.0],[39.0],[154.0],[140.0],[234.0],[221.0],[168.0],[41.0],[14.0],[97.0],[95.0],[13.0],[69.0],[238.0],[280.0],[235.0],[301.0],[266.0],[180.0],[168.0],[303.0],[14.0],[70.0],[168.0],[277.0]
8,[294.0],[37.0],[307.0],[14.0],[280.0],[238.0],[238.0],[196.0],[234.0],[278.0],[280.0],[238.0],[293.0],[21.0],[168.0],[280.0],[293.0],[97.0],[55.0],[162.0],[180.0],[196.0],[56.0],[98.0],[265.0],[264.0],[294.0],[168.0],[97.0],[264.0],[69.0],[98.0],[237.0],[26.0],[207.0],[26.0],[278.0],[14.0],[182.0],[194.0],[263.0],[126.0],[82.0],[265.0],[80.0],[153.0],[181.0],[53.0],[208.0],[27.0],[38.0],[223.0],[306.0],[140.0],[36.0],[14.0],[210.0],[222.0],[52.0],[277.0],[167.0],[278.0],[279.0],[74.0],[154.0],[222.0],[278.0],[56.0],[154.0],[69.0],[42.0],[41.0],[126.0],[224.0],[251.0],[238.0],[92.0],[181.0],[153.0],[38.0],[306.0],[92.0],[293.0],[137.0],[38.0],[56.0],[280.0],[181.0],[26.0],[276.0],[0.0],[279.0],[96.0],[168.0],[280.0],[79.0],[176.0],[68.0],[191.0],[126.0]
9,[125.0],[262.0],[306.0],[306.0],[77.0],[303.0],[25.0],[180.0],[82.0],[195.0],[220.0],[209.0],[294.0],[304.0],[276.0],[250.0],[77.0],[252.0],[292.0],[80.0],[41.0],[42.0],[162.0],[91.0],[234.0],[111.0],[94.0],[180.0],[175.0],[206.0],[222.0],[83.0],[98.0],[167.0],[234.0],[293.0],[167.0],[37.0],[14.0],[294.0],[210.0],[35.0],[181.0],[167.0],[222.0],[154.0],[305.0],[122.0],[98.0],[195.0],[181.0],[152.0],[125.0],[223.0],[196.0],[194.0],[223.0],[224.0],[224.0],[195.0],[28.0],[66.0],[167.0],[25.0],[251.0],[152.0],[94.0],[180.0],[248.0],[251.0],[252.0],[279.0],[81.0],[81.0],[148.0],[195.0],[291.0],[224.0],[277.0],[13.0],[21.0],[250.0],[181.0],[306.0],[287.0],[168.0],[154.0],[83.0],[248.0],[294.0],[166.0],[25.0],[154.0],[83.0],[125.0],[167.0],[251.0],[25.0],[248.0],[262.0]
