Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
0,24.42327332496643,26.22197198867798,27.15533423423767,30.225937604904175,35.097635984420776,35.159677028656006,35.15045714378357,35.187623262405396,35.19583988189697,35.22235465049744,35.28575539588928,34.89503216743469,460.547345161438,38.25581955909729
1,24.799574851989746,26.462542295455933,27.4434871673584,30.639652013778687,35.530147552490234,35.53692388534546,35.53108882904053,35.49032187461853,35.47169852256775,35.532150745391846,35.55156588554382,34.83492565155029,467.3874578475952,37.88143730163574
2,25.016740798950195,26.889148473739624,27.880661487579346,31.02662682533264,35.84806442260742,35.915283203125,35.94982433319092,35.95172190666199,35.97412109375,35.90353775024414,35.73188829421997,34.90741753578186,464.0378999710083,37.8185510635376
3,24.771061420440674,26.420995712280273,27.41826105117798,30.300111055374146,34.97431397438049,34.85024309158325,34.83300447463989,34.984468936920166,35.05854916572571,35.14482116699219,34.685606956481934,34.43024682998657,457.258930683136,37.559054136276245
4,25.838703393936157,27.990029096603394,28.813050508499146,32.11398959159851,36.894835233688354,36.9729118347168,36.957345485687256,36.9517765045166,36.54623031616211,36.59861993789673,36.125147581100464,33.88090515136719,499.92282819747925,37.43948268890381
5,24.613232612609863,26.780666828155518,27.823384046554565,30.808396339416504,35.76070785522461,35.96939134597778,35.9780695438385,35.97187376022339,35.98706889152527,36.037322759628296,36.00460600852966,35.26351714134216,461.4948000907898,38.30940055847168
6,25.196242809295654,26.91401219367981,27.86055827140808,31.035284996032715,35.971736669540405,35.996227979660034,35.99952054023743,36.04948854446411,36.11445331573486,36.08580827713013,36.11118674278259,35.569838762283325,469.9883997440338,38.5748975276947
7,24.124781131744385,26.405628442764282,27.39568042755127,30.23320960998535,34.96332883834839,35.161226987838745,35.20698142051697,35.14859056472778,35.183430671691895,35.2055606842041,35.215779066085815,34.76935124397278,383.9030132293701,37.67746615409851
8,25.655961990356445,27.3879656791687,28.45539402961731,31.629088401794434,36.41889500617981,36.48955726623535,36.59006142616272,36.47488522529602,36.50533127784729,36.35931754112244,36.25805139541626,34.803433656692505,460.58642745018005,38.14807653427124
9,25.51428771018982,27.283103466033936,28.304550170898438,31.501916885375977,36.2804491519928,36.330663442611694,36.32536602020264,36.24812030792236,36.303661584854126,36.17691469192505,36.01430821418762,34.69958782196045,463.74474477767944,37.955220222473145
10,25.519224643707275,27.242990493774414,28.273921012878418,31.413495779037476,36.15796685218811,36.18515467643738,36.20703959465027,36.1194281578064,36.12031316757202,35.94719219207764,35.92600226402283,35.11528396606445,462.2189083099365,38.03711485862732
11,24.909624576568604,27.051928997039795,27.958593130111694,31.0485258102417,36.1096396446228,36.17264413833618,36.24618148803711,36.26932382583618,36.305846214294434,36.34196734428406,36.2720251083374,36.073962450027466,476.93150520324707,38.788872957229614
12,24.78007173538208,26.970678567886353,28.185222148895264,31.10754632949829,35.812026262283325,36.0992488861084,36.14043617248535,36.08871674537659,36.1138916015625,36.07270932197571,35.862587690353394,35.249096632003784,459.20156621932983,38.607415437698364
13,25.21767807006836,26.956146478652954,27.94776487350464,31.067633628845215,35.862468957901,35.92198395729065,35.95221781730652,35.89010405540466,35.86978554725647,35.82779502868652,35.688077211380005,34.85885763168335,464.0019404888153,37.94904065132141
14,25.44364333152771,27.182849645614624,28.188003301620483,31.327110290527344,36.10429906845093,36.07598876953125,36.1638503074646,36.12508845329285,36.18833088874817,36.077778577804565,35.93877816200256,34.75130844116211,464.95655059814453,37.96184468269348
15,25.00225067138672,26.65831422805786,27.641786813735962,30.821279525756836,35.81506061553955,35.773054122924805,35.77541375160217,35.80155968666077,35.87294602394104,35.84425640106201,35.87716603279114,35.4630868434906,472.32984709739685,38.22961640357971
16,24.9084210395813,26.740410089492798,27.65169405937195,30.799148082733154,35.77134680747986,35.8198401927948,35.82619047164917,35.84679412841797,35.84446930885315,35.85717821121216,35.86360239982605,35.67147636413574,474.43965196609497,38.33341693878174
17,25.181325912475586,26.94262433052063,27.882434844970703,31.075242519378662,36.05397319793701,36.07783055305481,36.07981872558594,36.17735552787781,36.15072751045227,36.16949772834778,36.18652701377869,35.72309899330139,471.18875217437744,38.52803945541382
18,25.134998559951782,26.841166257858276,27.850830793380737,31.051990270614624,35.92184257507324,35.92958331108093,35.89515709877014,35.93318271636963,35.927645206451416,35.95196080207825,35.93967270851135,34.94938778877258,466.149982213974,38.3220477104187
19,24.75189447402954,26.446585655212402,27.375464916229248,30.539991855621338,35.54411554336548,35.543275117874146,35.59542417526245,35.59969925880432,35.61528921127319,35.65571141242981,35.66716980934143,35.49968099594116,475.7066466808319,37.98949837684631
20,25.46216869354248,27.154165744781494,28.214390754699707,31.35769510269165,36.08696532249451,36.130791425704956,36.18698239326477,36.088292360305786,36.15641498565674,35.990078926086426,35.80556917190552,34.55577278137207,463.1952521800995,37.92974829673767
21,24.34689474105835,26.60670757293701,27.705427169799805,30.66752600669861,35.62840223312378,35.805522203445435,35.82958102226257,35.81107211112976,35.87196135520935,35.89088034629822,35.897294759750366,35.34881019592285,486.16867899894714,39.47276306152344
22,25.040369987487793,26.75247311592102,27.736302614212036,30.869378089904785,35.851418256759644,35.88128328323364,35.901007890701294,36.170233964920044,36.03012180328369,35.799490451812744,35.61813521385193,35.1975884437561,471.43173384666443,37.713905572891235
23,23.789562225341797,26.230430126190186,27.33221697807312,30.108343601226807,35.69537687301636,35.17977809906006,35.10985231399536,35.08622121810913,35.143325328826904,35.13671541213989,35.15786170959473,34.7618293762207,363.19452357292175,36.62039041519165
24,25.330704927444458,27.093565225601196,28.111916542053223,31.316612243652344,36.1772243976593,36.20106887817383,36.18110918998718,36.22320079803467,36.22113370895386,36.238654375076294,36.040228605270386,34.65962815284729,465.78333473205566,38.26688742637634
25,25.09702229499817,26.842570543289185,27.841412782669067,30.804578065872192,35.565704107284546,35.25523591041565,35.1237998008728,35.121134996414185,35.14505624771118,35.284547090530396,34.88986539840698,34.51867485046387,459.1455466747284,37.65032720565796
26,25.260589599609375,26.96835422515869,27.95606279373169,31.138834476470947,36.102638244628906,36.09097361564636,36.09512448310852,36.09812664985657,35.78175330162048,35.762556314468384,35.824883460998535,35.19648814201355,470.1812524795532,38.14898991584778
27,25.01885986328125,26.66941475868225,27.65848207473755,30.82425355911255,35.67396783828735,35.65488004684448,35.66688394546509,35.613669872283936,35.653839111328125,35.66238260269165,35.37407827377319,34.491292238235474,466.15527510643005,37.704784631729126
28,25.07050609588623,26.748909950256348,27.793927907943726,30.730140209197998,35.44109225273132,35.329710721969604,35.33736228942871,35.512569189071655,35.363481760025024,35.39329195022583,35.083308696746826,34.57330322265625,472.6584982872009,37.281309843063354
29,25.544079542160034,27.269195556640625,28.28959608078003,31.440765380859375,36.228285789489746,36.27761673927307,36.28574204444885,36.2852098941803,36.22394323348999,36.10243535041809,35.96296191215515,34.81476020812988,463.3225643634796,38.17509984970093
30,25.16660451889038,27.649004220962524,28.788437366485596,31.889387845993042,36.835456132888794,37.02257251739502,37.06880736351013,37.07254886627197,37.02252912521362,37.09218716621399,37.126686096191406,36.0478093624115,497.6592240333557,38.05425310134888
31,25.275080919265747,26.966917037963867,28.04070734977722,31.02255916595459,35.696476459503174,35.602747678756714,35.59395241737366,35.65847611427307,35.64524483680725,35.687066316604614,36.178727865219116,34.683842182159424,470.24485206604004,37.50124669075012
32,25.832493782043457,27.341268062591553,28.371381521224976,31.489436388015747,36.224549293518066,36.27038383483887,36.25309348106384,36.21582102775574,36.226057291030884,36.14189624786377,35.9845187664032,34.692861557006836,462.8550817966461,38.150776624679565
33,25.990476608276367,27.735204458236694,28.77976655960083,32.03053331375122,36.96980810165405,36.98542404174805,37.01436972618103,37.120649337768555,37.01797795295715,37.04656219482422,37.0682852268219,34.890008211135864,464.7753653526306,39.72676992416382
34,25.405294179916382,27.09655451774597,28.17090630531311,31.122057914733887,35.812748193740845,35.75421905517578,35.73957347869873,35.75662064552307,35.78976273536682,35.837992668151855,36.368728160858154,34.55337595939636,468.4528410434723,37.697954177856445
35,23.668631553649902,25.74054527282715,27.38599944114685,29.98102903366089,34.55804800987244,35.446558475494385,35.50325655937195,35.50164294242859,35.53722810745239,35.57761907577515,35.49813795089722,35.324095487594604,111.21108675003052,36.64383244514465
36,25.285226583480835,26.963472843170166,28.03685212135315,30.993221521377563,35.63244104385376,35.51846146583557,35.50363206863403,35.5749077796936,35.56747078895569,35.59475660324097,35.25783014297485,34.59412956237793,469.4918074607849,36.80244469642639
37,24.741970777511597,26.39156174659729,27.382995128631592,30.561545610427856,35.42526054382324,35.372957706451416,35.33185887336731,35.32885241508484,35.35504364967346,35.36837673187256,35.407230377197266,34.66148066520691,466.28254318237305,37.78428268432617
38,25.276687145233154,26.983383178710938,27.95064640045166,31.15573215484619,36.092159271240234,36.06844401359558,36.08147406578064,36.07089805603027,36.11405873298645,36.15962505340576,36.13485050201416,35.40633416175842,469.58294224739075,38.604758739471436
39,24.677573680877686,27.05671453475952,28.105525732040405,31.087957620620728,36.14658451080322,36.47011470794678,36.492921352386475,36.50644659996033,36.53489947319031,36.553955078125,36.59091258049011,36.52228045463562,465.04813528060913,40.00172424316406
40,25.313783645629883,26.97743248939514,28.01757502555847,31.237328052520752,36.08551740646362,36.11999034881592,36.08864140510559,36.12407088279724,36.129788637161255,36.16682457923889,36.21896266937256,34.744412660598755,465.56688714027405,38.61032438278198
41,24.69172716140747,26.40845823287964,27.362249612808228,30.472569465637207,35.314306020736694,35.35327887535095,35.342912912368774,35.371957778930664,35.46025466918945,35.50010800361633,35.44646596908569,34.86523675918579,466.1966943740845,37.90764284133911
42,25.341591358184814,27.06623148918152,28.04508066177368,31.221258401870728,36.230737924575806,36.26056623458862,36.24778866767883,36.2544059753418,36.27608776092529,36.29544138908386,36.314724922180176,35.62405323982239,469.0324537754059,38.8044867515564
