Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[478.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0]
1,[262.0],[209.0],[262.0],[262.0],[179.0],[478.0],[478.0],[209.0],[262.0],[478.0],[262.0],[478.0],[262.0],[262.0],[262.0],[209.0],[262.0],[262.0],[262.0],[262.0],[262.0],[478.0],[262.0],[209.0],[262.0],[478.0],[262.0],[262.0],[179.0],[262.0],[262.0],[209.0],[262.0],[179.0],[262.0],[179.0],[209.0],[262.0],[262.0],[262.0],[262.0],[209.0],[262.0],[262.0],[179.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[654.0],[209.0],[262.0],[262.0],[478.0],[262.0],[209.0],[209.0],[209.0],[262.0],[179.0],[262.0],[262.0],[262.0],[209.0],[262.0],[478.0],[262.0],[478.0],[262.0],[209.0],[262.0],[262.0],[262.0],[262.0],[209.0],[471.0],[382.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[209.0],[262.0],[262.0],[262.0],[262.0],[478.0],[262.0],[262.0],[262.0],[179.0],[262.0],[262.0],[262.0],[262.0]
2,[478.0],[74.0],[179.0],[478.0],[262.0],[262.0],[755.0],[544.0],[478.0],[755.0],[179.0],[262.0],[977.0],[478.0],[471.0],[74.0],[179.0],[646.0],[478.0],[74.0],[668.0],[262.0],[478.0],[544.0],[179.0],[262.0],[478.0],[977.0],[262.0],[478.0],[179.0],[471.0],[478.0],[708.0],[478.0],[74.0],[977.0],[668.0],[478.0],[179.0],[179.0],[74.0],[478.0],[478.0],[262.0],[179.0],[478.0],[179.0],[478.0],[478.0],[977.0],[668.0],[262.0],[977.0],[478.0],[478.0],[262.0],[478.0],[544.0],[471.0],[544.0],[755.0],[262.0],[478.0],[179.0],[478.0],[668.0],[668.0],[869.0],[668.0],[179.0],[74.0],[977.0],[478.0],[179.0],[478.0],[179.0],[668.0],[179.0],[262.0],[179.0],[179.0],[668.0],[478.0],[668.0],[544.0],[471.0],[478.0],[478.0],[478.0],[74.0],[262.0],[977.0],[478.0],[478.0],[630.0],[478.0],[478.0],[478.0],[478.0]
3,[544.0],[709.0],[544.0],[544.0],[252.0],[755.0],[429.0],[220.0],[646.0],[221.0],[646.0],[382.0],[478.0],[74.0],[478.0],[478.0],[544.0],[478.0],[646.0],[478.0],[478.0],[933.0],[668.0],[478.0],[74.0],[179.0],[646.0],[478.0],[110.0],[74.0],[74.0],[478.0],[646.0],[262.0],[646.0],[822.0],[478.0],[478.0],[646.0],[646.0],[646.0],[478.0],[646.0],[544.0],[583.0],[646.0],[74.0],[74.0],[755.0],[880.0],[478.0],[179.0],[460.0],[478.0],[668.0],[646.0],[762.0],[668.0],[478.0],[740.0],[478.0],[977.0],[583.0],[671.0],[74.0],[544.0],[113.0],[478.0],[566.0],[478.0],[977.0],[478.0],[478.0],[668.0],[74.0],[668.0],[544.0],[822.0],[985.0],[755.0],[977.0],[668.0],[478.0],[646.0],[478.0],[478.0],[478.0],[223.0],[74.0],[646.0],[478.0],[654.0],[478.0],[125.0],[646.0],[262.0],[668.0],[471.0],[74.0],[668.0]
4,[880.0],[478.0],[442.0],[755.0],[478.0],[248.0],[575.0],[671.0],[179.0],[646.0],[583.0],[880.0],[755.0],[755.0],[880.0],[471.0],[909.0],[977.0],[654.0],[471.0],[323.0],[654.0],[561.0],[382.0],[822.0],[650.0],[755.0],[880.0],[583.0],[654.0],[125.0],[525.0],[977.0],[378.0],[179.0],[478.0],[79.0],[733.0],[654.0],[822.0],[822.0],[252.0],[755.0],[755.0],[478.0],[822.0],[880.0],[583.0],[646.0],[646.0],[654.0],[471.0],[478.0],[566.0],[869.0],[544.0],[822.0],[755.0],[708.0],[478.0],[382.0],[614.0],[575.0],[583.0],[822.0],[654.0],[909.0],[491.0],[646.0],[471.0],[471.0],[471.0],[236.0],[755.0],[284.0],[755.0],[822.0],[478.0],[71.0],[740.0],[236.0],[583.0],[583.0],[977.0],[471.0],[382.0],[568.0],[179.0],[654.0],[755.0],[252.0],[707.0],[880.0],[471.0],[755.0],[822.0],[755.0],[374.0],[755.0],[179.0]
5,[382.0],[471.0],[822.0],[382.0],[471.0],[977.0],[646.0],[179.0],[520.0],[708.0],[478.0],[740.0],[236.0],[471.0],[975.0],[430.0],[382.0],[614.0],[544.0],[520.0],[471.0],[285.0],[977.0],[646.0],[471.0],[130.0],[977.0],[79.0],[478.0],[471.0],[471.0],[646.0],[179.0],[478.0],[977.0],[471.0],[646.0],[125.0],[429.0],[478.0],[478.0],[471.0],[544.0],[991.0],[525.0],[478.0],[471.0],[478.0],[13.0],[583.0],[79.0],[740.0],[933.0],[125.0],[471.0],[37.0],[977.0],[471.0],[179.0],[646.0],[179.0],[167.0],[478.0],[568.0],[478.0],[708.0],[471.0],[284.0],[179.0],[378.0],[220.0],[179.0],[646.0],[471.0],[478.0],[977.0],[708.0],[977.0],[429.0],[977.0],[822.0],[478.0],[977.0],[179.0],[740.0],[869.0],[646.0],[646.0],[471.0],[13.0],[471.0],[933.0],[236.0],[544.0],[285.0],[478.0],[44.0],[708.0],[967.0],[471.0]
6,[670.0],[614.0],[478.0],[646.0],[769.0],[614.0],[614.0],[501.0],[55.0],[531.0],[977.0],[977.0],[646.0],[614.0],[646.0],[396.0],[478.0],[471.0],[79.0],[179.0],[544.0],[544.0],[179.0],[79.0],[478.0],[544.0],[29.0],[646.0],[646.0],[883.0],[478.0],[125.0],[378.0],[977.0],[880.0],[624.0],[199.0],[471.0],[977.0],[977.0],[977.0],[708.0],[167.0],[646.0],[646.0],[544.0],[438.0],[471.0],[614.0],[544.0],[646.0],[880.0],[266.0],[646.0],[179.0],[961.0],[139.0],[614.0],[646.0],[709.0],[909.0],[568.0],[977.0],[471.0],[471.0],[646.0],[179.0],[977.0],[740.0],[740.0],[473.0],[382.0],[179.0],[614.0],[471.0],[775.0],[478.0],[221.0],[544.0],[501.0],[478.0],[977.0],[193.0],[525.0],[544.0],[646.0],[382.0],[624.0],[220.0],[544.0],[544.0],[646.0],[646.0],[975.0],[544.0],[502.0],[977.0],[544.0],[471.0],[880.0]
7,[583.0],[609.0],[646.0],[614.0],[614.0],[975.0],[460.0],[204.0],[575.0],[614.0],[416.0],[583.0],[202.0],[635.0],[583.0],[382.0],[614.0],[179.0],[283.0],[544.0],[13.0],[220.0],[526.0],[179.0],[139.0],[880.0],[614.0],[623.0],[933.0],[608.0],[113.0],[704.0],[154.0],[525.0],[975.0],[889.0],[374.0],[544.0],[220.0],[561.0],[740.0],[167.0],[614.0],[740.0],[869.0],[561.0],[583.0],[420.0],[544.0],[667.0],[575.0],[544.0],[822.0],[740.0],[583.0],[179.0],[179.0],[325.0],[975.0],[482.0],[646.0],[575.0],[869.0],[296.0],[352.0],[220.0],[740.0],[392.0],[583.0],[544.0],[709.0],[544.0],[525.0],[996.0],[614.0],[614.0],[624.0],[880.0],[382.0],[614.0],[646.0],[525.0],[141.0],[691.0],[952.0],[37.0],[526.0],[575.0],[14.0],[614.0],[822.0],[220.0],[583.0],[179.0],[614.0],[79.0],[614.0],[571.0],[614.0],[623.0]
8,[646.0],[167.0],[221.0],[37.0],[382.0],[471.0],[898.0],[646.0],[913.0],[544.0],[420.0],[179.0],[740.0],[708.0],[179.0],[179.0],[646.0],[442.0],[220.0],[412.0],[583.0],[179.0],[822.0],[471.0],[721.0],[431.0],[471.0],[583.0],[789.0],[220.0],[501.0],[991.0],[471.0],[167.0],[471.0],[420.0],[179.0],[179.0],[471.0],[975.0],[474.0],[399.0],[975.0],[614.0],[880.0],[880.0],[179.0],[880.0],[89.0],[179.0],[608.0],[425.0],[37.0],[471.0],[875.0],[614.0],[471.0],[544.0],[471.0],[614.0],[79.0],[250.0],[526.0],[179.0],[708.0],[975.0],[544.0],[575.0],[767.0],[382.0],[654.0],[646.0],[575.0],[544.0],[393.0],[471.0],[646.0],[471.0],[639.0],[854.0],[740.0],[420.0],[471.0],[471.0],[179.0],[880.0],[544.0],[346.0],[382.0],[14.0],[179.0],[429.0],[740.0],[382.0],[167.0],[561.0],[471.0],[179.0],[544.0],[544.0]
9,[179.0],[544.0],[471.0],[387.0],[544.0],[598.0],[179.0],[221.0],[130.0],[460.0],[880.0],[471.0],[575.0],[544.0],[382.0],[544.0],[622.0],[319.0],[179.0],[646.0],[179.0],[74.0],[471.0],[614.0],[382.0],[733.0],[975.0],[575.0],[869.0],[544.0],[894.0],[179.0],[437.0],[113.0],[775.0],[382.0],[575.0],[861.0],[179.0],[880.0],[880.0],[179.0],[830.0],[575.0],[471.0],[282.0],[544.0],[544.0],[501.0],[991.0],[220.0],[638.0],[977.0],[179.0],[544.0],[74.0],[769.0],[179.0],[460.0],[708.0],[471.0],[179.0],[880.0],[323.0],[880.0],[471.0],[388.0],[179.0],[471.0],[179.0],[646.0],[442.0],[583.0],[179.0],[14.0],[179.0],[471.0],[323.0],[646.0],[471.0],[575.0],[880.0],[179.0],[630.0],[583.0],[471.0],[179.0],[49.0],[179.0],[179.0],[382.0],[179.0],[575.0],[614.0],[741.0],[880.0],[638.0],[646.0],[382.0],[614.0]
