Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[31.0],[756.0],[756.0],[756.0],[168.0],[168.0],[756.0],[756.0],[181.0],[168.0],[66.0],[56.0],[756.0],[755.0],[168.0],[756.0],[168.0],[56.0],[820.0],[122.0],[756.0],[756.0],[756.0],[756.0],[42.0],[756.0],[168.0],[42.0],[42.0],[792.0],[56.0],[529.0],[955.0],[756.0],[756.0],[828.0],[145.0],[756.0],[756.0],[168.0],[168.0],[756.0],[3.0],[792.0],[756.0],[42.0],[756.0],[168.0],[168.0],[756.0],[873.0],[755.0],[890.0],[168.0],[168.0],[756.0],[756.0],[168.0],[756.0],[171.0],[159.0],[168.0],[42.0],[168.0],[168.0],[168.0],[756.0],[820.0],[756.0],[756.0],[756.0],[756.0],[156.0],[503.0],[259.0],[756.0],[168.0],[171.0],[168.0],[820.0],[168.0],[56.0],[626.0],[756.0],[756.0],[56.0],[56.0],[756.0],[66.0],[168.0],[756.0],[56.0],[168.0],[168.0],[168.0],[145.0],[756.0],[756.0],[604.0],[756.0]
1,[148.0],[56.0],[42.0],[3.0],[174.0],[136.0],[168.0],[798.0],[56.0],[103.0],[814.0],[168.0],[170.0],[56.0],[75.0],[652.0],[784.0],[168.0],[181.0],[176.0],[820.0],[66.0],[181.0],[99.0],[756.0],[42.0],[820.0],[543.0],[834.0],[168.0],[168.0],[485.0],[810.0],[124.0],[820.0],[150.0],[697.0],[380.0],[168.0],[756.0],[145.0],[752.0],[145.0],[168.0],[56.0],[755.0],[171.0],[795.0],[164.0],[66.0],[627.0],[41.0],[953.0],[171.0],[173.0],[820.0],[168.0],[784.0],[56.0],[163.0],[652.0],[756.0],[755.0],[688.0],[122.0],[125.0],[115.0],[158.0],[165.0],[159.0],[171.0],[828.0],[363.0],[504.0],[255.0],[56.0],[890.0],[168.0],[56.0],[798.0],[180.0],[168.0],[756.0],[820.0],[41.0],[165.0],[168.0],[168.0],[168.0],[148.0],[565.0],[159.0],[795.0],[755.0],[131.0],[168.0],[755.0],[122.0],[122.0],[136.0]
2,[145.0],[798.0],[174.0],[380.0],[119.0],[41.0],[688.0],[168.0],[756.0],[126.0],[159.0],[174.0],[102.0],[41.0],[74.0],[154.0],[530.0],[755.0],[171.0],[99.0],[168.0],[668.0],[79.0],[176.0],[477.0],[171.0],[75.0],[718.0],[90.0],[108.0],[756.0],[79.0],[13.0],[117.0],[122.0],[616.0],[156.0],[145.0],[76.0],[382.0],[652.0],[525.0],[122.0],[145.0],[163.0],[798.0],[873.0],[756.0],[745.0],[168.0],[502.0],[136.0],[380.0],[755.0],[42.0],[516.0],[357.0],[613.0],[792.0],[820.0],[605.0],[24.0],[502.0],[8.0],[3.0],[148.0],[39.0],[168.0],[140.0],[140.0],[820.0],[144.0],[471.0],[402.0],[153.0],[41.0],[795.0],[798.0],[963.0],[171.0],[149.0],[756.0],[606.0],[56.0],[56.0],[168.0],[93.0],[820.0],[496.0],[113.0],[722.0],[136.0],[551.0],[167.0],[79.0],[756.0],[240.0],[145.0],[42.0],[131.0]
3,[66.0],[145.0],[181.0],[755.0],[593.0],[120.0],[609.0],[145.0],[159.0],[890.0],[99.0],[159.0],[176.0],[125.0],[756.0],[56.0],[753.0],[769.0],[99.0],[755.0],[627.0],[755.0],[56.0],[168.0],[401.0],[798.0],[136.0],[696.0],[769.0],[171.0],[764.0],[530.0],[600.0],[755.0],[31.0],[512.0],[506.0],[3.0],[180.0],[688.0],[677.0],[363.0],[99.0],[652.0],[125.0],[168.0],[14.0],[56.0],[31.0],[820.0],[228.0],[168.0],[828.0],[159.0],[154.0],[722.0],[486.0],[611.0],[181.0],[99.0],[543.0],[795.0],[616.0],[385.0],[159.0],[171.0],[71.0],[147.0],[553.0],[3.0],[102.0],[171.0],[81.0],[159.0],[605.0],[827.0],[953.0],[384.0],[568.0],[145.0],[79.0],[120.0],[150.0],[154.0],[379.0],[3.0],[85.0],[942.0],[620.0],[136.0],[652.0],[178.0],[66.0],[795.0],[165.0],[113.0],[685.0],[386.0],[159.0],[154.0]
4,[755.0],[171.0],[173.0],[798.0],[613.0],[143.0],[585.0],[167.0],[125.0],[166.0],[173.0],[136.0],[610.0],[181.0],[99.0],[797.0],[820.0],[85.0],[168.0],[159.0],[665.0],[697.0],[792.0],[181.0],[130.0],[820.0],[494.0],[820.0],[148.0],[99.0],[723.0],[124.0],[240.0],[135.0],[792.0],[155.0],[756.0],[754.0],[795.0],[697.0],[122.0],[751.0],[181.0],[171.0],[148.0],[502.0],[700.0],[159.0],[573.0],[754.0],[553.0],[144.0],[827.0],[180.0],[97.0],[99.0],[162.0],[880.0],[168.0],[181.0],[176.0],[42.0],[385.0],[78.0],[176.0],[145.0],[752.0],[139.0],[17.0],[176.0],[795.0],[514.0],[756.0],[499.0],[173.0],[820.0],[144.0],[3.0],[642.0],[20.0],[99.0],[113.0],[854.0],[136.0],[755.0],[159.0],[112.0],[465.0],[827.0],[163.0],[871.0],[154.0],[173.0],[141.0],[136.0],[33.0],[797.0],[846.0],[136.0],[165.0]
5,[792.0],[688.0],[170.0],[714.0],[665.0],[523.0],[143.0],[169.0],[76.0],[99.0],[166.0],[135.0],[159.0],[820.0],[165.0],[795.0],[82.0],[79.0],[144.0],[171.0],[593.0],[551.0],[820.0],[145.0],[77.0],[181.0],[143.0],[756.0],[3.0],[122.0],[542.0],[150.0],[144.0],[71.0],[84.0],[502.0],[751.0],[113.0],[785.0],[383.0],[797.0],[368.0],[797.0],[714.0],[131.0],[820.0],[545.0],[165.0],[610.0],[227.0],[162.0],[143.0],[181.0],[90.0],[79.0],[165.0],[94.0],[966.0],[42.0],[756.0],[148.0],[167.0],[573.0],[697.0],[136.0],[122.0],[47.0],[971.0],[143.0],[755.0],[0.0],[616.0],[753.0],[17.0],[626.0],[755.0],[117.0],[1019.0],[551.0],[792.0],[122.0],[150.0],[425.0],[162.0],[380.0],[142.0],[115.0],[522.0],[500.0],[90.0],[689.0],[143.0],[145.0],[173.0],[178.0],[42.0],[798.0],[539.0],[113.0],[113.0]
6,[6.0],[181.0],[908.0],[617.0],[591.0],[30.0],[384.0],[418.0],[168.0],[119.0],[142.0],[121.0],[165.0],[167.0],[176.0],[798.0],[12.0],[798.0],[121.0],[756.0],[708.0],[543.0],[890.0],[187.0],[110.0],[168.0],[744.0],[695.0],[159.0],[164.0],[648.0],[174.0],[820.0],[524.0],[145.0],[156.0],[148.0],[1.0],[214.0],[652.0],[154.0],[116.0],[148.0],[716.0],[864.0],[145.0],[168.0],[145.0],[742.0],[180.0],[179.0],[166.0],[755.0],[122.0],[820.0],[164.0],[166.0],[651.0],[159.0],[859.0],[76.0],[143.0],[26.0],[82.0],[991.0],[99.0],[20.0],[163.0],[170.0],[583.0],[254.0],[158.0],[170.0],[701.0],[998.0],[828.0],[171.0],[966.0],[744.0],[496.0],[249.0],[828.0],[314.0],[142.0],[502.0],[173.0],[834.0],[662.0],[769.0],[180.0],[862.0],[42.0],[165.0],[171.0],[798.0],[41.0],[3.0],[461.0],[380.0],[820.0]
7,[820.0],[122.0],[6.0],[22.0],[604.0],[392.0],[102.0],[806.0],[145.0],[798.0],[140.0],[481.0],[41.0],[102.0],[122.0],[820.0],[78.0],[76.0],[502.0],[76.0],[718.0],[708.0],[966.0],[631.0],[363.0],[125.0],[633.0],[665.0],[136.0],[35.0],[546.0],[144.0],[168.0],[121.0],[158.0],[96.0],[181.0],[168.0],[163.0],[404.0],[159.0],[381.0],[110.0],[688.0],[812.0],[171.0],[148.0],[673.0],[401.0],[167.0],[56.0],[180.0],[756.0],[76.0],[136.0],[616.0],[750.0],[672.0],[136.0],[545.0],[181.0],[165.0],[505.0],[0.0],[756.0],[503.0],[117.0],[160.0],[808.0],[98.0],[145.0],[181.0],[479.0],[380.0],[703.0],[380.0],[122.0],[677.0],[633.0],[131.0],[53.0],[463.0],[404.0],[153.0],[4.0],[174.0],[473.0],[829.0],[828.0],[35.0],[546.0],[176.0],[117.0],[99.0],[120.0],[755.0],[820.0],[384.0],[228.0],[148.0]
8,[122.0],[99.0],[113.0],[820.0],[708.0],[554.0],[167.0],[419.0],[820.0],[873.0],[183.0],[145.0],[166.0],[158.0],[174.0],[99.0],[490.0],[145.0],[169.0],[145.0],[780.0],[716.0],[77.0],[759.0],[474.0],[76.0],[653.0],[613.0],[113.0],[491.0],[782.0],[487.0],[20.0],[104.0],[166.0],[101.0],[820.0],[697.0],[631.0],[750.0],[171.0],[873.0],[492.0],[695.0],[820.0],[181.0],[808.0],[810.0],[383.0],[672.0],[150.0],[102.0],[151.0],[827.0],[113.0],[56.0],[154.0],[736.0],[143.0],[953.0],[145.0],[146.0],[147.0],[493.0],[820.0],[740.0],[110.0],[380.0],[575.0],[616.0],[48.0],[153.0],[87.0],[2.0],[661.0],[165.0],[682.0],[820.0],[623.0],[31.0],[648.0],[873.0],[754.0],[605.0],[553.0],[119.0],[971.0],[201.0],[485.0],[56.0],[890.0],[165.0],[46.0],[756.0],[113.0],[79.0],[191.0],[933.0],[171.0],[176.0]
9,[69.0],[132.0],[167.0],[612.0],[748.0],[929.0],[180.0],[841.0],[2.0],[503.0],[170.0],[89.0],[606.0],[148.0],[158.0],[108.0],[151.0],[122.0],[140.0],[627.0],[598.0],[820.0],[120.0],[779.0],[135.0],[890.0],[767.0],[629.0],[176.0],[73.0],[635.0],[501.0],[965.0],[688.0],[102.0],[102.0],[534.0],[405.0],[695.0],[174.0],[102.0],[112.0],[795.0],[697.0],[377.0],[122.0],[574.0],[517.0],[997.0],[171.0],[151.0],[506.0],[74.0],[795.0],[176.0],[162.0],[176.0],[824.0],[688.0],[792.0],[359.0],[688.0],[495.0],[89.0],[165.0],[820.0],[138.0],[827.0],[159.0],[396.0],[19.0],[130.0],[514.0],[33.0],[756.0],[507.0],[744.0],[981.0],[533.0],[34.0],[875.0],[348.0],[1002.0],[754.0],[792.0],[144.0],[474.0],[1027.0],[819.0],[171.0],[779.0],[172.0],[798.0],[122.0],[24.0],[176.0],[544.0],[510.0],[630.0],[168.0]
