Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[182],[72],[59],[568],[1020],[158],[190],[851],[664],[442],[902],[804],[329],[171],[756],[616],[415],[564],[590],[966],[226],[579],[155],[889],[141],[489],[949],[862],[374],[582],[773],[779],[737],[607],[965],[169],[815],[627],[987],[793],[758],[28],[531],[391],[596],[931],[858],[526],[650],[216],[392],[794],[425],[709],[182],[197],[803],[383],[931],[18],[425],[1015],[656],[1026],[900],[457],[761],[649],[374],[858],[729],[46],[82],[586],[487],[618],[389],[1012],[92],[246],[521],[946],[903],[959],[99],[210],[852],[963],[471],[604],[741],[966],[664],[465],[430],[875],[335],[669],[461],[760]
1,[317],[277],[739],[458],[298],[369],[828],[975],[146],[872],[469],[1017],[296],[131],[639],[587],[113],[92],[114],[455],[424],[48],[957],[940],[98],[740],[1011],[333],[186],[355],[921],[385],[726],[844],[145],[96],[794],[815],[442],[703],[602],[232],[185],[833],[585],[708],[213],[502],[140],[28],[409],[552],[988],[420],[617],[364],[877],[711],[959],[408],[854],[431],[665],[385],[504],[264],[1007],[1008],[1006],[106],[761],[500],[601],[626],[1026],[291],[869],[190],[53],[446],[138],[430],[700],[916],[371],[151],[522],[1000],[686],[960],[139],[726],[214],[541],[118],[99],[860],[740],[348],[310]
2,[442],[292],[12],[589],[377],[417],[379],[831],[287],[93],[620],[322],[688],[648],[811],[479],[514],[497],[716],[721],[627],[620],[612],[254],[307],[889],[99],[278],[468],[482],[367],[169],[587],[320],[178],[957],[802],[935],[998],[759],[169],[50],[542],[738],[955],[344],[378],[420],[53],[365],[535],[12],[928],[888],[287],[115],[434],[855],[160],[8],[310],[716],[458],[324],[991],[694],[1011],[447],[728],[466],[233],[240],[598],[499],[898],[263],[742],[443],[147],[89],[450],[906],[26],[941],[80],[711],[260],[785],[972],[421],[614],[877],[121],[1],[66],[350],[126],[156],[283],[142]
3,[378],[520],[729],[870],[809],[240],[53],[740],[396],[406],[347],[994],[905],[288],[657],[188],[846],[211],[901],[75],[622],[743],[797],[482],[178],[933],[167],[686],[674],[545],[433],[523],[598],[85],[394],[501],[733],[1010],[985],[279],[537],[517],[665],[57],[516],[209],[595],[797],[716],[155],[936],[250],[368],[1003],[13],[723],[891],[793],[527],[928],[812],[565],[669],[680],[111],[463],[573],[48],[684],[31],[107],[807],[464],[996],[104],[94],[979],[907],[410],[557],[735],[994],[638],[458],[806],[369],[164],[279],[84],[311],[282],[858],[672],[537],[384],[269],[430],[469],[782],[659]
4,[157],[445],[58],[977],[297],[959],[766],[506],[414],[933],[327],[645],[74],[418],[114],[16],[574],[1015],[277],[332],[43],[13],[456],[293],[719],[295],[307],[786],[721],[110],[722],[521],[325],[758],[122],[889],[169],[766],[543],[713],[842],[395],[983],[378],[686],[295],[554],[528],[121],[353],[991],[131],[1029],[827],[507],[24],[315],[757],[1000],[178],[687],[37],[1005],[81],[152],[977],[518],[780],[146],[782],[562],[832],[906],[280],[777],[311],[171],[272],[786],[93],[889],[144],[474],[486],[861],[315],[70],[256],[506],[51],[342],[56],[240],[1029],[545],[186],[153],[1004],[886],[787]
5,[924],[486],[633],[472],[504],[215],[416],[706],[644],[1016],[343],[736],[187],[778],[707],[665],[433],[240],[308],[682],[490],[957],[152],[370],[465],[658],[401],[846],[25],[514],[1028],[766],[975],[957],[632],[679],[725],[810],[587],[752],[427],[872],[753],[188],[246],[808],[61],[558],[326],[621],[467],[74],[830],[24],[523],[651],[916],[665],[950],[537],[411],[818],[384],[331],[777],[830],[836],[928],[646],[334],[762],[886],[761],[693],[69],[460],[372],[948],[804],[97],[427],[488],[333],[850],[307],[184],[709],[485],[705],[467],[197],[630],[1007],[97],[865],[989],[988],[1000],[316],[1002]
6,[162],[956],[783],[32],[359],[321],[335],[668],[675],[733],[333],[696],[457],[227],[753],[540],[678],[355],[962],[962],[759],[750],[1],[963],[785],[984],[603],[608],[214],[602],[329],[395],[945],[30],[260],[887],[9],[389],[532],[971],[624],[100],[1001],[474],[900],[706],[710],[887],[469],[312],[709],[317],[692],[352],[433],[872],[671],[629],[322],[490],[481],[263],[288],[122],[949],[260],[733],[970],[904],[111],[564],[725],[561],[67],[560],[808],[518],[547],[131],[636],[823],[959],[1006],[777],[416],[433],[628],[503],[293],[753],[952],[76],[993],[143],[145],[57],[349],[508],[271],[275]
7,[230],[349],[541],[808],[1001],[535],[119],[207],[271],[678],[461],[958],[446],[353],[211],[994],[898],[706],[1017],[673],[949],[320],[468],[867],[822],[460],[869],[654],[110],[949],[955],[627],[248],[713],[656],[582],[627],[834],[888],[376],[933],[213],[96],[170],[216],[762],[711],[97],[565],[805],[243],[867],[6],[426],[323],[190],[180],[850],[396],[622],[544],[299],[372],[184],[459],[738],[100],[954],[314],[332],[925],[532],[37],[605],[584],[138],[156],[618],[407],[748],[394],[999],[421],[927],[1027],[163],[589],[266],[916],[43],[666],[546],[278],[431],[521],[162],[779],[1018],[170],[285]
8,[947],[750],[697],[702],[457],[460],[552],[786],[627],[679],[120],[562],[727],[9],[743],[661],[107],[262],[896],[77],[558],[624],[980],[538],[472],[475],[140],[430],[900],[478],[434],[889],[447],[265],[224],[484],[745],[720],[661],[270],[58],[985],[895],[339],[907],[235],[1018],[458],[908],[336],[328],[446],[983],[841],[623],[426],[761],[265],[644],[838],[116],[851],[11],[61],[37],[768],[977],[1025],[416],[662],[569],[980],[239],[862],[1007],[936],[641],[740],[991],[441],[871],[50],[95],[399],[31],[781],[655],[76],[283],[218],[63],[991],[574],[234],[524],[411],[314],[194],[433],[26]
9,[955],[54],[534],[152],[141],[699],[174],[776],[574],[813],[534],[384],[743],[827],[876],[66],[22],[749],[883],[421],[363],[540],[469],[766],[735],[113],[751],[727],[917],[46],[727],[26],[111],[135],[248],[479],[411],[32],[486],[399],[1026],[539],[368],[949],[985],[149],[407],[257],[633],[283],[143],[797],[698],[573],[114],[616],[643],[555],[836],[32],[846],[827],[560],[738],[118],[394],[537],[353],[763],[772],[456],[521],[632],[917],[6],[592],[306],[926],[192],[796],[20],[975],[778],[1029],[691],[593],[913],[837],[830],[903],[936],[347],[629],[463],[473],[932],[141],[722],[637],[435]
10,[371],[544],[482],[567],[998],[1018],[269],[41],[643],[812],[502],[162],[467],[458],[333],[381],[918],[846],[879],[103],[744],[574],[131],[337],[926],[40],[309],[620],[164],[349],[607],[146],[361],[730],[957],[471],[612],[914],[980],[434],[803],[862],[48],[93],[321],[133],[456],[976],[938],[384],[650],[807],[821],[361],[240],[711],[352],[579],[762],[835],[404],[234],[622],[106],[13],[985],[841],[821],[93],[728],[583],[880],[773],[808],[634],[419],[836],[554],[759],[254],[863],[734],[89],[963],[129],[946],[176],[338],[842],[441],[102],[547],[782],[87],[191],[931],[919],[136],[605],[519]
11,[969],[14],[923],[309],[358],[374],[147],[163],[954],[470],[408],[760],[495],[109],[105],[646],[529],[712],[644],[97],[888],[55],[424],[381],[257],[428],[352],[934],[999],[195],[781],[819],[323],[622],[371],[709],[419],[846],[865],[647],[287],[563],[297],[747],[666],[183],[851],[894],[550],[769],[739],[564],[304],[526],[510],[57],[708],[769],[854],[176],[431],[866],[211],[182],[988],[669],[847],[714],[148],[539],[374],[5],[986],[767],[606],[784],[662],[915],[875],[323],[651],[811],[792],[212],[311],[995],[202],[928],[434],[669],[340],[674],[845],[290],[831],[1027],[193],[999],[577],[739]
12,[812],[153],[898],[951],[303],[846],[534],[838],[568],[326],[508],[651],[219],[1017],[417],[427],[885],[506],[910],[621],[800],[592],[956],[744],[80],[274],[673],[617],[142],[861],[609],[512],[331],[686],[556],[124],[622],[873],[749],[96],[960],[669],[655],[878],[301],[910],[923],[398],[488],[207],[939],[543],[96],[496],[133],[928],[768],[346],[1029],[854],[985],[955],[70],[546],[867],[529],[253],[892],[189],[815],[430],[877],[16],[891],[409],[281],[506],[711],[421],[936],[1007],[725],[497],[282],[164],[20],[983],[262],[529],[289],[693],[52],[212],[747],[914],[766],[855],[793],[745],[113]
13,[494],[640],[630],[17],[230],[43],[761],[220],[216],[794],[442],[599],[516],[459],[221],[1017],[506],[737],[720],[189],[922],[80],[586],[256],[258],[31],[278],[910],[149],[440],[675],[18],[705],[899],[668],[556],[65],[968],[943],[135],[188],[417],[501],[309],[116],[121],[438],[24],[756],[311],[790],[775],[681],[119],[1027],[704],[402],[592],[603],[177],[926],[634],[455],[108],[1010],[53],[637],[172],[254],[215],[400],[935],[446],[270],[40],[989],[2],[712],[1013],[587],[890],[712],[746],[365],[564],[963],[498],[28],[871],[999],[464],[480],[304],[782],[163],[626],[834],[1009],[971],[264]
14,[505],[250],[191],[835],[219],[20],[929],[904],[692],[542],[839],[912],[514],[963],[971],[617],[439],[138],[75],[670],[89],[698],[569],[261],[148],[29],[801],[368],[13],[62],[980],[346],[383],[991],[875],[567],[451],[88],[260],[922],[703],[435],[119],[165],[974],[214],[994],[716],[273],[416],[697],[200],[306],[5],[615],[130],[196],[506],[53],[445],[369],[112],[877],[890],[206],[932],[441],[931],[313],[595],[294],[179],[237],[2],[404],[130],[15],[778],[275],[457],[694],[295],[997],[668],[448],[802],[771],[802],[387],[65],[978],[158],[339],[302],[571],[358],[794],[876],[949],[232]
15,[322],[797],[36],[185],[694],[125],[273],[774],[124],[285],[910],[638],[653],[851],[831],[393],[695],[438],[870],[148],[303],[355],[719],[246],[223],[649],[839],[19],[854],[735],[309],[340],[377],[5],[345],[403],[944],[71],[433],[480],[267],[869],[879],[418],[1015],[626],[24],[623],[335],[500],[427],[1012],[555],[654],[894],[934],[590],[695],[996],[189],[767],[789],[137],[379],[76],[1002],[10],[482],[596],[500],[433],[664],[1017],[959],[234],[175],[153],[255],[594],[809],[294],[663],[501],[740],[731],[474],[193],[820],[820],[734],[960],[569],[82],[111],[43],[730],[279],[23],[611],[25]
16,[489],[728],[895],[116],[635],[372],[283],[747],[767],[747],[228],[196],[563],[667],[275],[666],[460],[669],[85],[416],[346],[1027],[178],[372],[474],[483],[434],[288],[209],[222],[2],[669],[382],[975],[447],[874],[923],[998],[703],[291],[621],[795],[603],[74],[979],[367],[959],[47],[199],[570],[771],[820],[13],[304],[132],[449],[899],[24],[12],[286],[61],[257],[812],[350],[664],[896],[535],[324],[188],[875],[543],[386],[403],[195],[322],[412],[308],[913],[986],[117],[725],[72],[729],[397],[584],[613],[461],[689],[774],[340],[8],[256],[38],[386],[446],[708],[312],[457],[852],[757]
17,[573],[808],[390],[683],[53],[402],[852],[671],[803],[185],[81],[43],[881],[160],[212],[892],[769],[432],[691],[806],[955],[116],[839],[47],[946],[461],[568],[861],[859],[212],[29],[94],[148],[324],[376],[494],[723],[318],[1008],[736],[205],[905],[339],[759],[1002],[205],[990],[560],[112],[1003],[431],[631],[960],[590],[851],[230],[776],[928],[148],[740],[745],[847],[87],[877],[251],[528],[73],[470],[4],[997],[629],[172],[541],[595],[144],[599],[358],[175],[81],[672],[321],[19],[559],[163],[294],[405],[508],[174],[910],[219],[945],[83],[572],[233],[738],[142],[768],[892],[288],[282]
18,[802],[177],[306],[657],[565],[856],[91],[228],[860],[717],[850],[892],[781],[1028],[148],[340],[309],[912],[146],[631],[877],[244],[455],[234],[883],[897],[846],[562],[5],[79],[218],[956],[925],[342],[347],[868],[756],[364],[627],[765],[918],[721],[873],[243],[973],[351],[342],[71],[382],[541],[10],[796],[1024],[156],[929],[196],[634],[1007],[659],[12],[140],[279],[565],[478],[86],[804],[466],[621],[667],[835],[861],[132],[791],[676],[602],[681],[931],[80],[763],[715],[637],[919],[462],[108],[69],[852],[374],[352],[892],[755],[454],[1023],[642],[815],[1],[732],[115],[893],[344],[273]
19,[966],[56],[81],[424],[119],[270],[1012],[175],[697],[387],[959],[130],[585],[177],[315],[154],[503],[422],[686],[445],[397],[733],[872],[868],[416],[266],[50],[63],[312],[742],[666],[947],[582],[679],[174],[825],[743],[253],[515],[265],[266],[579],[256],[179],[994],[437],[610],[218],[98],[727],[614],[101],[795],[640],[813],[414],[954],[607],[654],[141],[106],[579],[206],[1022],[448],[919],[18],[1011],[805],[971],[507],[16],[420],[378],[378],[531],[950],[353],[320],[77],[748],[594],[190],[339],[552],[342],[643],[508],[33],[588],[385],[906],[5],[382],[659],[570],[384],[867],[663],[926]
20,[500],[1026],[1007],[105],[182],[255],[217],[363],[805],[515],[618],[367],[538],[654],[884],[420],[149],[803],[55],[705],[762],[903],[328],[301],[356],[132],[864],[313],[14],[574],[123],[400],[798],[943],[45],[283],[111],[665],[89],[869],[340],[300],[897],[357],[577],[769],[414],[756],[574],[1014],[214],[417],[512],[895],[914],[1019],[536],[71],[31],[914],[902],[307],[486],[768],[660],[665],[304],[328],[644],[280],[149],[742],[51],[481],[206],[1019],[259],[74],[620],[369],[603],[611],[955],[11],[32],[484],[636],[657],[728],[360],[840],[444],[281],[524],[679],[912],[346],[747],[769],[432]
