Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[756.0],[42.0],[756.0],[756.0],[798.0],[168.0],[756.0],[756.0],[56.0],[168.0],[66.0],[56.0],[66.0],[30.0],[756.0],[56.0],[168.0],[41.0],[820.0],[42.0],[756.0],[42.0],[756.0],[3.0],[756.0],[31.0],[820.0],[56.0],[42.0],[756.0],[56.0],[792.0],[792.0],[756.0],[756.0],[756.0],[145.0],[42.0],[756.0],[168.0],[756.0],[756.0],[820.0],[56.0],[56.0],[756.0],[756.0],[756.0],[756.0],[56.0],[873.0],[755.0],[756.0],[756.0],[756.0],[798.0],[168.0],[50.0],[756.0],[66.0],[756.0],[756.0],[42.0],[176.0],[3.0],[39.0],[66.0],[56.0],[756.0],[756.0],[756.0],[756.0],[24.0],[610.0],[756.0],[756.0],[42.0],[756.0],[56.0],[820.0],[820.0],[56.0],[74.0],[756.0],[756.0],[66.0],[56.0],[756.0],[66.0],[42.0],[792.0],[610.0],[755.0],[756.0],[66.0],[756.0],[755.0],[42.0],[756.0],[42.0]
1,[66.0],[610.0],[42.0],[610.0],[39.0],[820.0],[616.0],[503.0],[756.0],[128.0],[814.0],[756.0],[143.0],[125.0],[610.0],[620.0],[3.0],[756.0],[42.0],[756.0],[610.0],[756.0],[181.0],[756.0],[66.0],[56.0],[168.0],[34.0],[56.0],[34.0],[756.0],[794.0],[820.0],[124.0],[42.0],[42.0],[697.0],[168.0],[42.0],[56.0],[168.0],[42.0],[6.0],[66.0],[66.0],[42.0],[35.0],[168.0],[620.0],[66.0],[756.0],[168.0],[890.0],[122.0],[66.0],[66.0],[756.0],[66.0],[56.0],[56.0],[42.0],[814.0],[610.0],[63.0],[56.0],[176.0],[23.0],[66.0],[42.0],[794.0],[17.0],[622.0],[820.0],[769.0],[42.0],[56.0],[168.0],[3.0],[820.0],[34.0],[35.0],[42.0],[66.0],[42.0],[41.0],[56.0],[168.0],[616.0],[56.0],[168.0],[652.0],[42.0],[168.0],[168.0],[756.0],[3.0],[610.0],[176.0],[35.0],[756.0]
2,[148.0],[12.0],[610.0],[754.0],[754.0],[66.0],[168.0],[168.0],[145.0],[792.0],[42.0],[66.0],[42.0],[148.0],[171.0],[798.0],[66.0],[66.0],[35.0],[120.0],[815.0],[862.0],[604.0],[609.0],[42.0],[756.0],[42.0],[792.0],[142.0],[66.0],[168.0],[176.0],[168.0],[66.0],[66.0],[33.0],[156.0],[380.0],[66.0],[817.0],[19.0],[797.0],[19.0],[168.0],[41.0],[798.0],[56.0],[792.0],[166.0],[756.0],[627.0],[66.0],[953.0],[610.0],[166.0],[176.0],[357.0],[797.0],[610.0],[756.0],[609.0],[168.0],[66.0],[23.0],[168.0],[168.0],[42.0],[19.0],[797.0],[752.0],[769.0],[754.0],[66.0],[756.0],[38.0],[41.0],[798.0],[755.0],[154.0],[798.0],[19.0],[66.0],[39.0],[610.0],[56.0],[143.0],[31.0],[797.0],[6.0],[756.0],[23.0],[499.0],[176.0],[24.0],[176.0],[120.0],[176.0],[609.0],[56.0],[56.0]
3,[652.0],[176.0],[819.0],[798.0],[76.0],[19.0],[752.0],[798.0],[820.0],[56.0],[756.0],[168.0],[828.0],[181.0],[97.0],[820.0],[19.0],[171.0],[176.0],[19.0],[66.0],[652.0],[69.0],[798.0],[56.0],[798.0],[56.0],[820.0],[756.0],[792.0],[40.0],[38.0],[63.0],[41.0],[171.0],[166.0],[24.0],[756.0],[798.0],[66.0],[85.0],[41.0],[176.0],[792.0],[63.0],[610.0],[873.0],[755.0],[42.0],[38.0],[38.0],[56.0],[33.0],[66.0],[168.0],[42.0],[60.0],[168.0],[19.0],[176.0],[795.0],[792.0],[33.0],[380.0],[756.0],[796.0],[51.0],[769.0],[792.0],[19.0],[145.0],[56.0],[755.0],[56.0],[48.0],[610.0],[890.0],[56.0],[66.0],[610.0],[754.0],[798.0],[29.0],[66.0],[769.0],[756.0],[66.0],[792.0],[820.0],[12.0],[756.0],[33.0],[66.0],[814.0],[171.0],[795.0],[66.0],[56.0],[176.0],[795.0]
4,[163.0],[39.0],[176.0],[228.0],[748.0],[56.0],[6.0],[610.0],[99.0],[756.0],[792.0],[797.0],[391.0],[756.0],[89.0],[3.0],[753.0],[168.0],[827.0],[820.0],[9.0],[610.0],[792.0],[143.0],[751.0],[792.0],[66.0],[176.0],[610.0],[19.0],[739.0],[39.0],[85.0],[56.0],[609.0],[797.0],[756.0],[102.0],[19.0],[792.0],[51.0],[39.0],[171.0],[176.0],[165.0],[66.0],[19.0],[120.0],[56.0],[34.0],[797.0],[79.0],[176.0],[798.0],[797.0],[56.0],[610.0],[49.0],[754.0],[34.0],[9.0],[796.0],[609.0],[168.0],[820.0],[23.0],[69.0],[797.0],[176.0],[504.0],[6.0],[66.0],[135.0],[795.0],[391.0],[168.0],[756.0],[51.0],[51.0],[56.0],[6.0],[168.0],[873.0],[56.0],[792.0],[820.0],[756.0],[74.0],[42.0],[653.0],[609.0],[145.0],[23.0],[798.0],[9.0],[619.0],[51.0],[827.0],[23.0],[66.0]
5,[797.0],[792.0],[181.0],[51.0],[89.0],[74.0],[41.0],[814.0],[358.0],[798.0],[159.0],[42.0],[604.0],[23.0],[66.0],[51.0],[792.0],[63.0],[19.0],[56.0],[609.0],[754.0],[149.0],[35.0],[26.0],[181.0],[792.0],[797.0],[34.0],[798.0],[981.0],[819.0],[176.0],[108.0],[56.0],[176.0],[792.0],[41.0],[746.0],[820.0],[792.0],[81.0],[932.0],[145.0],[23.0],[755.0],[168.0],[63.0],[168.0],[168.0],[42.0],[819.0],[873.0],[143.0],[176.0],[391.0],[176.0],[932.0],[42.0],[380.0],[51.0],[56.0],[620.0],[762.0],[6.0],[102.0],[827.0],[792.0],[166.0],[42.0],[66.0],[69.0],[991.0],[85.0],[797.0],[797.0],[74.0],[622.0],[23.0],[769.0],[37.0],[756.0],[34.0],[39.0],[797.0],[148.0],[19.0],[56.0],[792.0],[66.0],[56.0],[56.0],[38.0],[120.0],[932.0],[39.0],[989.0],[61.0],[819.0],[43.0]
6,[627.0],[41.0],[820.0],[918.0],[752.0],[171.0],[56.0],[820.0],[63.0],[51.0],[99.0],[753.0],[799.0],[19.0],[176.0],[609.0],[501.0],[19.0],[66.0],[391.0],[19.0],[41.0],[44.0],[176.0],[166.0],[168.0],[39.0],[51.0],[820.0],[609.0],[634.0],[405.0],[684.0],[173.0],[795.0],[52.0],[51.0],[3.0],[815.0],[34.0],[56.0],[38.0],[90.0],[23.0],[79.0],[39.0],[798.0],[41.0],[61.0],[42.0],[51.0],[506.0],[63.0],[755.0],[39.0],[756.0],[750.0],[120.0],[39.0],[610.0],[56.0],[102.0],[3.0],[15.0],[41.0],[820.0],[76.0],[500.0],[755.0],[39.0],[42.0],[797.0],[131.0],[228.0],[24.0],[827.0],[4.0],[796.0],[168.0],[499.0],[41.0],[25.0],[19.0],[176.0],[564.0],[6.0],[111.0],[798.0],[797.0],[3.0],[166.0],[798.0],[873.0],[172.0],[754.0],[148.0],[756.0],[66.0],[19.0],[166.0]
7,[3.0],[391.0],[122.0],[876.0],[756.0],[610.0],[75.0],[453.0],[19.0],[66.0],[798.0],[39.0],[56.0],[755.0],[162.0],[66.0],[818.0],[176.0],[228.0],[936.0],[85.0],[792.0],[168.0],[66.0],[622.0],[754.0],[755.0],[66.0],[3.0],[176.0],[659.0],[67.0],[6.0],[120.0],[51.0],[23.0],[18.0],[56.0],[754.0],[620.0],[37.0],[380.0],[166.0],[52.0],[176.0],[754.0],[918.0],[56.0],[795.0],[791.0],[168.0],[176.0],[56.0],[820.0],[753.0],[51.0],[38.0],[791.0],[798.0],[653.0],[66.0],[176.0],[756.0],[991.0],[145.0],[44.0],[609.0],[798.0],[66.0],[797.0],[814.0],[168.0],[797.0],[799.0],[66.0],[755.0],[153.0],[820.0],[42.0],[796.0],[168.0],[39.0],[60.0],[932.0],[604.0],[145.0],[622.0],[622.0],[816.0],[125.0],[815.0],[66.0],[51.0],[176.0],[604.0],[66.0],[56.0],[74.0],[380.0],[176.0]
8,[828.0],[168.0],[162.0],[796.0],[176.0],[819.0],[85.0],[4.0],[171.0],[43.0],[820.0],[74.0],[51.0],[828.0],[177.0],[6.0],[166.0],[76.0],[145.0],[653.0],[797.0],[166.0],[227.0],[620.0],[70.0],[166.0],[796.0],[43.0],[39.0],[168.0],[588.0],[501.0],[1019.0],[908.0],[502.0],[384.0],[798.0],[620.0],[755.0],[755.0],[391.0],[56.0],[792.0],[391.0],[932.0],[176.0],[796.0],[163.0],[814.0],[769.0],[798.0],[42.0],[792.0],[620.0],[69.0],[166.0],[56.0],[63.0],[328.0],[584.0],[796.0],[820.0],[51.0],[506.0],[798.0],[26.0],[391.0],[39.0],[753.0],[873.0],[820.0],[799.0],[792.0],[23.0],[798.0],[820.0],[559.0],[168.0],[754.0],[145.0],[29.0],[815.0],[176.0],[797.0],[931.0],[792.0],[33.0],[79.0],[154.0],[52.0],[181.0],[122.0],[154.0],[136.0],[891.0],[553.0],[19.0],[23.0],[34.0],[120.0]
9,[41.0],[29.0],[828.0],[66.0],[23.0],[122.0],[505.0],[51.0],[459.0],[42.0],[136.0],[120.0],[180.0],[144.0],[23.0],[769.0],[755.0],[56.0],[798.0],[66.0],[932.0],[3.0],[56.0],[120.0],[51.0],[820.0],[500.0],[41.0],[176.0],[827.0],[782.0],[653.0],[795.0],[167.0],[122.0],[66.0],[163.0],[34.0],[792.0],[795.0],[41.0],[391.0],[41.0],[42.0],[166.0],[23.0],[74.0],[796.0],[68.0],[797.0],[66.0],[792.0],[797.0],[180.0],[25.0],[652.0],[622.0],[176.0],[828.0],[391.0],[506.0],[69.0],[56.0],[66.0],[609.0],[66.0],[13.0],[176.0],[798.0],[168.0],[792.0],[923.0],[43.0],[923.0],[414.0],[176.0],[117.0],[176.0],[391.0],[946.0],[51.0],[755.0],[41.0],[19.0],[48.0],[622.0],[794.0],[814.0],[38.0],[395.0],[64.0],[76.0],[56.0],[23.0],[797.0],[145.0],[35.0],[756.0],[762.0],[74.0]
