Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[42.0],[820.0],[56.0],[42.0],[42.0],[56.0],[56.0],[56.0],[756.0],[756.0],[792.0],[56.0],[56.0],[56.0],[66.0],[6.0],[756.0],[873.0],[42.0],[792.0],[56.0],[42.0],[66.0],[756.0],[756.0],[6.0],[756.0],[756.0],[168.0],[168.0],[56.0],[34.0],[3.0],[56.0],[168.0],[6.0],[622.0],[56.0],[42.0],[756.0],[814.0],[756.0],[792.0],[56.0],[756.0],[66.0],[168.0],[42.0],[56.0],[798.0],[168.0],[756.0],[168.0],[620.0],[56.0],[56.0],[56.0],[168.0],[756.0],[42.0],[31.0],[6.0],[56.0],[756.0],[820.0],[56.0],[56.0],[56.0],[756.0],[56.0],[756.0],[42.0],[604.0],[66.0],[56.0],[42.0],[42.0],[66.0],[56.0],[56.0],[756.0],[756.0],[56.0],[42.0],[756.0],[168.0],[56.0],[756.0],[168.0],[756.0],[168.0],[820.0],[56.0],[756.0],[42.0],[3.0],[42.0],[168.0],[56.0],[42.0]
1,[620.0],[56.0],[42.0],[56.0],[756.0],[41.0],[798.0],[42.0],[610.0],[814.0],[66.0],[756.0],[41.0],[168.0],[792.0],[820.0],[42.0],[42.0],[4.0],[820.0],[756.0],[168.0],[3.0],[769.0],[66.0],[798.0],[145.0],[610.0],[820.0],[24.0],[616.0],[41.0],[41.0],[756.0],[620.0],[56.0],[792.0],[168.0],[56.0],[610.0],[56.0],[4.0],[820.0],[622.0],[56.0],[792.0],[42.0],[814.0],[4.0],[756.0],[41.0],[503.0],[42.0],[616.0],[756.0],[610.0],[792.0],[4.0],[616.0],[756.0],[56.0],[56.0],[756.0],[622.0],[66.0],[798.0],[792.0],[42.0],[610.0],[820.0],[168.0],[66.0],[66.0],[756.0],[42.0],[756.0],[4.0],[34.0],[41.0],[798.0],[769.0],[66.0],[756.0],[792.0],[24.0],[66.0],[756.0],[769.0],[820.0],[42.0],[66.0],[42.0],[820.0],[42.0],[56.0],[798.0],[56.0],[56.0],[620.0],[756.0]
2,[769.0],[66.0],[66.0],[756.0],[56.0],[792.0],[97.0],[792.0],[56.0],[41.0],[798.0],[66.0],[168.0],[42.0],[34.0],[168.0],[66.0],[756.0],[66.0],[168.0],[604.0],[756.0],[56.0],[56.0],[3.0],[756.0],[798.0],[41.0],[42.0],[66.0],[66.0],[756.0],[56.0],[42.0],[34.0],[756.0],[798.0],[3.0],[756.0],[620.0],[820.0],[66.0],[168.0],[756.0],[66.0],[63.0],[798.0],[6.0],[42.0],[63.0],[820.0],[755.0],[66.0],[66.0],[42.0],[63.0],[610.0],[66.0],[3.0],[6.0],[756.0],[610.0],[41.0],[66.0],[166.0],[66.0],[42.0],[792.0],[604.0],[66.0],[66.0],[798.0],[798.0],[622.0],[798.0],[56.0],[798.0],[792.0],[168.0],[756.0],[56.0],[610.0],[66.0],[756.0],[6.0],[61.0],[31.0],[42.0],[66.0],[797.0],[792.0],[168.0],[795.0],[66.0],[756.0],[756.0],[820.0],[652.0],[798.0],[97.0]
3,[66.0],[143.0],[756.0],[4.0],[792.0],[756.0],[39.0],[798.0],[798.0],[820.0],[168.0],[41.0],[756.0],[66.0],[756.0],[63.0],[56.0],[798.0],[798.0],[56.0],[42.0],[56.0],[610.0],[798.0],[56.0],[755.0],[755.0],[814.0],[166.0],[820.0],[792.0],[820.0],[756.0],[820.0],[616.0],[820.0],[6.0],[798.0],[792.0],[616.0],[102.0],[168.0],[63.0],[792.0],[798.0],[502.0],[24.0],[66.0],[792.0],[792.0],[610.0],[792.0],[753.0],[43.0],[4.0],[66.0],[798.0],[792.0],[41.0],[799.0],[792.0],[820.0],[820.0],[56.0],[76.0],[120.0],[756.0],[41.0],[42.0],[143.0],[792.0],[756.0],[168.0],[168.0],[756.0],[820.0],[756.0],[820.0],[4.0],[168.0],[798.0],[792.0],[798.0],[820.0],[145.0],[756.0],[814.0],[795.0],[797.0],[798.0],[798.0],[56.0],[792.0],[168.0],[66.0],[56.0],[798.0],[145.0],[756.0],[616.0]
4,[756.0],[19.0],[3.0],[755.0],[820.0],[66.0],[143.0],[610.0],[35.0],[104.0],[63.0],[820.0],[42.0],[820.0],[817.0],[56.0],[171.0],[63.0],[25.0],[63.0],[792.0],[148.0],[63.0],[63.0],[820.0],[74.0],[610.0],[820.0],[19.0],[792.0],[798.0],[56.0],[63.0],[145.0],[26.0],[41.0],[85.0],[792.0],[798.0],[66.0],[145.0],[797.0],[85.0],[820.0],[755.0],[814.0],[19.0],[25.0],[798.0],[39.0],[63.0],[168.0],[792.0],[42.0],[795.0],[41.0],[820.0],[756.0],[56.0],[171.0],[798.0],[795.0],[74.0],[795.0],[506.0],[756.0],[168.0],[610.0],[56.0],[6.0],[56.0],[168.0],[756.0],[176.0],[814.0],[769.0],[620.0],[755.0],[792.0],[610.0],[63.0],[798.0],[890.0],[4.0],[56.0],[63.0],[792.0],[168.0],[102.0],[66.0],[756.0],[66.0],[63.0],[56.0],[820.0],[610.0],[143.0],[41.0],[755.0],[622.0]
5,[56.0],[35.0],[820.0],[820.0],[798.0],[820.0],[47.0],[143.0],[616.0],[510.0],[25.0],[798.0],[820.0],[3.0],[936.0],[795.0],[610.0],[604.0],[145.0],[51.0],[798.0],[66.0],[620.0],[97.0],[795.0],[79.0],[180.0],[754.0],[798.0],[120.0],[35.0],[814.0],[820.0],[792.0],[4.0],[798.0],[503.0],[756.0],[168.0],[798.0],[792.0],[795.0],[94.0],[63.0],[754.0],[755.0],[101.0],[619.0],[168.0],[755.0],[56.0],[798.0],[19.0],[6.0],[51.0],[79.0],[43.0],[798.0],[108.0],[74.0],[755.0],[814.0],[166.0],[168.0],[41.0],[755.0],[41.0],[25.0],[97.0],[792.0],[505.0],[85.0],[755.0],[56.0],[25.0],[755.0],[795.0],[795.0],[63.0],[755.0],[755.0],[42.0],[25.0],[56.0],[610.0],[792.0],[66.0],[66.0],[873.0],[795.0],[63.0],[792.0],[43.0],[143.0],[41.0],[66.0],[619.0],[756.0],[3.0],[66.0]
6,[792.0],[795.0],[797.0],[3.0],[23.0],[42.0],[756.0],[74.0],[622.0],[39.0],[97.0],[47.0],[143.0],[610.0],[2.0],[43.0],[503.0],[66.0],[33.0],[66.0],[63.0],[113.0],[76.0],[19.0],[176.0],[166.0],[167.0],[769.0],[380.0],[56.0],[51.0],[769.0],[798.0],[798.0],[102.0],[42.0],[828.0],[755.0],[817.0],[176.0],[749.0],[813.0],[41.0],[145.0],[168.0],[47.0],[163.0],[56.0],[610.0],[51.0],[166.0],[35.0],[501.0],[56.0],[41.0],[171.0],[609.0],[25.0],[754.0],[616.0],[176.0],[41.0],[143.0],[171.0],[795.0],[42.0],[798.0],[47.0],[66.0],[76.0],[820.0],[178.0],[85.0],[795.0],[168.0],[23.0],[163.0],[56.0],[154.0],[60.0],[97.0],[41.0],[60.0],[74.0],[66.0],[85.0],[798.0],[48.0],[148.0],[79.0],[120.0],[819.0],[41.0],[3.0],[795.0],[619.0],[616.0],[19.0],[63.0],[148.0]
7,[797.0],[792.0],[798.0],[163.0],[225.0],[755.0],[171.0],[748.0],[814.0],[127.0],[755.0],[166.0],[792.0],[25.0],[33.0],[41.0],[795.0],[754.0],[43.0],[795.0],[74.0],[39.0],[19.0],[755.0],[69.0],[125.0],[795.0],[795.0],[752.0],[798.0],[42.0],[798.0],[64.0],[751.0],[503.0],[51.0],[66.0],[33.0],[63.0],[754.0],[795.0],[746.0],[936.0],[41.0],[795.0],[64.0],[389.0],[65.0],[3.0],[163.0],[616.0],[78.0],[795.0],[395.0],[102.0],[117.0],[64.0],[63.0],[753.0],[66.0],[820.0],[23.0],[97.0],[749.0],[769.0],[61.0],[619.0],[620.0],[102.0],[41.0],[39.0],[890.0],[814.0],[797.0],[755.0],[66.0],[66.0],[153.0],[19.0],[620.0],[23.0],[753.0],[27.0],[97.0],[166.0],[43.0],[168.0],[38.0],[755.0],[143.0],[755.0],[60.0],[571.0],[792.0],[798.0],[769.0],[154.0],[63.0],[792.0],[39.0]
8,[820.0],[816.0],[29.0],[166.0],[827.0],[176.0],[122.0],[389.0],[43.0],[385.0],[43.0],[819.0],[798.0],[85.0],[827.0],[51.0],[99.0],[168.0],[796.0],[43.0],[609.0],[755.0],[503.0],[820.0],[819.0],[56.0],[66.0],[63.0],[610.0],[63.0],[755.0],[797.0],[610.0],[97.0],[99.0],[168.0],[63.0],[754.0],[66.0],[42.0],[720.0],[9.0],[795.0],[798.0],[42.0],[794.0],[124.0],[381.0],[25.0],[131.0],[506.0],[74.0],[818.0],[168.0],[610.0],[64.0],[51.0],[178.0],[798.0],[820.0],[171.0],[933.0],[792.0],[181.0],[792.0],[176.0],[63.0],[131.0],[166.0],[797.0],[33.0],[176.0],[42.0],[143.0],[754.0],[108.0],[799.0],[559.0],[389.0],[502.0],[795.0],[799.0],[64.0],[143.0],[797.0],[56.0],[19.0],[24.0],[795.0],[38.0],[56.0],[63.0],[559.0],[794.0],[797.0],[33.0],[3.0],[799.0],[166.0],[755.0]
9,[85.0],[796.0],[873.0],[51.0],[66.0],[27.0],[755.0],[3.0],[66.0],[225.0],[42.0],[799.0],[3.0],[755.0],[176.0],[48.0],[168.0],[51.0],[756.0],[41.0],[755.0],[19.0],[51.0],[168.0],[63.0],[827.0],[616.0],[56.0],[817.0],[143.0],[3.0],[19.0],[792.0],[3.0],[171.0],[176.0],[39.0],[620.0],[768.0],[827.0],[923.0],[56.0],[43.0],[755.0],[143.0],[32.0],[51.0],[756.0],[820.0],[796.0],[66.0],[120.0],[145.0],[102.0],[620.0],[51.0],[171.0],[81.0],[799.0],[79.0],[795.0],[818.0],[794.0],[753.0],[42.0],[820.0],[176.0],[168.0],[827.0],[769.0],[873.0],[908.0],[143.0],[862.0],[380.0],[171.0],[69.0],[180.0],[820.0],[163.0],[41.0],[820.0],[51.0],[798.0],[61.0],[27.0],[176.0],[1019.0],[750.0],[228.0],[61.0],[143.0],[819.0],[176.0],[9.0],[827.0],[6.0],[769.0],[176.0],[753.0]
10,[798.0],[42.0],[6.0],[124.0],[51.0],[23.0],[619.0],[120.0],[74.0],[387.0],[27.0],[616.0],[85.0],[795.0],[609.0],[90.0],[51.0],[827.0],[820.0],[85.0],[143.0],[873.0],[228.0],[143.0],[752.0],[42.0],[144.0],[19.0],[74.0],[85.0],[60.0],[755.0],[755.0],[755.0],[389.0],[3.0],[501.0],[820.0],[755.0],[148.0],[816.0],[818.0],[27.0],[20.0],[3.0],[818.0],[227.0],[720.0],[752.0],[29.0],[39.0],[4.0],[166.0],[40.0],[148.0],[6.0],[795.0],[120.0],[154.0],[166.0],[33.0],[64.0],[828.0],[828.0],[19.0],[64.0],[66.0],[60.0],[553.0],[60.0],[797.0],[827.0],[792.0],[814.0],[63.0],[792.0],[815.0],[130.0],[756.0],[792.0],[61.0],[752.0],[41.0],[3.0],[620.0],[58.0],[43.0],[56.0],[51.0],[813.0],[815.0],[39.0],[58.0],[768.0],[873.0],[42.0],[118.0],[798.0],[795.0],[819.0]
11,[166.0],[168.0],[610.0],[619.0],[3.0],[6.0],[126.0],[620.0],[19.0],[56.0],[39.0],[51.0],[47.0],[176.0],[926.0],[180.0],[64.0],[122.0],[35.0],[79.0],[15.0],[653.0],[74.0],[51.0],[796.0],[610.0],[162.0],[753.0],[64.0],[181.0],[769.0],[79.0],[609.0],[63.0],[84.0],[794.0],[506.0],[120.0],[583.0],[795.0],[39.0],[815.0],[64.0],[66.0],[746.0],[756.0],[795.0],[792.0],[63.0],[56.0],[796.0],[80.0],[39.0],[13.0],[609.0],[616.0],[3.0],[173.0],[814.0],[143.0],[615.0],[51.0],[932.0],[752.0],[751.0],[43.0],[20.0],[171.0],[113.0],[604.0],[166.0],[143.0],[56.0],[35.0],[39.0],[51.0],[3.0],[503.0],[176.0],[25.0],[168.0],[58.0],[504.0],[752.0],[63.0],[41.0],[820.0],[504.0],[42.0],[118.0],[751.0],[502.0],[751.0],[6.0],[815.0],[792.0],[176.0],[820.0],[19.0],[56.0]
12,[936.0],[3.0],[932.0],[34.0],[619.0],[762.0],[73.0],[97.0],[97.0],[131.0],[143.0],[42.0],[6.0],[827.0],[711.0],[144.0],[58.0],[820.0],[120.0],[76.0],[51.0],[796.0],[102.0],[819.0],[19.0],[792.0],[166.0],[609.0],[620.0],[159.0],[74.0],[74.0],[58.0],[43.0],[755.0],[819.0],[500.0],[41.0],[33.0],[746.0],[604.0],[817.0],[571.0],[58.0],[19.0],[799.0],[622.0],[226.0],[619.0],[794.0],[74.0],[827.0],[584.0],[862.0],[749.0],[820.0],[620.0],[706.0],[102.0],[120.0],[814.0],[380.0],[61.0],[379.0],[936.0],[159.0],[5.0],[61.0],[63.0],[74.0],[506.0],[3.0],[63.0],[792.0],[795.0],[932.0],[24.0],[553.0],[769.0],[74.0],[66.0],[51.0],[814.0],[228.0],[820.0],[64.0],[609.0],[35.0],[659.0],[97.0],[51.0],[79.0],[64.0],[393.0],[610.0],[76.0],[43.0],[120.0],[51.0],[908.0]
