Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[616.0],[56.0],[42.0],[756.0],[168.0],[168.0],[756.0],[756.0],[820.0],[168.0],[66.0],[56.0],[756.0],[56.0],[168.0],[756.0],[168.0],[56.0],[820.0],[42.0],[756.0],[792.0],[756.0],[756.0],[756.0],[31.0],[820.0],[56.0],[42.0],[42.0],[56.0],[622.0],[769.0],[756.0],[66.0],[756.0],[798.0],[756.0],[756.0],[168.0],[168.0],[756.0],[3.0],[792.0],[56.0],[42.0],[756.0],[168.0],[34.0],[792.0],[873.0],[755.0],[890.0],[756.0],[168.0],[756.0],[168.0],[168.0],[756.0],[3.0],[756.0],[814.0],[42.0],[168.0],[3.0],[168.0],[756.0],[56.0],[756.0],[756.0],[56.0],[756.0],[616.0],[24.0],[42.0],[756.0],[42.0],[24.0],[56.0],[56.0],[820.0],[56.0],[620.0],[756.0],[56.0],[56.0],[56.0],[756.0],[42.0],[168.0],[756.0],[42.0],[168.0],[168.0],[620.0],[41.0],[756.0],[756.0],[34.0],[756.0]
1,[798.0],[604.0],[756.0],[769.0],[56.0],[820.0],[168.0],[503.0],[171.0],[792.0],[604.0],[168.0],[620.0],[756.0],[4.0],[56.0],[3.0],[168.0],[56.0],[120.0],[168.0],[756.0],[814.0],[34.0],[42.0],[56.0],[168.0],[756.0],[755.0],[168.0],[756.0],[505.0],[797.0],[616.0],[756.0],[792.0],[755.0],[3.0],[3.0],[756.0],[56.0],[792.0],[795.0],[168.0],[6.0],[755.0],[792.0],[756.0],[820.0],[756.0],[792.0],[166.0],[820.0],[145.0],[42.0],[769.0],[756.0],[65.0],[56.0],[66.0],[798.0],[56.0],[814.0],[688.0],[168.0],[102.0],[616.0],[3.0],[604.0],[42.0],[756.0],[616.0],[66.0],[814.0],[820.0],[795.0],[798.0],[41.0],[168.0],[792.0],[168.0],[820.0],[120.0],[56.0],[6.0],[792.0],[168.0],[168.0],[620.0],[42.0],[792.0],[66.0],[795.0],[24.0],[756.0],[145.0],[42.0],[176.0],[820.0],[56.0]
2,[56.0],[6.0],[3.0],[56.0],[795.0],[42.0],[4.0],[755.0],[168.0],[820.0],[6.0],[6.0],[56.0],[6.0],[792.0],[797.0],[753.0],[143.0],[795.0],[756.0],[4.0],[24.0],[171.0],[56.0],[56.0],[756.0],[796.0],[31.0],[798.0],[56.0],[6.0],[4.0],[798.0],[2.0],[792.0],[56.0],[756.0],[168.0],[180.0],[41.0],[652.0],[604.0],[143.0],[17.0],[163.0],[798.0],[168.0],[42.0],[168.0],[30.0],[42.0],[56.0],[66.0],[755.0],[820.0],[42.0],[25.0],[66.0],[66.0],[819.0],[755.0],[820.0],[66.0],[66.0],[56.0],[503.0],[792.0],[769.0],[3.0],[168.0],[171.0],[66.0],[56.0],[798.0],[4.0],[34.0],[168.0],[384.0],[30.0],[756.0],[173.0],[168.0],[748.0],[6.0],[792.0],[756.0],[31.0],[24.0],[798.0],[125.0],[652.0],[41.0],[798.0],[66.0],[168.0],[126.0],[792.0],[25.0],[42.0],[795.0]
3,[756.0],[797.0],[120.0],[755.0],[42.0],[166.0],[792.0],[620.0],[3.0],[908.0],[756.0],[798.0],[754.0],[102.0],[147.0],[755.0],[4.0],[24.0],[181.0],[755.0],[792.0],[616.0],[755.0],[154.0],[616.0],[66.0],[506.0],[4.0],[85.0],[820.0],[9.0],[792.0],[168.0],[66.0],[42.0],[97.0],[616.0],[56.0],[42.0],[66.0],[76.0],[56.0],[798.0],[756.0],[834.0],[66.0],[56.0],[755.0],[610.0],[181.0],[795.0],[99.0],[56.0],[798.0],[120.0],[3.0],[66.0],[619.0],[6.0],[176.0],[34.0],[102.0],[12.0],[792.0],[798.0],[122.0],[796.0],[873.0],[792.0],[163.0],[755.0],[56.0],[798.0],[12.0],[792.0],[24.0],[756.0],[820.0],[820.0],[2.0],[158.0],[792.0],[226.0],[792.0],[48.0],[143.0],[620.0],[42.0],[66.0],[3.0],[56.0],[798.0],[531.0],[820.0],[42.0],[120.0],[798.0],[42.0],[6.0],[148.0]
4,[622.0],[168.0],[620.0],[380.0],[405.0],[19.0],[769.0],[622.0],[752.0],[74.0],[42.0],[755.0],[827.0],[122.0],[73.0],[176.0],[792.0],[42.0],[171.0],[908.0],[816.0],[66.0],[56.0],[609.0],[66.0],[755.0],[163.0],[798.0],[604.0],[35.0],[792.0],[503.0],[108.0],[56.0],[148.0],[79.0],[131.0],[102.0],[66.0],[792.0],[4.0],[81.0],[26.0],[755.0],[165.0],[24.0],[873.0],[56.0],[24.0],[622.0],[56.0],[798.0],[3.0],[180.0],[131.0],[820.0],[385.0],[94.0],[820.0],[798.0],[224.0],[145.0],[563.0],[501.0],[159.0],[2.0],[66.0],[505.0],[754.0],[56.0],[798.0],[795.0],[85.0],[33.0],[13.0],[41.0],[890.0],[755.0],[49.0],[795.0],[64.0],[66.0],[711.0],[125.0],[866.0],[99.0],[33.0],[622.0],[827.0],[136.0],[823.0],[181.0],[125.0],[792.0],[120.0],[107.0],[166.0],[168.0],[380.0],[120.0]
5,[99.0],[171.0],[797.0],[798.0],[792.0],[814.0],[3.0],[181.0],[501.0],[66.0],[792.0],[74.0],[166.0],[794.0],[79.0],[166.0],[571.0],[820.0],[173.0],[56.0],[814.0],[936.0],[505.0],[873.0],[145.0],[798.0],[42.0],[66.0],[6.0],[796.0],[53.0],[131.0],[755.0],[42.0],[795.0],[66.0],[171.0],[33.0],[168.0],[120.0],[820.0],[510.0],[80.0],[56.0],[79.0],[130.0],[74.0],[166.0],[817.0],[66.0],[890.0],[168.0],[873.0],[166.0],[616.0],[56.0],[500.0],[42.0],[181.0],[499.0],[168.0],[755.0],[168.0],[8.0],[176.0],[34.0],[42.0],[754.0],[797.0],[797.0],[30.0],[500.0],[503.0],[41.0],[40.0],[56.0],[131.0],[620.0],[683.0],[85.0],[41.0],[827.0],[828.0],[798.0],[29.0],[168.0],[66.0],[19.0],[41.0],[756.0],[5.0],[171.0],[873.0],[120.0],[66.0],[834.0],[988.0],[3.0],[228.0],[6.0]
6,[66.0],[225.0],[41.0],[2.0],[742.0],[753.0],[41.0],[99.0],[873.0],[125.0],[798.0],[754.0],[798.0],[171.0],[76.0],[769.0],[66.0],[131.0],[166.0],[391.0],[12.0],[754.0],[168.0],[42.0],[799.0],[616.0],[66.0],[543.0],[79.0],[4.0],[798.0],[74.0],[992.0],[102.0],[99.0],[148.0],[168.0],[171.0],[166.0],[652.0],[41.0],[127.0],[119.0],[176.0],[171.0],[168.0],[798.0],[503.0],[886.0],[154.0],[753.0],[862.0],[828.0],[113.0],[604.0],[171.0],[85.0],[63.0],[168.0],[87.0],[828.0],[180.0],[792.0],[756.0],[181.0],[792.0],[380.0],[792.0],[380.0],[798.0],[379.0],[145.0],[828.0],[615.0],[1019.0],[4.0],[156.0],[66.0],[48.0],[33.0],[3.0],[755.0],[503.0],[2.0],[35.0],[6.0],[795.0],[56.0],[131.0],[17.0],[168.0],[817.0],[756.0],[56.0],[991.0],[112.0],[41.0],[35.0],[76.0],[873.0]
7,[514.0],[65.0],[65.0],[4.0],[389.0],[815.0],[504.0],[180.0],[26.0],[6.0],[153.0],[108.0],[176.0],[5.0],[553.0],[66.0],[1.0],[34.0],[101.0],[4.0],[2.0],[751.0],[873.0],[122.0],[166.0],[604.0],[792.0],[176.0],[171.0],[499.0],[873.0],[143.0],[974.0],[828.0],[168.0],[3.0],[66.0],[820.0],[752.0],[748.0],[176.0],[224.0],[118.0],[798.0],[756.0],[181.0],[3.0],[159.0],[563.0],[795.0],[168.0],[506.0],[168.0],[74.0],[792.0],[74.0],[798.0],[150.0],[148.0],[94.0],[622.0],[167.0],[571.0],[753.0],[165.0],[148.0],[396.0],[66.0],[35.0],[85.0],[792.0],[181.0],[504.0],[502.0],[877.0],[754.0],[140.0],[814.0],[668.0],[143.0],[179.0],[176.0],[965.0],[873.0],[122.0],[4.0],[151.0],[792.0],[756.0],[165.0],[683.0],[159.0],[56.0],[165.0],[131.0],[56.0],[66.0],[791.0],[604.0],[42.0]
8,[506.0],[791.0],[750.0],[12.0],[753.0],[792.0],[108.0],[145.0],[819.0],[90.0],[180.0],[102.0],[380.0],[862.0],[171.0],[798.0],[386.0],[755.0],[3.0],[159.0],[981.0],[797.0],[798.0],[981.0],[797.0],[901.0],[130.0],[168.0],[756.0],[797.0],[14.0],[746.0],[201.0],[97.0],[64.0],[110.0],[42.0],[154.0],[755.0],[816.0],[181.0],[827.0],[828.0],[668.0],[403.0],[122.0],[76.0],[113.0],[35.0],[176.0],[756.0],[769.0],[52.0],[181.0],[755.0],[143.0],[226.0],[77.0],[873.0],[227.0],[499.0],[164.0],[133.0],[936.0],[991.0],[33.0],[908.0],[25.0],[69.0],[34.0],[814.0],[159.0],[78.0],[797.0],[619.0],[6.0],[828.0],[1019.0],[41.0],[390.0],[27.0],[42.0],[830.0],[180.0],[421.0],[148.0],[2.0],[74.0],[769.0],[90.0],[939.0],[176.0],[720.0],[136.0],[79.0],[820.0],[51.0],[619.0],[74.0],[653.0]
9,[513.0],[755.0],[166.0],[873.0],[97.0],[2.0],[813.0],[33.0],[24.0],[795.0],[571.0],[148.0],[680.0],[166.0],[756.0],[388.0],[501.0],[125.0],[168.0],[176.0],[542.0],[26.0],[827.0],[192.0],[79.0],[935.0],[176.0],[680.0],[34.0],[78.0],[650.0],[799.0],[784.0],[122.0],[823.0],[827.0],[604.0],[604.0],[798.0],[798.0],[747.0],[108.0],[391.0],[4.0],[792.0],[818.0],[828.0],[12.0],[2.0],[545.0],[798.0],[756.0],[120.0],[610.0],[166.0],[653.0],[388.0],[97.0],[3.0],[163.0],[396.0],[39.0],[381.0],[56.0],[754.0],[31.0],[499.0],[74.0],[798.0],[104.0],[66.0],[173.0],[69.0],[56.0],[90.0],[820.0],[110.0],[56.0],[33.0],[74.0],[51.0],[610.0],[69.0],[168.0],[218.0],[33.0],[756.0],[318.0],[143.0],[4.0],[650.0],[168.0],[131.0],[90.0],[176.0],[797.0],[380.0],[553.0],[20.0],[792.0]
