Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.10921857,0.034261554,0.76454586,0.06461078,0.7013755,0.1441926,0.9820317,8.940697e-08,0.05597073,0.13979736,0.9928541,0.9898309,0.98330945,0.99984574,0.007149875,0.38526404,0.86250436,0.3357609,0.75509465,0.104859024,0.011659652,0.9993613,0.76645696,5.6624413e-06,0.9999763,0.7627387,0.6842493,0.01294741,0.31480056,0.9999989,0.11409935,0.9703053,0.9315064,0.9967688,0.9992579,0.18913352,0.038870484,0.48626634,0.771475,0.9228136,0.99114645,0.88634485,0.27824152,0.13729244,0.10326257,0.6396052,0.042103052,0.7142094,0.8943708,0.0003657043,0.78478193,0.0008942187,0.19722134,0.07330313,0.63314486,0.05574414,0.35559058,0.9996275,0.178128,0.45029786,0.13232124,0.9995009,0.055050105,0.4862869,0.07839286,0.4966853,0.26659435,0.6630501,0.18792701,0.6118276,0.0006838441,0.102404356,0.6426588,0.9661106,0.4531806,0.19181025,0.6321008,0.009357572,0.34777367,0.55581707,0.66404486,0.91001475,0.99319893,0.9373342,0.5481194,0.9285393,0.33777675,0.4091517,0.9877725,0.10011938,0.118046254,0.3168052,0.929965,0.99670637,0.6123321,0.87684494,0.16670227,0.884053,0.14705119,0.020502567
1,0.27899724,0.98646784,0.9804964,0.25637954,0.7985606,0.20107937,0.1782102,1.0,0.48861066,0.27838188,0.3613537,0.10106018,0.94422215,0.012409121,0.8464025,0.8643073,0.4359994,0.48802006,0.119446635,0.004825175,0.01476866,0.011316091,0.55918896,1.0,0.9688021,0.7406198,0.1178714,0.015445441,0.31848273,0.0,0.6672534,0.9659868,0.13983631,0.6907567,0.9252481,0.26134625,0.2979725,0.40575653,0.032757312,0.9515525,0.47687218,0.9043079,0.46010914,0.13353622,0.7801736,0.8176919,0.098098725,0.89755106,0.97969335,0.024134994,0.41467953,0.16668576,0.12938562,0.0068220496,0.6932602,0.96181625,0.038952827,0.9071074,0.26760927,0.92528063,0.039969146,0.031927317,7.173419e-05,0.18792534,0.6910792,0.67050004,0.54274267,0.9983914,1.2099743e-05,0.8524101,0.0020172298,0.0368326,0.8399237,0.8485122,0.1596416,0.9233149,0.84900296,0.0122565925,0.9635401,0.9935504,0.9774264,0.78206104,0.0,0.8601589,0.059405982,0.8989432,0.98891354,0.65871024,0.6558571,0.9971758,0.22121897,0.010809809,0.11706039,0.99764276,1.603365e-05,0.5843428,0.2791298,0.7694051,0.3005888,0.0847905
2,0.20672664,0.109918326,0.91391,0.00040107965,0.7123151,0.19681948,0.48824733,2.9802322e-08,0.68817496,0.71237785,0.69921374,0.9063287,0.8199209,0.03313625,0.69786644,0.95735466,0.6046436,0.042562068,0.5724376,0.055241138,0.019201845,0.24147558,0.67253804,0.4929876,0.99397767,0.99730635,0.7516092,0.010997206,0.9993957,0.06304097,0.73997664,0.9781469,0.05120462,0.0714989,0.7304549,0.15045613,0.946974,0.53083175,0.0011065602,0.8716938,0.008883208,0.868865,0.2957352,0.21740541,0.04860118,0.91299,0.0013770759,0.13768259,1.7881393e-07,1.3709068e-05,0.5801128,0.14304233,0.11747423,0.011518121,0.7047881,0.22264346,0.9991831,0.87181294,0.093970746,0.97256166,0.032227993,0.96014833,1.4573336e-05,0.70413685,0.3314133,0.47875512,0.6774117,0.96679926,0.99169457,0.052183896,0.043481916,0.1352207,0.7476088,0.88563746,0.30947077,0.9973185,0.5542721,0.23353067,0.0021298826,0.87690896,0.87535715,2.5451183e-05,0.0,0.9077482,0.025075704,0.9008887,0.029915214,0.2811951,0.9880487,0.9693815,0.017043293,0.6701895,0.18779102,0.9944664,0.92665774,0.0033782125,0.58855176,0.9391257,0.2623366,0.5402572
3,0.35981375,0.98914087,0.99804485,0.21334225,0.66379124,0.1338085,0.534657,0.60799235,0.5445666,0.07763556,0.008745432,0.9095662,0.8758123,0.25859213,0.9997766,0.96550345,0.8319998,0.8272292,0.23345008,0.11852026,0.013119072,0.9992785,0.51315546,5.9604645e-08,0.813134,0.91436017,0.6892624,0.6030068,0.9948085,1.4007092e-06,0.03156364,0.96350384,0.5082318,0.0636923,0.9952371,0.42010775,0.24128777,0.46131104,0.9990109,0.9860343,0.26287335,0.88490963,0.25460958,0.09498203,0.09812346,0.8520198,0.0074415803,0.061039567,0.98159564,0.009828538,0.04032907,0.038838714,0.44819683,0.18759555,0.66098416,0.4005029,0.67640436,0.00872314,0.3874456,0.23378834,0.022914141,0.6551005,7.748604e-06,0.22303283,0.10506138,0.50953496,0.3262029,0.99628675,0.93770725,0.7105857,0.85640234,0.06911361,0.72815716,0.9503397,0.2192154,0.782238,0.8897022,0.0008274615,0.1462642,0.8907,0.0022771358,0.007146269,0.9995115,0.93136865,0.5603826,0.9791627,0.9932957,0.24183014,0.61995,0.9890913,0.11560154,0.23519522,0.20294267,0.9988759,0.92286974,0.9728348,0.055365026,0.79146826,0.051513284,0.88743997
4,0.138966,0.87373734,0.9438994,0.6437057,0.81194687,0.21386388,0.6048013,0.9808557,0.47958523,0.6889304,0.99616235,0.92927563,0.0043495,0.7471567,0.75690734,0.3218165,0.69302636,0.68477744,0.8651887,0.75224173,0.008276612,0.9917675,0.671558,0.9996388,0.9997834,0.035992593,0.26922154,1.0,0.013966471,0.039857298,0.45304427,0.9633364,0.86671424,0.00024703145,0.9794018,0.2946303,0.0025009513,0.54662937,0.19065133,0.9670281,0.9056261,0.8925729,0.32075047,0.0562481,0.93411136,0.8228189,0.015241563,0.7019552,5.3673983e-05,0.009239525,0.71264577,0.42600244,0.16759726,0.08234924,0.45612162,0.0010266304,0.6995287,1.13248825e-05,0.41320443,0.0046948195,0.16153836,0.5067898,0.9999243,0.15500227,0.17162141,0.46994576,0.5625961,0.75372076,0.04970926,0.055904478,0.0850122,0.16888118,0.5384108,0.962276,0.23761484,0.15989986,0.92142487,0.031808585,0.6912669,0.77836305,0.036210954,0.98659587,0.99927497,0.88149077,0.022929013,0.9351347,0.9748372,0.58389735,0.9641933,0.99999857,0.03559026,0.5503687,0.16913667,0.99897116,0.99999857,0.9073218,0.24110395,0.73319495,0.16104615,0.047402084
5,0.19585404,0.44971746,0.8185699,0.1844075,0.84410024,0.529316,0.84862137,0.2533568,0.35287264,0.14684594,0.61235267,0.98793024,0.9795389,0.79563785,0.96646893,0.73019046,0.14217627,0.7318882,0.200562,0.22966537,0.017591178,0.23327637,0.8578564,0.9576845,2.9802322e-08,0.9764036,0.4795991,0.83327466,0.98825836,0.0,0.088486195,0.95788115,0.076600194,0.021470249,0.0047084987,0.05897495,0.047736228,0.52504915,0.064335644,0.834705,0.20070267,0.9111965,0.40981764,0.11292347,0.96328616,0.97562164,0.44679618,0.12860134,0.31704566,0.08206147,0.870877,0.11637613,0.1710465,0.5362197,0.7838195,0.8530395,0.19422454,0.3371793,0.26243624,0.050724685,0.024760753,0.9607869,0.9982189,0.66294974,0.66243,0.34501386,0.9338486,0.64212286,1.937151e-06,0.022281885,0.0034002066,0.038953394,0.83684754,0.9814379,0.24654335,0.8238759,0.62069863,0.0035230517,0.00053817034,0.60517365,0.90830225,0.98000824,0.000100672245,0.91880214,0.019419193,0.9673465,1.1056662e-05,0.5745462,0.950122,0.3333851,0.18735161,0.36855075,0.20806828,0.99766326,3.5762787e-07,0.97305274,0.26359814,0.3464015,0.53456455,0.6915374
6,0.2796685,0.22577724,0.9998232,0.080227286,0.7817919,0.25394386,0.45550725,0.0002079606,0.3003701,0.81060207,0.9976754,0.9816487,0.9988506,0.00036743283,0.94435674,0.14286098,0.13402209,0.93142533,0.8439009,0.75399613,0.017642021,0.47027025,0.8284674,0.00041288137,1.4543533e-05,0.5648148,0.41313562,1.5467405e-05,0.1346376,0.006981045,0.004220426,0.9500265,0.030548513,0.9326707,0.034921974,0.119154215,0.23838761,0.6027534,0.97252595,0.8915949,0.0012333393,0.89353716,0.49584997,0.10299188,0.04142064,0.93643016,0.0034124255,0.15438375,0.05145216,0.85472023,0.062674075,0.0059235394,0.1432578,0.017208666,0.8443394,0.20998588,0.96047664,0.0531857,0.11962822,0.7017893,0.08044669,0.9917888,0.9999999,0.19306046,0.09838578,0.55724484,0.18572229,0.069744796,0.0009120405,0.14124584,0.9323174,0.14937577,0.8809551,0.9630146,0.40980265,0.14677864,0.54856604,0.013818532,0.9835789,0.55210316,0.7133986,0.046440393,1.0,0.89152443,0.1152218,0.91154766,0.0023067296,0.35733455,0.97965306,0.99300325,0.056384683,0.7466997,0.4942271,0.99800444,0.0,0.00042769313,0.8875107,0.44132823,0.3694056,0.27661073
7,0.2670707,0.53101313,0.9311314,0.033701897,0.7076279,0.22864875,0.4921061,0.51107746,0.101857334,0.8078717,0.7209391,0.26974323,0.99431217,0.0487355,0.9275334,0.928434,0.80134994,0.9621104,0.94668293,0.09568635,0.017061263,0.045455754,0.78075397,0.99999964,0.4413043,0.03359747,0.06359917,0.353566,0.2253184,0.994014,0.14523488,0.9775537,0.27539617,0.9999,0.9970469,0.08671808,0.4896672,0.62405264,0.7212593,0.93358886,0.7960098,0.8940121,0.16434738,0.13796231,0.5105722,0.96114033,0.9369974,0.005786389,0.68540645,0.48168486,0.2943353,0.00017938018,0.13853332,0.112125695,0.8632135,0.97549,0.69002753,0.03118366,0.060680747,0.038159788,0.65096456,0.85686517,6.3180923e-06,0.46735233,0.6798745,0.78706414,0.3365646,0.8442539,0.009416848,0.16296434,0.05468449,0.12855485,0.7048757,0.96610594,0.44894886,0.58098495,0.99851143,0.19995362,0.99846745,0.5145214,0.0031611621,0.33858132,0.18742609,0.9221357,0.11601305,0.9559194,0.99961877,0.5558662,0.7476653,0.9326184,0.054893106,0.045593113,0.24902162,0.99831223,0.00019404292,0.19118777,0.60908324,0.9398054,0.5369242,0.65595126
8,0.111531526,0.065167665,0.29093516,0.9653027,0.7340849,0.25377202,0.4851424,5.9604645e-08,0.43055546,0.28334552,0.98787177,0.9999907,0.00270167,0.0033332705,0.989682,0.9584117,0.34791142,0.03297475,0.7291602,0.46390212,0.012459695,0.915056,0.87849736,0.95728207,1.0,0.3384757,0.14441866,1.052022e-05,0.77646875,0.0015209615,0.5015496,0.9348701,0.960971,0.019870013,0.99910784,0.3151806,0.20558485,0.4398955,0.00520432,0.5493006,0.054065943,0.8783602,0.357225,0.15319303,0.96341366,0.93319917,0.36908716,0.6934998,0.027240485,0.098288655,0.77596927,0.18644848,0.16663837,0.007729441,0.63796884,0.9980093,0.9966538,0.00023776293,0.14630648,0.008204371,0.21150061,0.9982294,0.9802885,0.53409696,0.7271905,0.26245654,0.91444147,0.43724552,0.030993313,0.46564883,0.43118155,0.12259686,0.9097614,0.9819794,0.13004625,0.72251403,0.094114095,0.050533384,0.9318281,0.8081805,0.5408032,0.9993211,0.6035533,0.91879344,0.11871323,0.95636195,0.095825434,0.3644309,0.0022900403,0.7369421,0.032832563,0.29785484,0.6382736,0.9826869,2.9802322e-08,0.6322312,0.22230688,0.40440935,0.20447913,0.9533529
9,0.6429958,0.0445123,0.029536396,0.94936776,0.6290053,0.11839789,0.46310475,1.0,0.11295724,0.55851936,0.9737741,0.99356115,0.38211197,0.8546804,0.17820317,0.49948454,0.06537047,0.37593,0.9466983,0.1747551,0.012425721,0.8535578,0.7875774,0.0002720356,0.9810295,0.20812792,0.47727385,0.9996685,1.5169382e-05,0.99999976,0.63435316,0.967855,0.99724174,2.95043e-06,0.7438033,0.68594885,0.40850303,0.53301024,0.0071330965,0.9533807,0.9351331,0.90122867,0.21172515,0.09776577,0.10073987,0.933298,0.072167635,0.1642516,0.0,0.71888614,0.8824317,0.53092235,0.21491855,0.04168403,0.6941476,0.9985203,0.97484756,0.9998988,0.13476533,0.9775069,0.026433498,0.99763656,0.00011432171,0.54990906,0.20596331,0.059507757,0.8838117,0.9841525,0.0013437271,0.13289553,0.26525897,0.0530003,0.94096637,0.9069442,0.2769736,0.78116417,0.7138656,0.0018805265,0.08933991,0.95069444,0.81549597,0.0927957,0.7969941,0.87100947,0.10178658,0.93308663,0.787626,0.47776988,0.07109305,0.4314692,0.03760937,0.023256421,0.75574875,0.9902158,0.99999595,0.07810059,0.06937584,0.20786846,0.17010719,0.74811757
