Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
0,2.497049331665039,2.535693645477295,2.6096479892730713,2.610650062561035,2.620866298675537,2.6229116916656494,2.6194846630096436,2.629777669906616,2.6417078971862793,2.668732166290283,2.698423385620117,2.6970815658569336,388.7875380516052,3.8866114616394043
1,2.540133237838745,2.565725803375244,2.639233112335205,2.642521381378174,2.6513094902038574,2.649508476257324,2.650756359100342,2.659191131591797,2.6521835327148438,2.653200149536133,2.6494734287261963,2.653695583343506,269.22900795936584,3.948768138885498
2,2.6501219272613525,2.7027087211608887,2.7840425968170166,2.79435658454895,2.8027472496032715,2.795247793197632,2.768129348754883,2.74898362159729,2.745501756668091,2.7453322410583496,2.723090410232544,2.6708860397338867,494.07273530960083,4.0477354526519775
3,2.5955066680908203,2.687321901321411,2.7682907581329346,2.7842159271240234,2.794649124145508,2.7940776348114014,2.782273292541504,2.755589485168457,2.7360761165618896,2.736628293991089,2.775343656539917,2.699324131011963,496.101683139801,4.023953437805176
4,2.520268678665161,3.407308340072632,2.713186264038086,2.813434362411499,2.792799711227417,2.7814841270446777,2.7543656826019287,2.7415854930877686,2.7541561126708984,2.7354655265808105,2.703735589981079,2.705993413925171,487.8703804016113,3.8496816158294678
5,2.4790680408477783,2.5554919242858887,2.848266124725342,2.7173547744750977,2.7262213230133057,2.7276031970977783,2.732985496520996,2.7296433448791504,2.7087771892547607,2.6877987384796143,2.67729115486145,2.6778600215911865,487.76725935935974,3.8503880500793457
6,2.6379833221435547,2.6716716289520264,2.739581346511841,2.7379150390625,2.7374119758605957,2.7330074310302734,2.7258450984954834,2.7303669452667236,2.720180034637451,2.710040807723999,2.6893439292907715,2.6710970401763916,493.10942697525024,3.9998292922973633
7,2.5645065307617188,2.6173269748687744,2.713249444961548,2.7097976207733154,2.7147936820983887,2.702183961868286,2.691805124282837,2.6891560554504395,2.6860663890838623,2.6853277683258057,2.681025743484497,2.8723013401031494,490.5212275981903,3.9351325035095215
8,2.550018310546875,2.5651051998138428,2.8500914573669434,2.640444278717041,2.647810697555542,2.6440048217773438,2.6439268589019775,5.970228672027588,2.647209644317627,2.650782823562622,2.6467089653015137,2.654147148132324,336.8234016895294,3.92193341255188
9,2.5284998416900635,2.5559420585632324,2.6229045391082764,2.638119697570801,2.674271583557129,2.6858363151550293,2.6869595050811768,2.682986259460449,2.6768620014190674,2.667926549911499,2.693830966949463,2.711616039276123,473.86660504341125,3.8745057582855225
10,2.6346993446350098,2.6850404739379883,2.7625248432159424,2.774658441543579,2.784162998199463,2.7794435024261475,2.750692844390869,2.730756998062134,2.7287588119506836,2.724198579788208,2.706860065460205,2.6523196697235107,494.3029179573059,3.955388069152832
11,2.534431219100952,2.6340794563293457,2.72611141204834,2.8438327312469482,2.7429869174957275,2.7439634799957275,2.7420499324798584,2.713980197906494,2.6978626251220703,2.6907970905303955,2.68654727935791,2.675391674041748,497.27602791786194,3.9679977893829346
12,2.5598409175872803,2.6497385501861572,2.7486202716827393,2.930203676223755,2.770712375640869,2.7679147720336914,2.7621796131134033,2.7399158477783203,2.7165310382843018,2.713505983352661,2.7128474712371826,2.695300579071045,497.1081733703613,4.000522613525391
13,2.6999118328094482,2.682056188583374,2.769465208053589,2.7749178409576416,2.7848968505859375,2.7732741832733154,2.7457196712493896,2.7252273559570312,2.7191853523254395,2.7194037437438965,2.696394920349121,2.644176959991455,494.0449070930481,4.011913776397705
14,2.5736451148986816,2.616071939468384,2.692007303237915,2.7031936645507812,2.7027759552001953,2.6823956966400146,2.661916494369507,2.658688545227051,2.6534130573272705,2.755094051361084,2.6458663940429688,2.6287994384765625,492.32270336151123,3.9020049571990967
15,2.6242775917053223,2.668126344680786,2.7608089447021484,2.766334295272827,2.7783548831939697,2.7646303176879883,2.7551348209381104,2.7773523330688477,2.759692907333374,2.7427492141723633,2.7108266353607178,2.6724870204925537,296.30262637138367,4.0293519496917725
16,2.592106580734253,2.6327826976776123,2.720688581466675,2.7283482551574707,2.729283571243286,2.8083739280700684,3.123262405395508,2.7319536209106445,2.7164955139160156,2.6967244148254395,2.6659300327301025,2.631511926651001,297.03670740127563,4.0822978019714355
17,2.6168770790100098,3.0111966133117676,2.722466230392456,2.7488179206848145,2.7426249980926514,2.7453255653381348,2.742957592010498,2.742051839828491,2.7451016902923584,2.835972547531128,2.8010904788970947,2.7866578102111816,299.3954174518585,4.161699295043945
18,2.5803380012512207,2.62432861328125,2.7024240493774414,2.719641923904419,2.9365556240081787,2.6853415966033936,2.672238349914551,2.662081480026245,2.662006139755249,2.6700966358184814,2.6571102142333984,2.6311025619506836,491.0981123447418,3.8932645320892334
19,2.604707717895508,2.6486854553222656,2.7335081100463867,2.743741750717163,2.74527907371521,2.7396745681762695,2.991736888885498,2.7667791843414307,2.7478015422821045,2.7218239307403564,2.6763968467712402,4.306905508041382,295.81068563461304,3.9941248893737793
20,2.5077173709869385,3.397000312805176,2.7089791297912598,2.846736431121826,2.739119052886963,2.736629009246826,2.727717876434326,2.723569393157959,2.7303264141082764,2.7424468994140625,2.7160964012145996,2.6986429691314697,294.0592956542969,3.8918650150299072
21,2.5707335472106934,2.6075239181518555,2.695915699005127,2.7013394832611084,2.708991765975952,2.7007925510406494,3.122011661529541,2.7128982543945312,2.6913692951202393,2.6770129203796387,2.6436831951141357,2.6092946529388428,296.37836170196533,3.9320852756500244
22,2.494457244873047,2.668581247329712,2.6102471351623535,3.269223213195801,2.7180588245391846,2.7713935375213623,2.7324090003967285,2.7325563430786133,2.720789909362793,2.721034049987793,2.7273571491241455,2.7401814460754395,274.2623620033264,3.865995407104492
23,2.5048599243164062,2.541738510131836,2.618807554244995,2.623199939727783,2.63269305229187,2.6366426944732666,2.6597790718078613,2.7111806869506836,2.7445716857910156,2.714944362640381,2.713874101638794,2.715872049331665,425.3977508544922,3.8882369995117188
24,2.683530330657959,2.572999954223633,2.689654588699341,2.701817512512207,2.715632677078247,2.712467670440674,2.7112433910369873,2.711010456085205,2.710301637649536,2.7179200649261475,2.907536506652832,2.6706600189208984,298.2629816532135,3.9517128467559814
