Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[62.0],[350.0],[62.0],[350.0],[350.0],[350.0],[350.0],[350.0],[62.0],[350.0],[62.0],[350.0],[350.0],[350.0],[350.0],[350.0],[350.0],[350.0],[62.0],[496.0],[350.0],[350.0],[350.0],[62.0],[350.0],[350.0],[350.0],[350.0],[350.0],[62.0],[350.0],[62.0],[350.0],[62.0],[350.0],[350.0],[350.0],[350.0],[350.0],[331.0],[350.0],[350.0],[350.0],[350.0],[62.0],[350.0],[350.0],[350.0],[350.0],[62.0],[350.0],[62.0],[62.0],[350.0],[217.0],[62.0],[346.0],[62.0],[350.0],[62.0],[350.0],[331.0],[350.0],[350.0],[350.0],[350.0],[62.0],[350.0],[350.0],[350.0],[350.0],[62.0],[350.0],[62.0],[350.0],[350.0],[350.0],[350.0],[410.0],[350.0],[62.0],[350.0],[350.0],[350.0],[350.0],[62.0],[350.0],[62.0],[331.0],[62.0],[350.0],[350.0],[62.0],[350.0],[350.0],[350.0],[350.0],[62.0],[350.0],[350.0]
1,[350.0],[346.0],[350.0],[496.0],[331.0],[496.0],[62.0],[150.0],[350.0],[485.0],[350.0],[331.0],[340.0],[346.0],[150.0],[62.0],[496.0],[346.0],[350.0],[346.0],[496.0],[346.0],[62.0],[150.0],[62.0],[278.0],[331.0],[150.0],[62.0],[350.0],[346.0],[350.0],[62.0],[350.0],[62.0],[482.0],[408.0],[62.0],[62.0],[82.0],[62.0],[62.0],[150.0],[70.0],[350.0],[405.0],[346.0],[346.0],[496.0],[350.0],[62.0],[350.0],[350.0],[346.0],[150.0],[350.0],[62.0],[350.0],[355.0],[350.0],[62.0],[62.0],[346.0],[405.0],[62.0],[346.0],[350.0],[346.0],[75.0],[405.0],[150.0],[350.0],[496.0],[350.0],[75.0],[62.0],[496.0],[346.0],[69.0],[73.0],[350.0],[230.0],[346.0],[62.0],[346.0],[350.0],[62.0],[350.0],[209.0],[405.0],[346.0],[150.0],[350.0],[62.0],[425.0],[62.0],[62.0],[350.0],[496.0],[62.0]
2,[150.0],[45.0],[150.0],[524.0],[45.0],[75.0],[150.0],[82.0],[150.0],[89.0],[331.0],[0.0],[150.0],[62.0],[331.0],[150.0],[69.0],[62.0],[150.0],[439.0],[62.0],[485.0],[496.0],[409.0],[150.0],[405.0],[150.0],[62.0],[331.0],[150.0],[209.0],[405.0],[331.0],[346.0],[496.0],[150.0],[351.0],[496.0],[150.0],[150.0],[331.0],[150.0],[346.0],[524.0],[340.0],[37.0],[62.0],[496.0],[409.0],[485.0],[496.0],[405.0],[405.0],[331.0],[69.0],[69.0],[150.0],[150.0],[496.0],[82.0],[496.0],[346.0],[496.0],[150.0],[496.0],[69.0],[496.0],[331.0],[150.0],[496.0],[496.0],[150.0],[524.0],[150.0],[524.0],[331.0],[62.0],[331.0],[150.0],[150.0],[370.0],[524.0],[331.0],[150.0],[45.0],[21.0],[150.0],[496.0],[150.0],[150.0],[496.0],[62.0],[439.0],[150.0],[524.0],[45.0],[524.0],[405.0],[62.0],[496.0]
3,[405.0],[496.0],[405.0],[288.0],[429.0],[150.0],[258.0],[331.0],[346.0],[150.0],[346.0],[524.0],[75.0],[524.0],[73.0],[439.0],[150.0],[45.0],[331.0],[524.0],[439.0],[230.0],[346.0],[258.0],[331.0],[75.0],[73.0],[496.0],[346.0],[405.0],[62.0],[496.0],[524.0],[496.0],[150.0],[410.0],[62.0],[150.0],[73.0],[370.0],[84.0],[405.0],[82.0],[62.0],[150.0],[217.0],[524.0],[62.0],[31.0],[230.0],[524.0],[496.0],[150.0],[403.0],[427.0],[496.0],[13.0],[405.0],[69.0],[405.0],[150.0],[524.0],[62.0],[305.0],[346.0],[150.0],[346.0],[37.0],[73.0],[13.0],[346.0],[346.0],[62.0],[346.0],[368.0],[21.0],[439.0],[0.0],[355.0],[75.0],[150.0],[62.0],[62.0],[340.0],[496.0],[346.0],[499.0],[21.0],[62.0],[82.0],[209.0],[73.0],[150.0],[346.0],[230.0],[31.0],[346.0],[150.0],[73.0],[346.0]
4,[439.0],[403.0],[496.0],[340.0],[524.0],[340.0],[439.0],[405.0],[496.0],[524.0],[150.0],[351.0],[370.0],[45.0],[82.0],[524.0],[16.0],[396.0],[346.0],[409.0],[73.0],[62.0],[73.0],[13.0],[73.0],[31.0],[305.0],[31.0],[150.0],[73.0],[150.0],[21.0],[118.0],[439.0],[405.0],[349.0],[150.0],[219.0],[331.0],[62.0],[76.0],[524.0],[524.0],[468.0],[346.0],[258.0],[321.0],[396.0],[524.0],[405.0],[278.0],[82.0],[496.0],[62.0],[254.0],[346.0],[351.0],[82.0],[368.0],[150.0],[278.0],[350.0],[242.0],[16.0],[150.0],[351.0],[150.0],[524.0],[340.0],[425.0],[89.0],[305.0],[482.0],[82.0],[73.0],[346.0],[31.0],[82.0],[168.0],[331.0],[69.0],[346.0],[73.0],[258.0],[368.0],[485.0],[258.0],[340.0],[396.0],[485.0],[524.0],[75.0],[82.0],[439.0],[496.0],[224.0],[496.0],[524.0],[482.0],[45.0]
5,[457.0],[62.0],[82.0],[408.0],[468.0],[69.0],[331.0],[73.0],[351.0],[35.0],[172.0],[346.0],[396.0],[496.0],[118.0],[33.0],[408.0],[439.0],[82.0],[351.0],[150.0],[524.0],[150.0],[33.0],[346.0],[69.0],[62.0],[524.0],[258.0],[496.0],[427.0],[73.0],[346.0],[21.0],[82.0],[217.0],[118.0],[288.0],[64.0],[439.0],[150.0],[340.0],[172.0],[21.0],[288.0],[351.0],[331.0],[305.0],[172.0],[410.0],[69.0],[150.0],[524.0],[230.0],[346.0],[524.0],[340.0],[524.0],[75.0],[258.0],[69.0],[410.0],[340.0],[351.0],[403.0],[118.0],[524.0],[499.0],[370.0],[130.0],[278.0],[73.0],[484.0],[275.0],[496.0],[239.0],[396.0],[217.0],[172.0],[118.0],[524.0],[76.0],[408.0],[172.0],[58.0],[436.0],[51.0],[73.0],[370.0],[396.0],[343.0],[425.0],[93.0],[13.0],[62.0],[33.0],[150.0],[439.0],[13.0],[182.0]
6,[0.0],[376.0],[13.0],[230.0],[118.0],[73.0],[404.0],[258.0],[82.0],[492.0],[468.0],[305.0],[31.0],[425.0],[66.0],[73.0],[427.0],[468.0],[305.0],[118.0],[482.0],[258.0],[439.0],[427.0],[82.0],[427.0],[499.0],[351.0],[305.0],[425.0],[248.0],[439.0],[21.0],[482.0],[73.0],[439.0],[234.0],[0.0],[118.0],[350.0],[321.0],[533.0],[258.0],[219.0],[21.0],[331.0],[476.0],[84.0],[288.0],[21.0],[482.0],[209.0],[68.0],[524.0],[107.0],[311.0],[403.0],[217.0],[524.0],[16.0],[75.0],[230.0],[425.0],[496.0],[0.0],[431.0],[482.0],[150.0],[234.0],[427.0],[439.0],[75.0],[368.0],[321.0],[150.0],[524.0],[73.0],[209.0],[217.0],[62.0],[217.0],[150.0],[118.0],[21.0],[224.0],[150.0],[75.0],[482.0],[350.0],[524.0],[427.0],[340.0],[151.0],[118.0],[405.0],[16.0],[351.0],[340.0],[217.0],[230.0]
7,[425.0],[351.0],[118.0],[213.0],[396.0],[346.0],[376.0],[524.0],[118.0],[457.0],[351.0],[217.0],[524.0],[477.0],[217.0],[258.0],[62.0],[425.0],[217.0],[45.0],[524.0],[209.0],[408.0],[84.0],[217.0],[209.0],[37.0],[37.0],[288.0],[21.0],[331.0],[368.0],[76.0],[408.0],[305.0],[82.0],[305.0],[209.0],[16.0],[230.0],[476.0],[425.0],[278.0],[427.0],[427.0],[427.0],[351.0],[143.0],[209.0],[331.0],[368.0],[524.0],[321.0],[289.0],[172.0],[48.0],[485.0],[16.0],[150.0],[217.0],[427.0],[439.0],[150.0],[118.0],[209.0],[62.0],[288.0],[118.0],[62.0],[429.0],[351.0],[239.0],[209.0],[524.0],[234.0],[150.0],[209.0],[425.0],[331.0],[258.0],[73.0],[209.0],[93.0],[524.0],[62.0],[305.0],[73.0],[408.0],[248.0],[346.0],[48.0],[209.0],[354.0],[182.0],[278.0],[439.0],[368.0],[271.0],[150.0],[75.0]
8,[376.0],[427.0],[425.0],[409.0],[58.0],[62.0],[118.0],[224.0],[242.0],[107.0],[75.0],[288.0],[258.0],[278.0],[13.0],[182.0],[524.0],[321.0],[524.0],[82.0],[118.0],[288.0],[368.0],[405.0],[524.0],[242.0],[439.0],[242.0],[410.0],[524.0],[168.0],[410.0],[329.0],[73.0],[477.0],[499.0],[242.0],[258.0],[21.0],[410.0],[209.0],[73.0],[439.0],[410.0],[31.0],[182.0],[230.0],[379.0],[482.0],[224.0],[33.0],[305.0],[425.0],[410.0],[351.0],[425.0],[258.0],[35.0],[48.0],[524.0],[118.0],[305.0],[427.0],[368.0],[13.0],[13.0],[439.0],[426.0],[242.0],[75.0],[230.0],[409.0],[84.0],[485.0],[351.0],[409.0],[288.0],[240.0],[376.0],[305.0],[75.0],[396.0],[209.0],[16.0],[410.0],[405.0],[379.0],[79.0],[230.0],[477.0],[62.0],[463.0],[408.0],[425.0],[427.0],[524.0],[69.0],[485.0],[351.0],[427.0]
9,[75.0],[410.0],[524.0],[405.0],[33.0],[409.0],[75.0],[219.0],[73.0],[230.0],[311.0],[427.0],[130.0],[209.0],[209.0],[75.0],[288.0],[230.0],[427.0],[405.0],[410.0],[35.0],[230.0],[276.0],[66.0],[230.0],[288.0],[408.0],[75.0],[230.0],[0.0],[150.0],[420.0],[405.0],[359.0],[458.0],[403.0],[305.0],[209.0],[408.0],[427.0],[230.0],[209.0],[172.0],[172.0],[439.0],[245.0],[524.0],[351.0],[16.0],[209.0],[31.0],[429.0],[427.0],[429.0],[427.0],[289.0],[331.0],[429.0],[134.0],[492.0],[172.0],[405.0],[21.0],[482.0],[331.0],[21.0],[171.0],[118.0],[153.0],[288.0],[376.0],[463.0],[217.0],[305.0],[499.0],[351.0],[476.0],[427.0],[351.0],[16.0],[305.0],[485.0],[230.0],[329.0],[444.0],[172.0],[410.0],[432.0],[240.0],[254.0],[500.0],[331.0],[21.0],[258.0],[329.0],[379.0],[288.0],[524.0],[174.0]
