Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[797.0],[1469.0],[503.0],[1214.0],[592.0],[189.0],[586.0],[899.0],[381.0],[318.0],[273.0],[60.0],[1468.0],[433.0],[524.0],[410.0],[1476.0],[1167.0],[1362.0],[338.0],[692.0],[1335.0],[1247.0],[244.0],[666.0],[281.0],[765.0],[496.0],[490.0],[162.0],[1140.0],[981.0],[479.0],[1239.0],[1013.0],[348.0],[486.0],[765.0],[375.0],[824.0],[423.0],[22.0],[371.0],[665.0],[1249.0],[1214.0],[1433.0],[519.0],[1100.0],[725.0],[1373.0],[1318.0],[1335.0],[652.0],[1191.0],[1296.0],[1140.0],[1247.0],[1140.0],[1242.0],[301.0],[217.0],[1076.0],[589.0],[652.0],[866.0],[743.0],[1149.0],[292.0],[519.0],[540.0],[798.0],[949.0],[135.0],[30.0],[479.0],[496.0],[362.0],[903.0],[737.0],[382.0],[443.0],[1413.0],[794.0],[338.0],[1142.0],[950.0],[1352.0],[155.0],[593.0],[599.0],[529.0],[950.0],[410.0],[642.0],[1315.0],[70.0],[1288.0],[322.0],[1464.0]
1,[1140.0],[309.0],[506.0],[344.0],[1148.0],[496.0],[1362.0],[743.0],[1433.0],[567.0],[950.0],[903.0],[743.0],[189.0],[1499.0],[743.0],[831.0],[437.0],[305.0],[227.0],[1159.0],[152.0],[983.0],[1180.0],[1394.0],[1395.0],[1010.0],[349.0],[1200.0],[330.0],[1335.0],[743.0],[1442.0],[298.0],[1370.0],[797.0],[874.0],[1286.0],[1395.0],[769.0],[309.0],[1362.0],[176.0],[510.0],[300.0],[765.0],[594.0],[754.0],[769.0],[1429.0],[861.0],[739.0],[1327.0],[354.0],[1167.0],[889.0],[794.0],[925.0],[760.0],[1167.0],[496.0],[435.0],[770.0],[496.0],[1354.0],[134.0],[907.0],[769.0],[70.0],[1330.0],[1208.0],[1087.0],[1242.0],[281.0],[330.0],[558.0],[273.0],[660.0],[881.0],[496.0],[189.0],[933.0],[824.0],[1395.0],[665.0],[433.0],[769.0],[1167.0],[1373.0],[650.0],[1013.0],[967.0],[629.0],[866.0],[1013.0],[348.0],[1298.0],[1315.0],[118.0],[919.0]
2,[1061.0],[673.0],[1467.0],[428.0],[837.0],[992.0],[1226.0],[1380.0],[277.0],[348.0],[1218.0],[1315.0],[1240.0],[1149.0],[1108.0],[1215.0],[157.0],[840.0],[1479.0],[1412.0],[1216.0],[831.0],[846.0],[874.0],[5.0],[1394.0],[152.0],[252.0],[1071.0],[842.0],[176.0],[71.0],[943.0],[1468.0],[794.0],[445.0],[840.0],[396.0],[502.0],[671.0],[824.0],[838.0],[860.0],[743.0],[773.0],[1479.0],[840.0],[365.0],[919.0],[925.0],[1469.0],[666.0],[955.0],[134.0],[1330.0],[570.0],[1335.0],[889.0],[1335.0],[529.0],[1395.0],[919.0],[230.0],[755.0],[503.0],[519.0],[310.0],[1320.0],[310.0],[383.0],[652.0],[743.0],[860.0],[227.0],[227.0],[1277.0],[419.0],[1171.0],[666.0],[652.0],[580.0],[152.0],[840.0],[349.0],[252.0],[955.0],[1468.0],[874.0],[1148.0],[292.0],[310.0],[949.0],[1439.0],[1433.0],[1167.0],[619.0],[428.0],[496.0],[666.0],[1013.0]
3,[1171.0],[608.0],[137.0],[824.0],[1354.0],[330.0],[1277.0],[1149.0],[233.0],[490.0],[652.0],[1286.0],[992.0],[423.0],[330.0],[348.0],[227.0],[700.0],[1100.0],[1256.0],[443.0],[537.0],[755.0],[769.0],[754.0],[738.0],[874.0],[1244.0],[312.0],[602.0],[794.0],[861.0],[1395.0],[577.0],[352.0],[60.0],[797.0],[152.0],[874.0],[1320.0],[938.0],[700.0],[1485.0],[419.0],[1063.0],[1490.0],[292.0],[866.0],[860.0],[243.0],[714.0],[1106.0],[1171.0],[1330.0],[937.0],[652.0],[176.0],[169.0],[176.0],[773.0],[1218.0],[1495.0],[765.0],[84.0],[1240.0],[207.0],[1354.0],[1216.0],[852.0],[310.0],[864.0],[312.0],[950.0],[1370.0],[434.0],[217.0],[798.0],[52.0],[828.0],[627.0],[842.0],[925.0],[65.0],[889.0],[1190.0],[1315.0],[101.0],[540.0],[217.0],[301.0],[874.0],[925.0],[758.0],[1395.0],[37.0],[765.0],[842.0],[215.0],[840.0],[37.0]
4,[618.0],[704.0],[1433.0],[840.0],[309.0],[348.0],[1315.0],[174.0],[201.0],[783.0],[840.0],[233.0],[216.0],[1347.0],[840.0],[336.0],[1039.0],[292.0],[1256.0],[354.0],[252.0],[906.0],[665.0],[925.0],[265.0],[1153.0],[134.0],[1040.0],[1190.0],[227.0],[165.0],[738.0],[665.0],[526.0],[233.0],[70.0],[1239.0],[874.0],[1050.0],[983.0],[348.0],[274.0],[1487.0],[1354.0],[52.0],[152.0],[1479.0],[874.0],[840.0],[891.0],[925.0],[1394.0],[1244.0],[274.0],[228.0],[333.0],[318.0],[589.0],[824.0],[1180.0],[933.0],[1013.0],[325.0],[1140.0],[1298.0],[874.0],[666.0],[978.0],[1140.0],[925.0],[1086.0],[1068.0],[180.0],[1104.0],[1171.0],[1330.0],[1384.0],[838.0],[1107.0],[1220.0],[665.0],[325.0],[410.0],[1347.0],[1171.0],[895.0],[183.0],[1218.0],[189.0],[1469.0],[650.0],[193.0],[1354.0],[362.0],[1469.0],[10.0],[773.0],[581.0],[956.0],[1467.0]
5,[673.0],[743.0],[652.0],[1497.0],[1171.0],[1466.0],[456.0],[664.0],[1087.0],[1479.0],[725.0],[1073.0],[581.0],[840.0],[1479.0],[1240.0],[874.0],[1479.0],[1188.0],[1099.0],[1149.0],[969.0],[1171.0],[416.0],[203.0],[1366.0],[392.0],[828.0],[941.0],[537.0],[188.0],[765.0],[909.0],[933.0],[791.0],[1311.0],[352.0],[144.0],[60.0],[1307.0],[1315.0],[371.0],[981.0],[84.0],[1013.0],[874.0],[392.0],[700.0],[210.0],[1190.0],[1467.0],[1423.0],[1172.0],[155.0],[52.0],[1010.0],[874.0],[1171.0],[1175.0],[1171.0],[556.0],[1354.0],[1138.0],[330.0],[473.0],[1133.0],[632.0],[755.0],[794.0],[684.0],[462.0],[166.0],[977.0],[104.0],[1215.0],[925.0],[1171.0],[617.0],[1251.0],[1194.0],[503.0],[201.0],[322.0],[1394.0],[1354.0],[281.0],[495.0],[840.0],[925.0],[1407.0],[758.0],[652.0],[1096.0],[1432.0],[1087.0],[842.0],[765.0],[428.0],[1216.0],[1354.0]
6,[1063.0],[1001.0],[918.0],[1479.0],[981.0],[106.0],[981.0],[599.0],[950.0],[1171.0],[986.0],[599.0],[495.0],[174.0],[539.0],[599.0],[126.0],[1086.0],[134.0],[1247.0],[46.0],[1458.0],[259.0],[1073.0],[955.0],[409.0],[1011.0],[1384.0],[765.0],[519.0],[183.0],[1354.0],[245.0],[324.0],[824.0],[1171.0],[1040.0],[1399.0],[476.0],[797.0],[428.0],[10.0],[1144.0],[765.0],[1207.0],[118.0],[1104.0],[1479.0],[815.0],[1400.0],[540.0],[548.0],[1431.0],[1145.0],[822.0],[1354.0],[660.0],[1149.0],[967.0],[1433.0],[575.0],[274.0],[1194.0],[1163.0],[1363.0],[1354.0],[765.0],[1096.0],[976.0],[1479.0],[765.0],[448.0],[1171.0],[652.0],[1011.0],[490.0],[1069.0],[330.0],[992.0],[874.0],[1239.0],[1307.0],[773.0],[1087.0],[22.0],[1171.0],[593.0],[1442.0],[60.0],[1423.0],[1451.0],[872.0],[503.0],[1240.0],[840.0],[1354.0],[831.0],[1096.0],[84.0],[190.0]
7,[914.0],[1194.0],[702.0],[1190.0],[416.0],[1102.0],[653.0],[1354.0],[227.0],[242.0],[593.0],[1424.0],[1106.0],[281.0],[1227.0],[190.0],[243.0],[602.0],[1247.0],[305.0],[1313.0],[1194.0],[146.0],[1237.0],[32.0],[687.0],[779.0],[1171.0],[640.0],[1423.0],[824.0],[99.0],[640.0],[1013.0],[630.0],[1404.0],[502.0],[791.0],[1210.0],[794.0],[519.0],[868.0],[1194.0],[933.0],[258.0],[1167.0],[548.0],[1335.0],[149.0],[1247.0],[743.0],[1194.0],[1458.0],[796.0],[456.0],[322.0],[134.0],[828.0],[1306.0],[640.0],[1171.0],[524.0],[1132.0],[1171.0],[118.0],[318.0],[1477.0],[745.0],[106.0],[831.0],[682.0],[230.0],[630.0],[152.0],[1096.0],[96.0],[1420.0],[1414.0],[1194.0],[1163.0],[416.0],[274.0],[779.0],[658.0],[490.0],[348.0],[1122.0],[1389.0],[981.0],[539.0],[496.0],[1451.0],[593.0],[519.0],[1479.0],[400.0],[563.0],[842.0],[1307.0],[968.0]
8,[75.0],[652.0],[874.0],[563.0],[881.0],[1135.0],[1094.0],[666.0],[74.0],[1461.0],[318.0],[1049.0],[499.0],[1171.0],[251.0],[548.0],[189.0],[639.0],[1013.0],[467.0],[423.0],[881.0],[549.0],[712.0],[633.0],[843.0],[1149.0],[1354.0],[1194.0],[1171.0],[1369.0],[1413.0],[1471.0],[743.0],[861.0],[527.0],[1258.0],[314.0],[1194.0],[633.0],[1423.0],[1320.0],[942.0],[310.0],[633.0],[1048.0],[490.0],[201.0],[148.0],[1133.0],[981.0],[705.0],[1194.0],[637.0],[1025.0],[548.0],[419.0],[1215.0],[1219.0],[1192.0],[984.0],[1240.0],[992.0],[962.0],[309.0],[1389.0],[41.0],[754.0],[577.0],[94.0],[842.0],[738.0],[842.0],[1363.0],[1167.0],[953.0],[640.0],[639.0],[685.0],[630.0],[437.0],[518.0],[687.0],[1230.0],[84.0],[328.0],[630.0],[1479.0],[881.0],[1194.0],[1307.0],[336.0],[697.0],[352.0],[993.0],[1177.0],[520.0],[1354.0],[700.0],[661.0]
9,[933.0],[992.0],[840.0],[895.0],[702.0],[1171.0],[1438.0],[933.0],[1295.0],[1404.0],[1247.0],[783.0],[1154.0],[74.0],[383.0],[1395.0],[501.0],[539.0],[141.0],[858.0],[1394.0],[953.0],[737.0],[1266.0],[1247.0],[1149.0],[838.0],[1087.0],[633.0],[647.0],[933.0],[519.0],[602.0],[503.0],[104.0],[1413.0],[1421.0],[1405.0],[992.0],[467.0],[374.0],[593.0],[858.0],[1433.0],[999.0],[1132.0],[665.0],[1239.0],[1280.0],[737.0],[437.0],[194.0],[1013.0],[755.0],[938.0],[1469.0],[933.0],[1262.0],[310.0],[1395.0],[666.0],[42.0],[682.0],[233.0],[1013.0],[899.0],[186.0],[919.0],[1449.0],[1306.0],[903.0],[765.0],[1467.0],[330.0],[614.0],[152.0],[1194.0],[938.0],[265.0],[1363.0],[70.0],[1140.0],[556.0],[782.0],[1469.0],[435.0],[723.0],[456.0],[490.0],[1126.0],[953.0],[640.0],[794.0],[238.0],[767.0],[358.0],[1194.0],[1171.0],[1442.0],[895.0]
