Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,EGAL,EMCM
0,13.405651569366455,13.947291135787964,14.26212763786316,14.67560362815857,14.921446561813354,14.892011165618896,14.830047369003296,14.882887601852417,14.84762692451477,411.92944407463074,20.687669277191162,13.735105276107788,14.640015125274658,13.61448860168457
1,13.583378553390503,14.13624119758606,14.432486534118652,14.841747999191284,15.111988306045532,15.135075807571411,15.124306678771973,16.82950448989868,14.985514640808105,427.9531238079071,21.19249677658081,14.088675260543823,15.30826473236084,13.899067401885986
2,13.537321329116821,14.054565668106079,14.423269987106323,14.806816816329956,15.02298641204834,15.137680292129517,15.059546709060669,18.31950044631958,14.65649962425232,427.73286485671997,20.661813974380493,13.670035123825073,14.618890523910522,13.366965293884277
3,12.827909469604492,13.275871515274048,13.681055068969727,14.502346277236938,14.845959663391113,15.00139331817627,15.030132293701172,15.089018106460571,15.130845546722412,124.49909496307373,23.59466052055359,13.268644332885742,14.32265853881836,13.20908236503601
4,13.57029104232788,14.190154552459717,14.532687425613403,14.947588920593262,15.243311405181885,15.288806915283203,15.329185485839844,15.327904224395752,15.246309041976929,437.4739360809326,21.24873638153076,14.217926025390625,15.72227931022644,14.009114265441895
5,13.294610977172852,14.270480871200562,14.598681688308716,15.028048038482666,15.281590700149536,15.30318808555603,15.33811354637146,14.96842908859253,14.475178241729736,444.6580219268799,21.19342064857483,14.022121667861938,15.811039924621582,13.578432559967041
6,13.103801727294922,14.017541885375977,14.269564867019653,14.65571665763855,14.894779682159424,14.922329187393188,14.838721990585327,14.827952146530151,14.96910285949707,368.44520592689514,20.07258129119873,13.291968822479248,14.420561790466309,13.697121858596802
7,13.661223888397217,14.206945896148682,14.504979372024536,15.084780931472778,15.1651291847229,15.395013809204102,15.03778338432312,15.121305227279663,15.046487092971802,421.4090008735657,21.16614842414856,13.825989484786987,14.87917947769165,13.645299434661865
8,13.649547338485718,14.242233037948608,14.579160451889038,14.984228134155273,15.22834849357605,15.154367685317993,15.112180233001709,15.202772378921509,15.008041858673096,425.1669285297394,21.11171317100525,13.851306676864624,14.99868893623352,13.614100217819214
9,13.725496053695679,14.256239414215088,14.579658508300781,15.005009174346924,15.242929458618164,15.139816999435425,15.116719007492065,16.25802755355835,14.830152750015259,427.625337600708,21.096161603927612,13.899599075317383,14.83763074874878,13.582700967788696
10,13.573209047317505,14.20363450050354,14.536139011383057,14.957383155822754,15.269891023635864,15.289355516433716,15.330878734588623,15.326223373413086,15.253743648529053,434.13790345191956,21.257683992385864,14.187716960906982,15.480750560760498,14.149098873138428
11,13.62808609008789,14.246790409088135,14.588920831680298,15.00040340423584,15.304198980331421,15.324184894561768,15.346099853515625,15.372004985809326,15.278857946395874,437.2766740322113,21.44705820083618,14.25541067123413,15.511666774749756,13.956846714019775
12,13.560119867324829,14.144875049591064,14.457697629928589,14.851838111877441,15.15109896659851,15.235414028167725,15.377742290496826,17.885371923446655,14.986864805221558,427.42669200897217,21.237963438034058,14.107628583908081,15.329912662506104,13.91113543510437
13,13.615528345108032,14.146710634231567,14.469154357910156,14.868241548538208,15.164514303207397,15.179872751235962,15.153149843215942,16.458687782287598,15.014605045318604,428.1895978450775,21.0444278717041,13.964972257614136,15.187326669692993,13.783442258834839
14,13.571845531463623,14.273669719696045,14.504159688949585,15.107424259185791,15.161991357803345,15.420239686965942,15.068220138549805,15.125373363494873,15.008772611618042,421.86445331573486,21.047032833099365,13.826820611953735,14.876735210418701,13.642087697982788
15,13.57665205001831,14.11911392211914,14.430607557296753,14.814183235168457,15.11624002456665,15.13696575164795,15.128044843673706,17.325758695602417,14.98840069770813,427.43417716026306,21.21189308166504,14.076387882232666,15.28943419456482,13.879445552825928
16,13.44548773765564,14.166089296340942,14.511794328689575,14.925772428512573,15.44756531715393,15.249490976333618,15.280013084411621,15.296264171600342,15.283483028411865,431.632604598999,21.367589712142944,14.147545099258423,15.454380750656128,14.197558879852295
17,13.443096160888672,14.243143320083618,14.529995441436768,14.921042203903198,15.185597896575928,15.412017583847046,15.106274843215942,15.138816595077515,15.16977596282959,411.66889238357544,21.083633184432983,13.869808197021484,14.925930261611938,13.84593391418457
18,13.587559223175049,14.29207181930542,14.668302059173584,15.086233615875244,15.385746717453003,15.410048007965088,15.432872772216797,15.432790040969849,15.409807682037354,432.6990911960602,21.575167894363403,14.283334970474243,15.608530521392822,14.272172451019287
19,13.26693081855774,13.962179183959961,14.275524854660034,14.660614490509033,14.954147338867188,14.978821039199829,14.983497381210327,14.867145776748657,14.994343042373657,418.44603753089905,21.21285843849182,14.006191730499268,15.015599966049194,14.085530519485474
20,13.632780075073242,14.186927795410156,14.47452163696289,14.892593622207642,15.155370950698853,15.093085765838623,15.067350625991821,16.66141152381897,14.93337893486023,428.3783802986145,21.137415409088135,14.038851737976074,15.256672382354736,13.855113983154297
21,13.578668117523193,14.171210765838623,14.483463525772095,14.883074283599854,15.137603521347046,15.081075191497803,15.037142992019653,15.099028825759888,14.96774697303772,425.2346510887146,20.921746492385864,13.77009391784668,14.830061912536621,13.547285079956055
22,13.193173170089722,13.88687801361084,14.18400263786316,14.517951965332031,14.800697088241577,14.836861371994019,14.829082489013672,14.71257495880127,14.847110986709595,413.41478157043457,20.942510843276978,13.78290343284607,14.879729270935059,13.943489789962769
23,13.508132934570312,14.134397983551025,14.484023332595825,14.89281678199768,15.213161945343018,15.235853433609009,15.254327535629272,15.264756917953491,15.213346481323242,431.1954970359802,21.21548581123352,14.097853422164917,15.425692081451416,14.136276006698608
24,13.486876487731934,14.044282913208008,14.3527512550354,14.7603280544281,14.994587421417236,14.942320823669434,14.890404224395752,14.969145059585571,14.85695195198059,422.7321605682373,20.70276975631714,13.666353940963745,14.718277215957642,13.494638919830322
25,13.608555316925049,14.15325379371643,14.460572719573975,14.871401309967041,15.154605150222778,15.182188034057617,15.167726993560791,17.062155961990356,14.994991064071655,428.25414061546326,21.32257080078125,14.344342708587646,15.29912519454956,13.933157444000244
26,13.121279001235962,14.148028373718262,14.471563577651978,14.894702434539795,15.15465235710144,15.185220003128052,15.132440090179443,14.811222553253174,14.298565149307251,446.50313782691956,21.136113166809082,13.892967700958252,14.676349878311157,13.472015619277954
27,13.63519549369812,14.301076173782349,14.632204294204712,15.254240274429321,15.279971599578857,15.287112951278687,15.038619756698608,15.069148778915405,14.737257719039917,430.5032546520233,20.94141387939453,13.694416046142578,14.632357835769653,13.436309099197388
28,13.305472135543823,14.092243671417236,14.439541578292847,14.956371784210205,15.13845944404602,15.167516469955444,15.197078466415405,15.213955163955688,15.231598377227783,434.28467893600464,21.134915351867676,14.049967765808105,15.39026165008545,14.096160888671875
29,13.482268333435059,14.078930139541626,14.389660120010376,14.807525396347046,15.319891452789307,15.101711750030518,15.07008409500122,14.80506181716919,14.67538833618164,426.80012822151184,20.697824001312256,13.517295122146606,14.495334148406982,13.268112421035767
30,13.452445268630981,14.161870002746582,14.470171213150024,14.893678903579712,15.137820959091187,15.540202856063843,15.19126844406128,15.055185317993164,15.188284635543823,433.5473711490631,21.316304206848145,14.341377258300781,15.31151819229126,13.946693658828735
31,13.343243598937988,14.040804862976074,14.33571481704712,14.936487913131714,15.036793231964111,15.056466817855835,15.053459882736206,14.925188779830933,15.068812847137451,421.27044558525085,21.30791473388672,14.004462480545044,15.138569116592407,14.070058584213257
