Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[380.0],[380.0],[380.0],[380.0],[156.0],[380.0],[380.0],[365.0],[380.0],[155.0],[380.0],[380.0],[354.0],[380.0],[424.0],[380.0],[204.0],[380.0],[423.0],[380.0],[380.0],[380.0],[418.0],[380.0],[380.0],[380.0],[380.0],[145.0],[380.0],[353.0],[380.0],[147.0],[418.0],[380.0],[405.0],[380.0],[253.0],[410.0],[380.0],[380.0],[380.0],[380.0],[380.0],[380.0],[380.0],[204.0],[380.0],[380.0],[416.0],[353.0],[380.0],[156.0],[380.0],[380.0],[380.0],[155.0],[380.0],[380.0],[380.0],[418.0],[364.0],[380.0],[380.0],[418.0],[418.0],[380.0],[418.0],[380.0],[380.0],[380.0],[418.0],[380.0],[283.0],[380.0],[380.0],[380.0],[380.0],[380.0],[418.0],[380.0],[283.0],[380.0],[380.0],[492.0],[380.0],[380.0],[380.0],[380.0],[380.0],[380.0],[418.0],[380.0],[380.0],[380.0],[380.0],[380.0],[380.0],[380.0],[380.0],[380.0]
1,[410.0],[353.0],[418.0],[410.0],[353.0],[123.0],[126.0],[156.0],[214.0],[380.0],[418.0],[155.0],[380.0],[365.0],[380.0],[405.0],[380.0],[365.0],[380.0],[405.0],[418.0],[364.0],[380.0],[155.0],[410.0],[405.0],[156.0],[418.0],[418.0],[418.0],[159.0],[123.0],[354.0],[365.0],[159.0],[437.0],[102.0],[492.0],[418.0],[418.0],[142.0],[57.0],[450.0],[418.0],[405.0],[492.0],[155.0],[490.0],[418.0],[163.0],[418.0],[380.0],[353.0],[418.0],[418.0],[380.0],[152.0],[418.0],[418.0],[204.0],[41.0],[353.0],[418.0],[355.0],[423.0],[418.0],[353.0],[418.0],[418.0],[405.0],[380.0],[124.0],[292.0],[410.0],[214.0],[405.0],[364.0],[355.0],[365.0],[405.0],[380.0],[405.0],[418.0],[214.0],[418.0],[353.0],[405.0],[405.0],[418.0],[410.0],[380.0],[418.0],[415.0],[437.0],[204.0],[418.0],[418.0],[353.0],[405.0],[418.0]
2,[155.0],[414.0],[155.0],[214.0],[380.0],[204.0],[142.0],[380.0],[342.0],[410.0],[283.0],[405.0],[126.0],[410.0],[418.0],[204.0],[365.0],[418.0],[418.0],[418.0],[354.0],[353.0],[367.0],[418.0],[438.0],[152.0],[214.0],[257.0],[410.0],[166.0],[225.0],[380.0],[380.0],[416.0],[155.0],[418.0],[365.0],[380.0],[423.0],[365.0],[418.0],[418.0],[410.0],[214.0],[365.0],[125.0],[211.0],[418.0],[380.0],[380.0],[364.0],[147.0],[364.0],[405.0],[204.0],[353.0],[126.0],[416.0],[423.0],[355.0],[414.0],[418.0],[405.0],[155.0],[380.0],[410.0],[274.0],[364.0],[126.0],[418.0],[155.0],[159.0],[358.0],[152.0],[126.0],[283.0],[405.0],[155.0],[380.0],[214.0],[405.0],[418.0],[353.0],[354.0],[204.0],[405.0],[423.0],[410.0],[438.0],[353.0],[450.0],[450.0],[418.0],[365.0],[405.0],[492.0],[405.0],[124.0],[492.0],[405.0]
3,[147.0],[290.0],[405.0],[204.0],[342.0],[365.0],[160.0],[124.0],[418.0],[142.0],[410.0],[490.0],[355.0],[418.0],[490.0],[156.0],[48.0],[291.0],[355.0],[423.0],[203.0],[418.0],[156.0],[370.0],[492.0],[367.0],[405.0],[380.0],[405.0],[209.0],[365.0],[367.0],[365.0],[418.0],[354.0],[405.0],[204.0],[418.0],[353.0],[145.0],[410.0],[203.0],[354.0],[405.0],[492.0],[156.0],[364.0],[64.0],[437.0],[283.0],[365.0],[405.0],[418.0],[424.0],[147.0],[418.0],[405.0],[365.0],[253.0],[211.0],[418.0],[364.0],[437.0],[380.0],[410.0],[405.0],[152.0],[142.0],[282.0],[200.0],[424.0],[410.0],[491.0],[155.0],[418.0],[147.0],[418.0],[283.0],[490.0],[156.0],[200.0],[257.0],[221.0],[488.0],[490.0],[209.0],[418.0],[418.0],[354.0],[418.0],[353.0],[368.0],[204.0],[353.0],[424.0],[124.0],[147.0],[48.0],[365.0],[365.0]
4,[123.0],[490.0],[492.0],[126.0],[418.0],[54.0],[368.0],[155.0],[364.0],[370.0],[364.0],[365.0],[204.0],[8.0],[121.0],[126.0],[199.0],[368.0],[354.0],[491.0],[124.0],[405.0],[353.0],[152.0],[160.0],[147.0],[418.0],[156.0],[424.0],[257.0],[125.0],[257.0],[126.0],[405.0],[418.0],[214.0],[353.0],[204.0],[54.0],[367.0],[489.0],[405.0],[142.0],[450.0],[152.0],[257.0],[410.0],[405.0],[353.0],[120.0],[152.0],[367.0],[152.0],[368.0],[492.0],[48.0],[353.0],[156.0],[405.0],[163.0],[353.0],[365.0],[404.0],[202.0],[8.0],[354.0],[155.0],[450.0],[450.0],[367.0],[405.0],[418.0],[405.0],[418.0],[367.0],[418.0],[142.0],[124.0],[147.0],[410.0],[365.0],[283.0],[405.0],[380.0],[253.0],[218.0],[410.0],[152.0],[405.0],[364.0],[365.0],[410.0],[54.0],[405.0],[418.0],[405.0],[152.0],[418.0],[418.0],[126.0]
5,[364.0],[405.0],[365.0],[365.0],[283.0],[364.0],[292.0],[418.0],[492.0],[156.0],[142.0],[353.0],[418.0],[358.0],[152.0],[491.0],[418.0],[492.0],[126.0],[365.0],[257.0],[155.0],[152.0],[204.0],[365.0],[418.0],[124.0],[410.0],[156.0],[490.0],[353.0],[126.0],[48.0],[364.0],[152.0],[365.0],[380.0],[365.0],[410.0],[253.0],[155.0],[54.0],[126.0],[367.0],[364.0],[203.0],[214.0],[54.0],[123.0],[203.0],[491.0],[155.0],[123.0],[214.0],[283.0],[410.0],[418.0],[367.0],[257.0],[221.0],[410.0],[450.0],[8.0],[209.0],[214.0],[416.0],[405.0],[351.0],[405.0],[353.0],[410.0],[199.0],[353.0],[351.0],[364.0],[204.0],[490.0],[491.0],[405.0],[490.0],[418.0],[8.0],[290.0],[418.0],[405.0],[8.0],[257.0],[364.0],[355.0],[142.0],[369.0],[405.0],[126.0],[418.0],[365.0],[365.0],[364.0],[159.0],[124.0],[368.0]
6,[405.0],[424.0],[483.0],[418.0],[355.0],[490.0],[490.0],[490.0],[491.0],[365.0],[405.0],[411.0],[8.0],[405.0],[405.0],[125.0],[351.0],[126.0],[405.0],[368.0],[365.0],[365.0],[121.0],[203.0],[418.0],[492.0],[122.0],[423.0],[456.0],[503.0],[418.0],[155.0],[492.0],[155.0],[125.0],[364.0],[155.0],[257.0],[490.0],[405.0],[491.0],[410.0],[367.0],[203.0],[410.0],[410.0],[209.0],[257.0],[152.0],[405.0],[490.0],[410.0],[424.0],[102.0],[257.0],[142.0],[123.0],[491.0],[57.0],[405.0],[365.0],[142.0],[365.0],[125.0],[156.0],[450.0],[398.0],[369.0],[438.0],[48.0],[364.0],[367.0],[142.0],[48.0],[365.0],[364.0],[404.0],[214.0],[214.0],[126.0],[353.0],[410.0],[283.0],[365.0],[203.0],[364.0],[438.0],[221.0],[482.0],[124.0],[490.0],[456.0],[438.0],[214.0],[292.0],[367.0],[492.0],[492.0],[253.0],[492.0]
7,[450.0],[152.0],[125.0],[491.0],[57.0],[405.0],[204.0],[221.0],[363.0],[418.0],[162.0],[145.0],[155.0],[209.0],[54.0],[353.0],[492.0],[410.0],[156.0],[364.0],[410.0],[199.0],[416.0],[365.0],[283.0],[410.0],[364.0],[405.0],[367.0],[380.0],[150.0],[492.0],[457.0],[123.0],[364.0],[159.0],[265.0],[405.0],[405.0],[120.0],[221.0],[204.0],[155.0],[155.0],[126.0],[423.0],[405.0],[152.0],[365.0],[492.0],[405.0],[365.0],[365.0],[414.0],[405.0],[126.0],[155.0],[405.0],[211.0],[8.0],[368.0],[209.0],[492.0],[488.0],[353.0],[145.0],[283.0],[124.0],[410.0],[155.0],[221.0],[147.0],[370.0],[438.0],[293.0],[410.0],[155.0],[364.0],[283.0],[365.0],[368.0],[155.0],[352.0],[155.0],[489.0],[490.0],[374.0],[124.0],[159.0],[365.0],[126.0],[155.0],[405.0],[8.0],[423.0],[64.0],[204.0],[405.0],[410.0],[125.0]
8,[199.0],[352.0],[367.0],[412.0],[126.0],[102.0],[353.0],[351.0],[368.0],[121.0],[353.0],[354.0],[490.0],[364.0],[365.0],[354.0],[283.0],[257.0],[204.0],[398.0],[297.0],[490.0],[410.0],[364.0],[48.0],[156.0],[363.0],[491.0],[214.0],[126.0],[120.0],[365.0],[147.0],[57.0],[365.0],[489.0],[410.0],[126.0],[292.0],[410.0],[204.0],[490.0],[152.0],[120.0],[203.0],[412.0],[414.0],[365.0],[367.0],[274.0],[125.0],[364.0],[126.0],[156.0],[410.0],[490.0],[492.0],[214.0],[492.0],[147.0],[354.0],[367.0],[204.0],[410.0],[365.0],[365.0],[162.0],[438.0],[152.0],[145.0],[490.0],[295.0],[367.0],[142.0],[353.0],[120.0],[489.0],[418.0],[208.0],[368.0],[492.0],[364.0],[490.0],[368.0],[258.0],[199.0],[416.0],[492.0],[410.0],[126.0],[368.0],[283.0],[353.0],[151.0],[198.0],[364.0],[356.0],[297.0],[354.0],[253.0]
9,[257.0],[156.0],[120.0],[367.0],[410.0],[159.0],[364.0],[364.0],[120.0],[426.0],[370.0],[211.0],[162.0],[214.0],[492.0],[418.0],[203.0],[159.0],[120.0],[367.0],[416.0],[126.0],[490.0],[405.0],[155.0],[203.0],[155.0],[64.0],[365.0],[365.0],[214.0],[262.0],[367.0],[296.0],[214.0],[410.0],[367.0],[491.0],[123.0],[492.0],[405.0],[353.0],[418.0],[365.0],[154.0],[367.0],[221.0],[367.0],[410.0],[145.0],[156.0],[126.0],[203.0],[158.0],[155.0],[123.0],[283.0],[364.0],[214.0],[203.0],[214.0],[352.0],[410.0],[214.0],[292.0],[491.0],[414.0],[145.0],[200.0],[416.0],[365.0],[8.0],[209.0],[283.0],[492.0],[74.0],[488.0],[120.0],[358.0],[291.0],[354.0],[353.0],[364.0],[367.0],[214.0],[418.0],[364.0],[156.0],[365.0],[253.0],[265.0],[365.0],[120.0],[355.0],[412.0],[410.0],[423.0],[364.0],[203.0],[364.0]
