Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[414.0],[414.0],[380.0],[414.0],[380.0],[418.0],[283.0],[380.0],[418.0],[380.0],[283.0],[414.0],[283.0],[380.0],[380.0],[380.0],[490.0],[490.0],[380.0],[414.0],[367.0],[380.0],[414.0],[48.0],[155.0],[414.0],[380.0],[365.0],[414.0],[380.0],[418.0],[414.0],[374.0],[380.0],[414.0],[380.0],[380.0],[418.0],[380.0],[380.0],[418.0],[414.0],[374.0],[380.0],[380.0],[418.0],[414.0],[380.0],[380.0],[380.0],[414.0],[48.0],[365.0],[380.0],[410.0],[380.0],[147.0],[414.0],[405.0],[490.0],[380.0],[380.0],[418.0],[380.0],[380.0],[367.0],[380.0],[380.0],[418.0],[380.0],[380.0],[414.0],[380.0],[380.0],[488.0],[418.0],[367.0],[380.0],[418.0],[418.0],[380.0],[414.0],[365.0],[374.0],[365.0],[414.0],[380.0],[490.0],[490.0],[214.0],[380.0],[380.0],[414.0],[374.0],[380.0],[414.0],[380.0],[283.0],[414.0],[365.0]
1,[145.0],[490.0],[214.0],[380.0],[414.0],[147.0],[418.0],[414.0],[380.0],[414.0],[418.0],[410.0],[155.0],[414.0],[418.0],[418.0],[414.0],[418.0],[414.0],[283.0],[418.0],[367.0],[380.0],[410.0],[414.0],[380.0],[414.0],[414.0],[163.0],[414.0],[412.0],[380.0],[380.0],[414.0],[380.0],[414.0],[411.0],[283.0],[414.0],[423.0],[414.0],[380.0],[365.0],[414.0],[414.0],[380.0],[490.0],[414.0],[414.0],[450.0],[490.0],[410.0],[380.0],[490.0],[380.0],[438.0],[214.0],[418.0],[365.0],[410.0],[418.0],[410.0],[367.0],[374.0],[414.0],[414.0],[414.0],[418.0],[414.0],[418.0],[414.0],[418.0],[414.0],[367.0],[367.0],[354.0],[380.0],[365.0],[490.0],[367.0],[414.0],[490.0],[147.0],[414.0],[414.0],[490.0],[418.0],[380.0],[367.0],[364.0],[414.0],[414.0],[380.0],[414.0],[414.0],[367.0],[418.0],[414.0],[380.0],[418.0]
2,[214.0],[380.0],[414.0],[147.0],[374.0],[380.0],[412.0],[410.0],[414.0],[374.0],[365.0],[155.0],[410.0],[410.0],[414.0],[414.0],[367.0],[367.0],[365.0],[380.0],[414.0],[418.0],[367.0],[380.0],[380.0],[155.0],[147.0],[490.0],[380.0],[490.0],[414.0],[155.0],[365.0],[374.0],[283.0],[155.0],[354.0],[354.0],[466.0],[418.0],[410.0],[204.0],[155.0],[410.0],[196.0],[414.0],[380.0],[490.0],[374.0],[414.0],[380.0],[380.0],[490.0],[414.0],[490.0],[410.0],[410.0],[365.0],[414.0],[426.0],[490.0],[437.0],[380.0],[283.0],[147.0],[418.0],[141.0],[414.0],[490.0],[414.0],[410.0],[410.0],[410.0],[450.0],[414.0],[414.0],[414.0],[410.0],[414.0],[414.0],[283.0],[145.0],[414.0],[155.0],[490.0],[284.0],[414.0],[414.0],[414.0],[380.0],[283.0],[365.0],[410.0],[380.0],[374.0],[380.0],[414.0],[374.0],[141.0],[414.0]
3,[380.0],[450.0],[282.0],[374.0],[410.0],[414.0],[380.0],[450.0],[423.0],[490.0],[414.0],[145.0],[490.0],[283.0],[490.0],[203.0],[423.0],[414.0],[490.0],[126.0],[380.0],[210.0],[374.0],[414.0],[410.0],[145.0],[490.0],[410.0],[365.0],[147.0],[380.0],[410.0],[410.0],[354.0],[410.0],[202.0],[155.0],[380.0],[427.0],[490.0],[380.0],[257.0],[141.0],[411.0],[141.0],[410.0],[410.0],[283.0],[209.0],[365.0],[410.0],[414.0],[410.0],[410.0],[424.0],[414.0],[418.0],[354.0],[387.0],[380.0],[257.0],[367.0],[374.0],[418.0],[374.0],[410.0],[126.0],[490.0],[380.0],[450.0],[438.0],[156.0],[424.0],[414.0],[380.0],[283.0],[490.0],[414.0],[380.0],[405.0],[410.0],[380.0],[418.0],[490.0],[418.0],[192.0],[427.0],[384.0],[380.0],[32.0],[490.0],[354.0],[365.0],[369.0],[283.0],[141.0],[367.0],[354.0],[410.0],[410.0]
4,[438.0],[155.0],[283.0],[450.0],[291.0],[411.0],[490.0],[384.0],[367.0],[416.0],[380.0],[380.0],[411.0],[219.0],[283.0],[284.0],[410.0],[380.0],[412.0],[155.0],[410.0],[374.0],[418.0],[277.0],[283.0],[236.0],[410.0],[450.0],[283.0],[203.0],[410.0],[374.0],[155.0],[418.0],[276.0],[410.0],[374.0],[155.0],[411.0],[414.0],[32.0],[490.0],[380.0],[438.0],[365.0],[204.0],[450.0],[195.0],[411.0],[410.0],[438.0],[354.0],[102.0],[354.0],[102.0],[450.0],[155.0],[380.0],[410.0],[414.0],[367.0],[455.0],[425.0],[414.0],[490.0],[283.0],[425.0],[196.0],[374.0],[262.0],[424.0],[432.0],[490.0],[374.0],[352.0],[380.0],[284.0],[450.0],[102.0],[374.0],[411.0],[410.0],[380.0],[418.0],[380.0],[197.0],[436.0],[400.0],[410.0],[410.0],[203.0],[410.0],[426.0],[147.0],[410.0],[404.0],[490.0],[284.0],[374.0],[457.0]
5,[410.0],[57.0],[410.0],[418.0],[490.0],[102.0],[426.0],[482.0],[410.0],[418.0],[410.0],[283.0],[160.0],[268.0],[225.0],[490.0],[102.0],[410.0],[102.0],[102.0],[411.0],[410.0],[427.0],[160.0],[284.0],[160.0],[426.0],[374.0],[277.0],[427.0],[404.0],[163.0],[490.0],[198.0],[162.0],[404.0],[233.0],[195.0],[144.0],[367.0],[466.0],[163.0],[414.0],[354.0],[410.0],[431.0],[387.0],[57.0],[384.0],[155.0],[268.0],[155.0],[423.0],[424.0],[253.0],[411.0],[353.0],[141.0],[444.0],[102.0],[410.0],[414.0],[414.0],[410.0],[418.0],[424.0],[32.0],[98.0],[410.0],[261.0],[432.0],[39.0],[426.0],[490.0],[410.0],[410.0],[410.0],[412.0],[204.0],[410.0],[203.0],[438.0],[410.0],[165.0],[410.0],[380.0],[155.0],[440.0],[466.0],[414.0],[55.0],[155.0],[432.0],[292.0],[156.0],[410.0],[204.0],[102.0],[426.0],[155.0]
6,[102.0],[431.0],[225.0],[490.0],[204.0],[203.0],[414.0],[196.0],[490.0],[424.0],[424.0],[195.0],[204.0],[198.0],[450.0],[367.0],[418.0],[423.0],[410.0],[418.0],[165.0],[282.0],[410.0],[162.0],[432.0],[418.0],[102.0],[431.0],[410.0],[410.0],[102.0],[283.0],[404.0],[283.0],[426.0],[187.0],[367.0],[490.0],[163.0],[410.0],[367.0],[155.0],[418.0],[204.0],[102.0],[256.0],[417.0],[418.0],[404.0],[438.0],[267.0],[367.0],[198.0],[125.0],[167.0],[158.0],[283.0],[410.0],[426.0],[155.0],[195.0],[398.0],[410.0],[141.0],[410.0],[203.0],[404.0],[413.0],[197.0],[431.0],[367.0],[354.0],[290.0],[410.0],[490.0],[155.0],[283.0],[355.0],[413.0],[450.0],[197.0],[102.0],[490.0],[404.0],[426.0],[367.0],[204.0],[200.0],[404.0],[158.0],[404.0],[167.0],[386.0],[277.0],[431.0],[438.0],[291.0],[490.0],[427.0],[156.0]
7,[490.0],[203.0],[220.0],[431.0],[411.0],[365.0],[410.0],[431.0],[165.0],[282.0],[490.0],[490.0],[102.0],[102.0],[367.0],[410.0],[380.0],[102.0],[155.0],[410.0],[404.0],[364.0],[283.0],[282.0],[57.0],[220.0],[412.0],[102.0],[160.0],[404.0],[204.0],[161.0],[438.0],[437.0],[364.0],[224.0],[418.0],[256.0],[489.0],[262.0],[165.0],[367.0],[411.0],[147.0],[261.0],[438.0],[386.0],[256.0],[418.0],[432.0],[162.0],[291.0],[353.0],[430.0],[54.0],[102.0],[156.0],[423.0],[418.0],[179.0],[283.0],[404.0],[424.0],[155.0],[432.0],[57.0],[387.0],[225.0],[256.0],[367.0],[404.0],[380.0],[283.0],[225.0],[412.0],[141.0],[290.0],[291.0],[351.0],[424.0],[155.0],[418.0],[57.0],[409.0],[432.0],[410.0],[196.0],[204.0],[352.0],[424.0],[57.0],[141.0],[156.0],[257.0],[155.0],[102.0],[410.0],[203.0],[32.0],[380.0]
8,[155.0],[102.0],[411.0],[283.0],[123.0],[490.0],[155.0],[156.0],[196.0],[204.0],[431.0],[291.0],[282.0],[354.0],[263.0],[424.0],[202.0],[134.0],[265.0],[156.0],[354.0],[165.0],[203.0],[283.0],[196.0],[412.0],[204.0],[417.0],[162.0],[195.0],[291.0],[295.0],[427.0],[427.0],[438.0],[365.0],[165.0],[414.0],[155.0],[163.0],[490.0],[160.0],[417.0],[370.0],[225.0],[102.0],[412.0],[410.0],[203.0],[204.0],[155.0],[438.0],[257.0],[283.0],[153.0],[283.0],[414.0],[102.0],[156.0],[186.0],[404.0],[413.0],[430.0],[354.0],[412.0],[195.0],[410.0],[364.0],[404.0],[410.0],[145.0],[490.0],[197.0],[364.0],[404.0],[102.0],[162.0],[426.0],[404.0],[380.0],[162.0],[266.0],[257.0],[354.0],[204.0],[141.0],[404.0],[195.0],[386.0],[432.0],[204.0],[165.0],[418.0],[354.0],[203.0],[294.0],[413.0],[256.0],[404.0],[411.0]
9,[367.0],[412.0],[166.0],[155.0],[200.0],[155.0],[431.0],[157.0],[256.0],[195.0],[155.0],[102.0],[195.0],[490.0],[410.0],[426.0],[284.0],[195.0],[204.0],[432.0],[374.0],[162.0],[424.0],[204.0],[398.0],[369.0],[404.0],[409.0],[282.0],[291.0],[283.0],[157.0],[418.0],[398.0],[160.0],[490.0],[97.0],[432.0],[283.0],[155.0],[407.0],[157.0],[432.0],[214.0],[432.0],[283.0],[432.0],[279.0],[200.0],[195.0],[354.0],[413.0],[263.0],[155.0],[106.0],[200.0],[204.0],[283.0],[380.0],[204.0],[414.0],[432.0],[398.0],[147.0],[431.0],[256.0],[423.0],[102.0],[257.0],[355.0],[163.0],[267.0],[195.0],[226.0],[418.0],[438.0],[160.0],[490.0],[410.0],[156.0],[276.0],[404.0],[268.0],[410.0],[195.0],[259.0],[432.0],[202.0],[435.0],[367.0],[195.0],[418.0],[438.0],[282.0],[160.0],[144.0],[404.0],[404.0],[418.0],[432.0]
