Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,EGAL
0,9.857717990875244,10.172050952911377,10.808317422866821,10.973228931427002,11.07819390296936,11.050981998443604,11.069353818893433,11.026967763900757,10.907442569732666,333.7478322982788,15.369068145751953,10.113475799560547,10.615083932876587
1,10.214483976364136,10.917724132537842,10.926618337631226,10.979103326797485,10.989039182662964,10.944592475891113,10.945608377456665,11.105615854263306,10.935041904449463,295.60471057891846,15.702600717544556,10.367748260498047,11.680784940719604
2,9.857889413833618,10.116437911987305,10.414493560791016,10.543400049209595,10.653825283050537,10.895339250564575,11.085612535476685,14.46815824508667,11.215346097946167,340.3190658092499,15.345518827438354,10.131244659423828,10.91926097869873
3,10.00330400466919,10.26868724822998,10.568923234939575,10.705249547958374,10.801968097686768,11.115216970443726,11.223514318466187,12.957332372665405,11.37986421585083,338.57567977905273,15.651236057281494,10.299526929855347,12.00549864768982
4,10.276998519897461,10.817713975906372,10.906875848770142,10.989505767822266,10.972248554229736,10.957588911056519,10.959120035171509,10.954296350479126,10.919814825057983,300.86705231666565,15.643543004989624,10.341728448867798,10.90397310256958
5,9.797244787216187,10.040087223052979,10.333572149276733,10.71911883354187,10.978732109069824,10.98831057548523,10.998603582382202,10.969313859939575,11.001220464706421,79.70406937599182,15.248211145401001,10.032761096954346,10.529039859771729
6,10.35025429725647,10.71852707862854,11.026122808456421,11.153224229812622,11.229243516921997,11.215141773223877,11.053077220916748,10.930783987045288,10.912696361541748,378.93770694732666,15.71640682220459,10.389261484146118,10.998694896697998
7,10.196019172668457,10.763253450393677,10.887897253036499,10.950982809066772,10.956245183944702,10.918545007705688,11.125941514968872,10.92047905921936,10.913968086242676,292.6927237510681,15.723419904708862,10.297232151031494,10.89812707901001
8,10.101051330566406,10.500734090805054,10.797297477722168,10.954821586608887,11.085281610488892,11.08775806427002,11.081531524658203,11.01243257522583,11.077054977416992,325.0760385990143,15.813861846923828,10.405487060546875,10.9137864112854
9,10.301975965499878,10.656829595565796,10.965350151062012,11.079041719436646,11.160914421081543,11.16331696510315,10.996622562408447,10.877946138381958,10.865311622619629,378.1503188610077,15.773000478744507,10.339613676071167,10.95672059059143
10,10.180557250976562,10.527711868286133,10.824496030807495,10.952640533447266,11.037651777267456,11.031705856323242,10.876414775848389,10.750280618667603,10.747809410095215,377.0193781852722,15.422595500946045,10.19075322151184,10.810479164123535
11,10.206760168075562,10.899348258972168,11.02909779548645,11.092692613601685,11.021046876907349,10.904833555221558,10.91187334060669,11.107250690460205,10.964122772216797,294.52535915374756,15.89320993423462,10.42615532875061,10.959351539611816
12,10.30319333076477,10.61958384513855,10.95515751838684,11.124072551727295,11.20429015159607,11.188921928405762,11.127052545547485,14.028156757354736,10.89698314666748,334.59527707099915,15.984318971633911,10.50383973121643,11.032355546951294
13,10.148234367370605,10.53830099105835,10.832600831985474,11.009487867355347,11.257147312164307,11.216887712478638,11.13610029220581,11.4048490524292,11.239187717437744,158.64637637138367,15.474411725997925,10.16595458984375,10.699505090713501
14,9.911865234375,10.204675674438477,10.525005340576172,10.624077796936035,11.031415939331055,11.216129064559937,11.254194974899292,11.319804191589355,11.319852352142334,305.4482090473175,15.45584750175476,10.225512742996216,12.890869617462158
15,10.270776510238647,10.568696737289429,10.87744140625,11.021683692932129,11.143282651901245,11.14019250869751,11.127720355987549,12.991791248321533,10.907992124557495,334.72553157806396,15.778759956359863,10.427784442901611,10.980376958847046
16,10.354581832885742,10.701913833618164,11.003199100494385,11.162291288375854,11.25090765953064,11.327402114868164,11.348080396652222,11.350106477737427,11.408287763595581,377.13917422294617,16.071959972381592,10.758535623550415,11.29067087173462
17,10.447035074234009,10.74077558517456,11.133776187896729,11.39845085144043,11.433674097061157,11.379926919937134,11.493044137954712,11.391431331634521,11.348554134368896,182.71885466575623,15.578672170639038,10.150398969650269,10.67564845085144
18,10.29875659942627,10.76698899269104,11.101722717285156,10.990570545196533,10.931056261062622,10.882399082183838,10.878021717071533,10.876880168914795,10.823407173156738,300.35406279563904,15.713878870010376,10.343805313110352,10.968900442123413
19,9.953963994979858,10.013275861740112,10.501555919647217,10.457087993621826,10.834906578063965,11.034880638122559,11.066473484039307,11.12020230293274,11.155146360397339,304.6453187465668,15.200820684432983,11.458743333816528,11.019774675369263
20,9.824861526489258,10.0996572971344,10.389505624771118,10.535789489746094,10.951934337615967,11.13413953781128,11.16495966911316,11.227728366851807,11.240881204605103,303.3463451862335,15.343659162521362,11.786940097808838,11.098714828491211
21,10.270407676696777,10.631004571914673,10.940676927566528,11.061274290084839,11.146636247634888,11.14029335975647,10.980816841125488,10.856472492218018,10.842565298080444,379.2628242969513,15.563364028930664,10.305039167404175,10.92530608177185
