Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[394.0],[44.0],[44.0],[28.0],[28.0],[28.0],[28.0],[28.0],[28.0],[44.0],[28.0],[13.0],[394.0],[13.0],[27.0],[28.0],[44.0],[28.0],[13.0],[390.0],[28.0],[28.0],[13.0],[28.0],[28.0],[394.0],[28.0],[28.0],[103.0],[44.0],[28.0],[44.0],[28.0],[6.0],[28.0],[28.0],[28.0],[394.0],[13.0],[103.0],[28.0],[195.0],[95.0],[394.0],[394.0],[13.0],[44.0],[6.0],[394.0],[28.0],[44.0],[102.0],[44.0],[341.0],[394.0],[28.0],[28.0],[6.0],[28.0],[28.0],[334.0],[6.0],[360.0],[28.0],[11.0],[28.0],[394.0],[8.0],[28.0],[95.0],[28.0],[28.0],[8.0],[394.0],[28.0],[28.0],[44.0],[394.0],[28.0],[154.0],[28.0],[28.0],[6.0],[11.0],[28.0],[44.0],[13.0],[95.0],[28.0],[13.0],[13.0],[28.0],[95.0],[300.0],[300.0],[13.0],[8.0],[95.0],[44.0],[59.0]
1,[44.0],[325.0],[13.0],[13.0],[394.0],[44.0],[244.0],[44.0],[44.0],[28.0],[326.0],[341.0],[160.0],[95.0],[78.0],[333.0],[131.0],[394.0],[28.0],[394.0],[44.0],[13.0],[28.0],[95.0],[44.0],[347.0],[6.0],[13.0],[44.0],[28.0],[13.0],[394.0],[42.0],[44.0],[329.0],[13.0],[300.0],[11.0],[28.0],[17.0],[95.0],[263.0],[44.0],[375.0],[44.0],[28.0],[299.0],[28.0],[28.0],[297.0],[6.0],[299.0],[7.0],[394.0],[326.0],[377.0],[306.0],[44.0],[95.0],[394.0],[28.0],[44.0],[394.0],[44.0],[28.0],[13.0],[7.0],[28.0],[19.0],[13.0],[95.0],[44.0],[44.0],[11.0],[13.0],[209.0],[28.0],[27.0],[44.0],[394.0],[6.0],[13.0],[103.0],[160.0],[8.0],[28.0],[28.0],[44.0],[59.0],[28.0],[28.0],[394.0],[375.0],[195.0],[195.0],[394.0],[28.0],[334.0],[375.0],[326.0]
2,[244.0],[299.0],[7.0],[59.0],[242.0],[300.0],[297.0],[394.0],[299.0],[102.0],[360.0],[362.0],[298.0],[44.0],[59.0],[13.0],[59.0],[244.0],[8.0],[244.0],[222.0],[144.0],[27.0],[44.0],[19.0],[44.0],[246.0],[209.0],[7.0],[333.0],[299.0],[325.0],[380.0],[131.0],[345.0],[60.0],[44.0],[131.0],[328.0],[297.0],[375.0],[341.0],[359.0],[44.0],[95.0],[290.0],[28.0],[44.0],[42.0],[13.0],[13.0],[28.0],[123.0],[13.0],[299.0],[299.0],[44.0],[364.0],[211.0],[44.0],[394.0],[13.0],[244.0],[13.0],[44.0],[131.0],[28.0],[44.0],[328.0],[334.0],[326.0],[299.0],[58.0],[27.0],[44.0],[325.0],[13.0],[390.0],[13.0],[242.0],[44.0],[333.0],[299.0],[228.0],[19.0],[326.0],[325.0],[28.0],[334.0],[333.0],[95.0],[375.0],[13.0],[333.0],[11.0],[95.0],[203.0],[28.0],[361.0],[6.0]
3,[59.0],[28.0],[19.0],[326.0],[27.0],[13.0],[44.0],[325.0],[13.0],[144.0],[375.0],[390.0],[44.0],[394.0],[23.0],[24.0],[28.0],[299.0],[262.0],[218.0],[299.0],[203.0],[139.0],[300.0],[131.0],[299.0],[394.0],[242.0],[364.0],[326.0],[394.0],[299.0],[326.0],[325.0],[264.0],[292.0],[229.0],[209.0],[8.0],[211.0],[394.0],[60.0],[297.0],[49.0],[11.0],[8.0],[325.0],[299.0],[395.0],[195.0],[28.0],[325.0],[81.0],[333.0],[44.0],[263.0],[243.0],[59.0],[75.0],[56.0],[59.0],[59.0],[102.0],[232.0],[299.0],[364.0],[299.0],[20.0],[332.0],[326.0],[375.0],[361.0],[206.0],[102.0],[7.0],[7.0],[59.0],[155.0],[292.0],[44.0],[300.0],[389.0],[375.0],[13.0],[329.0],[21.0],[95.0],[328.0],[17.0],[23.0],[299.0],[44.0],[209.0],[44.0],[44.0],[244.0],[394.0],[394.0],[13.0],[359.0]
4,[123.0],[390.0],[59.0],[6.0],[264.0],[6.0],[300.0],[299.0],[8.0],[139.0],[11.0],[76.0],[13.0],[28.0],[44.0],[229.0],[375.0],[44.0],[364.0],[44.0],[306.0],[246.0],[2.0],[11.0],[195.0],[380.0],[44.0],[102.0],[375.0],[298.0],[218.0],[375.0],[27.0],[28.0],[359.0],[264.0],[33.0],[28.0],[300.0],[13.0],[19.0],[44.0],[300.0],[299.0],[13.0],[326.0],[13.0],[95.0],[361.0],[180.0],[53.0],[347.0],[20.0],[299.0],[13.0],[209.0],[375.0],[203.0],[111.0],[13.0],[218.0],[28.0],[375.0],[166.0],[13.0],[27.0],[44.0],[102.0],[299.0],[299.0],[44.0],[131.0],[13.0],[131.0],[129.0],[117.0],[375.0],[300.0],[27.0],[13.0],[196.0],[71.0],[44.0],[28.0],[375.0],[13.0],[299.0],[60.0],[359.0],[59.0],[316.0],[299.0],[28.0],[394.0],[375.0],[44.0],[44.0],[244.0],[326.0],[244.0]
5,[28.0],[332.0],[300.0],[299.0],[203.0],[290.0],[59.0],[289.0],[243.0],[325.0],[21.0],[300.0],[123.0],[11.0],[263.0],[300.0],[326.0],[375.0],[111.0],[299.0],[111.0],[394.0],[326.0],[394.0],[264.0],[200.0],[328.0],[203.0],[195.0],[299.0],[44.0],[103.0],[347.0],[375.0],[299.0],[27.0],[211.0],[44.0],[11.0],[95.0],[44.0],[266.0],[244.0],[326.0],[315.0],[299.0],[293.0],[13.0],[334.0],[299.0],[50.0],[375.0],[264.0],[326.0],[325.0],[264.0],[233.0],[110.0],[44.0],[27.0],[13.0],[196.0],[116.0],[264.0],[229.0],[23.0],[244.0],[218.0],[326.0],[264.0],[325.0],[27.0],[251.0],[298.0],[360.0],[23.0],[53.0],[209.0],[162.0],[59.0],[2.0],[8.0],[394.0],[299.0],[361.0],[394.0],[44.0],[196.0],[22.0],[45.0],[363.0],[333.0],[360.0],[324.0],[326.0],[300.0],[299.0],[218.0],[328.0],[44.0]
6,[306.0],[326.0],[244.0],[44.0],[160.0],[263.0],[326.0],[13.0],[95.0],[299.0],[212.0],[394.0],[11.0],[299.0],[363.0],[394.0],[11.0],[9.0],[42.0],[293.0],[59.0],[300.0],[299.0],[299.0],[27.0],[13.0],[121.0],[389.0],[277.0],[364.0],[59.0],[13.0],[13.0],[347.0],[25.0],[122.0],[394.0],[13.0],[25.0],[306.0],[343.0],[28.0],[394.0],[325.0],[59.0],[306.0],[14.0],[11.0],[231.0],[323.0],[19.0],[300.0],[306.0],[7.0],[28.0],[67.0],[9.0],[327.0],[27.0],[325.0],[364.0],[300.0],[347.0],[18.0],[395.0],[300.0],[383.0],[197.0],[375.0],[328.0],[364.0],[353.0],[113.0],[360.0],[59.0],[268.0],[231.0],[328.0],[59.0],[244.0],[116.0],[295.0],[360.0],[364.0],[44.0],[325.0],[326.0],[71.0],[13.0],[263.0],[23.0],[310.0],[44.0],[299.0],[55.0],[28.0],[246.0],[44.0],[306.0],[203.0]
7,[23.0],[131.0],[387.0],[325.0],[209.0],[95.0],[195.0],[25.0],[394.0],[394.0],[394.0],[44.0],[328.0],[377.0],[28.0],[375.0],[395.0],[116.0],[326.0],[333.0],[13.0],[196.0],[195.0],[197.0],[13.0],[326.0],[142.0],[364.0],[28.0],[342.0],[27.0],[361.0],[23.0],[242.0],[300.0],[154.0],[13.0],[55.0],[56.0],[277.0],[380.0],[59.0],[195.0],[19.0],[326.0],[44.0],[116.0],[359.0],[13.0],[181.0],[286.0],[27.0],[299.0],[244.0],[375.0],[275.0],[388.0],[12.0],[394.0],[100.0],[203.0],[394.0],[264.0],[288.0],[292.0],[394.0],[102.0],[299.0],[29.0],[131.0],[209.0],[148.0],[28.0],[54.0],[121.0],[380.0],[196.0],[28.0],[86.0],[299.0],[19.0],[341.0],[218.0],[78.0],[221.0],[7.0],[328.0],[264.0],[361.0],[275.0],[44.0],[8.0],[381.0],[29.0],[299.0],[11.0],[262.0],[299.0],[210.0],[299.0]
8,[326.0],[358.0],[28.0],[375.0],[328.0],[299.0],[387.0],[326.0],[325.0],[333.0],[328.0],[299.0],[299.0],[300.0],[170.0],[95.0],[13.0],[8.0],[59.0],[356.0],[333.0],[364.0],[131.0],[195.0],[111.0],[244.0],[361.0],[243.0],[13.0],[345.0],[376.0],[23.0],[299.0],[352.0],[376.0],[361.0],[27.0],[342.0],[231.0],[28.0],[324.0],[20.0],[13.0],[328.0],[299.0],[244.0],[292.0],[4.0],[7.0],[25.0],[264.0],[364.0],[244.0],[277.0],[95.0],[383.0],[391.0],[117.0],[326.0],[298.0],[299.0],[299.0],[154.0],[146.0],[243.0],[49.0],[326.0],[394.0],[13.0],[306.0],[59.0],[59.0],[27.0],[52.0],[315.0],[13.0],[123.0],[333.0],[229.0],[246.0],[131.0],[203.0],[278.0],[306.0],[355.0],[299.0],[300.0],[22.0],[94.0],[6.0],[55.0],[298.0],[198.0],[328.0],[244.0],[264.0],[387.0],[13.0],[81.0],[218.0]
9,[13.0],[244.0],[326.0],[195.0],[44.0],[264.0],[364.0],[347.0],[27.0],[375.0],[44.0],[325.0],[28.0],[7.0],[394.0],[328.0],[6.0],[328.0],[306.0],[7.0],[7.0],[131.0],[218.0],[54.0],[154.0],[218.0],[260.0],[27.0],[154.0],[74.0],[384.0],[277.0],[59.0],[94.0],[241.0],[123.0],[83.0],[326.0],[180.0],[360.0],[360.0],[13.0],[326.0],[13.0],[360.0],[360.0],[364.0],[155.0],[240.0],[361.0],[261.0],[297.0],[288.0],[23.0],[211.0],[297.0],[203.0],[177.0],[364.0],[328.0],[347.0],[326.0],[316.0],[11.0],[325.0],[59.0],[358.0],[139.0],[27.0],[49.0],[299.0],[53.0],[60.0],[390.0],[173.0],[375.0],[29.0],[241.0],[390.0],[203.0],[390.0],[394.0],[116.0],[275.0],[25.0],[244.0],[144.0],[206.0],[222.0],[207.0],[78.0],[19.0],[25.0],[325.0],[360.0],[53.0],[389.0],[54.0],[298.0],[315.0]
