Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[320.0],[124.0],[320.0],[249.0],[249.0],[15.0],[124.0],[124.0],[124.0],[124.0],[236.0],[193.0],[276.0],[276.0],[249.0],[276.0],[82.0],[124.0],[320.0],[124.0],[249.0],[352.0],[124.0],[193.0],[320.0],[124.0],[320.0],[445.0],[390.0],[249.0],[249.0],[320.0],[320.0],[124.0],[320.0],[124.0],[124.0],[320.0],[320.0],[124.0],[249.0],[236.0],[249.0],[124.0],[249.0],[320.0],[249.0],[15.0],[249.0],[236.0],[236.0],[124.0],[124.0],[320.0],[249.0],[320.0],[124.0],[249.0],[320.0],[124.0],[124.0],[36.0],[124.0],[249.0],[320.0],[124.0],[320.0],[124.0],[124.0],[320.0],[249.0],[124.0],[124.0],[320.0],[282.0],[320.0],[124.0],[249.0],[124.0],[320.0],[124.0],[320.0],[15.0],[124.0],[124.0],[236.0],[249.0],[398.0],[249.0],[110.0],[276.0],[124.0],[124.0],[236.0],[249.0],[124.0],[124.0],[124.0],[320.0],[320.0]
1,[249.0],[249.0],[249.0],[102.0],[117.0],[320.0],[249.0],[320.0],[249.0],[320.0],[276.0],[320.0],[320.0],[236.0],[15.0],[445.0],[266.0],[249.0],[236.0],[276.0],[15.0],[249.0],[320.0],[249.0],[15.0],[148.0],[249.0],[320.0],[249.0],[193.0],[313.0],[352.0],[359.0],[148.0],[193.0],[320.0],[249.0],[249.0],[276.0],[286.0],[236.0],[249.0],[320.0],[320.0],[148.0],[236.0],[320.0],[249.0],[124.0],[249.0],[313.0],[320.0],[320.0],[124.0],[224.0],[124.0],[249.0],[422.0],[110.0],[320.0],[320.0],[498.0],[320.0],[110.0],[249.0],[320.0],[124.0],[320.0],[249.0],[236.0],[36.0],[249.0],[320.0],[313.0],[320.0],[249.0],[320.0],[266.0],[249.0],[249.0],[313.0],[236.0],[236.0],[249.0],[249.0],[249.0],[149.0],[236.0],[102.0],[236.0],[213.0],[249.0],[390.0],[249.0],[320.0],[148.0],[249.0],[249.0],[124.0],[249.0]
2,[236.0],[193.0],[352.0],[149.0],[236.0],[236.0],[352.0],[276.0],[320.0],[249.0],[249.0],[124.0],[266.0],[249.0],[320.0],[197.0],[36.0],[320.0],[249.0],[320.0],[276.0],[377.0],[249.0],[15.0],[124.0],[249.0],[102.0],[236.0],[15.0],[124.0],[102.0],[249.0],[267.0],[155.0],[249.0],[148.0],[320.0],[148.0],[307.0],[249.0],[320.0],[359.0],[236.0],[224.0],[267.0],[249.0],[102.0],[320.0],[320.0],[320.0],[320.0],[148.0],[148.0],[242.0],[377.0],[148.0],[320.0],[365.0],[249.0],[148.0],[249.0],[276.0],[249.0],[320.0],[236.0],[148.0],[390.0],[148.0],[276.0],[377.0],[224.0],[110.0],[249.0],[249.0],[249.0],[236.0],[352.0],[15.0],[224.0],[266.0],[352.0],[36.0],[249.0],[36.0],[146.0],[148.0],[313.0],[276.0],[189.0],[249.0],[36.0],[110.0],[320.0],[320.0],[148.0],[249.0],[352.0],[320.0],[445.0],[236.0]
3,[352.0],[320.0],[377.0],[313.0],[102.0],[224.0],[313.0],[15.0],[148.0],[276.0],[149.0],[47.0],[249.0],[352.0],[307.0],[249.0],[249.0],[352.0],[124.0],[249.0],[236.0],[307.0],[466.0],[236.0],[249.0],[110.0],[236.0],[276.0],[276.0],[388.0],[276.0],[390.0],[383.0],[110.0],[224.0],[313.0],[148.0],[359.0],[148.0],[193.0],[15.0],[242.0],[36.0],[36.0],[102.0],[82.0],[313.0],[224.0],[352.0],[276.0],[148.0],[249.0],[390.0],[148.0],[102.0],[249.0],[352.0],[102.0],[359.0],[249.0],[193.0],[359.0],[224.0],[193.0],[193.0],[249.0],[249.0],[359.0],[498.0],[36.0],[236.0],[36.0],[398.0],[148.0],[124.0],[193.0],[249.0],[17.0],[466.0],[193.0],[320.0],[390.0],[352.0],[466.0],[313.0],[82.0],[320.0],[124.0],[493.0],[498.0],[267.0],[320.0],[224.0],[276.0],[276.0],[110.0],[15.0],[352.0],[148.0],[485.0]
4,[398.0],[432.0],[110.0],[320.0],[276.0],[432.0],[94.0],[466.0],[193.0],[148.0],[352.0],[267.0],[124.0],[313.0],[155.0],[359.0],[124.0],[193.0],[36.0],[107.0],[390.0],[224.0],[390.0],[282.0],[236.0],[15.0],[359.0],[352.0],[36.0],[442.0],[110.0],[359.0],[276.0],[267.0],[266.0],[110.0],[92.0],[282.0],[249.0],[148.0],[89.0],[80.0],[282.0],[390.0],[15.0],[148.0],[148.0],[36.0],[146.0],[352.0],[249.0],[276.0],[313.0],[249.0],[12.0],[276.0],[236.0],[149.0],[124.0],[117.0],[224.0],[383.0],[36.0],[498.0],[313.0],[276.0],[498.0],[286.0],[266.0],[485.0],[276.0],[398.0],[193.0],[498.0],[359.0],[313.0],[390.0],[149.0],[320.0],[236.0],[186.0],[352.0],[267.0],[149.0],[189.0],[313.0],[80.0],[266.0],[267.0],[276.0],[498.0],[450.0],[148.0],[390.0],[359.0],[32.0],[224.0],[390.0],[249.0],[267.0]
5,[498.0],[148.0],[12.0],[36.0],[445.0],[390.0],[320.0],[148.0],[498.0],[15.0],[102.0],[36.0],[129.0],[267.0],[267.0],[320.0],[435.0],[12.0],[32.0],[148.0],[441.0],[89.0],[498.0],[80.0],[36.0],[377.0],[110.0],[224.0],[359.0],[432.0],[146.0],[313.0],[485.0],[249.0],[36.0],[359.0],[450.0],[82.0],[94.0],[36.0],[282.0],[282.0],[448.0],[110.0],[266.0],[498.0],[498.0],[465.0],[12.0],[390.0],[149.0],[46.0],[110.0],[498.0],[352.0],[110.0],[267.0],[44.0],[146.0],[313.0],[352.0],[352.0],[286.0],[359.0],[352.0],[498.0],[286.0],[249.0],[388.0],[46.0],[197.0],[149.0],[224.0],[286.0],[266.0],[47.0],[267.0],[117.0],[148.0],[189.0],[466.0],[249.0],[398.0],[465.0],[102.0],[242.0],[110.0],[307.0],[281.0],[146.0],[359.0],[15.0],[267.0],[224.0],[266.0],[450.0],[12.0],[193.0],[110.0],[148.0]
6,[445.0],[313.0],[193.0],[146.0],[149.0],[36.0],[276.0],[267.0],[313.0],[36.0],[498.0],[189.0],[313.0],[15.0],[102.0],[96.0],[149.0],[36.0],[102.0],[110.0],[267.0],[189.0],[276.0],[124.0],[146.0],[266.0],[276.0],[12.0],[28.0],[36.0],[58.0],[189.0],[266.0],[266.0],[102.0],[498.0],[146.0],[124.0],[365.0],[102.0],[149.0],[352.0],[189.0],[313.0],[359.0],[313.0],[432.0],[432.0],[498.0],[149.0],[498.0],[189.0],[493.0],[46.0],[107.0],[313.0],[58.0],[242.0],[116.0],[498.0],[313.0],[377.0],[276.0],[89.0],[359.0],[390.0],[197.0],[189.0],[80.0],[313.0],[189.0],[266.0],[359.0],[150.0],[150.0],[466.0],[110.0],[452.0],[498.0],[388.0],[89.0],[498.0],[110.0],[267.0],[110.0],[110.0],[266.0],[247.0],[359.0],[359.0],[117.0],[441.0],[313.0],[149.0],[267.0],[247.0],[418.0],[110.0],[313.0],[365.0]
7,[124.0],[36.0],[124.0],[97.0],[189.0],[110.0],[224.0],[107.0],[286.0],[313.0],[398.0],[313.0],[388.0],[124.0],[161.0],[189.0],[498.0],[46.0],[148.0],[15.0],[110.0],[102.0],[36.0],[44.0],[189.0],[422.0],[318.0],[124.0],[117.0],[318.0],[498.0],[117.0],[146.0],[247.0],[466.0],[450.0],[359.0],[110.0],[313.0],[189.0],[390.0],[398.0],[110.0],[189.0],[36.0],[267.0],[266.0],[110.0],[450.0],[189.0],[276.0],[359.0],[149.0],[102.0],[193.0],[498.0],[102.0],[189.0],[313.0],[110.0],[186.0],[452.0],[282.0],[418.0],[11.0],[146.0],[442.0],[498.0],[359.0],[124.0],[146.0],[146.0],[236.0],[247.0],[276.0],[36.0],[224.0],[282.0],[189.0],[442.0],[247.0],[92.0],[266.0],[286.0],[282.0],[498.0],[102.0],[100.0],[107.0],[352.0],[485.0],[466.0],[249.0],[448.0],[80.0],[146.0],[110.0],[266.0],[359.0],[498.0]
8,[92.0],[266.0],[383.0],[286.0],[452.0],[352.0],[32.0],[249.0],[197.0],[359.0],[396.0],[146.0],[400.0],[36.0],[420.0],[15.0],[377.0],[224.0],[117.0],[189.0],[149.0],[15.0],[110.0],[117.0],[149.0],[189.0],[441.0],[249.0],[146.0],[110.0],[466.0],[377.0],[498.0],[36.0],[352.0],[82.0],[498.0],[189.0],[92.0],[80.0],[189.0],[124.0],[266.0],[281.0],[124.0],[390.0],[378.0],[113.0],[276.0],[359.0],[301.0],[266.0],[266.0],[189.0],[276.0],[193.0],[282.0],[441.0],[148.0],[196.0],[359.0],[390.0],[452.0],[452.0],[224.0],[313.0],[282.0],[44.0],[155.0],[249.0],[282.0],[498.0],[36.0],[481.0],[352.0],[224.0],[418.0],[320.0],[102.0],[498.0],[249.0],[286.0],[441.0],[236.0],[232.0],[32.0],[124.0],[110.0],[17.0],[251.0],[94.0],[224.0],[498.0],[110.0],[146.0],[266.0],[498.0],[102.0],[15.0],[124.0]
9,[359.0],[498.0],[146.0],[82.0],[110.0],[276.0],[445.0],[282.0],[442.0],[448.0],[493.0],[249.0],[82.0],[442.0],[46.0],[110.0],[493.0],[442.0],[146.0],[498.0],[282.0],[466.0],[352.0],[102.0],[267.0],[498.0],[124.0],[110.0],[189.0],[378.0],[149.0],[12.0],[124.0],[498.0],[124.0],[266.0],[453.0],[498.0],[189.0],[442.0],[442.0],[498.0],[213.0],[249.0],[276.0],[100.0],[388.0],[146.0],[89.0],[155.0],[110.0],[36.0],[498.0],[313.0],[110.0],[266.0],[197.0],[97.0],[442.0],[286.0],[80.0],[249.0],[236.0],[15.0],[189.0],[149.0],[242.0],[452.0],[466.0],[267.0],[442.0],[359.0],[100.0],[266.0],[453.0],[191.0],[89.0],[148.0],[276.0],[441.0],[252.0],[197.0],[80.0],[242.0],[286.0],[369.0],[89.0],[313.0],[247.0],[36.0],[249.0],[435.0],[110.0],[452.0],[313.0],[89.0],[441.0],[498.0],[498.0],[146.0]
