Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[255.0],[255.0],[420.0],[420.0],[255.0],[255.0],[420.0],[420.0],[420.0],[420.0],[420.0],[420.0],[420.0],[255.0],[23.0],[181.0],[420.0],[420.0],[420.0],[420.0],[255.0],[23.0],[420.0],[420.0],[420.0],[23.0],[420.0],[420.0],[420.0],[420.0],[420.0],[420.0],[420.0],[420.0],[487.0],[420.0],[420.0],[255.0],[420.0],[420.0],[420.0],[420.0],[420.0],[420.0],[487.0],[420.0],[420.0],[420.0],[420.0],[420.0],[420.0],[255.0],[487.0],[420.0],[420.0],[487.0],[420.0],[420.0],[420.0],[420.0],[255.0],[420.0],[420.0],[420.0],[420.0],[15.0],[420.0],[179.0],[420.0],[420.0],[431.0],[420.0],[420.0],[420.0],[487.0],[420.0],[487.0],[420.0],[255.0],[420.0],[487.0],[73.0],[420.0],[420.0],[255.0],[420.0],[420.0],[255.0],[420.0],[420.0],[420.0],[29.0],[420.0],[420.0],[255.0],[420.0],[420.0],[420.0],[487.0],[420.0]
1,[276.0],[73.0],[487.0],[431.0],[420.0],[23.0],[73.0],[94.0],[431.0],[23.0],[255.0],[487.0],[83.0],[179.0],[487.0],[420.0],[73.0],[431.0],[487.0],[23.0],[420.0],[36.0],[487.0],[431.0],[487.0],[420.0],[179.0],[487.0],[289.0],[255.0],[179.0],[255.0],[179.0],[276.0],[420.0],[431.0],[179.0],[23.0],[487.0],[431.0],[487.0],[179.0],[36.0],[255.0],[420.0],[255.0],[487.0],[487.0],[255.0],[431.0],[431.0],[420.0],[420.0],[255.0],[487.0],[276.0],[23.0],[36.0],[105.0],[436.0],[431.0],[431.0],[23.0],[487.0],[179.0],[73.0],[179.0],[73.0],[487.0],[179.0],[255.0],[255.0],[255.0],[255.0],[420.0],[36.0],[420.0],[179.0],[420.0],[255.0],[420.0],[23.0],[179.0],[255.0],[221.0],[487.0],[487.0],[420.0],[255.0],[487.0],[181.0],[487.0],[255.0],[22.0],[420.0],[431.0],[36.0],[487.0],[23.0],[73.0]
2,[420.0],[420.0],[221.0],[179.0],[49.0],[420.0],[23.0],[36.0],[179.0],[181.0],[431.0],[36.0],[51.0],[23.0],[179.0],[73.0],[179.0],[179.0],[181.0],[179.0],[57.0],[487.0],[490.0],[179.0],[204.0],[487.0],[36.0],[431.0],[73.0],[23.0],[431.0],[179.0],[388.0],[23.0],[253.0],[179.0],[73.0],[431.0],[431.0],[179.0],[29.0],[255.0],[255.0],[23.0],[73.0],[73.0],[431.0],[179.0],[431.0],[179.0],[179.0],[105.0],[36.0],[179.0],[23.0],[204.0],[487.0],[431.0],[255.0],[23.0],[23.0],[487.0],[255.0],[431.0],[494.0],[420.0],[487.0],[105.0],[431.0],[431.0],[420.0],[431.0],[179.0],[73.0],[204.0],[276.0],[73.0],[15.0],[36.0],[179.0],[276.0],[420.0],[348.0],[344.0],[420.0],[431.0],[179.0],[23.0],[431.0],[431.0],[36.0],[15.0],[23.0],[36.0],[181.0],[23.0],[255.0],[179.0],[36.0],[179.0]
3,[22.0],[23.0],[388.0],[255.0],[36.0],[105.0],[57.0],[29.0],[203.0],[179.0],[179.0],[431.0],[466.0],[36.0],[73.0],[487.0],[23.0],[23.0],[179.0],[73.0],[23.0],[420.0],[179.0],[203.0],[29.0],[15.0],[487.0],[179.0],[105.0],[362.0],[73.0],[36.0],[23.0],[2.0],[73.0],[73.0],[253.0],[36.0],[179.0],[23.0],[105.0],[490.0],[431.0],[431.0],[57.0],[431.0],[179.0],[105.0],[179.0],[487.0],[289.0],[492.0],[288.0],[181.0],[276.0],[431.0],[36.0],[487.0],[73.0],[52.0],[179.0],[179.0],[179.0],[36.0],[220.0],[29.0],[289.0],[136.0],[276.0],[23.0],[276.0],[29.0],[94.0],[178.0],[401.0],[466.0],[228.0],[431.0],[23.0],[431.0],[23.0],[105.0],[487.0],[49.0],[276.0],[204.0],[57.0],[36.0],[23.0],[179.0],[179.0],[420.0],[36.0],[24.0],[272.0],[179.0],[490.0],[23.0],[29.0],[431.0]
4,[191.0],[94.0],[36.0],[276.0],[203.0],[73.0],[431.0],[23.0],[49.0],[105.0],[23.0],[179.0],[191.0],[15.0],[431.0],[105.0],[436.0],[253.0],[36.0],[94.0],[105.0],[316.0],[204.0],[23.0],[105.0],[179.0],[431.0],[29.0],[88.0],[15.0],[289.0],[188.0],[445.0],[412.0],[304.0],[49.0],[105.0],[179.0],[23.0],[36.0],[23.0],[73.0],[179.0],[73.0],[490.0],[23.0],[105.0],[115.0],[73.0],[23.0],[36.0],[23.0],[203.0],[129.0],[36.0],[73.0],[222.0],[23.0],[23.0],[431.0],[29.0],[204.0],[490.0],[179.0],[36.0],[23.0],[73.0],[203.0],[36.0],[36.0],[15.0],[36.0],[436.0],[29.0],[179.0],[431.0],[253.0],[436.0],[220.0],[228.0],[204.0],[212.0],[431.0],[427.0],[105.0],[129.0],[94.0],[15.0],[29.0],[204.0],[487.0],[73.0],[179.0],[23.0],[36.0],[255.0],[2.0],[431.0],[466.0],[29.0]
5,[111.0],[51.0],[71.0],[221.0],[23.0],[15.0],[105.0],[222.0],[487.0],[487.0],[36.0],[71.0],[36.0],[466.0],[18.0],[15.0],[431.0],[36.0],[23.0],[253.0],[94.0],[96.0],[23.0],[105.0],[94.0],[29.0],[436.0],[36.0],[111.0],[289.0],[4.0],[4.0],[487.0],[487.0],[316.0],[221.0],[203.0],[235.0],[204.0],[255.0],[12.0],[23.0],[94.0],[179.0],[436.0],[179.0],[29.0],[480.0],[15.0],[412.0],[94.0],[431.0],[179.0],[23.0],[129.0],[436.0],[20.0],[179.0],[24.0],[212.0],[105.0],[23.0],[36.0],[348.0],[487.0],[131.0],[22.0],[29.0],[23.0],[304.0],[111.0],[220.0],[36.0],[105.0],[29.0],[52.0],[105.0],[466.0],[51.0],[94.0],[73.0],[71.0],[73.0],[73.0],[73.0],[96.0],[276.0],[400.0],[276.0],[466.0],[23.0],[204.0],[181.0],[466.0],[23.0],[36.0],[203.0],[96.0],[204.0],[436.0]
6,[46.0],[311.0],[338.0],[22.0],[94.0],[431.0],[179.0],[490.0],[73.0],[257.0],[243.0],[49.0],[46.0],[22.0],[400.0],[94.0],[71.0],[22.0],[204.0],[276.0],[179.0],[352.0],[129.0],[20.0],[431.0],[73.0],[23.0],[466.0],[348.0],[431.0],[494.0],[29.0],[221.0],[129.0],[105.0],[276.0],[23.0],[407.0],[29.0],[220.0],[431.0],[412.0],[466.0],[276.0],[94.0],[105.0],[73.0],[131.0],[105.0],[129.0],[23.0],[73.0],[204.0],[494.0],[29.0],[46.0],[466.0],[344.0],[431.0],[46.0],[348.0],[29.0],[181.0],[466.0],[23.0],[51.0],[105.0],[431.0],[71.0],[131.0],[22.0],[23.0],[221.0],[23.0],[24.0],[179.0],[276.0],[36.0],[492.0],[23.0],[289.0],[94.0],[23.0],[181.0],[436.0],[362.0],[348.0],[253.0],[111.0],[480.0],[436.0],[94.0],[198.0],[111.0],[20.0],[129.0],[466.0],[204.0],[344.0],[221.0]
7,[73.0],[487.0],[480.0],[73.0],[494.0],[131.0],[131.0],[466.0],[2.0],[71.0],[52.0],[204.0],[276.0],[487.0],[46.0],[436.0],[131.0],[338.0],[71.0],[431.0],[487.0],[338.0],[434.0],[487.0],[191.0],[204.0],[355.0],[204.0],[179.0],[465.0],[23.0],[352.0],[255.0],[255.0],[24.0],[494.0],[181.0],[348.0],[105.0],[20.0],[203.0],[253.0],[348.0],[487.0],[411.0],[492.0],[204.0],[46.0],[235.0],[407.0],[466.0],[203.0],[431.0],[253.0],[204.0],[105.0],[188.0],[466.0],[412.0],[179.0],[316.0],[52.0],[15.0],[204.0],[276.0],[105.0],[434.0],[94.0],[204.0],[29.0],[228.0],[362.0],[348.0],[203.0],[427.0],[212.0],[204.0],[23.0],[466.0],[36.0],[255.0],[276.0],[203.0],[105.0],[51.0],[344.0],[390.0],[316.0],[73.0],[220.0],[407.0],[23.0],[222.0],[487.0],[487.0],[400.0],[362.0],[228.0],[179.0],[400.0]
8,[23.0],[203.0],[466.0],[427.0],[29.0],[319.0],[22.0],[487.0],[22.0],[255.0],[94.0],[494.0],[68.0],[464.0],[348.0],[23.0],[105.0],[145.0],[52.0],[88.0],[71.0],[220.0],[466.0],[94.0],[23.0],[276.0],[224.0],[23.0],[487.0],[352.0],[29.0],[22.0],[203.0],[111.0],[51.0],[487.0],[494.0],[466.0],[439.0],[206.0],[94.0],[480.0],[253.0],[57.0],[46.0],[352.0],[129.0],[255.0],[96.0],[73.0],[29.0],[179.0],[466.0],[490.0],[253.0],[401.0],[338.0],[480.0],[110.0],[204.0],[487.0],[203.0],[352.0],[23.0],[466.0],[304.0],[348.0],[348.0],[191.0],[253.0],[73.0],[4.0],[220.0],[316.0],[36.0],[203.0],[111.0],[338.0],[352.0],[376.0],[36.0],[487.0],[221.0],[487.0],[23.0],[71.0],[436.0],[466.0],[206.0],[36.0],[400.0],[220.0],[220.0],[338.0],[466.0],[321.0],[109.0],[94.0],[52.0],[105.0]
9,[407.0],[221.0],[191.0],[105.0],[487.0],[94.0],[445.0],[203.0],[348.0],[480.0],[203.0],[276.0],[179.0],[296.0],[131.0],[348.0],[221.0],[243.0],[466.0],[203.0],[221.0],[466.0],[4.0],[52.0],[96.0],[478.0],[255.0],[465.0],[492.0],[348.0],[105.0],[206.0],[457.0],[52.0],[23.0],[23.0],[49.0],[487.0],[222.0],[466.0],[397.0],[487.0],[203.0],[480.0],[105.0],[81.0],[15.0],[71.0],[344.0],[22.0],[487.0],[487.0],[303.0],[73.0],[111.0],[129.0],[352.0],[352.0],[487.0],[255.0],[220.0],[20.0],[487.0],[94.0],[203.0],[220.0],[111.0],[148.0],[257.0],[487.0],[434.0],[249.0],[203.0],[427.0],[439.0],[487.0],[255.0],[304.0],[110.0],[487.0],[109.0],[111.0],[400.0],[253.0],[348.0],[73.0],[206.0],[487.0],[390.0],[46.0],[221.0],[431.0],[487.0],[29.0],[338.0],[276.0],[23.0],[29.0],[203.0],[22.0]
