Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,EGAL,EMCM
0,14.034137487411499,14.587049722671509,14.930781602859497,15.5174400806427,15.770981788635254,15.755139589309692,15.755675315856934,15.764246940612793,15.698636293411255,291.06547832489014,21.840552806854248,14.54057788848877,16.0984103679657,14.491872310638428
1,16.55183172225952,16.576999187469482,17.04613733291626,17.60288381576538,18.245638370513916,18.52347993850708,18.55589246749878,18.583218336105347,18.48325753211975,247.14036059379578,24.785499572753906,16.383131980895996,18.334758520126343,16.293135166168213
2,16.829001426696777,17.183498859405518,17.635756492614746,18.231072425842285,18.684748649597168,18.670016288757324,18.677613019943237,18.65824031829834,18.649746417999268,273.82239842414856,25.172378540039062,16.527055501937866,18.909385442733765,16.791388034820557
3,13.6362464427948,14.557348251342773,14.89377760887146,15.264192581176758,15.650363445281982,15.724109411239624,15.72309136390686,15.728994846343994,15.727096557617188,290.658278465271,21.957605838775635,14.46385407447815,16.02882146835327,14.566734075546265
4,18.128636360168457,18.4769549369812,18.979811906814575,19.413054943084717,19.58013367652893,18.784286975860596,18.838268756866455,18.885987997055054,18.89307713508606,277.09826278686523,26.011070013046265,17.19856548309326,19.241915225982666,16.989980220794678
5,14.229072093963623,14.67601203918457,15.029686212539673,15.431838035583496,15.771578788757324,15.765646696090698,15.736163139343262,15.861940860748291,16.11704397201538,317.47371792793274,21.45093297958374,14.2456374168396,15.594331741333008,14.045082807540894
6,14.172971963882446,14.73158073425293,15.05910873413086,15.483583211898804,15.89629077911377,15.872376918792725,15.889549732208252,15.89097547531128,15.730193614959717,291.4329719543457,22.09309434890747,14.692330598831177,16.17670464515686,14.52266788482666
7,14.014225959777832,14.560051679611206,14.891103506088257,15.305352926254272,15.724301099777222,15.722534418106079,15.72206735610962,15.72470998764038,15.646008729934692,294.9453525543213,21.85104537010193,14.586904287338257,16.00598669052124,14.360008716583252
8,13.193514108657837,13.65416955947876,13.973520278930664,14.31659722328186,14.572046995162964,14.56715703010559,14.560196876525879,14.58218502998352,14.603742837905884,129.49316453933716,20.52460741996765,13.567606210708618,14.881310224533081,13.562437295913696
9,14.675130128860474,15.239315032958984,15.598531723022461,16.035568475723267,16.425799131393433,16.420904874801636,16.440333127975464,16.45310664176941,15.879281282424927,316.3106861114502,22.915067195892334,15.340529680252075,16.64763879776001,14.915689706802368
10,14.003067016601562,14.530357837677002,14.862870693206787,15.294921636581421,15.69402003288269,15.69691801071167,15.69404649734497,15.700738668441772,15.638841152191162,295.35254669189453,21.825613498687744,14.564274787902832,15.959449529647827,14.307180404663086
11,14.673918008804321,15.306568145751953,15.708770751953125,16.239019632339478,16.631076097488403,16.61924958229065,16.630033016204834,16.174575567245483,15.606029272079468,527.5408656597137,22.61859130859375,15.084287405014038,16.414469242095947,14.685158491134644
12,14.41582179069519,15.067339420318604,15.397991418838501,15.87465238571167,16.252999305725098,16.13216805458069,16.11104416847229,16.000658750534058,15.667645692825317,305.61252546310425,22.303943157196045,14.832359075546265,16.112332820892334,14.496129274368286
13,17.461113929748535,17.863428115844727,18.331655740737915,18.951703310012817,19.399979829788208,19.360507249832153,19.38549566268921,19.36810827255249,19.17741107940674,277.64977955818176,26.525983095169067,17.714086532592773,20.008784770965576,17.494839668273926
14,14.372922420501709,14.990930795669556,15.330946922302246,15.795225858688354,16.175581455230713,16.058262586593628,16.045839548110962,15.943848371505737,15.59796404838562,305.6397795677185,22.29643726348877,14.75235366821289,16.057822704315186,14.404568195343018
15,13.829812288284302,14.492082118988037,14.836359977722168,15.22803020477295,15.65514588356018,15.647692441940308,15.673088312149048,15.683887004852295,15.697281122207642,321.54856753349304,21.734585285186768,14.40696120262146,16.019588232040405,14.413676023483276
16,16.341222763061523,16.36852788925171,16.704188585281372,17.253535747528076,17.874212503433228,18.1541109085083,18.202580213546753,18.21220898628235,18.31105351448059,224.3371078968048,24.814804553985596,16.225131511688232,18.0672824382782,16.267390489578247
17,14.358048915863037,14.772006750106812,15.146410465240479,15.54631233215332,15.894335508346558,15.893838882446289,15.859130382537842,15.794593572616577,16.100637674331665,314.15887999534607,21.660865306854248,14.337307214736938,15.736990928649902,14.18263030052185
18,17.738635778427124,18.00046420097351,18.4569354057312,19.0485200881958,19.468759536743164,19.471454620361328,19.474761962890625,19.503262281417847,19.320403337478638,277.7541229724884,26.754658699035645,17.84577226638794,20.115994215011597,17.608404636383057
19,14.087530851364136,14.688393115997314,15.015278100967407,15.436790227890015,15.83243465423584,15.829732179641724,15.858272790908813,15.863082647323608,15.788572549819946,320.30687713623047,22.045198917388916,14.652925252914429,16.153578996658325,14.591963052749634
20,14.419751644134521,15.040485143661499,15.362359285354614,15.826087236404419,16.214296340942383,16.10387873649597,16.091643810272217,15.979919910430908,15.616852521896362,303.90287566185,22.286237478256226,14.792627334594727,16.12577748298645,14.446403503417969
21,14.405994892120361,14.913138151168823,15.289434671401978,15.695445537567139,16.037132024765015,16.02737593650818,16.0081787109375,15.912453174591064,15.752638339996338,315.92574644088745,21.88115358352661,14.516073942184448,15.876673460006714,14.303048610687256
22,14.134371280670166,14.673076391220093,15.010878086090088,15.482429265975952,15.837608575820923,15.845107078552246,15.84812617301941,15.843002319335938,15.698121547698975,294.3191297054291,21.90229606628418,14.69635820388794,16.082995891571045,14.412680625915527
23,14.090571880340576,14.62209677696228,14.978145122528076,15.604266166687012,15.806500673294067,15.79519248008728,15.812735795974731,15.799785614013672,15.682416200637817,293.4006311893463,21.85143208503723,14.634058713912964,16.073620319366455,14.42689824104309
24,13.916361331939697,14.517702102661133,14.856054782867432,15.484768390655518,15.688706159591675,15.68684434890747,15.682030439376831,15.69326114654541,15.656277418136597,291.28201150894165,21.72677183151245,14.440510749816895,16.016260623931885,14.418731212615967
25,14.134871006011963,14.900446653366089,15.03421425819397,15.453224658966064,15.868903398513794,15.866434812545776,15.85767126083374,15.876622438430786,15.75862455368042,319.4583625793457,22.008859634399414,14.66797947883606,16.161913871765137,14.59227967262268
26,14.365089416503906,15.014889478683472,15.344074010848999,15.8088858127594,16.398988723754883,16.058653116226196,16.071093797683716,15.95359992980957,15.808468580245972,305.7081251144409,22.24107575416565,14.782806396484375,16.049182891845703,14.4297034740448
27,13.90208888053894,14.44182300567627,14.783523797988892,15.188408613204956,15.600835084915161,15.59341049194336,15.613072872161865,15.625532150268555,15.610390901565552,321.1267876625061,21.561256170272827,14.373797416687012,15.947562217712402,14.380256652832031
28,14.417014360427856,14.884918212890625,15.265869140625,15.685305118560791,16.004380464553833,15.992299795150757,15.962266683578491,15.838813304901123,15.827111959457397,320.6334156990051,21.87674641609192,14.517144918441772,15.712114572525024,14.14240837097168
29,17.716256380081177,17.804864406585693,18.263030767440796,18.731162548065186,18.827635526657104,18.178054094314575,18.279744386672974,18.33289098739624,18.150986909866333,277.0602385997772,25.094387769699097,16.609464168548584,18.63479709625244,16.568871021270752
30,14.80653977394104,15.445454359054565,15.860624074935913,16.514931201934814,16.763608694076538,16.749747037887573,16.751607656478882,16.31148648262024,15.895702362060547,527.0339276790619,22.809490203857422,15.261740922927856,16.650662899017334,14.77118444442749
31,14.144887208938599,14.715362310409546,15.080496788024902,15.48147988319397,15.907004117965698,15.884058475494385,15.889462232589722,15.89448070526123,15.781394720077515,294.6256844997406,22.10732126235962,14.758624076843262,16.127500295639038,14.465920209884644
32,14.27480697631836,14.769835233688354,15.125721454620361,15.55680513381958,15.863773822784424,15.85925817489624,15.830751419067383,15.71768569946289,15.534996032714844,319.1689872741699,21.75628352165222,14.403005123138428,15.63119626045227,14.087944269180298
33,16.849926710128784,16.931198835372925,17.347840547561646,17.96113348007202,18.618459701538086,18.650893926620483,18.69846224784851,18.69195294380188,18.853362798690796,221.36116361618042,25.733756065368652,16.677165269851685,18.66466236114502,17.22563123703003
34,14.419286966323853,15.104438781738281,15.446646928787231,16.115213871002197,16.287445545196533,16.176708936691284,16.143758535385132,16.07380700111389,15.744016170501709,305.4462034702301,22.4728741645813,14.88575530052185,16.208765745162964,14.495876550674438
35,13.317750453948975,13.797577619552612,14.156015872955322,14.587942838668823,14.92982006072998,15.133745193481445,14.976511716842651,15.020673990249634,14.958918809890747,127.23514819145203,20.67008876800537,13.631141185760498,14.829291820526123,13.719980239868164
36,17.342575788497925,17.543529748916626,18.00010585784912,18.586206436157227,19.04805326461792,19.01985788345337,19.0118248462677,19.040318965911865,18.954248666763306,279.16296100616455,26.014548301696777,17.31697130203247,19.660192728042603,17.124552726745605
37,14.406097412109375,15.114565134048462,15.40235161781311,15.848047018051147,16.231992721557617,16.138732194900513,16.09122610092163,16.007936716079712,15.70518708229065,306.67490816116333,22.328438997268677,14.83843994140625,16.08857750892639,14.477021932601929
38,13.963557004928589,14.518770933151245,14.874115467071533,15.287482261657715,15.703256130218506,15.69009518623352,15.704294443130493,15.713318109512329,15.684027433395386,290.31323289871216,21.713940143585205,14.433237791061401,16.026566743850708,14.417505979537964
39,18.33401894569397,18.089897871017456,18.609429359436035,17.18234395980835,16.504834413528442,16.457969903945923,17.258148908615112,17.9936945438385,18.415038347244263,178.83990788459778,27.831639528274536,18.897553205490112,20.486825466156006,18.900265216827393
40,14.146462440490723,14.692599773406982,15.047845840454102,15.460214853286743,15.875488042831421,15.86653184890747,15.867362260818481,15.873563766479492,15.72829794883728,319.189918756485,21.95127010345459,14.655893325805664,16.168665647506714,14.615044593811035
41,17.74125909805298,17.97427725791931,18.443970918655396,19.048415660858154,19.44979953765869,19.446202516555786,19.45314884185791,19.46747064590454,19.14309597015381,275.507203578949,26.691964149475098,17.807884454727173,20.108198404312134,17.606346368789673
42,17.752225875854492,17.976353645324707,18.427498817443848,19.04026961326599,19.486845016479492,19.459424257278442,19.46358895301819,19.47374129295349,19.266829252243042,275.7788209915161,26.7043776512146,17.77905011177063,20.130589723587036,17.614786386489868
43,13.872333288192749,14.438555240631104,14.747494459152222,15.156524181365967,15.5834321975708,15.574045419692993,15.58263635635376,15.591508865356445,15.58853030204773,320.28830790519714,21.510008335113525,14.322791814804077,15.939679384231567,14.33374810218811
44,14.725296258926392,15.379164218902588,15.7927405834198,16.31685972213745,16.785518646240234,16.717477321624756,16.71667170524597,16.27588152885437,15.906056880950928,527.3845610618591,22.90179944038391,15.171470642089844,16.480952739715576,14.74545955657959
45,16.69952940940857,16.984529733657837,17.438713312149048,17.87607765197754,18.515854120254517,18.83500361442566,18.874752283096313,18.92682671546936,18.92644429206848,239.72165727615356,25.613109350204468,16.81407856941223,18.912776708602905,16.695972442626953
46,14.38913106918335,15.028327703475952,15.40264105796814,15.810609817504883,16.164051055908203,16.160935163497925,16.13469910621643,16.03757953643799,15.898377418518066,310.79529428482056,22.212823390960693,14.624696731567383,16.025118589401245,14.49493145942688
47,14.131701231002808,14.855105876922607,15.208248376846313,15.614254474639893,15.95594072341919,15.959185361862183,15.943053722381592,15.850594758987427,15.72213888168335,299.1357545852661,21.975461721420288,14.42671513557434,15.7567138671875,14.508624792098999
48,16.243911027908325,16.258495807647705,16.660226821899414,17.16502332687378,17.690123558044434,18.1009464263916,18.188770055770874,18.184131860733032,18.278316259384155,176.2892918586731,23.770211696624756,15.967551708221436,17.990069150924683,16.354762077331543
49,13.588332653045654,14.761387825012207,15.210860252380371,15.58985185623169,15.867192268371582,15.99261999130249,15.993785619735718,15.96688985824585,15.900410652160645,230.08757281303406,21.16166043281555,13.917201042175293,15.239976406097412,13.973633527755737
50,14.655397891998291,15.248172283172607,15.700543880462646,16.201900482177734,16.69775414466858,16.578505754470825,16.57851219177246,16.117213249206543,15.552182674407959,527.4696881771088,22.549741983413696,15.04703974723816,16.379767417907715,14.637163162231445
51,13.951863050460815,14.496053218841553,14.840152978897095,15.267359733581543,15.680363416671753,15.663580417633057,15.692059993743896,15.691949129104614,15.615861415863037,292.02620339393616,21.68391442298889,14.452222347259521,16.01594114303589,14.393942832946777
52,13.539794445037842,13.853142499923706,14.151331663131714,14.43297529220581,14.762006759643555,14.98021936416626,15.086712837219238,14.968175172805786,15.04377794265747,97.56591987609863,20.864880323410034,13.839249610900879,14.924657821655273,13.67023777961731
53,13.32787013053894,13.82253122329712,14.157181978225708,14.483434915542603,14.755982398986816,14.735044240951538,14.732062578201294,14.740290403366089,14.751539707183838,128.42375469207764,20.866535902023315,13.718329191207886,15.030378580093384,13.735644817352295
54,14.02500867843628,14.583988666534424,14.93748140335083,15.347028970718384,15.741674900054932,15.721422672271729,15.738773822784424,15.764047622680664,15.686864376068115,320.1510806083679,21.750397443771362,14.527537107467651,16.065190076828003,14.500290155410767
55,13.396533727645874,13.878068685531616,14.209815263748169,14.53828740119934,14.801433801651001,14.797121286392212,14.787837266921997,14.79996633529663,14.811872482299805,128.68884110450745,20.828686714172363,13.752937316894531,15.091560125350952,13.7856285572052
56,14.145786046981812,14.734979391098022,15.078197956085205,15.490395069122314,15.902571439743042,15.895663976669312,15.907506704330444,15.921576261520386,15.840462923049927,320.0584192276001,22.105592250823975,14.724092245101929,16.20187497138977,14.637778759002686
57,14.39254355430603,15.04008150100708,15.369501113891602,15.847368955612183,16.215097904205322,16.091476678848267,16.06487488746643,15.95848298072815,15.63428521156311,304.793417930603,22.282304048538208,14.791196346282959,16.127511739730835,14.437806606292725
58,14.587465524673462,15.513895988464355,15.62579083442688,16.086400270462036,16.470438480377197,16.340883255004883,16.324202060699463,16.20443892478943,15.836376190185547,305.28866028785706,22.759182929992676,15.073675394058228,16.37655234336853,14.689101696014404
59,15.110110521316528,15.740821123123169,16.27846622467041,16.612125635147095,16.989089965820312,16.972156286239624,16.895952224731445,16.447548627853394,15.797166347503662,524.2146661281586,23.227317571640015,15.419376850128174,16.929863929748535,14.930031299591064
60,13.593305110931396,14.574625253677368,15.232907056808472,15.593300104141235,15.858538150787354,15.969825267791748,16.010782718658447,16.02071189880371,15.95278286933899,198.1951334476471,21.10113024711609,14.008913040161133,15.241063117980957,13.978944540023804
61,14.455856084823608,15.003300428390503,15.297657012939453,15.649829864501953,15.894220113754272,15.645762920379639,14.898625612258911,14.855395317077637,14.886378765106201,290.6490559577942,21.771051168441772,14.015582799911499,15.050689220428467,13.806549310684204
62,13.86764144897461,14.42562484741211,14.770808219909668,15.185314893722534,15.612159013748169,15.598583698272705,15.597274780273438,15.579092025756836,15.593956470489502,292.10599732398987,21.59313941001892,14.37681794166565,15.936410665512085,14.338845014572144
63,14.039263010025024,14.852986097335815,15.164772272109985,15.548219680786133,15.860416889190674,15.921666145324707,15.927441835403442,16.469120502471924,16.18645930290222,280.2624797821045,21.061315774917603,14.548566102981567,15.89800763130188,14.45305871963501
64,16.81016993522644,16.877604007720947,17.353144884109497,17.901498794555664,18.615613222122192,18.811999559402466,18.816346883773804,18.86836004257202,18.765605926513672,245.37463092803955,25.370367527008057,16.72146773338318,18.66577410697937,16.622299909591675
65,17.13343858718872,17.28118586540222,17.74308967590332,18.385799407958984,19.028480529785156,19.235912561416626,19.247979402542114,19.2998309135437,18.994488954544067,247.68415522575378,25.94180130958557,17.230093240737915,18.869659423828125,17.24413514137268
66,17.354283809661865,17.55687165260315,18.018251657485962,18.603001594543457,19.016973733901978,19.009916305541992,19.011800527572632,19.0643048286438,18.96233582496643,278.7787411212921,26.094652891159058,17.361613750457764,19.6907000541687,16.92062997817993
67,16.87603783607483,17.09838318824768,17.546685218811035,18.111450910568237,18.581682443618774,18.553291082382202,18.55857539176941,18.549615621566772,18.58100652694702,277.7662401199341,25.500749588012695,16.81718873977661,19.193623065948486,16.938191890716553
68,13.962940454483032,14.493679285049438,14.833460330963135,15.25418734550476,15.651360988616943,15.651415824890137,15.671889543533325,15.689221143722534,15.639702320098877,319.6918697357178,21.67635750770569,14.411773443222046,15.993348836898804,14.428818941116333
69,14.046651601791382,14.593492984771729,14.931962490081787,15.381375074386597,15.74638295173645,15.752431154251099,15.758167743682861,15.780051231384277,15.688679933547974,295.45502972602844,21.94508171081543,14.647100925445557,16.039559602737427,14.371165752410889
70,13.976374626159668,14.527767181396484,14.877090692520142,15.271937131881714,15.684624433517456,15.68242597579956,15.7059006690979,15.717506408691406,15.642776012420654,320.38982629776,21.7446346282959,14.467965126037598,15.986581802368164,14.448767185211182
71,17.728075981140137,17.8207585811615,18.287007570266724,18.743279457092285,18.24769401550293,17.99697470664978,18.02206325531006,18.02006769180298,17.968949794769287,276.91727566719055,25.136289596557617,16.649126768112183,18.59143614768982,16.276331663131714
72,13.80341386795044,14.368591785430908,14.701929807662964,15.119378089904785,15.52977991104126,15.539061784744263,15.53356647491455,15.546670198440552,15.551359415054321,321.38858366012573,21.4371497631073,14.276596069335938,15.886353254318237,14.297162532806396
73,14.367998361587524,15.042944431304932,15.38571047782898,15.84010124206543,16.220016479492188,16.139121055603027,16.09117317199707,16.012261867523193,15.690931797027588,307.22880959510803,22.309351205825806,14.830002307891846,16.068069458007812,14.466532707214355
74,14.42387318611145,15.052355289459229,15.398154497146606,15.86649203300476,16.25747013092041,16.120131731033325,16.104446172714233,15.985864877700806,15.644372701644897,303.973445892334,22.389344453811646,14.785825967788696,16.124345541000366,14.440044641494751
75,14.490939140319824,15.116299629211426,15.444735050201416,15.924501419067383,16.30095410346985,16.174658060073853,16.156079292297363,16.032460927963257,15.693777322769165,304.1033036708832,22.38613247871399,14.871899843215942,16.167709827423096,14.52812671661377
76,14.310676336288452,14.936635732650757,15.27340292930603,15.735845565795898,16.110962629318237,15.998218536376953,15.987449407577515,15.887946128845215,15.563298225402832,303.59577226638794,22.1374249458313,14.692583084106445,16.059736013412476,14.35701322555542
77,14.735561847686768,15.349198818206787,15.765241146087646,16.306540489196777,16.675589323043823,16.675758123397827,16.651495933532715,16.227323293685913,15.595117092132568,526.3406076431274,22.79791498184204,15.134433507919312,16.462043285369873,14.701613426208496
78,14.992477416992188,15.627304792404175,16.067695379257202,16.616472244262695,16.972773551940918,16.97154951095581,16.902772188186646,16.434036016464233,15.785742044448853,525.2270977497101,23.191060543060303,15.4200599193573,16.68578028678894,14.902177810668945
79,14.410316705703735,15.06102466583252,15.409618377685547,15.864797353744507,16.238078355789185,16.135207414627075,16.118050813674927,16.027925968170166,15.707797765731812,306.5352826118469,22.31630539894104,14.814635515213013,16.051917552947998,14.459553956985474
80,17.398808479309082,17.57238531112671,18.019643783569336,18.61278009414673,19.070194959640503,19.055574655532837,19.038816452026367,19.046489000320435,18.96194291114807,279.7888011932373,26.098576545715332,17.378838062286377,19.69243025779724,17.178573846817017
81,18.44294309616089,18.245683908462524,18.805793285369873,17.32590126991272,16.658724546432495,16.651438236236572,17.476531982421875,18.224807262420654,18.6535427570343,178.45936465263367,28.197746515274048,19.08775782585144,20.710426330566406,19.074785947799683
