Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[351.0],[89.0],[406.0],[465.0],[146.0],[514.0],[458.0],[130.0],[400.0],[300.0],[487.0],[113.0],[514.0],[283.0],[345.0],[287.0],[477.0],[37.0],[351.0],[514.0],[389.0],[281.0],[82.0],[448.0],[283.0],[87.0],[300.0],[538.0],[406.0],[302.0],[511.0],[128.0],[369.0],[172.0],[475.0],[300.0],[283.0],[461.0],[389.0],[359.0],[386.0],[104.0],[152.0],[458.0],[172.0],[86.0],[62.0],[169.0],[531.0],[89.0],[153.0],[296.0],[535.0],[358.0],[134.0],[300.0],[386.0],[444.0],[300.0],[340.0],[351.0],[386.0],[504.0],[134.0],[293.0],[107.0],[132.0],[160.0],[67.0],[484.0],[406.0],[514.0],[522.0],[484.0],[160.0],[153.0],[511.0],[287.0],[300.0],[283.0],[323.0],[296.0],[157.0],[118.0],[512.0],[300.0],[132.0],[538.0],[178.0],[328.0],[67.0],[322.0],[320.0],[521.0],[128.0],[538.0],[134.0],[531.0],[63.0],[407.0]
1,[55.0],[471.0],[108.0],[285.0],[485.0],[300.0],[67.0],[296.0],[283.0],[356.0],[455.0],[70.0],[53.0],[139.0],[300.0],[214.0],[514.0],[354.0],[82.0],[55.0],[320.0],[392.0],[351.0],[320.0],[107.0],[430.0],[407.0],[470.0],[20.0],[321.0],[486.0],[455.0],[391.0],[113.0],[524.0],[23.0],[320.0],[128.0],[455.0],[300.0],[28.0],[283.0],[91.0],[487.0],[386.0],[296.0],[296.0],[300.0],[465.0],[48.0],[144.0],[82.0],[287.0],[107.0],[93.0],[484.0],[538.0],[300.0],[132.0],[255.0],[82.0],[214.0],[356.0],[471.0],[113.0],[528.0],[308.0],[351.0],[273.0],[152.0],[477.0],[94.0],[37.0],[283.0],[37.0],[470.0],[55.0],[70.0],[406.0],[287.0],[386.0],[113.0],[79.0],[236.0],[172.0],[490.0],[407.0],[537.0],[452.0],[389.0],[406.0],[345.0],[102.0],[406.0],[273.0],[523.0],[145.0],[295.0],[514.0],[514.0]
2,[143.0],[392.0],[214.0],[87.0],[351.0],[79.0],[466.0],[63.0],[116.0],[103.0],[102.0],[60.0],[359.0],[514.0],[146.0],[144.0],[531.0],[365.0],[287.0],[140.0],[392.0],[358.0],[273.0],[514.0],[20.0],[287.0],[102.0],[477.0],[470.0],[389.0],[350.0],[389.0],[53.0],[176.0],[134.0],[514.0],[168.0],[389.0],[287.0],[70.0],[323.0],[107.0],[406.0],[470.0],[2.0],[447.0],[353.0],[157.0],[132.0],[471.0],[293.0],[404.0],[389.0],[149.0],[101.0],[55.0],[392.0],[20.0],[273.0],[514.0],[273.0],[369.0],[448.0],[320.0],[26.0],[490.0],[300.0],[255.0],[400.0],[108.0],[341.0],[356.0],[162.0],[461.0],[300.0],[160.0],[514.0],[354.0],[511.0],[323.0],[102.0],[345.0],[97.0],[152.0],[484.0],[255.0],[152.0],[82.0],[107.0],[208.0],[487.0],[172.0],[299.0],[28.0],[172.0],[456.0],[356.0],[283.0],[92.0],[241.0]
3,[391.0],[49.0],[67.0],[102.0],[187.0],[152.0],[134.0],[525.0],[180.0],[152.0],[307.0],[283.0],[538.0],[16.0],[514.0],[393.0],[475.0],[170.0],[401.0],[252.0],[37.0],[214.0],[362.0],[475.0],[525.0],[470.0],[391.0],[362.0],[63.0],[176.0],[514.0],[408.0],[308.0],[389.0],[406.0],[534.0],[406.0],[67.0],[152.0],[97.0],[365.0],[49.0],[21.0],[406.0],[53.0],[406.0],[392.0],[407.0],[160.0],[300.0],[283.0],[255.0],[128.0],[138.0],[132.0],[391.0],[144.0],[89.0],[514.0],[37.0],[470.0],[287.0],[146.0],[143.0],[287.0],[484.0],[484.0],[369.0],[365.0],[512.0],[391.0],[281.0],[29.0],[407.0],[406.0],[302.0],[26.0],[487.0],[356.0],[524.0],[97.0],[407.0],[400.0],[406.0],[83.0],[141.0],[475.0],[187.0],[283.0],[395.0],[356.0],[97.0],[132.0],[454.0],[300.0],[475.0],[389.0],[97.0],[455.0],[188.0]
4,[389.0],[430.0],[144.0],[296.0],[406.0],[356.0],[407.0],[67.0],[63.0],[407.0],[208.0],[180.0],[283.0],[143.0],[538.0],[93.0],[397.0],[64.0],[524.0],[538.0],[475.0],[166.0],[187.0],[347.0],[401.0],[283.0],[128.0],[456.0],[484.0],[404.0],[430.0],[521.0],[134.0],[108.0],[455.0],[76.0],[180.0],[37.0],[471.0],[514.0],[144.0],[531.0],[296.0],[350.0],[63.0],[194.0],[115.0],[152.0],[68.0],[63.0],[407.0],[471.0],[487.0],[70.0],[162.0],[430.0],[354.0],[160.0],[102.0],[105.0],[129.0],[107.0],[187.0],[101.0],[283.0],[140.0],[404.0],[283.0],[487.0],[404.0],[327.0],[103.0],[20.0],[469.0],[512.0],[528.0],[350.0],[92.0],[489.0],[161.0],[128.0],[283.0],[283.0],[107.0],[300.0],[455.0],[92.0],[140.0],[380.0],[72.0],[475.0],[300.0],[146.0],[273.0],[389.0],[251.0],[300.0],[28.0],[283.0],[300.0]
5,[511.0],[455.0],[484.0],[141.0],[440.0],[406.0],[165.0],[407.0],[147.0],[391.0],[486.0],[350.0],[63.0],[70.0],[465.0],[165.0],[63.0],[320.0],[50.0],[489.0],[281.0],[252.0],[64.0],[102.0],[162.0],[89.0],[63.0],[350.0],[152.0],[484.0],[305.0],[465.0],[514.0],[487.0],[102.0],[55.0],[443.0],[390.0],[475.0],[89.0],[484.0],[484.0],[89.0],[302.0],[108.0],[287.0],[13.0],[49.0],[138.0],[132.0],[266.0],[430.0],[220.0],[354.0],[255.0],[486.0],[460.0],[356.0],[107.0],[152.0],[128.0],[86.0],[418.0],[477.0],[514.0],[144.0],[408.0],[475.0],[392.0],[50.0],[107.0],[448.0],[365.0],[168.0],[71.0],[179.0],[477.0],[455.0],[144.0],[443.0],[533.0],[455.0],[480.0],[320.0],[454.0],[128.0],[389.0],[389.0],[108.0],[300.0],[512.0],[407.0],[391.0],[26.0],[108.0],[491.0],[512.0],[358.0],[525.0],[512.0]
6,[281.0],[484.0],[320.0],[400.0],[60.0],[26.0],[538.0],[48.0],[389.0],[20.0],[512.0],[487.0],[356.0],[52.0],[82.0],[21.0],[128.0],[246.0],[40.0],[391.0],[302.0],[527.0],[248.0],[367.0],[430.0],[406.0],[448.0],[180.0],[341.0],[144.0],[71.0],[180.0],[26.0],[20.0],[514.0],[338.0],[162.0],[442.0],[89.0],[358.0],[288.0],[89.0],[140.0],[486.0],[418.0],[531.0],[82.0],[514.0],[28.0],[455.0],[167.0],[283.0],[97.0],[430.0],[521.0],[485.0],[29.0],[144.0],[408.0],[356.0],[525.0],[522.0],[292.0],[484.0],[350.0],[60.0],[179.0],[455.0],[475.0],[63.0],[484.0],[131.0],[527.0],[63.0],[391.0],[223.0],[487.0],[102.0],[321.0],[123.0],[57.0],[475.0],[514.0],[404.0],[359.0],[514.0],[365.0],[94.0],[89.0],[327.0],[128.0],[471.0],[395.0],[89.0],[407.0],[149.0],[214.0],[248.0],[451.0],[320.0]
7,[132.0],[273.0],[489.0],[457.0],[283.0],[144.0],[471.0],[71.0],[484.0],[143.0],[176.0],[127.0],[107.0],[144.0],[504.0],[387.0],[398.0],[345.0],[146.0],[321.0],[541.0],[514.0],[347.0],[489.0],[161.0],[487.0],[140.0],[398.0],[144.0],[63.0],[487.0],[102.0],[392.0],[97.0],[484.0],[252.0],[354.0],[392.0],[144.0],[487.0],[146.0],[97.0],[76.0],[161.0],[89.0],[527.0],[465.0],[67.0],[165.0],[407.0],[220.0],[512.0],[39.0],[512.0],[68.0],[514.0],[397.0],[82.0],[26.0],[484.0],[406.0],[149.0],[25.0],[132.0],[108.0],[469.0],[103.0],[389.0],[141.0],[89.0],[356.0],[456.0],[248.0],[392.0],[108.0],[60.0],[512.0],[58.0],[331.0],[461.0],[62.0],[96.0],[454.0],[76.0],[52.0],[62.0],[146.0],[180.0],[39.0],[302.0],[108.0],[87.0],[300.0],[487.0],[451.0],[487.0],[239.0],[14.0],[144.0],[152.0]
8,[144.0],[443.0],[132.0],[283.0],[524.0],[395.0],[144.0],[131.0],[362.0],[144.0],[305.0],[296.0],[484.0],[149.0],[152.0],[64.0],[534.0],[521.0],[354.0],[143.0],[48.0],[455.0],[392.0],[62.0],[296.0],[180.0],[486.0],[389.0],[37.0],[83.0],[512.0],[441.0],[71.0],[138.0],[392.0],[116.0],[152.0],[477.0],[70.0],[58.0],[378.0],[180.0],[64.0],[471.0],[487.0],[347.0],[390.0],[239.0],[283.0],[16.0],[389.0],[392.0],[176.0],[487.0],[537.0],[118.0],[483.0],[532.0],[144.0],[97.0],[331.0],[162.0],[470.0],[323.0],[144.0],[327.0],[37.0],[524.0],[356.0],[296.0],[250.0],[82.0],[108.0],[176.0],[144.0],[391.0],[54.0],[214.0],[134.0],[420.0],[392.0],[441.0],[504.0],[487.0],[443.0],[25.0],[471.0],[283.0],[514.0],[144.0],[113.0],[454.0],[475.0],[132.0],[176.0],[489.0],[334.0],[392.0],[356.0],[487.0]
9,[50.0],[144.0],[146.0],[152.0],[323.0],[93.0],[487.0],[134.0],[474.0],[471.0],[283.0],[107.0],[486.0],[491.0],[489.0],[116.0],[320.0],[128.0],[109.0],[486.0],[35.0],[327.0],[21.0],[188.0],[392.0],[323.0],[358.0],[391.0],[161.0],[152.0],[176.0],[392.0],[487.0],[477.0],[302.0],[89.0],[442.0],[107.0],[248.0],[489.0],[90.0],[454.0],[144.0],[273.0],[131.0],[94.0],[325.0],[487.0],[14.0],[323.0],[37.0],[443.0],[392.0],[144.0],[129.0],[128.0],[448.0],[64.0],[134.0],[180.0],[354.0],[288.0],[407.0],[356.0],[286.0],[147.0],[146.0],[512.0],[163.0],[359.0],[20.0],[144.0],[487.0],[60.0],[350.0],[87.0],[139.0],[292.0],[392.0],[144.0],[305.0],[168.0],[168.0],[250.0],[144.0],[97.0],[20.0],[480.0],[147.0],[456.0],[39.0],[213.0],[456.0],[455.0],[144.0],[52.0],[480.0],[172.0],[512.0],[172.0]
