Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[317.0],[437.0],[437.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[370.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[301.0],[437.0],[437.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[471.0],[437.0],[437.0],[372.0],[437.0],[437.0],[372.0],[437.0],[372.0],[437.0],[317.0],[370.0],[471.0],[437.0],[437.0],[372.0],[437.0],[219.0],[437.0],[437.0],[437.0],[437.0],[301.0],[372.0],[301.0],[437.0],[437.0],[437.0],[437.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[370.0],[437.0],[372.0],[437.0],[372.0],[437.0],[437.0],[437.0],[471.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[301.0]
1,[372.0],[301.0],[372.0],[370.0],[372.0],[301.0],[437.0],[317.0],[372.0],[437.0],[372.0],[372.0],[372.0],[301.0],[301.0],[437.0],[437.0],[437.0],[437.0],[317.0],[372.0],[372.0],[471.0],[372.0],[370.0],[372.0],[402.0],[437.0],[301.0],[333.0],[471.0],[317.0],[219.0],[333.0],[372.0],[372.0],[372.0],[372.0],[372.0],[372.0],[437.0],[317.0],[5.0],[471.0],[370.0],[132.0],[372.0],[372.0],[437.0],[437.0],[301.0],[301.0],[437.0],[301.0],[437.0],[471.0],[301.0],[317.0],[301.0],[372.0],[437.0],[437.0],[372.0],[86.0],[370.0],[372.0],[301.0],[219.0],[372.0],[301.0],[370.0],[372.0],[372.0],[301.0],[372.0],[370.0],[24.0],[219.0],[437.0],[24.0],[437.0],[301.0],[24.0],[301.0],[301.0],[370.0],[437.0],[301.0],[396.0],[372.0],[301.0],[132.0],[370.0],[437.0],[372.0],[372.0],[372.0],[370.0],[471.0],[437.0]
2,[471.0],[396.0],[301.0],[333.0],[219.0],[333.0],[372.0],[372.0],[402.0],[5.0],[396.0],[5.0],[301.0],[372.0],[372.0],[219.0],[301.0],[396.0],[24.0],[372.0],[301.0],[219.0],[372.0],[301.0],[471.0],[86.0],[372.0],[86.0],[24.0],[24.0],[370.0],[372.0],[301.0],[370.0],[301.0],[317.0],[396.0],[437.0],[24.0],[301.0],[301.0],[372.0],[396.0],[437.0],[471.0],[402.0],[317.0],[389.0],[333.0],[24.0],[24.0],[372.0],[402.0],[372.0],[372.0],[219.0],[219.0],[372.0],[372.0],[24.0],[219.0],[219.0],[24.0],[219.0],[108.0],[301.0],[471.0],[301.0],[24.0],[370.0],[396.0],[471.0],[24.0],[372.0],[301.0],[5.0],[396.0],[372.0],[219.0],[370.0],[430.0],[396.0],[437.0],[370.0],[372.0],[24.0],[333.0],[370.0],[471.0],[332.0],[24.0],[372.0],[5.0],[402.0],[430.0],[317.0],[24.0],[333.0],[219.0],[372.0]
3,[301.0],[219.0],[24.0],[301.0],[108.0],[370.0],[219.0],[219.0],[301.0],[219.0],[301.0],[24.0],[24.0],[219.0],[396.0],[301.0],[402.0],[24.0],[396.0],[402.0],[333.0],[5.0],[333.0],[219.0],[24.0],[402.0],[5.0],[219.0],[396.0],[219.0],[396.0],[396.0],[372.0],[301.0],[5.0],[24.0],[219.0],[301.0],[301.0],[5.0],[396.0],[219.0],[301.0],[219.0],[396.0],[219.0],[396.0],[396.0],[132.0],[301.0],[370.0],[471.0],[333.0],[103.0],[471.0],[186.0],[471.0],[219.0],[471.0],[219.0],[5.0],[372.0],[301.0],[372.0],[24.0],[396.0],[5.0],[471.0],[301.0],[24.0],[5.0],[317.0],[430.0],[24.0],[5.0],[132.0],[301.0],[5.0],[333.0],[471.0],[24.0],[372.0],[5.0],[471.0],[396.0],[396.0],[301.0],[471.0],[219.0],[301.0],[396.0],[301.0],[132.0],[301.0],[396.0],[430.0],[430.0],[24.0],[317.0],[87.0]
4,[24.0],[24.0],[471.0],[396.0],[5.0],[5.0],[471.0],[87.0],[5.0],[24.0],[333.0],[301.0],[5.0],[24.0],[24.0],[396.0],[471.0],[301.0],[5.0],[24.0],[24.0],[389.0],[24.0],[87.0],[87.0],[301.0],[301.0],[301.0],[471.0],[396.0],[301.0],[24.0],[402.0],[24.0],[24.0],[219.0],[301.0],[24.0],[87.0],[219.0],[333.0],[24.0],[219.0],[24.0],[219.0],[5.0],[24.0],[5.0],[24.0],[108.0],[5.0],[24.0],[24.0],[24.0],[317.0],[301.0],[24.0],[396.0],[396.0],[87.0],[24.0],[471.0],[396.0],[402.0],[301.0],[219.0],[402.0],[87.0],[5.0],[471.0],[301.0],[219.0],[301.0],[87.0],[24.0],[219.0],[219.0],[24.0],[396.0],[219.0],[219.0],[219.0],[301.0],[219.0],[24.0],[301.0],[24.0],[24.0],[333.0],[219.0],[5.0],[24.0],[186.0],[24.0],[301.0],[219.0],[219.0],[301.0],[24.0],[5.0]
5,[5.0],[471.0],[219.0],[5.0],[24.0],[24.0],[24.0],[301.0],[24.0],[301.0],[219.0],[87.0],[87.0],[396.0],[349.0],[24.0],[5.0],[5.0],[301.0],[396.0],[219.0],[132.0],[301.0],[5.0],[333.0],[186.0],[24.0],[5.0],[5.0],[301.0],[219.0],[471.0],[103.0],[396.0],[219.0],[402.0],[402.0],[219.0],[471.0],[402.0],[87.0],[301.0],[24.0],[87.0],[301.0],[301.0],[471.0],[301.0],[301.0],[389.0],[87.0],[396.0],[396.0],[396.0],[396.0],[5.0],[5.0],[333.0],[219.0],[389.0],[301.0],[24.0],[5.0],[471.0],[471.0],[24.0],[24.0],[24.0],[87.0],[219.0],[24.0],[301.0],[396.0],[471.0],[219.0],[87.0],[471.0],[301.0],[24.0],[87.0],[5.0],[24.0],[402.0],[24.0],[471.0],[219.0],[219.0],[5.0],[24.0],[389.0],[219.0],[471.0],[301.0],[5.0],[471.0],[333.0],[402.0],[87.0],[301.0],[24.0]
6,[219.0],[87.0],[87.0],[87.0],[301.0],[396.0],[396.0],[5.0],[87.0],[471.0],[389.0],[219.0],[471.0],[333.0],[333.0],[471.0],[87.0],[219.0],[87.0],[219.0],[396.0],[301.0],[219.0],[389.0],[219.0],[219.0],[219.0],[24.0],[87.0],[471.0],[132.0],[219.0],[24.0],[471.0],[471.0],[301.0],[24.0],[5.0],[5.0],[186.0],[471.0],[5.0],[471.0],[5.0],[24.0],[471.0],[5.0],[87.0],[87.0],[396.0],[389.0],[430.0],[389.0],[471.0],[24.0],[87.0],[87.0],[24.0],[24.0],[396.0],[396.0],[5.0],[471.0],[24.0],[219.0],[87.0],[132.0],[372.0],[471.0],[186.0],[87.0],[396.0],[5.0],[219.0],[471.0],[24.0],[87.0],[396.0],[301.0],[5.0],[301.0],[5.0],[471.0],[372.0],[87.0],[349.0],[389.0],[87.0],[301.0],[24.0],[389.0],[219.0],[87.0],[219.0],[219.0],[471.0],[301.0],[37.0],[5.0],[471.0]
7,[108.0],[5.0],[5.0],[24.0],[471.0],[219.0],[301.0],[471.0],[219.0],[396.0],[24.0],[471.0],[219.0],[87.0],[471.0],[87.0],[389.0],[471.0],[219.0],[301.0],[5.0],[87.0],[108.0],[471.0],[389.0],[471.0],[87.0],[471.0],[333.0],[87.0],[389.0],[5.0],[389.0],[5.0],[389.0],[5.0],[471.0],[87.0],[389.0],[471.0],[219.0],[396.0],[372.0],[301.0],[5.0],[24.0],[301.0],[186.0],[5.0],[5.0],[471.0],[219.0],[317.0],[219.0],[430.0],[24.0],[430.0],[301.0],[5.0],[333.0],[186.0],[389.0],[219.0],[87.0],[87.0],[333.0],[396.0],[5.0],[402.0],[5.0],[219.0],[5.0],[219.0],[5.0],[87.0],[301.0],[5.0],[214.0],[87.0],[301.0],[396.0],[87.0],[186.0],[108.0],[5.0],[87.0],[430.0],[108.0],[5.0],[396.0],[471.0],[87.0],[24.0],[87.0],[186.0],[24.0],[471.0],[5.0],[87.0],[186.0]
8,[402.0],[372.0],[430.0],[471.0],[396.0],[389.0],[5.0],[402.0],[389.0],[317.0],[87.0],[389.0],[389.0],[389.0],[219.0],[333.0],[24.0],[389.0],[471.0],[349.0],[430.0],[186.0],[389.0],[396.0],[396.0],[5.0],[471.0],[396.0],[389.0],[5.0],[24.0],[301.0],[87.0],[87.0],[402.0],[186.0],[349.0],[389.0],[396.0],[396.0],[389.0],[471.0],[87.0],[132.0],[186.0],[389.0],[402.0],[333.0],[471.0],[132.0],[333.0],[317.0],[471.0],[333.0],[389.0],[372.0],[372.0],[87.0],[87.0],[186.0],[317.0],[430.0],[87.0],[301.0],[5.0],[471.0],[317.0],[132.0],[333.0],[87.0],[471.0],[389.0],[37.0],[402.0],[389.0],[372.0],[430.0],[317.0],[5.0],[396.0],[471.0],[389.0],[108.0],[87.0],[219.0],[389.0],[396.0],[333.0],[87.0],[471.0],[402.0],[5.0],[219.0],[471.0],[5.0],[87.0],[87.0],[219.0],[430.0],[389.0]
9,[333.0],[430.0],[402.0],[219.0],[214.0],[471.0],[87.0],[389.0],[471.0],[87.0],[5.0],[396.0],[396.0],[471.0],[87.0],[430.0],[219.0],[87.0],[333.0],[186.0],[87.0],[471.0],[396.0],[186.0],[132.0],[24.0],[396.0],[333.0],[132.0],[389.0],[87.0],[186.0],[471.0],[219.0],[333.0],[430.0],[389.0],[132.0],[132.0],[333.0],[5.0],[389.0],[333.0],[389.0],[389.0],[87.0],[219.0],[394.0],[219.0],[219.0],[219.0],[389.0],[87.0],[389.0],[333.0],[430.0],[389.0],[5.0],[108.0],[317.0],[471.0],[87.0],[389.0],[5.0],[389.0],[5.0],[219.0],[402.0],[389.0],[86.0],[389.0],[132.0],[471.0],[389.0],[402.0],[471.0],[372.0],[471.0],[471.0],[132.0],[389.0],[471.0],[317.0],[5.0],[389.0],[471.0],[186.0],[219.0],[389.0],[5.0],[333.0],[396.0],[471.0],[186.0],[389.0],[301.0],[389.0],[389.0],[389.0],[132.0]
