Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[245],[1492],[400],[1163],[756],[1406],[1409],[509],[703],[1153],[930],[1508],[1003],[1278],[1491],[485],[286],[442],[521],[233],[1223],[627],[494],[860],[242],[516],[1117],[1052],[1154],[178],[1151],[1421],[608],[956],[181],[209],[279],[627],[224],[687],[444],[366],[768],[986],[613],[638],[121],[745],[540],[490],[82],[789],[138],[185],[1150],[1594],[456],[833],[47],[1217],[170],[1224],[1571],[1428],[1418],[1275],[430],[1357],[1374],[982],[973],[237],[130],[850],[339],[353],[1097],[479],[704],[907],[1277],[1170],[309],[1442],[420],[1480],[744],[1264],[1223],[165],[636],[92],[1127],[525],[1591],[1166],[737],[1182],[1196],[1055]
1,[1174],[1224],[1080],[241],[712],[681],[291],[1174],[1420],[1522],[613],[368],[1395],[628],[504],[125],[182],[1501],[92],[1521],[984],[1576],[598],[886],[942],[1402],[1029],[170],[558],[803],[889],[1016],[312],[570],[1471],[150],[76],[1560],[983],[1031],[144],[188],[692],[192],[1210],[808],[817],[276],[362],[1261],[477],[1190],[1012],[283],[1086],[1077],[69],[1127],[731],[606],[1033],[177],[1052],[852],[215],[1014],[841],[18],[1018],[1194],[88],[250],[232],[1046],[1077],[401],[887],[315],[882],[63],[745],[54],[1041],[67],[114],[1591],[291],[621],[1288],[931],[1195],[961],[1563],[49],[0],[962],[1296],[26],[1171],[1237]
2,[683],[265],[1548],[1439],[1023],[470],[654],[406],[170],[361],[77],[1447],[222],[573],[491],[86],[898],[562],[2],[300],[1031],[944],[1442],[873],[1136],[878],[281],[1056],[368],[1347],[928],[523],[850],[562],[1007],[1585],[1191],[398],[1389],[1452],[662],[161],[1045],[1101],[996],[829],[37],[576],[842],[408],[998],[166],[595],[276],[281],[1527],[55],[64],[1185],[1428],[1565],[154],[1015],[1453],[194],[243],[96],[1148],[1180],[569],[159],[1336],[1302],[806],[598],[1003],[1258],[1053],[41],[352],[212],[1548],[1334],[1590],[482],[1587],[935],[1200],[1212],[426],[197],[234],[1453],[1364],[1160],[979],[1561],[13],[810],[982]
3,[661],[827],[468],[374],[505],[305],[903],[317],[1494],[490],[1257],[341],[886],[1468],[432],[1112],[360],[1544],[824],[1488],[921],[352],[1570],[869],[469],[202],[867],[1403],[733],[366],[956],[527],[330],[942],[1216],[1237],[200],[564],[1126],[659],[98],[761],[46],[695],[1079],[1104],[972],[1563],[75],[992],[863],[1117],[895],[1523],[145],[1114],[63],[188],[257],[1133],[882],[47],[1123],[406],[1112],[156],[929],[863],[879],[1063],[435],[272],[1035],[1104],[213],[579],[618],[219],[294],[678],[382],[852],[144],[5],[1391],[837],[1559],[203],[682],[308],[786],[256],[911],[1357],[794],[941],[215],[1097],[1407],[245]
4,[342],[1417],[1374],[493],[692],[972],[1351],[1277],[1453],[1184],[711],[1436],[951],[377],[970],[807],[1014],[30],[1289],[677],[1377],[776],[305],[1177],[584],[1440],[944],[1495],[236],[16],[1327],[1335],[1244],[629],[1539],[494],[524],[1061],[926],[194],[1055],[677],[794],[234],[502],[233],[1089],[228],[838],[1419],[310],[867],[335],[225],[536],[1343],[545],[379],[1508],[978],[1093],[1280],[330],[1147],[925],[311],[1472],[411],[544],[1294],[1544],[375],[1547],[1170],[401],[195],[1261],[21],[38],[408],[1094],[983],[1337],[362],[852],[1372],[65],[961],[963],[1565],[588],[692],[799],[117],[717],[485],[762],[312],[432],[812]
5,[1063],[581],[280],[74],[1290],[1464],[1146],[771],[1542],[1273],[1375],[660],[348],[765],[907],[642],[718],[450],[536],[347],[1354],[1457],[1107],[1049],[381],[1153],[572],[1031],[914],[735],[1421],[244],[1318],[181],[405],[707],[127],[644],[1435],[464],[1498],[891],[1240],[1084],[839],[1179],[295],[1028],[50],[700],[409],[1026],[1094],[1177],[433],[798],[957],[635],[1085],[559],[1322],[474],[930],[818],[896],[612],[863],[307],[459],[1553],[1411],[1491],[321],[100],[1538],[871],[1315],[151],[528],[952],[576],[1487],[245],[1251],[1155],[938],[1040],[426],[609],[73],[1065],[1538],[182],[1494],[849],[906],[783],[991],[549],[156]
6,[1587],[856],[447],[622],[802],[503],[1002],[1571],[1307],[851],[683],[279],[120],[1113],[467],[597],[1162],[1034],[1450],[54],[1135],[310],[388],[242],[445],[1421],[1222],[573],[19],[811],[1236],[1160],[861],[439],[244],[925],[1097],[1443],[91],[477],[410],[1380],[1137],[71],[659],[1571],[1582],[103],[1061],[658],[92],[1517],[1582],[11],[37],[1185],[651],[531],[1485],[922],[650],[1145],[1066],[702],[344],[745],[760],[1075],[1221],[689],[83],[983],[94],[590],[611],[564],[534],[1408],[258],[1078],[894],[652],[624],[333],[960],[1585],[669],[384],[350],[250],[309],[875],[1592],[976],[1409],[302],[769],[629],[380],[1032]
7,[1342],[1228],[350],[677],[1228],[64],[1170],[44],[1525],[870],[1063],[602],[1285],[217],[1243],[1487],[795],[1073],[105],[884],[402],[1375],[1142],[764],[1337],[370],[378],[1146],[227],[274],[101],[139],[1113],[324],[707],[165],[914],[358],[1495],[617],[925],[833],[70],[1546],[846],[473],[1371],[996],[1518],[535],[423],[464],[1531],[467],[1480],[485],[1436],[664],[838],[823],[1383],[380],[472],[541],[276],[1559],[63],[413],[1206],[1062],[1258],[1401],[1008],[1055],[1527],[483],[782],[1190],[1318],[954],[1442],[311],[796],[928],[1180],[604],[1213],[1490],[323],[1583],[1391],[910],[1569],[1023],[898],[1255],[732],[1584],[1166],[1087]
8,[938],[1158],[267],[248],[778],[68],[1456],[1542],[930],[130],[1019],[919],[146],[1444],[1569],[906],[994],[392],[259],[405],[279],[737],[1592],[476],[725],[802],[9],[1151],[510],[63],[911],[1371],[1487],[1558],[533],[622],[185],[1589],[319],[1148],[344],[615],[373],[1444],[1597],[274],[1313],[1051],[514],[1179],[670],[719],[748],[3],[570],[977],[1292],[766],[864],[1030],[501],[199],[443],[1435],[216],[635],[653],[529],[1107],[1136],[1372],[380],[28],[104],[681],[1037],[67],[746],[567],[709],[1583],[507],[721],[1033],[1573],[1469],[1176],[1329],[201],[560],[1330],[138],[376],[498],[1144],[1252],[117],[604],[963],[125]
9,[1219],[95],[883],[1111],[1589],[1210],[1469],[998],[985],[653],[52],[1166],[1241],[192],[873],[1181],[646],[571],[1132],[1260],[1201],[27],[969],[830],[1413],[1379],[431],[158],[52],[1523],[1420],[976],[386],[303],[15],[1419],[341],[1373],[444],[502],[483],[564],[1385],[1008],[1102],[810],[995],[608],[1454],[1578],[825],[1457],[1339],[791],[1522],[983],[633],[457],[656],[1348],[365],[668],[986],[1334],[1307],[338],[1180],[1080],[1056],[584],[1256],[1540],[948],[634],[590],[186],[1093],[1584],[18],[438],[859],[1002],[222],[150],[1537],[194],[437],[486],[1473],[189],[875],[1395],[576],[218],[616],[466],[448],[1029],[1343],[540]
