Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[70.0],[210.0],[224.0],[224.0],[280.0],[280.0],[266.0],[263.0],[167.0],[278.0],[150.0],[250.0],[28.0],[28.0],[238.0],[28.0],[252.0],[237.0],[237.0],[28.0],[279.0],[28.0],[28.0],[255.0],[238.0],[14.0],[251.0],[224.0],[14.0],[168.0],[238.0],[266.0],[168.0],[164.0],[251.0],[307.0],[224.0],[238.0],[168.0],[266.0],[154.0],[238.0],[252.0],[252.0],[210.0],[238.0],[28.0],[210.0],[259.0],[181.0],[262.0],[210.0],[84.0],[28.0],[280.0],[28.0],[238.0],[210.0],[14.0],[28.0],[182.0],[41.0],[168.0],[278.0],[167.0],[28.0],[277.0],[167.0],[56.0],[266.0],[56.0],[238.0],[84.0],[84.0],[252.0],[28.0],[210.0],[248.0],[266.0],[168.0],[28.0],[28.0],[28.0],[307.0],[180.0],[274.0],[210.0],[28.0],[252.0],[252.0],[251.0],[154.0],[195.0],[266.0],[14.0],[154.0],[40.0],[266.0],[238.0],[168.0]
1,[36.0],[167.0],[167.0],[250.0],[265.0],[279.0],[181.0],[279.0],[265.0],[224.0],[217.0],[28.0],[238.0],[237.0],[279.0],[224.0],[249.0],[261.0],[167.0],[266.0],[265.0],[243.0],[238.0],[265.0],[28.0],[251.0],[293.0],[265.0],[28.0],[154.0],[251.0],[251.0],[234.0],[223.0],[237.0],[231.0],[28.0],[250.0],[247.0],[41.0],[265.0],[257.0],[237.0],[28.0],[139.0],[181.0],[265.0],[251.0],[237.0],[56.0],[41.0],[266.0],[265.0],[252.0],[279.0],[243.0],[181.0],[139.0],[252.0],[237.0],[237.0],[31.0],[28.0],[224.0],[293.0],[266.0],[14.0],[279.0],[266.0],[127.0],[154.0],[279.0],[26.0],[265.0],[181.0],[266.0],[279.0],[224.0],[181.0],[182.0],[223.0],[279.0],[263.0],[81.0],[265.0],[237.0],[293.0],[279.0],[237.0],[294.0],[237.0],[266.0],[220.0],[153.0],[265.0],[83.0],[238.0],[153.0],[28.0],[265.0]
2,[290.0],[259.0],[28.0],[210.0],[215.0],[28.0],[27.0],[40.0],[14.0],[237.0],[27.0],[237.0],[279.0],[38.0],[251.0],[96.0],[290.0],[210.0],[97.0],[56.0],[224.0],[265.0],[304.0],[236.0],[215.0],[279.0],[279.0],[237.0],[274.0],[263.0],[33.0],[176.0],[265.0],[265.0],[277.0],[39.0],[270.0],[28.0],[39.0],[223.0],[236.0],[251.0],[263.0],[223.0],[234.0],[275.0],[237.0],[84.0],[38.0],[41.0],[223.0],[181.0],[168.0],[180.0],[249.0],[278.0],[161.0],[251.0],[237.0],[264.0],[26.0],[237.0],[251.0],[250.0],[265.0],[40.0],[41.0],[222.0],[28.0],[259.0],[221.0],[163.0],[303.0],[238.0],[237.0],[39.0],[272.0],[277.0],[237.0],[232.0],[280.0],[265.0],[39.0],[251.0],[69.0],[210.0],[54.0],[223.0],[163.0],[27.0],[182.0],[279.0],[28.0],[248.0],[237.0],[304.0],[279.0],[244.0],[41.0],[279.0]
3,[83.0],[234.0],[234.0],[265.0],[264.0],[180.0],[248.0],[70.0],[233.0],[210.0],[266.0],[182.0],[177.0],[14.0],[245.0],[223.0],[195.0],[35.0],[223.0],[35.0],[261.0],[234.0],[218.0],[238.0],[218.0],[276.0],[28.0],[261.0],[56.0],[246.0],[180.0],[179.0],[195.0],[294.0],[232.0],[236.0],[27.0],[41.0],[107.0],[265.0],[279.0],[180.0],[28.0],[80.0],[279.0],[167.0],[41.0],[178.0],[233.0],[252.0],[238.0],[245.0],[139.0],[97.0],[28.0],[252.0],[262.0],[260.0],[161.0],[233.0],[263.0],[266.0],[252.0],[145.0],[260.0],[237.0],[70.0],[238.0],[246.0],[263.0],[175.0],[280.0],[28.0],[166.0],[245.0],[216.0],[250.0],[236.0],[28.0],[14.0],[25.0],[280.0],[56.0],[14.0],[280.0],[168.0],[266.0],[224.0],[262.0],[55.0],[263.0],[265.0],[40.0],[223.0],[221.0],[293.0],[149.0],[224.0],[265.0],[41.0]
4,[28.0],[265.0],[277.0],[238.0],[14.0],[261.0],[294.0],[277.0],[262.0],[135.0],[224.0],[236.0],[180.0],[165.0],[273.0],[280.0],[294.0],[166.0],[238.0],[251.0],[179.0],[178.0],[14.0],[160.0],[224.0],[248.0],[275.0],[210.0],[178.0],[276.0],[307.0],[14.0],[294.0],[238.0],[84.0],[151.0],[41.0],[280.0],[224.0],[238.0],[238.0],[266.0],[153.0],[36.0],[250.0],[56.0],[260.0],[237.0],[263.0],[221.0],[252.0],[167.0],[279.0],[307.0],[219.0],[41.0],[248.0],[232.0],[232.0],[136.0],[84.0],[264.0],[306.0],[176.0],[231.0],[210.0],[164.0],[178.0],[249.0],[251.0],[237.0],[237.0],[168.0],[258.0],[247.0],[223.0],[224.0],[28.0],[147.0],[236.0],[307.0],[251.0],[216.0],[249.0],[138.0],[28.0],[307.0],[275.0],[182.0],[222.0],[278.0],[195.0],[181.0],[217.0],[238.0],[217.0],[180.0],[276.0],[262.0],[280.0]
5,[237.0],[294.0],[265.0],[28.0],[34.0],[236.0],[97.0],[278.0],[279.0],[137.0],[20.0],[252.0],[235.0],[149.0],[179.0],[238.0],[70.0],[28.0],[232.0],[92.0],[264.0],[262.0],[167.0],[279.0],[68.0],[152.0],[38.0],[165.0],[278.0],[250.0],[62.0],[262.0],[125.0],[279.0],[235.0],[168.0],[167.0],[56.0],[280.0],[237.0],[251.0],[230.0],[41.0],[275.0],[167.0],[41.0],[165.0],[166.0],[279.0],[293.0],[69.0],[236.0],[251.0],[83.0],[14.0],[176.0],[237.0],[167.0],[38.0],[238.0],[63.0],[279.0],[180.0],[14.0],[307.0],[236.0],[306.0],[237.0],[166.0],[247.0],[265.0],[268.0],[41.0],[41.0],[265.0],[238.0],[265.0],[262.0],[135.0],[164.0],[154.0],[166.0],[266.0],[266.0],[14.0],[138.0],[182.0],[84.0],[83.0],[56.0],[274.0],[137.0],[56.0],[265.0],[164.0],[222.0],[14.0],[56.0],[306.0],[180.0]
6,[168.0],[262.0],[262.0],[164.0],[78.0],[70.0],[221.0],[92.0],[181.0],[178.0],[22.0],[277.0],[14.0],[290.0],[307.0],[81.0],[136.0],[41.0],[136.0],[279.0],[280.0],[153.0],[56.0],[277.0],[193.0],[223.0],[82.0],[275.0],[251.0],[84.0],[219.0],[36.0],[83.0],[280.0],[219.0],[164.0],[237.0],[260.0],[304.0],[261.0],[28.0],[210.0],[302.0],[250.0],[294.0],[139.0],[14.0],[266.0],[180.0],[279.0],[218.0],[277.0],[41.0],[222.0],[223.0],[14.0],[278.0],[39.0],[265.0],[263.0],[245.0],[251.0],[245.0],[274.0],[251.0],[93.0],[273.0],[260.0],[258.0],[279.0],[165.0],[233.0],[78.0],[266.0],[28.0],[219.0],[166.0],[223.0],[56.0],[272.0],[264.0],[274.0],[78.0],[68.0],[28.0],[231.0],[40.0],[153.0],[28.0],[247.0],[210.0],[294.0],[165.0],[69.0],[264.0],[28.0],[280.0],[179.0],[219.0],[165.0]
7,[251.0],[139.0],[237.0],[139.0],[294.0],[14.0],[264.0],[224.0],[275.0],[25.0],[192.0],[210.0],[264.0],[181.0],[293.0],[36.0],[25.0],[266.0],[182.0],[84.0],[193.0],[14.0],[97.0],[232.0],[252.0],[84.0],[177.0],[39.0],[154.0],[216.0],[210.0],[219.0],[41.0],[237.0],[79.0],[182.0],[292.0],[163.0],[258.0],[168.0],[274.0],[263.0],[278.0],[194.0],[263.0],[264.0],[35.0],[181.0],[294.0],[248.0],[81.0],[56.0],[262.0],[37.0],[83.0],[248.0],[70.0],[277.0],[28.0],[245.0],[288.0],[275.0],[182.0],[248.0],[28.0],[67.0],[168.0],[224.0],[294.0],[275.0],[246.0],[218.0],[67.0],[233.0],[262.0],[22.0],[14.0],[280.0],[178.0],[210.0],[168.0],[150.0],[221.0],[182.0],[219.0],[276.0],[302.0],[180.0],[265.0],[84.0],[246.0],[124.0],[27.0],[14.0],[28.0],[40.0],[237.0],[35.0],[280.0],[14.0]
8,[14.0],[223.0],[164.0],[262.0],[64.0],[223.0],[277.0],[173.0],[251.0],[266.0],[83.0],[231.0],[222.0],[178.0],[237.0],[279.0],[238.0],[293.0],[80.0],[301.0],[166.0],[167.0],[39.0],[280.0],[35.0],[306.0],[179.0],[266.0],[248.0],[219.0],[38.0],[252.0],[238.0],[41.0],[14.0],[69.0],[238.0],[182.0],[134.0],[251.0],[180.0],[28.0],[305.0],[224.0],[223.0],[248.0],[95.0],[279.0],[220.0],[94.0],[279.0],[161.0],[179.0],[40.0],[224.0],[294.0],[165.0],[136.0],[261.0],[280.0],[149.0],[179.0],[276.0],[260.0],[233.0],[196.0],[138.0],[251.0],[158.0],[151.0],[178.0],[14.0],[96.0],[280.0],[152.0],[280.0],[223.0],[219.0],[179.0],[305.0],[236.0],[180.0],[232.0],[250.0],[195.0],[163.0],[234.0],[26.0],[166.0],[276.0],[177.0],[28.0],[279.0],[219.0],[40.0],[244.0],[222.0],[41.0],[139.0],[263.0]
9,[250.0],[137.0],[38.0],[280.0],[219.0],[215.0],[290.0],[280.0],[277.0],[249.0],[84.0],[135.0],[41.0],[151.0],[265.0],[277.0],[264.0],[162.0],[26.0],[219.0],[278.0],[195.0],[181.0],[224.0],[84.0],[260.0],[265.0],[178.0],[179.0],[266.0],[192.0],[28.0],[279.0],[251.0],[248.0],[304.0],[165.0],[262.0],[276.0],[278.0],[258.0],[161.0],[292.0],[38.0],[280.0],[33.0],[274.0],[150.0],[123.0],[278.0],[14.0],[135.0],[280.0],[233.0],[27.0],[307.0],[28.0],[66.0],[234.0],[216.0],[168.0],[194.0],[266.0],[223.0],[263.0],[26.0],[221.0],[165.0],[196.0],[14.0],[264.0],[259.0],[21.0],[22.0],[218.0],[248.0],[238.0],[251.0],[234.0],[40.0],[220.0],[38.0],[191.0],[28.0],[97.0],[250.0],[24.0],[41.0],[41.0],[194.0],[249.0],[238.0],[294.0],[28.0],[234.0],[56.0],[166.0],[93.0],[237.0],[38.0]
