Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[70.0],[265.0],[265.0],[224.0],[280.0],[223.0],[266.0],[166.0],[181.0],[167.0],[224.0],[251.0],[178.0],[28.0],[238.0],[28.0],[210.0],[70.0],[237.0],[41.0],[279.0],[28.0],[28.0],[255.0],[238.0],[14.0],[28.0],[224.0],[14.0],[168.0],[238.0],[266.0],[266.0],[265.0],[251.0],[168.0],[224.0],[84.0],[168.0],[41.0],[154.0],[224.0],[252.0],[223.0],[210.0],[238.0],[28.0],[210.0],[260.0],[41.0],[223.0],[266.0],[70.0],[28.0],[280.0],[28.0],[238.0],[210.0],[237.0],[236.0],[237.0],[41.0],[28.0],[279.0],[167.0],[28.0],[265.0],[265.0],[56.0],[131.0],[56.0],[280.0],[195.0],[84.0],[252.0],[28.0],[210.0],[224.0],[181.0],[266.0],[28.0],[278.0],[28.0],[307.0],[210.0],[237.0],[210.0],[28.0],[252.0],[252.0],[265.0],[154.0],[28.0],[251.0],[41.0],[69.0],[238.0],[266.0],[238.0],[168.0]
1,[41.0],[28.0],[224.0],[28.0],[182.0],[280.0],[181.0],[294.0],[180.0],[238.0],[179.0],[28.0],[195.0],[265.0],[279.0],[224.0],[290.0],[237.0],[233.0],[294.0],[265.0],[271.0],[238.0],[167.0],[28.0],[307.0],[251.0],[246.0],[28.0],[252.0],[248.0],[251.0],[307.0],[238.0],[237.0],[307.0],[28.0],[238.0],[247.0],[84.0],[28.0],[238.0],[237.0],[28.0],[167.0],[41.0],[97.0],[251.0],[237.0],[181.0],[238.0],[249.0],[168.0],[41.0],[279.0],[252.0],[210.0],[68.0],[252.0],[28.0],[182.0],[266.0],[251.0],[249.0],[234.0],[210.0],[97.0],[255.0],[266.0],[233.0],[218.0],[238.0],[223.0],[25.0],[28.0],[210.0],[181.0],[28.0],[28.0],[14.0],[223.0],[264.0],[307.0],[82.0],[307.0],[14.0],[293.0],[84.0],[84.0],[294.0],[238.0],[266.0],[27.0],[223.0],[237.0],[222.0],[41.0],[252.0],[84.0],[84.0]
2,[89.0],[238.0],[280.0],[249.0],[294.0],[168.0],[97.0],[146.0],[167.0],[210.0],[280.0],[252.0],[238.0],[234.0],[272.0],[238.0],[27.0],[39.0],[182.0],[84.0],[213.0],[70.0],[41.0],[238.0],[21.0],[182.0],[252.0],[126.0],[294.0],[215.0],[33.0],[274.0],[82.0],[223.0],[277.0],[182.0],[225.0],[276.0],[21.0],[266.0],[265.0],[260.0],[263.0],[80.0],[181.0],[181.0],[139.0],[84.0],[164.0],[294.0],[252.0],[210.0],[41.0],[111.0],[224.0],[246.0],[140.0],[182.0],[14.0],[161.0],[26.0],[32.0],[97.0],[224.0],[293.0],[41.0],[14.0],[279.0],[83.0],[238.0],[25.0],[164.0],[112.0],[168.0],[237.0],[38.0],[224.0],[150.0],[294.0],[307.0],[182.0],[280.0],[182.0],[251.0],[280.0],[223.0],[195.0],[180.0],[168.0],[247.0],[239.0],[176.0],[56.0],[275.0],[14.0],[154.0],[223.0],[56.0],[265.0],[28.0]
3,[301.0],[162.0],[28.0],[294.0],[223.0],[28.0],[294.0],[262.0],[235.0],[231.0],[252.0],[153.0],[28.0],[41.0],[151.0],[97.0],[252.0],[210.0],[83.0],[266.0],[81.0],[246.0],[36.0],[234.0],[41.0],[251.0],[181.0],[70.0],[224.0],[14.0],[63.0],[178.0],[229.0],[236.0],[138.0],[41.0],[272.0],[41.0],[280.0],[33.0],[238.0],[266.0],[28.0],[224.0],[70.0],[270.0],[14.0],[178.0],[168.0],[69.0],[262.0],[252.0],[24.0],[252.0],[274.0],[278.0],[8.0],[237.0],[266.0],[134.0],[263.0],[38.0],[182.0],[277.0],[25.0],[168.0],[279.0],[97.0],[28.0],[279.0],[252.0],[279.0],[293.0],[223.0],[180.0],[220.0],[294.0],[179.0],[235.0],[33.0],[280.0],[22.0],[40.0],[14.0],[179.0],[168.0],[294.0],[177.0],[237.0],[27.0],[14.0],[249.0],[21.0],[79.0],[165.0],[70.0],[279.0],[181.0],[294.0],[266.0]
4,[26.0],[235.0],[237.0],[265.0],[41.0],[70.0],[28.0],[210.0],[210.0],[56.0],[134.0],[154.0],[277.0],[280.0],[278.0],[14.0],[22.0],[28.0],[28.0],[279.0],[41.0],[248.0],[38.0],[181.0],[218.0],[42.0],[148.0],[265.0],[41.0],[265.0],[79.0],[210.0],[261.0],[41.0],[182.0],[251.0],[56.0],[70.0],[216.0],[237.0],[279.0],[28.0],[153.0],[35.0],[234.0],[84.0],[163.0],[82.0],[251.0],[14.0],[41.0],[70.0],[251.0],[179.0],[28.0],[294.0],[279.0],[262.0],[41.0],[165.0],[84.0],[265.0],[14.0],[14.0],[165.0],[280.0],[294.0],[83.0],[252.0],[14.0],[210.0],[142.0],[182.0],[27.0],[223.0],[266.0],[275.0],[237.0],[274.0],[234.0],[224.0],[251.0],[76.0],[111.0],[223.0],[74.0],[69.0],[38.0],[294.0],[222.0],[164.0],[233.0],[40.0],[279.0],[223.0],[84.0],[280.0],[245.0],[41.0],[42.0]
5,[56.0],[14.0],[111.0],[238.0],[76.0],[69.0],[276.0],[97.0],[81.0],[178.0],[261.0],[151.0],[260.0],[264.0],[69.0],[39.0],[278.0],[261.0],[221.0],[280.0],[224.0],[265.0],[304.0],[251.0],[224.0],[28.0],[176.0],[14.0],[280.0],[164.0],[181.0],[279.0],[182.0],[239.0],[247.0],[178.0],[274.0],[251.0],[78.0],[167.0],[166.0],[135.0],[303.0],[208.0],[277.0],[252.0],[280.0],[237.0],[180.0],[252.0],[21.0],[167.0],[182.0],[82.0],[238.0],[41.0],[165.0],[251.0],[70.0],[252.0],[252.0],[279.0],[266.0],[164.0],[266.0],[35.0],[251.0],[238.0],[177.0],[249.0],[306.0],[276.0],[78.0],[82.0],[265.0],[289.0],[266.0],[137.0],[266.0],[182.0],[26.0],[28.0],[290.0],[28.0],[139.0],[166.0],[41.0],[278.0],[167.0],[56.0],[38.0],[210.0],[221.0],[181.0],[168.0],[292.0],[276.0],[150.0],[280.0],[153.0]
6,[252.0],[223.0],[162.0],[280.0],[114.0],[125.0],[223.0],[70.0],[277.0],[262.0],[290.0],[237.0],[307.0],[247.0],[154.0],[111.0],[25.0],[292.0],[236.0],[223.0],[124.0],[238.0],[69.0],[278.0],[82.0],[11.0],[279.0],[294.0],[277.0],[244.0],[294.0],[277.0],[210.0],[195.0],[84.0],[265.0],[248.0],[266.0],[40.0],[69.0],[152.0],[251.0],[97.0],[279.0],[265.0],[249.0],[112.0],[166.0],[97.0],[221.0],[280.0],[56.0],[154.0],[36.0],[251.0],[177.0],[251.0],[279.0],[210.0],[175.0],[244.0],[166.0],[39.0],[278.0],[28.0],[37.0],[179.0],[250.0],[237.0],[70.0],[246.0],[168.0],[204.0],[280.0],[26.0],[26.0],[252.0],[251.0],[56.0],[236.0],[138.0],[246.0],[164.0],[249.0],[208.0],[84.0],[122.0],[150.0],[21.0],[84.0],[277.0],[277.0],[293.0],[83.0],[24.0],[299.0],[27.0],[35.0],[168.0],[276.0]
7,[266.0],[280.0],[277.0],[237.0],[66.0],[279.0],[19.0],[153.0],[56.0],[69.0],[272.0],[236.0],[234.0],[304.0],[264.0],[223.0],[276.0],[236.0],[168.0],[66.0],[179.0],[167.0],[168.0],[56.0],[124.0],[56.0],[41.0],[140.0],[265.0],[273.0],[279.0],[154.0],[236.0],[280.0],[305.0],[14.0],[167.0],[163.0],[224.0],[262.0],[280.0],[179.0],[305.0],[237.0],[263.0],[56.0],[164.0],[266.0],[222.0],[291.0],[306.0],[33.0],[280.0],[233.0],[178.0],[306.0],[14.0],[149.0],[163.0],[280.0],[69.0],[275.0],[306.0],[142.0],[250.0],[252.0],[27.0],[165.0],[307.0],[262.0],[248.0],[281.0],[27.0],[85.0],[307.0],[98.0],[250.0],[252.0],[249.0],[210.0],[238.0],[164.0],[56.0],[182.0],[168.0],[41.0],[168.0],[224.0],[28.0],[276.0],[137.0],[273.0],[210.0],[265.0],[221.0],[237.0],[180.0],[153.0],[264.0],[182.0]
8,[224.0],[264.0],[210.0],[261.0],[27.0],[281.0],[220.0],[185.0],[28.0],[168.0],[238.0],[210.0],[223.0],[294.0],[280.0],[82.0],[238.0],[266.0],[251.0],[78.0],[222.0],[294.0],[84.0],[139.0],[266.0],[112.0],[293.0],[139.0],[210.0],[24.0],[224.0],[134.0],[168.0],[140.0],[28.0],[261.0],[238.0],[55.0],[34.0],[98.0],[14.0],[252.0],[179.0],[93.0],[223.0],[224.0],[149.0],[181.0],[36.0],[248.0],[140.0],[234.0],[155.0],[195.0],[14.0],[280.0],[84.0],[97.0],[28.0],[246.0],[246.0],[181.0],[152.0],[244.0],[179.0],[39.0],[260.0],[123.0],[182.0],[278.0],[280.0],[80.0],[125.0],[221.0],[217.0],[124.0],[176.0],[210.0],[167.0],[240.0],[84.0],[97.0],[221.0],[298.0],[62.0],[178.0],[27.0],[78.0],[69.0],[195.0],[268.0],[177.0],[123.0],[237.0],[280.0],[23.0],[224.0],[28.0],[307.0],[180.0]
9,[196.0],[294.0],[261.0],[137.0],[168.0],[14.0],[166.0],[151.0],[160.0],[153.0],[175.0],[26.0],[280.0],[293.0],[263.0],[279.0],[125.0],[276.0],[183.0],[56.0],[238.0],[231.0],[279.0],[264.0],[69.0],[151.0],[222.0],[262.0],[264.0],[69.0],[277.0],[219.0],[166.0],[168.0],[168.0],[279.0],[25.0],[224.0],[37.0],[223.0],[231.0],[41.0],[69.0],[210.0],[82.0],[307.0],[209.0],[278.0],[94.0],[279.0],[294.0],[262.0],[301.0],[94.0],[84.0],[83.0],[27.0],[14.0],[125.0],[20.0],[168.0],[14.0],[252.0],[223.0],[210.0],[182.0],[83.0],[280.0],[166.0],[224.0],[91.0],[235.0],[262.0],[154.0],[261.0],[250.0],[70.0],[249.0],[70.0],[294.0],[125.0],[123.0],[265.0],[266.0],[14.0],[218.0],[252.0],[126.0],[154.0],[238.0],[150.0],[252.0],[182.0],[28.0],[96.0],[280.0],[237.0],[294.0],[247.0],[165.0]
