Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[547.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[251.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[952.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[74.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[646.0],[209.0],[209.0],[167.0],[478.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[478.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0]
1,[262.0],[262.0],[262.0],[262.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[179.0],[924.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[382.0],[262.0],[74.0],[36.0],[209.0],[59.0],[262.0],[478.0],[179.0],[262.0],[646.0],[262.0],[400.0],[977.0],[262.0],[69.0],[236.0],[646.0],[262.0],[262.0],[262.0],[209.0],[262.0],[520.0],[767.0],[209.0],[262.0],[179.0],[262.0],[262.0],[262.0],[478.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[478.0],[209.0],[262.0],[478.0],[262.0],[478.0],[262.0],[262.0],[262.0],[262.0],[209.0],[262.0],[668.0],[209.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[399.0],[262.0],[262.0],[262.0],[209.0],[262.0],[262.0],[262.0],[262.0],[568.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[478.0],[478.0],[262.0],[262.0]
2,[74.0],[478.0],[646.0],[478.0],[262.0],[977.0],[478.0],[478.0],[478.0],[646.0],[74.0],[646.0],[478.0],[262.0],[507.0],[262.0],[646.0],[478.0],[478.0],[646.0],[478.0],[478.0],[654.0],[478.0],[262.0],[961.0],[209.0],[478.0],[179.0],[262.0],[478.0],[668.0],[478.0],[262.0],[262.0],[864.0],[262.0],[179.0],[74.0],[478.0],[478.0],[544.0],[478.0],[478.0],[262.0],[478.0],[478.0],[668.0],[478.0],[646.0],[708.0],[478.0],[262.0],[262.0],[762.0],[646.0],[646.0],[382.0],[646.0],[179.0],[646.0],[478.0],[262.0],[478.0],[262.0],[646.0],[646.0],[74.0],[478.0],[262.0],[19.0],[646.0],[262.0],[977.0],[478.0],[478.0],[478.0],[478.0],[668.0],[646.0],[262.0],[478.0],[478.0],[478.0],[262.0],[478.0],[646.0],[74.0],[933.0],[179.0],[262.0],[189.0],[646.0],[478.0],[478.0],[478.0],[262.0],[262.0],[478.0],[478.0]
3,[478.0],[179.0],[478.0],[793.0],[762.0],[646.0],[646.0],[646.0],[646.0],[478.0],[478.0],[478.0],[179.0],[471.0],[262.0],[646.0],[668.0],[182.0],[646.0],[478.0],[646.0],[262.0],[478.0],[262.0],[478.0],[646.0],[262.0],[179.0],[74.0],[646.0],[977.0],[478.0],[646.0],[478.0],[478.0],[748.0],[478.0],[262.0],[544.0],[646.0],[614.0],[478.0],[668.0],[654.0],[901.0],[646.0],[262.0],[478.0],[262.0],[478.0],[221.0],[646.0],[614.0],[179.0],[478.0],[74.0],[575.0],[646.0],[544.0],[262.0],[668.0],[668.0],[880.0],[755.0],[471.0],[478.0],[478.0],[478.0],[646.0],[442.0],[755.0],[262.0],[646.0],[668.0],[668.0],[79.0],[74.0],[646.0],[977.0],[668.0],[478.0],[933.0],[646.0],[646.0],[646.0],[646.0],[575.0],[478.0],[478.0],[478.0],[880.0],[646.0],[266.0],[646.0],[646.0],[179.0],[583.0],[14.0],[646.0],[646.0]
4,[646.0],[933.0],[471.0],[646.0],[471.0],[471.0],[668.0],[762.0],[544.0],[179.0],[977.0],[544.0],[646.0],[420.0],[646.0],[544.0],[478.0],[684.0],[113.0],[382.0],[561.0],[179.0],[646.0],[179.0],[646.0],[179.0],[668.0],[420.0],[646.0],[668.0],[654.0],[236.0],[668.0],[382.0],[74.0],[478.0],[646.0],[478.0],[566.0],[544.0],[646.0],[755.0],[646.0],[646.0],[478.0],[179.0],[646.0],[646.0],[646.0],[179.0],[668.0],[110.0],[179.0],[936.0],[740.0],[478.0],[478.0],[478.0],[179.0],[646.0],[478.0],[880.0],[179.0],[654.0],[977.0],[668.0],[74.0],[179.0],[755.0],[668.0],[478.0],[478.0],[179.0],[933.0],[471.0],[179.0],[933.0],[668.0],[478.0],[74.0],[646.0],[654.0],[977.0],[33.0],[74.0],[223.0],[668.0],[471.0],[880.0],[262.0],[646.0],[478.0],[478.0],[471.0],[668.0],[646.0],[646.0],[223.0],[668.0],[880.0]
5,[668.0],[646.0],[179.0],[755.0],[378.0],[79.0],[74.0],[668.0],[179.0],[74.0],[179.0],[668.0],[382.0],[646.0],[179.0],[179.0],[382.0],[646.0],[471.0],[544.0],[117.0],[762.0],[544.0],[854.0],[471.0],[399.0],[74.0],[646.0],[755.0],[478.0],[635.0],[429.0],[654.0],[933.0],[179.0],[382.0],[755.0],[977.0],[933.0],[740.0],[442.0],[646.0],[252.0],[933.0],[179.0],[977.0],[668.0],[74.0],[755.0],[544.0],[471.0],[179.0],[646.0],[646.0],[646.0],[781.0],[471.0],[668.0],[740.0],[575.0],[575.0],[74.0],[74.0],[668.0],[544.0],[74.0],[668.0],[646.0],[668.0],[478.0],[646.0],[74.0],[977.0],[755.0],[654.0],[646.0],[179.0],[74.0],[382.0],[220.0],[762.0],[179.0],[179.0],[668.0],[933.0],[179.0],[478.0],[646.0],[179.0],[646.0],[608.0],[668.0],[668.0],[179.0],[179.0],[668.0],[668.0],[179.0],[755.0],[668.0]
6,[13.0],[110.0],[502.0],[196.0],[646.0],[668.0],[179.0],[74.0],[668.0],[544.0],[382.0],[179.0],[668.0],[478.0],[583.0],[236.0],[733.0],[668.0],[179.0],[668.0],[668.0],[638.0],[179.0],[646.0],[244.0],[668.0],[478.0],[668.0],[544.0],[977.0],[525.0],[438.0],[74.0],[646.0],[561.0],[646.0],[544.0],[936.0],[221.0],[113.0],[74.0],[668.0],[110.0],[668.0],[471.0],[74.0],[74.0],[755.0],[654.0],[668.0],[575.0],[544.0],[113.0],[847.0],[755.0],[668.0],[179.0],[977.0],[668.0],[740.0],[74.0],[179.0],[583.0],[769.0],[755.0],[544.0],[581.0],[583.0],[708.0],[977.0],[179.0],[179.0],[708.0],[113.0],[933.0],[909.0],[646.0],[179.0],[179.0],[544.0],[701.0],[762.0],[708.0],[544.0],[668.0],[668.0],[74.0],[179.0],[374.0],[220.0],[74.0],[179.0],[74.0],[668.0],[544.0],[74.0],[179.0],[583.0],[74.0],[74.0]
7,[179.0],[668.0],[668.0],[668.0],[179.0],[478.0],[471.0],[179.0],[74.0],[668.0],[646.0],[471.0],[471.0],[668.0],[125.0],[668.0],[125.0],[74.0],[74.0],[74.0],[179.0],[646.0],[668.0],[822.0],[668.0],[478.0],[646.0],[74.0],[583.0],[74.0],[44.0],[704.0],[933.0],[179.0],[646.0],[668.0],[531.0],[646.0],[525.0],[179.0],[544.0],[179.0],[234.0],[775.0],[646.0],[125.0],[544.0],[179.0],[977.0],[755.0],[179.0],[614.0],[575.0],[668.0],[977.0],[614.0],[668.0],[544.0],[429.0],[668.0],[755.0],[471.0],[13.0],[179.0],[909.0],[179.0],[179.0],[668.0],[79.0],[179.0],[285.0],[575.0],[478.0],[677.0],[179.0],[677.0],[125.0],[471.0],[113.0],[671.0],[471.0],[614.0],[74.0],[179.0],[755.0],[436.0],[740.0],[668.0],[646.0],[668.0],[179.0],[74.0],[755.0],[614.0],[654.0],[721.0],[544.0],[755.0],[544.0],[544.0]
8,[755.0],[74.0],[583.0],[74.0],[668.0],[755.0],[755.0],[221.0],[880.0],[252.0],[755.0],[575.0],[822.0],[37.0],[668.0],[74.0],[635.0],[179.0],[668.0],[179.0],[755.0],[668.0],[614.0],[668.0],[113.0],[471.0],[130.0],[933.0],[471.0],[544.0],[646.0],[179.0],[179.0],[74.0],[755.0],[179.0],[668.0],[274.0],[977.0],[471.0],[668.0],[74.0],[74.0],[179.0],[755.0],[575.0],[977.0],[544.0],[74.0],[977.0],[880.0],[35.0],[755.0],[755.0],[544.0],[842.0],[755.0],[285.0],[575.0],[755.0],[544.0],[575.0],[755.0],[646.0],[646.0],[977.0],[977.0],[977.0],[525.0],[74.0],[236.0],[110.0],[220.0],[931.0],[74.0],[167.0],[544.0],[755.0],[646.0],[977.0],[668.0],[646.0],[668.0],[74.0],[179.0],[291.0],[544.0],[220.0],[635.0],[74.0],[583.0],[583.0],[544.0],[708.0],[220.0],[977.0],[991.0],[614.0],[520.0],[583.0]
9,[544.0],[614.0],[74.0],[179.0],[755.0],[179.0],[654.0],[544.0],[382.0],[977.0],[769.0],[991.0],[110.0],[769.0],[544.0],[822.0],[775.0],[654.0],[575.0],[575.0],[204.0],[755.0],[74.0],[113.0],[302.0],[220.0],[44.0],[220.0],[977.0],[762.0],[179.0],[113.0],[544.0],[708.0],[704.0],[880.0],[179.0],[614.0],[35.0],[668.0],[608.0],[880.0],[544.0],[74.0],[740.0],[603.0],[471.0],[977.0],[880.0],[525.0],[74.0],[113.0],[74.0],[74.0],[575.0],[755.0],[740.0],[179.0],[74.0],[566.0],[462.0],[382.0],[646.0],[125.0],[179.0],[471.0],[471.0],[79.0],[130.0],[14.0],[323.0],[113.0],[668.0],[221.0],[442.0],[113.0],[668.0],[977.0],[125.0],[179.0],[125.0],[909.0],[654.0],[520.0],[975.0],[575.0],[179.0],[236.0],[668.0],[755.0],[815.0],[977.0],[575.0],[74.0],[74.0],[755.0],[74.0],[520.0],[179.0],[382.0]
