Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[670.0],[709.0],[977.0],[544.0],[220.0],[248.0],[478.0],[822.0],[698.0],[740.0],[755.0],[708.0],[471.0],[74.0],[471.0],[117.0],[614.0],[646.0],[325.0],[646.0],[646.0],[933.0],[420.0],[74.0],[533.0],[412.0],[77.0],[471.0],[13.0],[701.0],[880.0],[382.0],[510.0],[708.0],[646.0],[755.0],[471.0],[520.0],[14.0],[755.0],[755.0],[252.0],[247.0],[977.0],[654.0],[755.0],[179.0],[755.0],[453.0],[179.0],[471.0],[646.0],[125.0],[977.0],[869.0],[141.0],[179.0],[646.0],[544.0],[933.0],[544.0],[654.0],[654.0],[442.0],[755.0],[544.0],[113.0],[609.0],[869.0],[646.0],[478.0],[74.0],[471.0],[646.0],[614.0],[775.0],[544.0],[822.0],[985.0],[708.0],[977.0],[755.0],[250.0],[764.0],[646.0],[544.0],[575.0],[223.0],[668.0],[13.0],[646.0],[677.0],[471.0],[378.0],[179.0],[520.0],[44.0],[759.0],[996.0],[646.0]
1,[544.0],[646.0],[755.0],[708.0],[501.0],[60.0],[898.0],[544.0],[826.0],[122.0],[862.0],[179.0],[629.0],[478.0],[221.0],[668.0],[544.0],[659.0],[179.0],[630.0],[323.0],[179.0],[646.0],[575.0],[755.0],[31.0],[179.0],[623.0],[654.0],[179.0],[323.0],[733.0],[646.0],[113.0],[478.0],[889.0],[199.0],[646.0],[179.0],[646.0],[583.0],[74.0],[478.0],[236.0],[909.0],[583.0],[520.0],[646.0],[975.0],[3.0],[13.0],[761.0],[677.0],[236.0],[646.0],[646.0],[533.0],[478.0],[708.0],[49.0],[382.0],[139.0],[909.0],[296.0],[941.0],[179.0],[646.0],[147.0],[236.0],[192.0],[397.0],[575.0],[110.0],[478.0],[460.0],[646.0],[755.0],[646.0],[71.0],[854.0],[755.0],[679.0],[646.0],[525.0],[250.0],[382.0],[525.0],[624.0],[179.0],[478.0],[323.0],[179.0],[179.0],[227.0],[646.0],[755.0],[179.0],[575.0],[646.0],[507.0]
2,[179.0],[491.0],[991.0],[179.0],[478.0],[70.0],[429.0],[722.0],[630.0],[179.0],[125.0],[525.0],[110.0],[575.0],[179.0],[423.0],[869.0],[534.0],[646.0],[471.0],[76.0],[110.0],[666.0],[661.0],[668.0],[478.0],[646.0],[179.0],[394.0],[646.0],[74.0],[378.0],[204.0],[420.0],[975.0],[544.0],[975.0],[125.0],[646.0],[583.0],[646.0],[808.0],[147.0],[478.0],[525.0],[624.0],[646.0],[125.0],[179.0],[220.0],[179.0],[894.0],[382.0],[732.0],[967.0],[424.0],[220.0],[158.0],[231.0],[709.0],[909.0],[76.0],[575.0],[62.0],[74.0],[708.0],[800.0],[646.0],[875.0],[955.0],[877.0],[23.0],[906.0],[654.0],[646.0],[478.0],[708.0],[250.0],[471.0],[525.0],[236.0],[125.0],[961.0],[646.0],[257.0],[869.0],[646.0],[507.0],[471.0],[654.0],[471.0],[808.0],[13.0],[471.0],[607.0],[906.0],[646.0],[374.0],[478.0],[397.0]
3,[837.0],[471.0],[583.0],[506.0],[471.0],[478.0],[755.0],[501.0],[478.0],[526.0],[646.0],[220.0],[179.0],[257.0],[822.0],[837.0],[708.0],[831.0],[285.0],[993.0],[487.0],[314.0],[526.0],[392.0],[583.0],[628.0],[870.0],[13.0],[378.0],[296.0],[894.0],[646.0],[909.0],[608.0],[179.0],[624.0],[752.0],[592.0],[775.0],[54.0],[266.0],[575.0],[167.0],[654.0],[389.0],[898.0],[220.0],[851.0],[870.0],[646.0],[396.0],[86.0],[478.0],[125.0],[569.0],[676.0],[623.0],[654.0],[227.0],[130.0],[478.0],[167.0],[526.0],[583.0],[583.0],[857.0],[374.0],[284.0],[478.0],[909.0],[138.0],[478.0],[478.0],[875.0],[838.0],[755.0],[436.0],[808.0],[14.0],[179.0],[583.0],[646.0],[125.0],[478.0],[525.0],[217.0],[142.0],[932.0],[738.0],[646.0],[702.0],[496.0],[822.0],[687.0],[285.0],[79.0],[741.0],[738.0],[755.0],[478.0]
4,[382.0],[501.0],[837.0],[68.0],[709.0],[755.0],[259.0],[442.0],[64.0],[117.0],[725.0],[892.0],[624.0],[526.0],[635.0],[471.0],[996.0],[977.0],[474.0],[478.0],[471.0],[533.0],[447.0],[1.0],[894.0],[645.0],[559.0],[822.0],[789.0],[49.0],[575.0],[815.0],[478.0],[944.0],[480.0],[583.0],[234.0],[815.0],[800.0],[975.0],[740.0],[167.0],[755.0],[487.0],[972.0],[756.0],[471.0],[471.0],[262.0],[520.0],[262.0],[250.0],[631.0],[525.0],[478.0],[478.0],[769.0],[471.0],[478.0],[646.0],[643.0],[471.0],[961.0],[913.0],[575.0],[325.0],[740.0],[961.0],[525.0],[709.0],[604.0],[326.0],[262.0],[471.0],[471.0],[471.0],[583.0],[740.0],[606.0],[501.0],[670.0],[602.0],[975.0],[299.0],[471.0],[250.0],[641.0],[478.0],[14.0],[307.0],[502.0],[396.0],[961.0],[478.0],[961.0],[125.0],[538.0],[924.0],[471.0],[755.0]
5,[220.0],[245.0],[96.0],[156.0],[179.0],[624.0],[460.0],[430.0],[883.0],[196.0],[977.0],[826.0],[373.0],[654.0],[621.0],[830.0],[478.0],[478.0],[923.0],[704.0],[243.0],[614.0],[478.0],[478.0],[471.0],[755.0],[975.0],[853.0],[786.0],[564.0],[38.0],[961.0],[645.0],[478.0],[219.0],[415.0],[444.0],[709.0],[266.0],[254.0],[838.0],[659.0],[646.0],[740.0],[141.0],[646.0],[925.0],[314.0],[646.0],[894.0],[646.0],[740.0],[171.0],[314.0],[471.0],[315.0],[947.0],[223.0],[436.0],[79.0],[262.0],[740.0],[354.0],[221.0],[215.0],[3.0],[571.0],[158.0],[262.0],[525.0],[487.0],[677.0],[14.0],[30.0],[677.0],[267.0],[594.0],[323.0],[959.0],[151.0],[282.0],[740.0],[709.0],[977.0],[478.0],[558.0],[426.0],[575.0],[921.0],[148.0],[961.0],[933.0],[33.0],[869.0],[167.0],[141.0],[520.0],[993.0],[436.0],[250.0]
6,[202.0],[398.0],[211.0],[894.0],[252.0],[975.0],[575.0],[221.0],[262.0],[957.0],[821.0],[471.0],[262.0],[55.0],[262.0],[396.0],[67.0],[800.0],[614.0],[470.0],[568.0],[569.0],[156.0],[79.0],[33.0],[502.0],[614.0],[114.0],[262.0],[471.0],[931.0],[13.0],[449.0],[526.0],[977.0],[933.0],[630.0],[471.0],[614.0],[561.0],[977.0],[478.0],[93.0],[262.0],[460.0],[561.0],[677.0],[624.0],[614.0],[896.0],[614.0],[755.0],[755.0],[95.0],[583.0],[285.0],[471.0],[519.0],[975.0],[220.0],[285.0],[631.0],[460.0],[478.0],[793.0],[220.0],[471.0],[471.0],[516.0],[471.0],[471.0],[262.0],[646.0],[627.0],[478.0],[754.0],[975.0],[977.0],[457.0],[754.0],[525.0],[576.0],[478.0],[883.0],[538.0],[262.0],[478.0],[608.0],[614.0],[397.0],[754.0],[296.0],[737.0],[434.0],[86.0],[325.0],[614.0],[93.0],[704.0],[471.0]
7,[821.0],[614.0],[740.0],[614.0],[522.0],[471.0],[683.0],[709.0],[130.0],[262.0],[869.0],[531.0],[14.0],[377.0],[646.0],[228.0],[975.0],[673.0],[898.0],[542.0],[478.0],[977.0],[471.0],[225.0],[396.0],[236.0],[977.0],[396.0],[933.0],[614.0],[959.0],[739.0],[977.0],[977.0],[775.0],[420.0],[478.0],[478.0],[977.0],[977.0],[561.0],[718.0],[221.0],[829.0],[498.0],[478.0],[729.0],[698.0],[326.0],[751.0],[779.0],[471.0],[13.0],[262.0],[263.0],[564.0],[62.0],[84.0],[100.0],[800.0],[256.0],[399.0],[706.0],[673.0],[838.0],[262.0],[447.0],[478.0],[1.0],[952.0],[587.0],[14.0],[838.0],[790.0],[14.0],[473.0],[561.0],[633.0],[901.0],[614.0],[262.0],[471.0],[977.0],[520.0],[125.0],[293.0],[79.0],[262.0],[865.0],[429.0],[296.0],[220.0],[396.0],[784.0],[614.0],[388.0],[977.0],[478.0],[620.0],[627.0]
8,[262.0],[610.0],[262.0],[975.0],[382.0],[901.0],[29.0],[643.0],[933.0],[671.0],[478.0],[401.0],[646.0],[319.0],[708.0],[478.0],[262.0],[571.0],[62.0],[382.0],[501.0],[604.0],[583.0],[888.0],[906.0],[520.0],[500.0],[262.0],[478.0],[709.0],[478.0],[870.0],[972.0],[673.0],[275.0],[308.0],[738.0],[740.0],[13.0],[259.0],[529.0],[431.0],[127.0],[903.0],[478.0],[295.0],[252.0],[911.0],[122.0],[495.0],[382.0],[497.0],[460.0],[478.0],[786.0],[854.0],[525.0],[149.0],[262.0],[35.0],[146.0],[220.0],[478.0],[981.0],[420.0],[13.0],[464.0],[474.0],[921.0],[959.0],[365.0],[179.0],[247.0],[640.0],[676.0],[718.0],[262.0],[412.0],[706.0],[977.0],[561.0],[869.0],[665.0],[808.0],[571.0],[285.0],[114.0],[363.0],[698.0],[831.0],[478.0],[624.0],[262.0],[966.0],[841.0],[189.0],[430.0],[783.0],[460.0],[404.0]
9,[285.0],[382.0],[352.0],[262.0],[262.0],[127.0],[529.0],[755.0],[177.0],[646.0],[571.0],[234.0],[399.0],[431.0],[323.0],[894.0],[792.0],[262.0],[147.0],[571.0],[564.0],[583.0],[40.0],[262.0],[561.0],[709.0],[507.0],[646.0],[892.0],[45.0],[256.0],[478.0],[677.0],[226.0],[894.0],[838.0],[262.0],[844.0],[842.0],[934.0],[478.0],[326.0],[684.0],[575.0],[262.0],[544.0],[870.0],[869.0],[604.0],[738.0],[203.0],[904.0],[718.0],[371.0],[179.0],[977.0],[927.0],[800.0],[869.0],[31.0],[748.0],[130.0],[236.0],[323.0],[709.0],[978.0],[784.0],[346.0],[583.0],[478.0],[677.0],[850.0],[185.0],[526.0],[125.0],[677.0],[609.0],[373.0],[854.0],[531.0],[860.0],[691.0],[26.0],[179.0],[117.0],[130.0],[569.0],[20.0],[852.0],[480.0],[981.0],[262.0],[646.0],[221.0],[604.0],[989.0],[872.0],[121.0],[985.0],[571.0]
