Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,EGAL,EMCM
0,28.015547037124634,30.62147879600525,30.8752019405365,35.25769877433777,40.656373023986816,40.76481747627258,40.75043821334839,40.643572092056274,40.18657946586609,428.4152629375458,44.152536392211914,29.913891792297363,40.48983359336853,28.665533304214478
1,26.841692686080933,29.660175800323486,30.475124835968018,34.499940633773804,39.3770649433136,39.93554496765137,40.16759181022644,40.16639184951782,39.790876150131226,467.39514780044556,41.606273889541626,28.34152126312256,36.22299098968506,29.694844484329224
2,27.010318517684937,29.255645513534546,30.463074684143066,34.64938139915466,39.10506582260132,39.740705728530884,40.45214819908142,40.13393950462341,40.292662382125854,365.2759566307068,44.3340380191803,30.84613299369812,38.231261253356934,29.215354681015015
3,28.449569940567017,31.237622261047363,31.560829639434814,35.502432346343994,40.31511163711548,39.82012987136841,39.6741943359375,38.870333194732666,38.771870136260986,360.38841676712036,44.84206509590149,28.864534854888916,38.77476215362549,28.264891624450684
4,27.376488208770752,30.347134828567505,31.05132508277893,35.15900540351868,40.12874794006348,40.651835441589355,40.66129159927368,40.671027183532715,40.170034408569336,532.8117301464081,44.23739314079285,30.36554980278015,38.65639328956604,29.08020806312561
5,28.664419651031494,31.207086086273193,31.865920782089233,35.9938805103302,41.0284583568573,40.84340023994446,40.86396384239197,40.11640405654907,38.27125811576843,561.4872267246246,45.40738010406494,29.172035455703735,37.533995389938354,27.99398136138916
6,28.38232159614563,30.981056213378906,31.208275079727173,35.395238399505615,40.722561836242676,40.79532599449158,40.87339758872986,41.020747661590576,40.35470271110535,564.4181985855103,44.48338866233826,29.908830642700195,40.84159779548645,29.329938888549805
7,28.173309326171875,30.935980796813965,31.2370548248291,35.56561779975891,41.04515337944031,41.55783295631409,41.17835259437561,41.1743528842926,41.08592367172241,426.0601215362549,44.84781312942505,30.20826005935669,40.88112950325012,28.94454836845398
8,28.516844749450684,30.481995820999146,30.83795166015625,34.8147075176239,39.51667833328247,39.30232572555542,39.290706396102905,38.42160606384277,38.27638053894043,363.5903706550598,44.15343976020813,28.74944806098938,38.229002237319946,27.98438549041748
9,28.27388906478882,31.07701873779297,31.336795330047607,35.55044078826904,40.94952630996704,40.96054172515869,40.783703088760376,40.52866864204407,40.30544972419739,563.4643177986145,44.91206979751587,29.716487884521484,41.27631640434265,29.48996376991272
10,28.275148391723633,30.98384428024292,31.565147399902344,35.80688190460205,40.54628610610962,40.5996470451355,40.595458984375,40.219069480895996,38.25290846824646,558.8540186882019,45.19310522079468,28.836828470230103,37.89941215515137,27.932221174240112
11,28.24003577232361,31.000051259994507,31.271000862121582,35.628703117370605,41.0411696434021,41.120051860809326,41.15066123008728,41.195186614990234,41.051870822906494,420.0859634876251,45.00811195373535,30.03466534614563,41.192052364349365,29.195449590682983
12,26.44329023361206,28.67112970352173,29.746670246124268,34.089531660079956,38.685473918914795,39.089574098587036,39.79486560821533,39.51092863082886,39.449657678604126,367.83895325660706,43.29376149177551,30.222025156021118,38.066139459609985,28.618114709854126
13,28.193647861480713,30.893790006637573,31.44772171974182,35.60127139091492,40.382320404052734,40.404332637786865,40.41321420669556,39.80823612213135,38.34658980369568,559.1404073238373,44.86706352233887,28.756287813186646,37.59371542930603,27.803627014160156
14,28.501962184906006,30.81520175933838,31.182467222213745,35.193474531173706,39.98852753639221,39.59431219100952,39.5553719997406,38.717708349227905,38.389984369277954,360.2348840236664,44.69894790649414,29.106496572494507,38.404858350753784,28.26195192337036
15,26.396079778671265,28.353076934814453,28.643353700637817,31.947882413864136,37.001548767089844,38.09009122848511,38.42171549797058,39.052600145339966,39.6058452129364,399.21216893196106,42.229838609695435,27.785759210586548,38.79896569252014,29.569586992263794
16,26.742408514022827,29.37550401687622,30.39979076385498,34.39786410331726,39.13773036003113,39.88047170639038,40.35482835769653,40.02782368659973,39.90447688102722,69.67511701583862,41.94411587715149,30.842719316482544,34.597047328948975,27.573280096054077
17,28.367835760116577,30.991703271865845,31.26881980895996,35.6578471660614,40.54537224769592,40.911259174346924,41.10158395767212,41.142102003097534,40.85473084449768,426.0107305049896,44.75681185722351,30.459606885910034,40.6837797164917,28.97113847732544
18,26.56590175628662,29.005523204803467,29.87845754623413,34.08281183242798,38.6724328994751,39.63137125968933,40.15240406990051,40.27073669433594,40.27607989311218,66.01470136642456,42.77231025695801,27.413788318634033,34.337589263916016,27.42935562133789
19,28.403709173202515,31.124321460723877,31.696535110473633,35.9379346370697,40.69015121459961,40.71901607513428,40.728440284729004,40.443784952163696,38.653602600097656,559.0710296630859,45.50661563873291,29.056159734725952,37.93130874633789,28.107614040374756
20,28.107680320739746,30.661717414855957,30.872320652008057,35.056796073913574,40.41727161407471,40.44986534118652,40.54161334037781,40.577189922332764,40.17697358131409,566.3517732620239,43.99905729293823,29.47839903831482,40.73347353935242,29.034257650375366
21,27.855881214141846,30.44913339614868,30.69976830482483,35.00142312049866,40.389662981033325,40.81801247596741,40.50450325012207,40.500011920928955,40.47869539260864,424.4307186603546,43.91886258125305,29.469917058944702,40.99656414985657,28.67530059814453
22,28.035064220428467,30.567227602005005,30.811517477035522,35.088698863983154,40.53823661804199,39.93861365318298,40.20770716667175,40.39561676979065,40.08312201499939,567.6922512054443,43.87748408317566,29.37571430206299,40.53964614868164,28.97657036781311
23,26.772451639175415,29.469486951828003,30.865493774414062,34.53271555900574,39.310367822647095,40.62431836128235,40.751251220703125,40.78250193595886,40.898316383361816,535.6335597038269,43.317962408065796,31.300069332122803,37.90633964538574,29.41024899482727
24,28.330142974853516,30.88222861289978,31.17652130126953,35.39537763595581,40.742061138153076,40.763609409332275,40.805026054382324,40.84237599372864,40.248732805252075,563.6353724002838,44.585716247558594,29.725993633270264,40.94092679023743,29.268560647964478
25,28.369320392608643,30.92707324028015,31.09507727622986,35.084938764572144,39.89072036743164,39.57524633407593,39.52774977684021,38.60166835784912,38.42948365211487,364.012820482254,44.24530386924744,28.926887035369873,38.439579248428345,28.08700394630432
26,28.35703706741333,31.167070865631104,31.49714493751526,35.904224157333374,41.32735085487366,41.418336391448975,41.469969034194946,41.45528507232666,41.1523540019989,426.54526686668396,45.3204402923584,30.774878978729248,40.91290903091431,29.070585250854492
27,28.09036922454834,30.788851022720337,30.96074390411377,35.17651057243347,40.53629779815674,40.59981989860535,40.63762712478638,40.69533371925354,40.33933353424072,566.8876049518585,44.2131621837616,29.572855949401855,40.89015603065491,29.1318039894104
28,27.756998777389526,30.59749412536621,30.858556509017944,35.13651418685913,40.49595093727112,40.67821645736694,40.77082324028015,40.72093844413757,40.764238119125366,381.216420173645,45.792643547058105,29.163756370544434,38.09124445915222,31.90464949607849
29,27.263221979141235,30.127638578414917,31.10302472114563,34.92159175872803,39.82562828063965,40.4032518863678,40.306615114212036,39.91526198387146,39.711421251297,536.6963276863098,44.13608956336975,30.17110323905945,38.39364695549011,28.94047474861145
30,28.345948934555054,30.992595434188843,31.590279579162598,35.78233480453491,40.424609661102295,40.44442629814148,40.44384837150574,39.94636917114258,38.26711392402649,560.1661365032196,45.03046154975891,28.835183143615723,37.67193818092346,27.925064086914062
31,26.971200704574585,29.600274562835693,30.720388650894165,34.79038381576538,39.70047044754028,40.651917934417725,41.00121474266052,40.905882120132446,40.931801080703735,99.17763495445251,41.92218780517578,27.852879285812378,34.33470582962036,27.715058088302612
32,28.18626594543457,30.80268144607544,31.090720415115356,35.4067702293396,40.77673029899597,40.84538722038269,40.830185651779175,40.88454222679138,40.75510048866272,415.0300931930542,44.66479420661926,29.733834981918335,40.96802282333374,29.276661157608032
33,28.260517120361328,30.85748314857483,31.232760906219482,35.29664659500122,40.03385138511658,39.800220012664795,39.64972162246704,38.78310775756836,38.68309044837952,366.76059341430664,43.79947876930237,28.528822660446167,38.078996896743774,27.71654772758484
34,28.056424140930176,30.62738037109375,30.83330249786377,35.0220308303833,40.38020420074463,40.3723669052124,40.426780223846436,40.49455165863037,40.121997356414795,564.3646948337555,44.03027629852295,29.324438333511353,40.81798958778381,29.061018466949463
