Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[622.0],[56.0],[42.0],[756.0],[168.0],[168.0],[756.0],[756.0],[820.0],[168.0],[66.0],[56.0],[756.0],[56.0],[168.0],[42.0],[168.0],[56.0],[756.0],[42.0],[756.0],[756.0],[756.0],[42.0],[42.0],[34.0],[820.0],[56.0],[42.0],[42.0],[56.0],[66.0],[66.0],[756.0],[756.0],[756.0],[798.0],[756.0],[756.0],[168.0],[168.0],[756.0],[41.0],[56.0],[56.0],[3.0],[756.0],[168.0],[6.0],[56.0],[873.0],[820.0],[890.0],[168.0],[168.0],[798.0],[168.0],[168.0],[56.0],[66.0],[42.0],[24.0],[42.0],[168.0],[56.0],[168.0],[42.0],[56.0],[756.0],[756.0],[756.0],[756.0],[820.0],[41.0],[41.0],[756.0],[4.0],[24.0],[56.0],[56.0],[820.0],[56.0],[66.0],[756.0],[620.0],[56.0],[56.0],[756.0],[42.0],[168.0],[56.0],[56.0],[168.0],[168.0],[66.0],[56.0],[756.0],[756.0],[34.0],[56.0]
1,[798.0],[42.0],[3.0],[769.0],[797.0],[820.0],[814.0],[499.0],[122.0],[66.0],[34.0],[168.0],[610.0],[97.0],[4.0],[6.0],[66.0],[168.0],[42.0],[97.0],[4.0],[66.0],[168.0],[56.0],[56.0],[6.0],[168.0],[41.0],[3.0],[145.0],[756.0],[792.0],[168.0],[42.0],[66.0],[616.0],[756.0],[42.0],[66.0],[56.0],[56.0],[814.0],[798.0],[168.0],[610.0],[798.0],[42.0],[41.0],[756.0],[756.0],[42.0],[166.0],[56.0],[756.0],[3.0],[42.0],[42.0],[792.0],[756.0],[42.0],[820.0],[792.0],[24.0],[66.0],[41.0],[34.0],[610.0],[6.0],[66.0],[42.0],[34.0],[616.0],[66.0],[56.0],[42.0],[620.0],[66.0],[41.0],[66.0],[34.0],[3.0],[42.0],[604.0],[42.0],[171.0],[820.0],[168.0],[168.0],[34.0],[42.0],[66.0],[769.0],[820.0],[24.0],[168.0],[120.0],[42.0],[42.0],[42.0],[42.0]
2,[756.0],[41.0],[756.0],[56.0],[798.0],[42.0],[753.0],[66.0],[42.0],[820.0],[769.0],[6.0],[828.0],[756.0],[56.0],[798.0],[753.0],[41.0],[66.0],[756.0],[792.0],[41.0],[66.0],[756.0],[122.0],[820.0],[42.0],[66.0],[756.0],[6.0],[41.0],[503.0],[820.0],[3.0],[125.0],[66.0],[63.0],[171.0],[56.0],[66.0],[652.0],[56.0],[756.0],[66.0],[4.0],[756.0],[41.0],[820.0],[145.0],[42.0],[756.0],[122.0],[756.0],[798.0],[66.0],[756.0],[798.0],[66.0],[42.0],[798.0],[56.0],[820.0],[620.0],[792.0],[754.0],[102.0],[66.0],[66.0],[56.0],[168.0],[616.0],[56.0],[3.0],[610.0],[756.0],[41.0],[798.0],[820.0],[168.0],[792.0],[56.0],[798.0],[749.0],[6.0],[66.0],[168.0],[42.0],[616.0],[756.0],[756.0],[171.0],[42.0],[66.0],[66.0],[42.0],[148.0],[56.0],[168.0],[756.0],[798.0]
3,[56.0],[168.0],[56.0],[798.0],[756.0],[166.0],[6.0],[168.0],[56.0],[56.0],[798.0],[798.0],[69.0],[798.0],[66.0],[4.0],[792.0],[756.0],[798.0],[148.0],[799.0],[769.0],[792.0],[3.0],[799.0],[56.0],[66.0],[756.0],[66.0],[820.0],[42.0],[35.0],[583.0],[66.0],[42.0],[820.0],[792.0],[3.0],[798.0],[798.0],[41.0],[85.0],[120.0],[792.0],[166.0],[154.0],[792.0],[143.0],[66.0],[66.0],[798.0],[66.0],[66.0],[148.0],[820.0],[56.0],[24.0],[798.0],[820.0],[69.0],[792.0],[168.0],[616.0],[688.0],[756.0],[148.0],[228.0],[792.0],[798.0],[797.0],[41.0],[168.0],[56.0],[820.0],[66.0],[66.0],[168.0],[610.0],[42.0],[74.0],[168.0],[168.0],[792.0],[56.0],[79.0],[42.0],[3.0],[56.0],[769.0],[56.0],[652.0],[754.0],[797.0],[820.0],[756.0],[798.0],[798.0],[66.0],[820.0],[120.0]
4,[34.0],[792.0],[610.0],[102.0],[755.0],[753.0],[41.0],[384.0],[74.0],[792.0],[756.0],[610.0],[753.0],[66.0],[792.0],[620.0],[799.0],[42.0],[120.0],[391.0],[66.0],[792.0],[56.0],[120.0],[143.0],[792.0],[792.0],[792.0],[820.0],[4.0],[66.0],[753.0],[131.0],[56.0],[56.0],[125.0],[39.0],[41.0],[559.0],[820.0],[66.0],[820.0],[827.0],[176.0],[932.0],[107.0],[99.0],[66.0],[820.0],[792.0],[66.0],[180.0],[798.0],[755.0],[792.0],[66.0],[163.0],[34.0],[792.0],[163.0],[224.0],[3.0],[4.0],[502.0],[820.0],[503.0],[827.0],[798.0],[145.0],[795.0],[798.0],[66.0],[795.0],[752.0],[936.0],[514.0],[108.0],[63.0],[820.0],[143.0],[932.0],[756.0],[228.0],[66.0],[42.0],[66.0],[610.0],[798.0],[792.0],[66.0],[610.0],[69.0],[79.0],[97.0],[97.0],[99.0],[620.0],[143.0],[56.0],[176.0]
5,[828.0],[131.0],[792.0],[380.0],[163.0],[610.0],[56.0],[224.0],[166.0],[559.0],[153.0],[4.0],[620.0],[102.0],[610.0],[756.0],[39.0],[143.0],[828.0],[56.0],[797.0],[798.0],[505.0],[820.0],[610.0],[797.0],[505.0],[820.0],[834.0],[66.0],[798.0],[817.0],[571.0],[553.0],[797.0],[122.0],[154.0],[827.0],[862.0],[63.0],[820.0],[81.0],[391.0],[389.0],[120.0],[755.0],[873.0],[503.0],[792.0],[798.0],[936.0],[506.0],[796.0],[66.0],[797.0],[85.0],[385.0],[61.0],[798.0],[381.0],[379.0],[553.0],[720.0],[65.0],[176.0],[35.0],[933.0],[873.0],[148.0],[504.0],[171.0],[795.0],[792.0],[923.0],[3.0],[228.0],[176.0],[168.0],[3.0],[97.0],[379.0],[69.0],[830.0],[750.0],[48.0],[143.0],[66.0],[620.0],[66.0],[125.0],[43.0],[380.0],[14.0],[6.0],[820.0],[145.0],[66.0],[24.0],[616.0],[66.0]
6,[610.0],[610.0],[795.0],[755.0],[503.0],[389.0],[798.0],[228.0],[752.0],[63.0],[559.0],[97.0],[616.0],[76.0],[756.0],[795.0],[746.0],[820.0],[173.0],[156.0],[798.0],[51.0],[820.0],[798.0],[66.0],[932.0],[120.0],[176.0],[154.0],[792.0],[29.0],[176.0],[502.0],[792.0],[99.0],[553.0],[29.0],[66.0],[506.0],[74.0],[834.0],[500.0],[42.0],[63.0],[42.0],[610.0],[171.0],[620.0],[583.0],[873.0],[3.0],[41.0],[932.0],[159.0],[120.0],[176.0],[506.0],[74.0],[751.0],[390.0],[396.0],[817.0],[506.0],[140.0],[6.0],[620.0],[168.0],[65.0],[755.0],[38.0],[755.0],[171.0],[754.0],[814.0],[820.0],[56.0],[828.0],[1019.0],[792.0],[131.0],[63.0],[380.0],[29.0],[79.0],[99.0],[755.0],[798.0],[97.0],[798.0],[113.0],[932.0],[792.0],[148.0],[792.0],[622.0],[39.0],[380.0],[140.0],[66.0],[506.0]
7,[506.0],[25.0],[798.0],[35.0],[610.0],[819.0],[85.0],[104.0],[6.0],[796.0],[180.0],[756.0],[66.0],[145.0],[74.0],[168.0],[755.0],[66.0],[19.0],[87.0],[168.0],[755.0],[176.0],[154.0],[797.0],[148.0],[56.0],[42.0],[935.0],[25.0],[610.0],[131.0],[935.0],[828.0],[935.0],[56.0],[171.0],[56.0],[38.0],[504.0],[746.0],[154.0],[181.0],[47.0],[991.0],[380.0],[797.0],[63.0],[56.0],[799.0],[699.0],[1019.0],[499.0],[90.0],[42.0],[171.0],[19.0],[102.0],[170.0],[890.0],[827.0],[56.0],[756.0],[756.0],[798.0],[622.0],[1013.0],[171.0],[799.0],[698.0],[108.0],[753.0],[752.0],[402.0],[797.0],[755.0],[756.0],[56.0],[798.0],[795.0],[795.0],[814.0],[583.0],[148.0],[819.0],[792.0],[85.0],[125.0],[69.0],[171.0],[620.0],[66.0],[56.0],[143.0],[143.0],[553.0],[755.0],[35.0],[754.0],[828.0]
8,[385.0],[828.0],[753.0],[818.0],[583.0],[616.0],[145.0],[828.0],[792.0],[131.0],[792.0],[755.0],[148.0],[99.0],[148.0],[176.0],[797.0],[3.0],[391.0],[571.0],[19.0],[799.0],[385.0],[559.0],[756.0],[176.0],[755.0],[890.0],[814.0],[503.0],[74.0],[862.0],[41.0],[385.0],[145.0],[176.0],[168.0],[168.0],[505.0],[620.0],[389.0],[39.0],[136.0],[799.0],[163.0],[814.0],[918.0],[56.0],[798.0],[168.0],[99.0],[769.0],[52.0],[610.0],[1019.0],[131.0],[500.0],[148.0],[506.0],[380.0],[503.0],[143.0],[381.0],[117.0],[228.0],[33.0],[553.0],[69.0],[69.0],[118.0],[379.0],[799.0],[559.0],[965.0],[935.0],[754.0],[971.0],[755.0],[176.0],[69.0],[817.0],[66.0],[540.0],[873.0],[6.0],[819.0],[616.0],[622.0],[56.0],[817.0],[553.0],[798.0],[815.0],[553.0],[862.0],[66.0],[178.0],[827.0],[798.0],[799.0]
9,[616.0],[38.0],[815.0],[45.0],[620.0],[74.0],[391.0],[503.0],[382.0],[51.0],[130.0],[143.0],[798.0],[41.0],[559.0],[33.0],[143.0],[108.0],[228.0],[84.0],[29.0],[178.0],[873.0],[873.0],[820.0],[755.0],[176.0],[828.0],[792.0],[97.0],[616.0],[38.0],[63.0],[127.0],[795.0],[753.0],[74.0],[97.0],[499.0],[551.0],[29.0],[98.0],[176.0],[756.0],[69.0],[66.0],[63.0],[136.0],[815.0],[19.0],[754.0],[176.0],[769.0],[616.0],[131.0],[935.0],[226.0],[755.0],[796.0],[873.0],[63.0],[66.0],[79.0],[84.0],[796.0],[4.0],[25.0],[61.0],[499.0],[127.0],[622.0],[932.0],[827.0],[583.0],[891.0],[798.0],[143.0],[122.0],[85.0],[33.0],[225.0],[63.0],[827.0],[798.0],[56.0],[751.0],[176.0],[814.0],[749.0],[584.0],[946.0],[181.0],[799.0],[63.0],[751.0],[756.0],[29.0],[95.0],[559.0],[159.0]
