Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[36.0],[77.0],[0.0],[58.0],[36.0],[85.0],[57.0],[75.0],[53.0],[85.0],[36.0],[96.0],[70.0],[100.0],[90.0],[100.0],[0.0],[42.0],[64.0],[75.0],[85.0],[9.0],[46.0],[85.0],[70.0],[100.0],[74.0],[74.0],[50.0],[100.0],[91.0],[74.0],[47.0],[47.0],[90.0],[50.0],[96.0],[60.0],[85.0],[36.0],[62.0],[74.0],[90.0],[5.0],[0.0],[70.0],[75.0],[36.0],[30.0],[0.0],[46.0],[77.0],[96.0],[74.0],[96.0],[5.0],[0.0],[57.0],[50.0],[0.0],[95.0],[64.0],[74.0],[85.0],[100.0],[101.0],[85.0],[47.0],[54.0],[61.0],[101.0],[60.0],[25.0],[90.0],[9.0],[1.0],[85.0],[42.0],[57.0],[101.0],[36.0],[50.0],[96.0],[101.0],[50.0],[100.0],[70.0],[75.0],[50.0],[96.0],[0.0],[77.0],[75.0],[47.0],[0.0],[5.0],[5.0],[100.0],[50.0],[25.0]
1,[46.0],[1.0],[16.0],[25.0],[25.0],[0.0],[5.0],[35.0],[27.0],[30.0],[54.0],[56.0],[88.0],[26.0],[42.0],[17.0],[35.0],[33.0],[54.0],[72.0],[9.0],[38.0],[33.0],[75.0],[96.0],[29.0],[60.0],[46.0],[74.0],[35.0],[70.0],[17.0],[85.0],[42.0],[101.0],[73.0],[62.0],[45.0],[96.0],[88.0],[70.0],[60.0],[101.0],[28.0],[50.0],[4.0],[96.0],[85.0],[33.0],[25.0],[30.0],[1.0],[25.0],[47.0],[79.0],[73.0],[85.0],[60.0],[57.0],[85.0],[1.0],[96.0],[17.0],[101.0],[60.0],[25.0],[30.0],[73.0],[86.0],[33.0],[75.0],[42.0],[38.0],[0.0],[20.0],[90.0],[50.0],[57.0],[96.0],[75.0],[1.0],[75.0],[50.0],[77.0],[42.0],[25.0],[86.0],[46.0],[73.0],[29.0],[75.0],[58.0],[21.0],[73.0],[42.0],[49.0],[4.0],[25.0],[75.0],[60.0]
2,[24.0],[4.0],[70.0],[63.0],[102.0],[1.0],[47.0],[20.0],[17.0],[74.0],[63.0],[75.0],[28.0],[18.0],[79.0],[9.0],[42.0],[27.0],[26.0],[38.0],[63.0],[26.0],[38.0],[70.0],[74.0],[70.0],[1.0],[90.0],[46.0],[75.0],[84.0],[25.0],[75.0],[63.0],[1.0],[47.0],[74.0],[74.0],[26.0],[46.0],[27.0],[71.0],[1.0],[73.0],[1.0],[79.0],[73.0],[29.0],[90.0],[74.0],[72.0],[4.0],[77.0],[30.0],[30.0],[9.0],[70.0],[27.0],[38.0],[64.0],[4.0],[47.0],[9.0],[42.0],[24.0],[26.0],[75.0],[74.0],[75.0],[1.0],[60.0],[57.0],[70.0],[24.0],[25.0],[54.0],[42.0],[79.0],[64.0],[60.0],[102.0],[17.0],[5.0],[89.0],[75.0],[58.0],[74.0],[38.0],[47.0],[75.0],[30.0],[1.0],[72.0],[42.0],[102.0],[70.0],[70.0],[0.0],[73.0],[74.0]
3,[102.0],[27.0],[76.0],[16.0],[74.0],[17.0],[1.0],[4.0],[18.0],[73.0],[42.0],[0.0],[42.0],[77.0],[54.0],[25.0],[102.0],[75.0],[62.0],[1.0],[74.0],[74.0],[70.0],[101.0],[19.0],[79.0],[89.0],[33.0],[16.0],[26.0],[68.0],[43.0],[9.0],[86.0],[4.0],[75.0],[33.0],[17.0],[76.0],[79.0],[42.0],[86.0],[4.0],[70.0],[74.0],[26.0],[70.0],[91.0],[1.0],[70.0],[73.0],[27.0],[38.0],[76.0],[97.0],[42.0],[71.0],[1.0],[73.0],[91.0],[101.0],[63.0],[25.0],[49.0],[74.0],[47.0],[70.0],[63.0],[46.0],[70.0],[26.0],[75.0],[74.0],[79.0],[74.0],[97.0],[64.0],[18.0],[47.0],[26.0],[68.0],[38.0],[38.0],[24.0],[77.0],[54.0],[27.0],[95.0],[74.0],[47.0],[42.0],[54.0],[95.0],[63.0],[76.0],[91.0],[21.0],[80.0],[47.0],[83.0]
4,[74.0],[54.0],[58.0],[102.0],[54.0],[56.0],[73.0],[77.0],[60.0],[91.0],[79.0],[15.0],[30.0],[4.0],[75.0],[70.0],[56.0],[70.0],[21.0],[73.0],[46.0],[73.0],[42.0],[21.0],[30.0],[27.0],[26.0],[1.0],[24.0],[77.0],[28.0],[91.0],[42.0],[44.0],[31.0],[76.0],[38.0],[47.0],[25.0],[102.0],[102.0],[44.0],[75.0],[53.0],[72.0],[9.0],[29.0],[76.0],[97.0],[102.0],[70.0],[54.0],[75.0],[36.0],[75.0],[63.0],[73.0],[70.0],[95.0],[71.0],[79.0],[17.0],[96.0],[75.0],[27.0],[21.0],[76.0],[72.0],[60.0],[29.0],[88.0],[73.0],[28.0],[18.0],[26.0],[4.0],[76.0],[21.0],[21.0],[88.0],[74.0],[15.0],[47.0],[9.0],[76.0],[21.0],[29.0],[35.0],[44.0],[38.0],[76.0],[28.0],[73.0],[61.0],[56.0],[21.0],[28.0],[56.0],[16.0],[70.0]
5,[39.0],[75.0],[57.0],[9.0],[76.0],[96.0],[18.0],[88.0],[63.0],[21.0],[97.0],[60.0],[62.0],[1.0],[23.0],[80.0],[54.0],[53.0],[47.0],[70.0],[73.0],[1.0],[57.0],[26.0],[16.0],[73.0],[47.0],[60.0],[33.0],[76.0],[60.0],[53.0],[61.0],[26.0],[75.0],[97.0],[47.0],[64.0],[71.0],[74.0],[76.0],[53.0],[68.0],[29.0],[97.0],[75.0],[16.0],[74.0],[16.0],[71.0],[42.0],[75.0],[53.0],[42.0],[68.0],[35.0],[91.0],[73.0],[4.0],[87.0],[75.0],[50.0],[43.0],[9.0],[54.0],[95.0],[96.0],[39.0],[76.0],[16.0],[42.0],[70.0],[21.0],[56.0],[38.0],[17.0],[17.0],[39.0],[26.0],[70.0],[54.0],[77.0],[64.0],[75.0],[16.0],[47.0],[62.0],[61.0],[26.0],[1.0],[56.0],[76.0],[1.0],[9.0],[54.0],[73.0],[1.0],[76.0],[4.0],[0.0]
6,[57.0],[102.0],[97.0],[17.0],[100.0],[31.0],[79.0],[76.0],[39.0],[101.0],[74.0],[35.0],[21.0],[16.0],[69.0],[46.0],[76.0],[43.0],[39.0],[86.0],[21.0],[28.0],[58.0],[76.0],[25.0],[1.0],[76.0],[79.0],[97.0],[16.0],[1.0],[98.0],[96.0],[23.0],[39.0],[53.0],[26.0],[76.0],[21.0],[39.0],[60.0],[41.0],[39.0],[39.0],[70.0],[73.0],[26.0],[57.0],[58.0],[54.0],[21.0],[69.0],[68.0],[68.0],[53.0],[44.0],[76.0],[4.0],[77.0],[76.0],[18.0],[84.0],[70.0],[76.0],[35.0],[57.0],[57.0],[26.0],[99.0],[43.0],[73.0],[39.0],[100.0],[39.0],[70.0],[79.0],[97.0],[5.0],[39.0],[4.0],[57.0],[97.0],[97.0],[39.0],[97.0],[52.0],[42.0],[73.0],[76.0],[68.0],[96.0],[75.0],[70.0],[35.0],[60.0],[76.0],[43.0],[17.0],[25.0],[92.0]
7,[79.0],[76.0],[60.0],[18.0],[56.0],[5.0],[26.0],[87.0],[47.0],[76.0],[39.0],[76.0],[16.0],[28.0],[58.0],[43.0],[60.0],[60.0],[35.0],[45.0],[100.0],[21.0],[60.0],[9.0],[53.0],[39.0],[73.0],[68.0],[70.0],[28.0],[76.0],[19.0],[76.0],[98.0],[68.0],[16.0],[53.0],[53.0],[74.0],[68.0],[16.0],[33.0],[92.0],[79.0],[91.0],[1.0],[25.0],[100.0],[60.0],[91.0],[58.0],[29.0],[19.0],[16.0],[42.0],[21.0],[60.0],[76.0],[97.0],[60.0],[19.0],[42.0],[46.0],[68.0],[63.0],[18.0],[60.0],[42.0],[44.0],[76.0],[76.0],[54.0],[26.0],[58.0],[43.0],[56.0],[100.0],[58.0],[42.0],[76.0],[91.0],[53.0],[26.0],[87.0],[53.0],[76.0],[76.0],[42.0],[53.0],[18.0],[97.0],[102.0],[30.0],[39.0],[58.0],[9.0],[17.0],[9.0],[97.0],[76.0]
8,[99.0],[69.0],[15.0],[5.0],[17.0],[45.0],[44.0],[16.0],[5.0],[36.0],[17.0],[70.0],[17.0],[87.0],[61.0],[91.0],[58.0],[39.0],[5.0],[101.0],[23.0],[100.0],[68.0],[95.0],[17.0],[91.0],[4.0],[70.0],[91.0],[87.0],[17.0],[48.0],[26.0],[76.0],[51.0],[36.0],[87.0],[72.0],[0.0],[17.0],[58.0],[98.0],[27.0],[26.0],[9.0],[28.0],[89.0],[17.0],[68.0],[76.0],[101.0],[23.0],[41.0],[87.0],[89.0],[26.0],[101.0],[54.0],[53.0],[101.0],[73.0],[5.0],[16.0],[95.0],[39.0],[9.0],[23.0],[53.0],[92.0],[96.0],[16.0],[26.0],[10.0],[31.0],[87.0],[29.0],[58.0],[17.0],[89.0],[19.0],[79.0],[63.0],[42.0],[26.0],[58.0],[29.0],[17.0],[9.0],[87.0],[36.0],[60.0],[26.0],[58.0],[44.0],[5.0],[100.0],[20.0],[5.0],[76.0],[41.0]
9,[17.0],[61.0],[68.0],[60.0],[41.0],[39.0],[89.0],[24.0],[58.0],[42.0],[56.0],[10.0],[22.0],[102.0],[19.0],[39.0],[5.0],[58.0],[89.0],[23.0],[43.0],[63.0],[101.0],[58.0],[89.0],[53.0],[81.0],[41.0],[76.0],[53.0],[100.0],[57.0],[44.0],[48.0],[27.0],[26.0],[44.0],[48.0],[49.0],[37.0],[26.0],[19.0],[10.0],[40.0],[23.0],[39.0],[87.0],[18.0],[101.0],[17.0],[23.0],[10.0],[18.0],[23.0],[19.0],[58.0],[97.0],[92.0],[10.0],[56.0],[85.0],[72.0],[102.0],[51.0],[47.0],[74.0],[43.0],[98.0],[83.0],[68.0],[47.0],[99.0],[4.0],[60.0],[0.0],[73.0],[9.0],[85.0],[35.0],[73.0],[17.0],[10.0],[53.0],[81.0],[26.0],[5.0],[99.0],[44.0],[89.0],[53.0],[70.0],[69.0],[101.0],[26.0],[51.0],[15.0],[100.0],[45.0],[26.0],[49.0]
