Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,EGAL,EMCM
0,14.5897696018219,15.758923768997192,16.06540036201477,16.66237211227417,17.026413917541504,17.10575246810913,17.051613807678223,16.976242542266846,16.928708791732788,351.4762556552887,23.477483987808228,15.50310492515564,17.068683385849,15.508479595184326
1,14.529534816741943,15.232462882995605,15.734113216400146,15.849256992340088,15.989440679550171,16.027291297912598,16.02003240585327,16.073492288589478,15.981704711914062,102.89806008338928,22.893712759017944,14.910141706466675,16.25491428375244,14.830162525177002
2,14.543778657913208,15.036861419677734,15.27504277229309,15.76996374130249,15.969450235366821,16.12105083465576,16.044054746627808,16.6994731426239,15.744762420654297,336.1284532546997,22.277594089508057,14.711277723312378,15.837278366088867,14.589942216873169
3,14.935148239135742,15.761195182800293,16.085609674453735,16.696380138397217,17.06032705307007,17.0429368019104,17.004795789718628,16.896782875061035,16.662646055221558,352.64955043792725,23.262155771255493,15.576344013214111,16.969467401504517,15.310829401016235
4,14.969818115234375,15.590208053588867,15.72123408317566,16.305704355239868,16.527984142303467,16.539705753326416,16.525327920913696,16.50154185295105,18.108538389205933,384.2579755783081,23.10903286933899,15.102100849151611,16.198444366455078,14.648032188415527
5,15.383097171783447,16.17538094520569,16.50740098953247,17.125210762023926,17.493932962417603,17.443936347961426,17.38752269744873,17.31890058517456,16.6926052570343,349.42220163345337,23.82855725288391,16.04439353942871,17.298059940338135,15.566224098205566
6,15.0255708694458,15.730249643325806,15.964110136032104,16.351482391357422,16.685546159744263,16.697715997695923,16.67558979988098,16.712820768356323,16.589677810668945,312.01223635673523,23.346359491348267,15.466859579086304,16.87497329711914,15.315520286560059
7,14.523548603057861,15.20742154121399,15.520291090011597,16.099059343338013,16.06554365158081,16.0195734500885,15.986374139785767,16.04235553741455,15.94781756401062,103.53077554702759,22.818018674850464,14.87886095046997,16.102301597595215,14.792867422103882
8,14.042920589447021,15.207680225372314,15.428381443023682,15.871330976486206,16.1364004611969,16.21200203895569,16.225029706954956,16.229047536849976,16.224865198135376,351.58132433891296,21.98967432975769,14.991268634796143,16.356303930282593,14.993902444839478
9,14.35106086730957,14.95992922782898,15.712930679321289,16.123139142990112,16.3064124584198,16.41869831085205,16.465911865234375,16.480812549591064,16.502345323562622,190.87804126739502,22.241669416427612,14.575014591217041,15.614326238632202,14.546872854232788
10,13.978202104568481,14.563079595565796,14.829773664474487,15.249472856521606,15.652767896652222,15.327977180480957,15.31683349609375,15.35568118095398,15.364516019821167,37.4783501625061,21.785112857818604,14.383078575134277,15.587189435958862,14.336119413375854
11,14.680458545684814,15.553289413452148,16.375375509262085,16.31441044807434,16.897762537002563,16.598753452301025,16.6070237159729,16.565266609191895,16.294400930404663,375.9473350048065,23.338892698287964,15.270404815673828,16.418684244155884,15.05437707901001
12,14.430751323699951,15.277998447418213,15.935850858688354,16.048948049545288,16.35779857635498,16.307252168655396,16.318164110183716,16.36840009689331,16.73685884475708,310.44165325164795,22.767808198928833,15.185468435287476,16.199140071868896,15.012267351150513
13,14.426503419876099,15.146918773651123,15.473726272583008,15.902345657348633,16.148956060409546,16.160274505615234,16.220461130142212,16.19730305671692,16.170700311660767,313.61680483818054,22.884052991867065,15.045351505279541,16.092100143432617,14.8584303855896
14,14.377074241638184,14.940572023391724,15.269831895828247,15.696723222732544,15.915294647216797,15.908732652664185,15.988016843795776,15.983865737915039,15.824618816375732,326.86456084251404,22.531795263290405,14.728660345077515,15.797693490982056,14.616767406463623
15,14.828961610794067,15.539361476898193,15.749948501586914,16.14313769340515,16.472609996795654,16.481645822525024,16.46170687675476,16.46676754951477,16.451921463012695,312.063538312912,22.888720989227295,15.202893257141113,16.718529224395752,15.195167779922485
16,14.783171892166138,15.559920072555542,15.889673471450806,16.490121364593506,16.846075534820557,16.82098412513733,16.799715280532837,16.696293592453003,16.487258195877075,352.94626784324646,22.953453302383423,15.350104570388794,16.752882719039917,15.141846179962158
17,14.592313766479492,15.303760528564453,15.533712148666382,15.923553466796875,16.237974882125854,16.271037340164185,16.254459619522095,16.2566499710083,16.269145488739014,313.5034258365631,22.52678155899048,14.978323221206665,16.49878692626953,14.960560083389282
18,14.885355949401855,15.595656156539917,15.80563473701477,16.19365930557251,16.548553705215454,16.53511357307434,16.53934931755066,16.55113196372986,16.500885725021362,312.5601089000702,23.095348119735718,15.288659811019897,16.772625207901,15.238891839981079
19,14.391215801239014,15.519911527633667,15.825937271118164,16.402564525604248,16.754740953445435,16.876322507858276,16.77375555038452,16.685676336288452,16.678602933883667,352.3474497795105,23.138214111328125,15.376245975494385,16.80471444129944,15.275991916656494
20,14.722659587860107,15.45367693901062,15.721414804458618,16.302876710891724,16.643744707107544,16.652713298797607,16.531485080718994,16.649245738983154,15.90551471710205,389.9004747867584,23.067049503326416,15.466131448745728,16.679764986038208,15.009125709533691
21,14.77564525604248,15.539973735809326,15.766340732574463,16.151427030563354,16.474493265151978,16.483559608459473,16.47913932800293,16.47571635246277,16.493297815322876,314.03798627853394,22.899320125579834,15.211830377578735,16.71783185005188,15.195229053497314
22,15.129846811294556,15.705994606018066,15.915370464324951,16.30753469467163,16.63342523574829,16.62594199180603,16.636840105056763,16.652549505233765,16.52472758293152,312.1700999736786,23.187026500701904,15.400605916976929,16.899489879608154,15.249180793762207
23,14.46987271308899,15.504973411560059,15.58054494857788,16.077836275100708,16.474911212921143,16.379124402999878,16.38914918899536,16.374268770217896,16.258352041244507,356.46602487564087,22.73056125640869,15.303362846374512,16.456849098205566,15.088761568069458
24,14.718636274337769,15.43462085723877,15.641083717346191,16.034706830978394,16.36086630821228,16.366117000579834,16.357800722122192,16.376675605773926,16.37424612045288,312.6386227607727,22.723069190979004,15.078315734863281,16.596651077270508,15.076651811599731
25,15.487537384033203,15.987635850906372,16.28024125099182,16.915828943252563,17.22493553161621,17.204832792282104,17.134780168533325,17.325267791748047,16.011728763580322,385.81021428108215,23.900646209716797,15.986354351043701,17.079248666763306,15.120266675949097
26,14.161799430847168,15.246593475341797,15.507256269454956,15.986818075180054,16.260233640670776,16.317237615585327,16.331037998199463,16.32414436340332,16.390421152114868,361.5415918827057,22.485703945159912,15.158371448516846,16.394094228744507,15.01519250869751
27,14.854600191116333,15.565443277359009,15.796273469924927,16.19286584854126,16.511462211608887,16.499050855636597,16.520593404769897,16.51371741294861,16.490565061569214,313.29063868522644,22.915908575057983,15.25868034362793,16.713767766952515,15.19156265258789
28,14.465667724609375,15.077193021774292,15.40206789970398,15.851361751556396,16.088494777679443,16.076260805130005,16.14649724960327,16.098459005355835,15.931791067123413,334.0983169078827,22.6512188911438,14.730899572372437,15.953402996063232,14.694250345230103
29,14.296401262283325,15.180490493774414,15.339298963546753,15.784304141998291,15.99425196647644,16.01094913482666,16.190067291259766,16.093756437301636,16.063415050506592,287.91808700561523,22.248011350631714,14.652086734771729,16.212738752365112,15.017475128173828
30,14.398505449295044,15.415104627609253,15.554534673690796,16.027783393859863,16.30388569831848,16.337788105010986,16.349247694015503,16.352702140808105,16.331307649612427,360.01832389831543,22.678033351898193,15.231265783309937,16.36896538734436,15.030511379241943
31,15.323764085769653,15.925922155380249,16.27336812019348,16.859654188156128,17.21981954574585,17.194814443588257,17.155885457992554,17.076612949371338,16.616961002349854,349.71280241012573,23.50260591506958,15.736388206481934,17.07785964012146,15.625019550323486
32,15.049364566802979,15.810195922851562,16.156334161758423,16.7577965259552,17.11724543571472,17.07133960723877,17.069320678710938,16.95215392112732,16.67078423500061,351.9236915111542,23.42010998725891,15.604732275009155,16.99370241165161,15.324351787567139
33,14.843068838119507,15.562872409820557,15.839565753936768,16.431446075439453,16.75182294845581,16.775497674942017,16.652014017105103,16.750067949295044,15.931332349777222,389.2269594669342,23.23425531387329,15.600600004196167,16.77985954284668,15.051959753036499
34,14.13923692703247,15.030805587768555,15.358332395553589,15.678070783615112,15.87895655632019,15.939089059829712,16.124043941497803,16.015385627746582,16.768706560134888,256.93118476867676,21.871962070465088,14.369594812393188,15.558828353881836,14.494388580322266
35,14.564783573150635,15.862442970275879,16.174514770507812,16.75550079345703,17.120832920074463,17.214887142181396,17.17343831062317,17.230244636535645,17.205291032791138,351.6299512386322,23.649089574813843,15.594308614730835,17.165151357650757,15.606154441833496
36,14.779505014419556,15.369949102401733,15.624297618865967,16.212351322174072,16.417250156402588,16.442302703857422,16.43629217147827,16.389484882354736,19.113495588302612,382.97428488731384,22.86628270149231,15.049143075942993,16.104779958724976,14.608908653259277
37,13.952750444412231,15.310544729232788,15.669992923736572,16.158236265182495,16.431180715560913,16.6794753074646,16.622463703155518,16.50063467025757,16.652150869369507,396.6309666633606,23.121198177337646,15.286165237426758,16.805161952972412,15.32377004623413
38,15.159185886383057,15.74753737449646,16.069787740707397,16.671102285385132,16.908687114715576,16.852389812469482,16.838773250579834,16.739342212677002,16.45054864883423,351.7287480831146,23.019953966140747,15.411550998687744,16.806994199752808,15.172248601913452
