Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[62.0],[75.0],[62.0],[242.0],[62.0],[62.0],[350.0],[350.0],[62.0],[62.0],[350.0],[62.0],[62.0],[62.0],[62.0],[368.0],[62.0],[62.0],[350.0],[350.0],[75.0],[405.0],[62.0],[62.0],[350.0],[62.0],[62.0],[350.0],[350.0],[62.0],[62.0],[350.0],[350.0],[62.0],[62.0],[242.0],[62.0],[62.0],[242.0],[62.0],[62.0],[350.0],[62.0],[350.0],[242.0],[62.0],[62.0],[62.0],[350.0],[350.0],[62.0],[73.0],[62.0],[62.0],[350.0],[331.0],[242.0],[350.0],[405.0],[350.0],[350.0],[350.0],[242.0],[350.0],[350.0],[405.0],[62.0],[75.0],[62.0],[21.0],[62.0],[350.0],[62.0],[350.0],[405.0],[242.0],[350.0],[62.0],[62.0],[405.0],[242.0],[242.0],[242.0],[62.0],[62.0],[350.0],[350.0],[405.0],[350.0],[405.0],[62.0],[242.0],[75.0],[350.0],[62.0],[405.0],[405.0],[242.0],[62.0],[62.0]
1,[405.0],[350.0],[350.0],[221.0],[405.0],[69.0],[368.0],[242.0],[405.0],[409.0],[242.0],[350.0],[405.0],[242.0],[350.0],[258.0],[350.0],[350.0],[242.0],[73.0],[242.0],[62.0],[350.0],[405.0],[62.0],[350.0],[350.0],[62.0],[242.0],[368.0],[368.0],[62.0],[73.0],[405.0],[368.0],[405.0],[350.0],[409.0],[405.0],[350.0],[217.0],[75.0],[350.0],[217.0],[350.0],[350.0],[350.0],[350.0],[258.0],[405.0],[350.0],[439.0],[130.0],[350.0],[242.0],[350.0],[258.0],[62.0],[350.0],[130.0],[62.0],[73.0],[62.0],[502.0],[62.0],[242.0],[350.0],[350.0],[350.0],[405.0],[221.0],[73.0],[350.0],[368.0],[350.0],[350.0],[219.0],[409.0],[405.0],[73.0],[405.0],[62.0],[62.0],[350.0],[409.0],[242.0],[62.0],[62.0],[242.0],[350.0],[350.0],[62.0],[195.0],[75.0],[350.0],[350.0],[62.0],[368.0],[350.0],[405.0]
2,[350.0],[239.0],[368.0],[405.0],[350.0],[405.0],[242.0],[130.0],[73.0],[405.0],[75.0],[405.0],[350.0],[350.0],[242.0],[73.0],[242.0],[405.0],[73.0],[405.0],[519.0],[64.0],[405.0],[350.0],[107.0],[242.0],[519.0],[130.0],[258.0],[350.0],[350.0],[130.0],[405.0],[242.0],[350.0],[350.0],[405.0],[217.0],[21.0],[242.0],[69.0],[368.0],[258.0],[195.0],[62.0],[258.0],[242.0],[331.0],[230.0],[306.0],[219.0],[368.0],[405.0],[130.0],[405.0],[368.0],[217.0],[405.0],[332.0],[242.0],[130.0],[405.0],[130.0],[368.0],[130.0],[350.0],[368.0],[368.0],[217.0],[242.0],[242.0],[332.0],[150.0],[73.0],[346.0],[75.0],[405.0],[258.0],[350.0],[350.0],[350.0],[258.0],[350.0],[405.0],[405.0],[405.0],[368.0],[350.0],[75.0],[62.0],[69.0],[405.0],[405.0],[368.0],[405.0],[75.0],[350.0],[75.0],[258.0],[350.0]
3,[242.0],[405.0],[524.0],[62.0],[396.0],[258.0],[130.0],[405.0],[350.0],[346.0],[519.0],[73.0],[346.0],[130.0],[405.0],[230.0],[73.0],[21.0],[368.0],[62.0],[130.0],[350.0],[515.0],[242.0],[439.0],[160.0],[73.0],[405.0],[130.0],[239.0],[195.0],[242.0],[62.0],[350.0],[130.0],[396.0],[150.0],[405.0],[219.0],[230.0],[350.0],[130.0],[405.0],[496.0],[368.0],[405.0],[405.0],[368.0],[405.0],[150.0],[217.0],[75.0],[515.0],[242.0],[130.0],[69.0],[130.0],[130.0],[62.0],[107.0],[524.0],[62.0],[519.0],[75.0],[242.0],[130.0],[519.0],[73.0],[130.0],[346.0],[350.0],[405.0],[73.0],[21.0],[409.0],[130.0],[242.0],[128.0],[439.0],[242.0],[258.0],[439.0],[130.0],[130.0],[331.0],[62.0],[159.0],[242.0],[73.0],[239.0],[130.0],[409.0],[410.0],[130.0],[217.0],[506.0],[439.0],[130.0],[130.0],[242.0]
4,[332.0],[240.0],[73.0],[409.0],[217.0],[242.0],[64.0],[524.0],[150.0],[350.0],[217.0],[409.0],[242.0],[0.0],[130.0],[69.0],[150.0],[130.0],[224.0],[242.0],[209.0],[219.0],[331.0],[502.0],[242.0],[150.0],[405.0],[242.0],[221.0],[219.0],[524.0],[405.0],[524.0],[258.0],[221.0],[62.0],[439.0],[64.0],[350.0],[249.0],[405.0],[239.0],[242.0],[405.0],[221.0],[73.0],[219.0],[242.0],[130.0],[439.0],[368.0],[350.0],[395.0],[405.0],[439.0],[73.0],[69.0],[439.0],[222.0],[239.0],[405.0],[524.0],[346.0],[409.0],[405.0],[258.0],[240.0],[242.0],[405.0],[439.0],[130.0],[242.0],[409.0],[413.0],[305.0],[368.0],[439.0],[331.0],[150.0],[75.0],[62.0],[524.0],[405.0],[69.0],[150.0],[409.0],[66.0],[346.0],[230.0],[396.0],[405.0],[219.0],[69.0],[242.0],[130.0],[409.0],[519.0],[519.0],[405.0],[21.0]
5,[0.0],[331.0],[69.0],[150.0],[73.0],[346.0],[73.0],[496.0],[417.0],[396.0],[368.0],[150.0],[432.0],[234.0],[524.0],[346.0],[409.0],[258.0],[128.0],[524.0],[331.0],[358.0],[439.0],[436.0],[73.0],[130.0],[409.0],[351.0],[368.0],[524.0],[73.0],[439.0],[409.0],[73.0],[239.0],[519.0],[118.0],[150.0],[217.0],[405.0],[73.0],[258.0],[73.0],[242.0],[73.0],[242.0],[21.0],[118.0],[62.0],[524.0],[242.0],[128.0],[0.0],[118.0],[69.0],[439.0],[368.0],[150.0],[311.0],[69.0],[21.0],[439.0],[118.0],[524.0],[73.0],[217.0],[409.0],[409.0],[242.0],[73.0],[150.0],[75.0],[524.0],[242.0],[396.0],[221.0],[150.0],[242.0],[524.0],[409.0],[130.0],[405.0],[239.0],[0.0],[439.0],[502.0],[73.0],[439.0],[409.0],[346.0],[73.0],[502.0],[524.0],[73.0],[82.0],[242.0],[130.0],[439.0],[321.0],[73.0]
6,[346.0],[73.0],[519.0],[524.0],[346.0],[73.0],[403.0],[73.0],[258.0],[150.0],[240.0],[395.0],[506.0],[396.0],[217.0],[376.0],[219.0],[107.0],[62.0],[409.0],[306.0],[0.0],[73.0],[73.0],[234.0],[234.0],[150.0],[73.0],[239.0],[73.0],[346.0],[0.0],[439.0],[69.0],[332.0],[409.0],[242.0],[350.0],[130.0],[73.0],[496.0],[73.0],[217.0],[524.0],[260.0],[409.0],[73.0],[260.0],[118.0],[410.0],[150.0],[515.0],[242.0],[248.0],[239.0],[502.0],[73.0],[0.0],[242.0],[118.0],[73.0],[242.0],[239.0],[239.0],[359.0],[62.0],[239.0],[249.0],[258.0],[258.0],[248.0],[409.0],[84.0],[524.0],[150.0],[524.0],[224.0],[350.0],[409.0],[239.0],[73.0],[130.0],[224.0],[359.0],[242.0],[73.0],[502.0],[258.0],[405.0],[143.0],[242.0],[239.0],[242.0],[515.0],[524.0],[278.0],[239.0],[346.0],[73.0],[346.0]
7,[502.0],[524.0],[130.0],[350.0],[242.0],[403.0],[150.0],[359.0],[496.0],[260.0],[130.0],[217.0],[409.0],[439.0],[219.0],[118.0],[502.0],[242.0],[524.0],[376.0],[73.0],[239.0],[242.0],[260.0],[496.0],[405.0],[242.0],[234.0],[62.0],[70.0],[234.0],[150.0],[242.0],[409.0],[524.0],[245.0],[260.0],[502.0],[519.0],[409.0],[519.0],[242.0],[409.0],[112.0],[524.0],[69.0],[409.0],[73.0],[242.0],[73.0],[0.0],[239.0],[258.0],[239.0],[524.0],[242.0],[515.0],[502.0],[410.0],[224.0],[331.0],[130.0],[306.0],[242.0],[150.0],[118.0],[64.0],[331.0],[340.0],[245.0],[524.0],[524.0],[242.0],[496.0],[107.0],[439.0],[130.0],[439.0],[0.0],[346.0],[346.0],[331.0],[439.0],[524.0],[350.0],[209.0],[403.0],[150.0],[234.0],[519.0],[331.0],[150.0],[260.0],[258.0],[107.0],[524.0],[346.0],[359.0],[262.0],[260.0]
8,[444.0],[130.0],[351.0],[217.0],[409.0],[82.0],[260.0],[172.0],[82.0],[408.0],[73.0],[242.0],[0.0],[150.0],[519.0],[130.0],[64.0],[118.0],[219.0],[239.0],[524.0],[396.0],[258.0],[346.0],[524.0],[239.0],[417.0],[376.0],[515.0],[410.0],[242.0],[37.0],[410.0],[524.0],[346.0],[340.0],[234.0],[242.0],[118.0],[410.0],[130.0],[69.0],[150.0],[160.0],[195.0],[515.0],[224.0],[524.0],[524.0],[519.0],[533.0],[240.0],[524.0],[439.0],[107.0],[70.0],[82.0],[396.0],[73.0],[346.0],[242.0],[359.0],[73.0],[234.0],[468.0],[354.0],[524.0],[128.0],[118.0],[385.0],[73.0],[70.0],[410.0],[107.0],[273.0],[496.0],[332.0],[524.0],[258.0],[496.0],[245.0],[410.0],[73.0],[234.0],[379.0],[260.0],[240.0],[340.0],[425.0],[130.0],[217.0],[410.0],[73.0],[408.0],[73.0],[66.0],[0.0],[524.0],[515.0],[409.0]
9,[248.0],[224.0],[242.0],[290.0],[502.0],[502.0],[234.0],[37.0],[376.0],[73.0],[118.0],[306.0],[248.0],[306.0],[118.0],[524.0],[239.0],[524.0],[195.0],[209.0],[344.0],[215.0],[224.0],[221.0],[217.0],[288.0],[306.0],[150.0],[248.0],[242.0],[260.0],[306.0],[502.0],[331.0],[73.0],[306.0],[73.0],[331.0],[524.0],[288.0],[439.0],[234.0],[515.0],[35.0],[224.0],[107.0],[439.0],[107.0],[439.0],[130.0],[439.0],[258.0],[209.0],[524.0],[0.0],[409.0],[84.0],[321.0],[346.0],[73.0],[439.0],[496.0],[150.0],[332.0],[332.0],[21.0],[118.0],[344.0],[107.0],[515.0],[107.0],[410.0],[331.0],[245.0],[95.0],[249.0],[524.0],[142.0],[82.0],[423.0],[515.0],[224.0],[219.0],[346.0],[519.0],[150.0],[376.0],[248.0],[396.0],[242.0],[288.0],[260.0],[379.0],[150.0],[242.0],[346.0],[396.0],[496.0],[305.0],[524.0]
