Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[753.0],[1077.0],[506.0],[244.0],[1148.0],[139.0],[1423.0],[522.0],[1338.0],[1151.0],[273.0],[631.0],[503.0],[1288.0],[1345.0],[1338.0],[1476.0],[957.0],[553.0],[631.0],[1338.0],[957.0],[846.0],[244.0],[1250.0],[506.0],[683.0],[631.0],[383.0],[162.0],[1416.0],[899.0],[1104.0],[1087.0],[273.0],[673.0],[1416.0],[1011.0],[577.0],[915.0],[162.0],[1053.0],[581.0],[1166.0],[1411.0],[453.0],[1166.0],[1456.0],[1456.0],[1456.0],[1163.0],[739.0],[1446.0],[479.0],[564.0],[1476.0],[1416.0],[273.0],[553.0],[1288.0],[30.0],[807.0],[248.0],[189.0],[1411.0],[905.0],[687.0],[905.0],[642.0],[957.0],[1208.0],[932.0],[1288.0],[381.0],[30.0],[479.0],[157.0],[895.0],[307.0],[1053.0],[580.0],[274.0],[375.0],[743.0],[1416.0],[1142.0],[1456.0],[1240.0],[506.0],[593.0],[481.0],[375.0],[629.0],[1367.0],[1307.0],[273.0],[1104.0],[1116.0],[642.0],[354.0]
1,[30.0],[1446.0],[1456.0],[957.0],[134.0],[642.0],[1447.0],[1345.0],[248.0],[658.0],[1288.0],[1133.0],[130.0],[226.0],[1411.0],[244.0],[1411.0],[1166.0],[1416.0],[905.0],[1456.0],[30.0],[957.0],[631.0],[763.0],[244.0],[640.0],[226.0],[84.0],[1208.0],[30.0],[500.0],[477.0],[981.0],[230.0],[1191.0],[1411.0],[57.0],[943.0],[338.0],[1053.0],[1208.0],[1071.0],[1411.0],[1476.0],[139.0],[676.0],[1166.0],[1416.0],[273.0],[1221.0],[957.0],[1133.0],[1077.0],[18.0],[273.0],[553.0],[1411.0],[1288.0],[905.0],[837.0],[846.0],[139.0],[1242.0],[273.0],[1190.0],[479.0],[1411.0],[1411.0],[453.0],[273.0],[490.0],[1166.0],[886.0],[658.0],[846.0],[445.0],[932.0],[500.0],[1288.0],[30.0],[1411.0],[991.0],[1061.0],[553.0],[456.0],[273.0],[760.0],[553.0],[1013.0],[1411.0],[139.0],[753.0],[417.0],[1280.0],[1337.0],[238.0],[1288.0],[846.0],[866.0]
2,[273.0],[139.0],[1288.0],[1345.0],[852.0],[273.0],[1208.0],[381.0],[652.0],[64.0],[375.0],[676.0],[814.0],[1411.0],[769.0],[113.0],[1190.0],[30.0],[957.0],[1077.0],[375.0],[602.0],[1030.0],[1053.0],[535.0],[375.0],[101.0],[1258.0],[715.0],[840.0],[244.0],[918.0],[84.0],[201.0],[553.0],[866.0],[631.0],[1208.0],[310.0],[537.0],[957.0],[1345.0],[284.0],[1456.0],[631.0],[1195.0],[1416.0],[1411.0],[1338.0],[479.0],[1135.0],[753.0],[506.0],[553.0],[1363.0],[1456.0],[1077.0],[642.0],[1345.0],[1456.0],[553.0],[1011.0],[957.0],[190.0],[1456.0],[1411.0],[57.0],[1476.0],[1242.0],[1166.0],[905.0],[895.0],[1456.0],[1400.0],[402.0],[1270.0],[1413.0],[602.0],[481.0],[1166.0],[273.0],[1239.0],[1446.0],[358.0],[1077.0],[354.0],[506.0],[682.0],[1416.0],[1433.0],[837.0],[631.0],[1166.0],[1219.0],[915.0],[1407.0],[610.0],[446.0],[1379.0],[1215.0]
3,[1446.0],[273.0],[30.0],[1416.0],[1439.0],[1166.0],[1198.0],[481.0],[642.0],[1498.0],[905.0],[1423.0],[649.0],[1456.0],[453.0],[95.0],[676.0],[162.0],[375.0],[640.0],[1476.0],[955.0],[1319.0],[378.0],[681.0],[1011.0],[307.0],[4.0],[70.0],[842.0],[1411.0],[1133.0],[791.0],[821.0],[1064.0],[1106.0],[950.0],[365.0],[537.0],[755.0],[1416.0],[375.0],[882.0],[1271.0],[553.0],[1395.0],[652.0],[30.0],[933.0],[1251.0],[804.0],[1487.0],[955.0],[1345.0],[501.0],[1286.0],[1345.0],[1423.0],[453.0],[846.0],[201.0],[1208.0],[676.0],[936.0],[846.0],[1251.0],[846.0],[506.0],[631.0],[630.0],[244.0],[1208.0],[1208.0],[932.0],[828.0],[1077.0],[273.0],[642.0],[916.0],[642.0],[1288.0],[378.0],[365.0],[1207.0],[273.0],[446.0],[189.0],[633.0],[30.0],[273.0],[162.0],[949.0],[1456.0],[443.0],[1063.0],[717.0],[135.0],[506.0],[905.0],[1399.0]
4,[1208.0],[226.0],[1166.0],[375.0],[755.0],[1476.0],[1446.0],[1208.0],[452.0],[741.0],[1166.0],[846.0],[1478.0],[1077.0],[1277.0],[243.0],[57.0],[1411.0],[273.0],[453.0],[1479.0],[479.0],[828.0],[1077.0],[1396.0],[1251.0],[1280.0],[875.0],[673.0],[846.0],[1446.0],[676.0],[1200.0],[1110.0],[1204.0],[188.0],[381.0],[676.0],[35.0],[1116.0],[1208.0],[1077.0],[637.0],[330.0],[905.0],[1126.0],[553.0],[1476.0],[1411.0],[506.0],[453.0],[389.0],[201.0],[1195.0],[495.0],[211.0],[506.0],[1166.0],[905.0],[1446.0],[248.0],[1443.0],[244.0],[1411.0],[139.0],[553.0],[1110.0],[244.0],[1208.0],[1446.0],[753.0],[642.0],[309.0],[396.0],[1416.0],[185.0],[548.0],[372.0],[1271.0],[903.0],[846.0],[479.0],[506.0],[195.0],[1411.0],[148.0],[957.0],[245.0],[139.0],[152.0],[821.0],[1411.0],[676.0],[1076.0],[448.0],[48.0],[1241.0],[265.0],[1271.0],[861.0]
5,[585.0],[1476.0],[630.0],[30.0],[1400.0],[1416.0],[1055.0],[955.0],[467.0],[548.0],[1345.0],[955.0],[1255.0],[553.0],[273.0],[70.0],[1251.0],[631.0],[1476.0],[1180.0],[846.0],[217.0],[506.0],[274.0],[1269.0],[1208.0],[721.0],[858.0],[1180.0],[226.0],[479.0],[955.0],[1086.0],[1166.0],[96.0],[1399.0],[1456.0],[991.0],[448.0],[1063.0],[139.0],[244.0],[464.0],[139.0],[746.0],[1214.0],[118.0],[467.0],[30.0],[687.0],[101.0],[837.0],[1288.0],[925.0],[1369.0],[1200.0],[1288.0],[201.0],[479.0],[453.0],[524.0],[676.0],[273.0],[452.0],[1476.0],[1447.0],[1416.0],[1053.0],[118.0],[378.0],[30.0],[1416.0],[17.0],[1303.0],[233.0],[1456.0],[394.0],[310.0],[1476.0],[676.0],[375.0],[176.0],[1391.0],[1456.0],[1053.0],[476.0],[831.0],[1386.0],[642.0],[1373.0],[30.0],[1476.0],[1239.0],[371.0],[805.0],[1039.0],[676.0],[479.0],[479.0],[1095.0]
6,[1195.0],[676.0],[846.0],[1338.0],[1099.0],[452.0],[905.0],[957.0],[1194.0],[616.0],[1411.0],[1379.0],[1147.0],[506.0],[960.0],[590.0],[1456.0],[1345.0],[1166.0],[1200.0],[676.0],[244.0],[741.0],[30.0],[1276.0],[687.0],[1100.0],[539.0],[866.0],[1195.0],[1345.0],[1011.0],[479.0],[126.0],[128.0],[1468.0],[101.0],[1053.0],[565.0],[1100.0],[642.0],[1195.0],[729.0],[687.0],[1288.0],[1171.0],[248.0],[227.0],[1208.0],[1053.0],[1053.0],[1208.0],[226.0],[1315.0],[445.0],[1399.0],[138.0],[676.0],[1195.0],[375.0],[957.0],[821.0],[506.0],[467.0],[652.0],[185.0],[1198.0],[1288.0],[273.0],[589.0],[846.0],[30.0],[319.0],[322.0],[674.0],[330.0],[711.0],[1240.0],[1443.0],[831.0],[506.0],[960.0],[274.0],[526.0],[1476.0],[797.0],[1140.0],[1352.0],[1077.0],[348.0],[1271.0],[378.0],[1198.0],[1053.0],[981.0],[681.0],[244.0],[866.0],[619.0],[1416.0]
7,[592.0],[30.0],[274.0],[1411.0],[226.0],[925.0],[292.0],[1076.0],[378.0],[310.0],[631.0],[162.0],[1274.0],[1416.0],[642.0],[249.0],[1447.0],[1208.0],[1338.0],[673.0],[631.0],[443.0],[1380.0],[1239.0],[1230.0],[1411.0],[1116.0],[614.0],[1442.0],[925.0],[1053.0],[375.0],[905.0],[1288.0],[779.0],[230.0],[217.0],[1391.0],[700.0],[35.0],[375.0],[1194.0],[712.0],[1077.0],[155.0],[526.0],[378.0],[933.0],[631.0],[57.0],[307.0],[481.0],[524.0],[652.0],[1042.0],[207.0],[925.0],[1133.0],[1354.0],[138.0],[1423.0],[1345.0],[162.0],[840.0],[642.0],[1446.0],[330.0],[631.0],[903.0],[506.0],[1411.0],[248.0],[949.0],[323.0],[943.0],[244.0],[1105.0],[1166.0],[753.0],[118.0],[1416.0],[506.0],[1166.0],[573.0],[676.0],[490.0],[1412.0],[577.0],[631.0],[981.0],[506.0],[244.0],[1446.0],[993.0],[68.0],[78.0],[30.0],[1240.0],[506.0],[233.0]
8,[842.0],[506.0],[1411.0],[553.0],[1095.0],[1315.0],[479.0],[201.0],[831.0],[394.0],[933.0],[193.0],[403.0],[769.0],[344.0],[71.0],[330.0],[506.0],[846.0],[779.0],[642.0],[1208.0],[453.0],[118.0],[1392.0],[1110.0],[755.0],[367.0],[978.0],[1423.0],[1338.0],[837.0],[1053.0],[526.0],[55.0],[1485.0],[30.0],[1166.0],[805.0],[721.0],[452.0],[925.0],[1345.0],[57.0],[526.0],[1061.0],[1277.0],[155.0],[1271.0],[1345.0],[631.0],[1411.0],[905.0],[1479.0],[1413.0],[335.0],[592.0],[244.0],[925.0],[1194.0],[126.0],[916.0],[1208.0],[925.0],[519.0],[330.0],[244.0],[226.0],[453.0],[118.0],[162.0],[226.0],[586.0],[915.0],[137.0],[1447.0],[641.0],[1099.0],[1079.0],[957.0],[244.0],[1096.0],[185.0],[837.0],[226.0],[416.0],[1318.0],[905.0],[226.0],[1288.0],[916.0],[831.0],[1110.0],[522.0],[943.0],[152.0],[1166.0],[1467.0],[1011.0],[577.0]
9,[236.0],[1053.0],[831.0],[1214.0],[957.0],[1277.0],[1157.0],[631.0],[1354.0],[584.0],[226.0],[1077.0],[1292.0],[642.0],[378.0],[194.0],[957.0],[453.0],[309.0],[907.0],[950.0],[180.0],[278.0],[1345.0],[375.0],[226.0],[479.0],[587.0],[1159.0],[138.0],[248.0],[905.0],[553.0],[453.0],[567.0],[383.0],[576.0],[349.0],[762.0],[13.0],[1335.0],[838.0],[1476.0],[1345.0],[619.0],[725.0],[273.0],[1068.0],[753.0],[1110.0],[1108.0],[1079.0],[1423.0],[162.0],[641.0],[794.0],[189.0],[837.0],[227.0],[227.0],[1456.0],[905.0],[452.0],[227.0],[1479.0],[957.0],[1447.0],[1458.0],[378.0],[344.0],[676.0],[905.0],[498.0],[413.0],[22.0],[274.0],[1042.0],[631.0],[1011.0],[529.0],[1476.0],[676.0],[1053.0],[642.0],[248.0],[1244.0],[1099.0],[1368.0],[479.0],[872.0],[273.0],[960.0],[139.0],[642.0],[372.0],[1013.0],[1416.0],[1442.0],[453.0],[226.0]
