Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,EGAL,EMCM
0,13.324053049087524,13.83302617073059,14.256916999816895,14.561081647872925,14.596055030822754,14.441303968429565,14.51088833808899,14.813125848770142,14.614747762680054,385.2582149505615,20.194782733917236,13.386091470718384,14.403504610061646,13.158090114593506
1,12.51027798652649,12.980227708816528,13.362297058105469,14.025392293930054,14.554295778274536,14.579249858856201,14.613171339035034,14.706711769104004,14.686073303222656,173.57978057861328,19.628721952438354,12.976109743118286,15.510303735733032,12.995653629302979
2,13.024374961853027,13.843863487243652,14.24784803390503,14.525839805603027,14.895819664001465,14.773233413696289,14.488393306732178,14.462504148483276,14.28535270690918,385.73974895477295,20.37911581993103,13.235666036605835,14.127889394760132,13.16271162033081
3,13.048962354660034,13.56303858757019,13.921763896942139,14.253744125366211,14.550663709640503,14.559801816940308,14.596108436584473,14.615082502365112,14.49613642692566,414.65198040008545,20.296643257141113,13.543890237808228,14.742647171020508,13.36423110961914
4,12.782707691192627,13.59504222869873,14.342432975769043,14.635213136672974,14.814969539642334,14.909392833709717,14.879083156585693,14.50722360610962,14.342051267623901,352.2055184841156,19.96683979034424,13.102038145065308,14.132824182510376,13.337279558181763
5,12.905376195907593,13.407349109649658,13.77835488319397,14.094208717346191,14.247994422912598,13.997198820114136,14.02549934387207,14.292702913284302,14.279037237167358,359.31036925315857,19.43550729751587,13.105716466903687,14.078917741775513,12.98818063735962
6,13.143553018569946,13.685563087463379,14.073909521102905,14.381754398345947,14.477427244186401,14.29046893119812,14.35399317741394,14.617271661758423,14.50128722190857,374.7922112941742,20.129740238189697,13.215136289596558,14.287711381912231,13.22899842262268
7,12.951477766036987,13.648090600967407,14.020971536636353,14.314198970794678,14.60605239868164,14.61368203163147,14.633832693099976,14.6240234375,14.642335176467896,406.74820852279663,20.56020975112915,13.616157531738281,14.895943641662598,13.626408815383911
8,13.042159080505371,13.642119646072388,14.06191349029541,14.353973865509033,14.470421552658081,14.53320026397705,14.166731357574463,15.207539796829224,13.668593406677246,400.54276037216187,22.95963430404663,12.889275312423706,13.749032020568848,12.882402896881104
9,13.223095417022705,13.789827346801758,14.161345720291138,14.455717086791992,14.679839134216309,14.475051403045654,14.419661045074463,14.049383878707886,13.919062852859497,402.5640230178833,20.097113370895386,13.090358018875122,14.09310269355774,12.892368078231812
10,13.06154990196228,13.585585832595825,13.94008755683899,14.254520177841187,14.561878681182861,14.560344219207764,14.5625581741333,14.566197872161865,14.537613868713379,406.81834149360657,20.503631353378296,13.556933641433716,14.819636583328247,13.562145709991455
11,13.285803079605103,13.75058913230896,14.123039722442627,14.439637422561646,14.727887153625488,14.719634294509888,14.725926160812378,14.723768949508667,14.559717655181885,406.00991129875183,20.729212522506714,16.4304096698761,14.876593112945557,13.532859325408936
12,13.193992853164673,13.725845336914062,14.107071876525879,14.405700206756592,14.498045921325684,14.310786724090576,14.38131833076477,14.65059232711792,14.525909185409546,379.20504879951477,20.03438448905945,13.255795001983643,14.340932369232178,13.187930345535278
13,13.375938177108765,13.870702266693115,14.258661985397339,14.560283184051514,14.594303607940674,14.445049524307251,14.536815881729126,14.846397876739502,14.760757684707642,388.6712827682495,20.27811336517334,13.436749696731567,14.342188358306885,12.981613874435425
14,13.29308009147644,13.791077136993408,14.15925908088684,14.463079452514648,14.692063331604004,14.44335126876831,14.187735319137573,14.013055086135864,13.818387269973755,404.91851830482483,19.790773391723633,13.100470304489136,14.070037126541138,12.849663257598877
15,12.605916976928711,13.500432968139648,13.864064455032349,14.183218955993652,14.430868148803711,14.522661685943604,14.552949666976929,14.586603879928589,14.603698015213013,399.9733684062958,20.132151126861572,13.498212337493896,14.514299154281616,13.620508432388306
16,12.509559631347656,12.940367221832275,15.131715297698975,14.233166694641113,14.528277158737183,14.533610343933105,14.594067573547363,14.666532278060913,14.407197952270508,283.83781027793884,19.39008641242981,12.899135112762451,13.531261920928955,12.67886734008789
17,12.787437915802002,13.57068920135498,13.989538431167603,14.322865724563599,14.606336116790771,14.713746309280396,14.589996099472046,14.414517164230347,14.69400668144226,282.74522709846497,19.57240080833435,12.79213261604309,13.724036693572998,12.794163703918457
18,12.986961126327515,13.409300565719604,13.761835098266602,14.06638789176941,14.361776113510132,14.359338521957397,14.355389595031738,14.365537166595459,14.327265739440918,405.8260271549225,20.176844596862793,13.357489109039307,14.642228364944458,13.372152090072632
19,13.142502784729004,13.622883081436157,14.015245914459229,14.383725881576538,14.6436927318573,14.677934646606445,14.6868577003479,14.713694095611572,14.556899070739746,414.0356059074402,20.438379049301147,13.655929565429688,14.846083402633667,13.482905864715576
20,13.171887397766113,13.628643989562988,13.987680912017822,14.31543517112732,14.577741861343384,14.695003032684326,14.597827434539795,14.596277475357056,14.49545168876648,406.8306918144226,20.47442865371704,16.70542049407959,14.763948678970337,13.42047119140625
21,13.090272188186646,13.573817014694214,13.98058271408081,14.319215297698975,14.617332220077515,14.643555641174316,14.646843433380127,14.662960529327393,14.55433177947998,414.9102737903595,20.37933897972107,13.58385705947876,14.791751384735107,13.442407846450806
22,13.064497232437134,13.54981255531311,13.906857252120972,14.21619963645935,14.494613647460938,14.49206256866455,14.500190496444702,14.499450206756592,14.470021486282349,405.83990812301636,20.36109757423401,13.496670961380005,14.77091908454895,13.509008646011353
23,13.078837633132935,13.546398878097534,13.906805276870728,14.211718559265137,14.509691953659058,14.512202978134155,14.5088951587677,14.524792671203613,14.488593816757202,408.29768228530884,20.34367537498474,16.88610863685608,14.6770920753479,13.350945234298706
24,13.014240980148315,13.542450428009033,13.933870315551758,14.28328251838684,14.569507360458374,14.583592414855957,14.6117582321167,14.626074075698853,14.55819845199585,415.7339222431183,20.34328031539917,13.560052156448364,14.765839576721191,13.400275945663452
25,13.119719505310059,13.561173439025879,13.910155057907104,14.327709674835205,14.518221139907837,14.652390956878662,14.525437831878662,14.512604236602783,14.435015201568604,405.94570684432983,20.46681785583496,13.748889207839966,14.770671129226685,13.491547107696533
26,13.257319211959839,13.751987934112549,14.134072542190552,14.439157962799072,14.505159854888916,14.338428020477295,14.411319017410278,14.710907697677612,14.502914190292358,384.4510335922241,20.02321743965149,13.323586702346802,14.356743335723877,13.102004051208496
27,13.153236150741577,13.626668214797974,14.026583433151245,14.362894058227539,14.660013198852539,14.67844820022583,14.70534062385559,14.7208251953125,14.535843133926392,415.64799404144287,20.4738552570343,13.719226837158203,14.771812438964844,13.450329542160034
28,13.159337759017944,13.70250153541565,14.091188669204712,14.402089595794678,14.500008344650269,14.292527914047241,14.329149007797241,14.630282402038574,14.714364528656006,371.36426162719727,20.175888776779175,13.218611717224121,14.308229207992554,13.287152290344238
29,13.060035467147827,13.504251956939697,13.86638069152832,14.172173738479614,14.466774463653564,14.717316150665283,14.470170259475708,14.471755981445312,14.394246578216553,405.2479958534241,20.294816255569458,13.454293489456177,14.716353178024292,13.476256608963013
30,13.223066091537476,13.69535231590271,14.061085939407349,14.356266736984253,14.645057678222656,14.642329454421997,14.63447904586792,14.648938179016113,14.500485897064209,405.50492763519287,20.63231611251831,13.677725076675415,14.900506019592285,13.617981195449829
31,13.3669753074646,13.836205959320068,14.232875108718872,14.557438850402832,14.782937049865723,14.606185913085938,14.50884461402893,14.217807054519653,13.882590532302856,407.2708332538605,19.77923321723938,13.088134288787842,13.94390869140625,12.876124143600464
32,13.016637802124023,13.579467535018921,13.977417707443237,14.31353759765625,14.599525451660156,14.622310638427734,14.660335540771484,14.65698790550232,14.597198486328125,416.01329708099365,20.397018671035767,13.720553398132324,14.809681177139282,13.440112590789795
33,13.121510982513428,13.568183898925781,13.923851728439331,14.238709688186646,14.538892030715942,14.715846538543701,14.532377481460571,14.539852619171143,14.441914081573486,406.6446146965027,20.37900710105896,13.553781509399414,14.768278121948242,13.502623081207275
34,12.785744667053223,13.623975038528442,13.990923166275024,14.259424686431885,14.520457744598389,14.579007863998413,14.620197296142578,16.03700613975525,14.626464366912842,404.29612159729004,20.59000039100647,13.564905881881714,15.049261808395386,13.682883024215698
35,12.414072513580322,12.790659666061401,13.191810369491577,13.42049264907837,14.107897281646729,14.28766655921936,14.399827241897583,14.388045072555542,14.370150566101074,49.016873836517334,19.893749475479126,12.956064224243164,13.628910303115845,12.768174171447754
36,13.276783466339111,13.89551854133606,14.2965407371521,14.593859434127808,14.83961796760559,14.702171087265015,15.237257480621338,14.19870662689209,14.099676132202148,402.0907769203186,20.074944257736206,13.211507320404053,14.360724449157715,13.026691436767578
37,12.459259033203125,12.84667682647705,13.188308477401733,13.45983338356018,14.197631359100342,14.320399522781372,14.369889736175537,14.419576168060303,14.837088108062744,49.259806394577026,19.737969398498535,12.792251825332642,13.665548086166382,12.780786514282227
38,13.35634970664978,13.911766767501831,14.31978154182434,14.639732360839844,14.74762749671936,14.89005160331726,15.077978610992432,14.89612340927124,14.665781259536743,384.9708607196808,20.4026460647583,13.499705076217651,14.49932312965393,13.25888967514038
39,13.073401689529419,13.56392216682434,13.968108415603638,14.311982870101929,14.602400541305542,14.615719079971313,14.651193857192993,14.651490926742554,14.51323938369751,413.9906017780304,20.33397150039673,13.73289704322815,14.785542964935303,13.40645980834961
40,13.28031587600708,13.753214836120605,14.176634073257446,14.510285377502441,14.786784410476685,14.816227436065674,14.8380126953125,14.850600481033325,14.573781490325928,414.80140471458435,20.718196392059326,13.855300188064575,14.865679264068604,13.549463272094727
41,13.205488920211792,13.686805486679077,14.101796627044678,14.425759553909302,14.709882497787476,14.724677085876465,14.745728254318237,14.777653455734253,14.543115854263306,415.4092593193054,20.53792643547058,13.770177125930786,15.017339944839478,13.47306489944458
42,13.167427778244019,13.654018878936768,14.022746086120605,14.31346321105957,14.46291446685791,14.323629379272461,13.785570859909058,13.550175189971924,13.557280778884888,402.3084578514099,19.516031503677368,12.83016562461853,13.68643593788147,12.829250812530518
43,13.153157711029053,13.630460977554321,14.007187604904175,14.317301273345947,14.436097621917725,14.230420112609863,14.268224000930786,14.533503770828247,14.46895956993103,373.1572449207306,20.067529916763306,13.14548921585083,14.223168849945068,13.219541549682617
44,13.086110591888428,13.693087577819824,13.943021297454834,14.252904176712036,14.323430299758911,14.494719505310059,14.889731645584106,14.525739431381226,14.20820426940918,383.4971046447754,19.724451303482056,13.123025178909302,14.152490615844727,12.914425134658813
45,13.071681261062622,13.49815320968628,13.85312294960022,14.163978815078735,14.467344760894775,14.46463656425476,14.469937801361084,14.464680671691895,14.405399560928345,407.90706396102905,20.274683475494385,16.92013430595398,14.700159788131714,13.313252210617065
46,13.01073956489563,13.515868425369263,13.903843641281128,14.247390031814575,14.551743984222412,14.560153484344482,14.594315528869629,14.609069108963013,14.524749755859375,415.59068870544434,20.33225727081299,13.77452039718628,14.753758192062378,13.380746603012085
47,13.19731593132019,13.66809868812561,14.077287912368774,14.410172462463379,14.693839073181152,14.713984727859497,14.74422311782837,14.744909286499023,14.579981088638306,415.7364318370819,20.649216651916504,13.763486862182617,14.803115844726562,13.48410940170288
48,13.191789150238037,13.711821794509888,14.110732078552246,14.444475412368774,14.73659372329712,14.777339220046997,14.795671701431274,14.799690246582031,14.651655912399292,414.5416650772095,20.58436608314514,13.761925220489502,14.925390243530273,13.583519220352173
49,13.028714895248413,13.833141565322876,14.245036125183105,14.541779518127441,14.813166618347168,14.776782035827637,14.403636932373047,14.193864822387695,14.0740966796875,394.51655626296997,20.081482648849487,13.133270502090454,14.138919115066528,13.1705961227417
50,13.196153163909912,13.6990385055542,14.107046365737915,14.355612754821777,14.50305700302124,14.514130592346191,13.98649001121521,13.685051918029785,13.749011039733887,404.38236689567566,19.56712794303894,12.88379168510437,13.79409384727478,12.900940179824829
51,13.198304176330566,13.791844606399536,14.161383867263794,14.453120231628418,14.685202836990356,14.502362966537476,14.36653757095337,14.267075061798096,14.087372779846191,403.12579321861267,20.318846464157104,13.101666688919067,14.102416753768921,12.90166187286377
52,13.1797513961792,13.898388862609863,14.045153617858887,14.366684198379517,14.462555646896362,14.6252760887146,14.839353322982788,14.649389266967773,14.49660873413086,387.19296169281006,19.507136583328247,13.000341415405273,13.931253910064697,12.761177062988281
53,13.701759338378906,14.200249433517456,14.620851278305054,14.981656789779663,15.262792348861694,15.294483184814453,15.30954885482788,15.31500506401062,14.729353666305542,412.2974817752838,21.33739423751831,14.391018867492676,15.27490496635437,13.878615379333496
54,13.276124238967896,13.792963981628418,14.1810462474823,14.500542879104614,14.506403684616089,14.368019342422485,14.560495138168335,14.796564102172852,14.468240737915039,384.399374961853,20.03998327255249,13.339053392410278,14.33724069595337,13.10305380821228
55,13.289047002792358,13.777613401412964,14.15236759185791,14.47557258605957,14.719096660614014,14.810779809951782,14.36449146270752,14.131916761398315,13.856878995895386,405.8217556476593,19.719584941864014,13.040940999984741,13.951857328414917,12.819649696350098
56,13.044111728668213,13.559593915939331,13.954516172409058,14.30702257156372,14.606050252914429,14.614293098449707,14.640339374542236,14.656604051589966,14.572549819946289,415.1491434574127,20.37055802345276,13.751940250396729,14.804190397262573,13.422314167022705
57,12.445565223693848,12.814625024795532,13.15474009513855,13.38964557647705,13.590965509414673,14.282007932662964,14.581616163253784,14.390285968780518,14.46608591079712,50.29092884063721,20.392961025238037,12.835265159606934,13.67680811882019,12.802031755447388
58,12.676581859588623,13.717548847198486,14.60148000717163,14.415230751037598,14.648112535476685,14.504484415054321,14.352461576461792,14.481974601745605,14.786534309387207,193.86241102218628,19.725260257720947,12.989656448364258,13.822260618209839,12.96163821220398
59,12.489412307739258,13.119674921035767,13.238109588623047,13.45694637298584,13.737747192382812,14.439603567123413,14.589365482330322,14.426601648330688,14.49052357673645,49.70484685897827,20.527475118637085,12.871413230895996,13.757986783981323,12.867821216583252
60,13.246318340301514,14.038341283798218,14.490551948547363,14.789518594741821,15.013294219970703,14.969843626022339,14.559417486190796,14.478208541870117,14.430863857269287,395.0439713001251,20.4507315158844,13.320630073547363,14.36697793006897,13.327798128128052
61,13.206865072250366,13.71515417098999,14.122107744216919,14.472375392913818,14.750823497772217,14.782521724700928,14.80090069770813,14.82046365737915,14.82399320602417,415.8879098892212,20.573885440826416,13.809155702590942,14.911893844604492,13.517936706542969
62,12.645224332809448,13.099692106246948,13.90496015548706,14.537609577178955,14.741407632827759,14.786746263504028,14.869318008422852,14.991320133209229,14.732877969741821,317.8697233200073,19.286073923110962,12.727459192276001,13.623349905014038,12.733626365661621
63,12.857478380203247,13.575376510620117,13.850669622421265,14.13743543624878,14.413014888763428,14.416590213775635,14.437000274658203,14.444244146347046,14.460543155670166,403.9919900894165,20.36166262626648,13.418187141418457,14.701308488845825,13.525551795959473
64,13.046470165252686,13.551225900650024,13.906729936599731,14.41547703742981,14.51463794708252,14.503384590148926,14.499667167663574,14.503643274307251,14.47489595413208,405.2407386302948,20.387659072875977,13.499115467071533,14.788233280181885,13.517735004425049
65,13.219918489456177,13.6984121799469,14.10879373550415,14.447548866271973,14.737675428390503,14.75619888305664,14.784225940704346,14.77189040184021,14.589973449707031,415.6023006439209,20.67933940887451,13.795091390609741,14.900573968887329,13.49549651145935
66,13.103325128555298,13.621774911880493,14.01493525505066,14.35744309425354,14.656139612197876,14.673016786575317,14.690078496932983,14.712912559509277,14.59174656867981,414.73182225227356,20.453041791915894,13.711941480636597,14.853201389312744,13.483992099761963
