Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[282.0],[117.0],[15.0],[282.0],[119.0],[453.0],[124.0],[282.0],[15.0],[124.0],[236.0],[124.0],[282.0],[96.0],[235.0],[320.0],[282.0],[276.0],[352.0],[235.0],[124.0],[148.0],[236.0],[124.0],[236.0],[124.0],[47.0],[236.0],[149.0],[282.0],[247.0],[320.0],[124.0],[124.0],[149.0],[117.0],[124.0],[124.0],[359.0],[96.0],[365.0],[124.0],[276.0],[235.0],[445.0],[124.0],[124.0],[282.0],[249.0],[359.0],[69.0],[282.0],[249.0],[276.0],[102.0],[282.0],[124.0],[485.0],[320.0],[249.0],[282.0],[124.0],[359.0],[124.0],[124.0],[149.0],[276.0],[110.0],[269.0],[320.0],[320.0],[124.0],[148.0],[445.0],[117.0],[269.0],[359.0],[282.0],[282.0],[236.0],[89.0],[365.0],[352.0],[282.0],[47.0],[124.0],[124.0],[375.0],[276.0],[282.0],[149.0],[124.0],[247.0],[359.0],[124.0],[276.0],[320.0],[320.0],[82.0],[360.0]
1,[320.0],[89.0],[235.0],[89.0],[441.0],[124.0],[119.0],[124.0],[47.0],[359.0],[15.0],[15.0],[359.0],[236.0],[493.0],[124.0],[89.0],[58.0],[269.0],[82.0],[445.0],[55.0],[124.0],[15.0],[124.0],[267.0],[276.0],[485.0],[124.0],[124.0],[124.0],[470.0],[15.0],[236.0],[267.0],[313.0],[236.0],[89.0],[269.0],[441.0],[282.0],[146.0],[172.0],[149.0],[249.0],[47.0],[149.0],[146.0],[269.0],[124.0],[313.0],[149.0],[124.0],[269.0],[236.0],[47.0],[441.0],[276.0],[15.0],[493.0],[360.0],[493.0],[89.0],[236.0],[236.0],[320.0],[375.0],[124.0],[299.0],[441.0],[149.0],[235.0],[320.0],[441.0],[236.0],[124.0],[124.0],[172.0],[441.0],[267.0],[100.0],[149.0],[247.0],[89.0],[82.0],[441.0],[282.0],[445.0],[485.0],[470.0],[485.0],[15.0],[249.0],[124.0],[320.0],[236.0],[94.0],[247.0],[124.0],[235.0]
2,[146.0],[124.0],[124.0],[124.0],[247.0],[441.0],[282.0],[236.0],[282.0],[15.0],[352.0],[493.0],[149.0],[282.0],[470.0],[247.0],[485.0],[17.0],[485.0],[124.0],[452.0],[485.0],[89.0],[236.0],[359.0],[359.0],[249.0],[100.0],[146.0],[485.0],[251.0],[359.0],[282.0],[359.0],[124.0],[236.0],[470.0],[359.0],[124.0],[282.0],[236.0],[359.0],[267.0],[124.0],[441.0],[445.0],[175.0],[149.0],[359.0],[466.0],[485.0],[124.0],[242.0],[236.0],[89.0],[359.0],[102.0],[313.0],[276.0],[238.0],[359.0],[320.0],[124.0],[320.0],[313.0],[249.0],[149.0],[236.0],[359.0],[124.0],[313.0],[249.0],[247.0],[359.0],[242.0],[313.0],[179.0],[224.0],[313.0],[320.0],[124.0],[299.0],[124.0],[359.0],[146.0],[320.0],[102.0],[92.0],[453.0],[269.0],[124.0],[267.0],[485.0],[452.0],[149.0],[124.0],[493.0],[124.0],[236.0],[251.0]
3,[236.0],[320.0],[359.0],[119.0],[179.0],[149.0],[452.0],[359.0],[124.0],[320.0],[320.0],[445.0],[193.0],[441.0],[149.0],[282.0],[242.0],[149.0],[282.0],[485.0],[235.0],[124.0],[282.0],[466.0],[320.0],[224.0],[359.0],[124.0],[320.0],[313.0],[493.0],[146.0],[485.0],[282.0],[196.0],[235.0],[359.0],[441.0],[117.0],[269.0],[390.0],[236.0],[146.0],[236.0],[282.0],[276.0],[236.0],[432.0],[47.0],[149.0],[249.0],[320.0],[149.0],[124.0],[320.0],[15.0],[249.0],[267.0],[251.0],[360.0],[196.0],[106.0],[247.0],[8.0],[320.0],[89.0],[485.0],[89.0],[441.0],[445.0],[390.0],[149.0],[117.0],[124.0],[313.0],[236.0],[276.0],[247.0],[485.0],[149.0],[236.0],[359.0],[116.0],[320.0],[92.0],[146.0],[242.0],[267.0],[119.0],[453.0],[294.0],[235.0],[149.0],[485.0],[441.0],[161.0],[452.0],[299.0],[149.0],[485.0]
4,[100.0],[149.0],[100.0],[236.0],[320.0],[236.0],[149.0],[196.0],[89.0],[282.0],[267.0],[146.0],[251.0],[485.0],[266.0],[148.0],[249.0],[15.0],[276.0],[89.0],[277.0],[359.0],[320.0],[493.0],[17.0],[251.0],[360.0],[441.0],[249.0],[172.0],[149.0],[113.0],[453.0],[82.0],[249.0],[247.0],[372.0],[276.0],[106.0],[148.0],[441.0],[282.0],[113.0],[96.0],[236.0],[320.0],[359.0],[89.0],[320.0],[282.0],[282.0],[493.0],[352.0],[119.0],[282.0],[441.0],[320.0],[445.0],[235.0],[148.0],[235.0],[146.0],[276.0],[441.0],[282.0],[124.0],[117.0],[375.0],[117.0],[236.0],[282.0],[282.0],[149.0],[236.0],[124.0],[240.0],[235.0],[276.0],[359.0],[47.0],[320.0],[47.0],[320.0],[251.0],[485.0],[175.0],[119.0],[360.0],[359.0],[313.0],[359.0],[282.0],[117.0],[445.0],[269.0],[388.0],[124.0],[249.0],[146.0],[359.0]
5,[445.0],[441.0],[453.0],[149.0],[146.0],[320.0],[236.0],[146.0],[236.0],[249.0],[282.0],[320.0],[238.0],[116.0],[247.0],[441.0],[146.0],[277.0],[124.0],[493.0],[320.0],[100.0],[359.0],[276.0],[149.0],[320.0],[89.0],[282.0],[236.0],[459.0],[236.0],[276.0],[119.0],[441.0],[277.0],[282.0],[282.0],[249.0],[89.0],[161.0],[146.0],[269.0],[102.0],[485.0],[320.0],[365.0],[15.0],[320.0],[445.0],[267.0],[124.0],[266.0],[247.0],[441.0],[197.0],[102.0],[16.0],[149.0],[124.0],[15.0],[124.0],[192.0],[388.0],[15.0],[269.0],[267.0],[47.0],[313.0],[249.0],[115.0],[146.0],[236.0],[267.0],[320.0],[148.0],[282.0],[267.0],[267.0],[388.0],[359.0],[117.0],[117.0],[236.0],[100.0],[149.0],[386.0],[459.0],[52.0],[100.0],[359.0],[179.0],[445.0],[100.0],[149.0],[100.0],[360.0],[485.0],[15.0],[47.0],[17.0]
6,[124.0],[236.0],[441.0],[359.0],[442.0],[235.0],[151.0],[313.0],[247.0],[196.0],[269.0],[269.0],[69.0],[320.0],[124.0],[372.0],[470.0],[113.0],[320.0],[236.0],[276.0],[249.0],[269.0],[102.0],[415.0],[276.0],[441.0],[119.0],[485.0],[119.0],[179.0],[267.0],[441.0],[16.0],[365.0],[89.0],[149.0],[269.0],[146.0],[36.0],[124.0],[276.0],[236.0],[359.0],[102.0],[313.0],[47.0],[360.0],[415.0],[249.0],[146.0],[267.0],[485.0],[365.0],[485.0],[267.0],[119.0],[146.0],[146.0],[124.0],[251.0],[236.0],[485.0],[148.0],[352.0],[359.0],[124.0],[119.0],[445.0],[107.0],[124.0],[119.0],[485.0],[235.0],[320.0],[89.0],[236.0],[269.0],[267.0],[445.0],[276.0],[445.0],[466.0],[149.0],[359.0],[493.0],[269.0],[470.0],[267.0],[69.0],[117.0],[320.0],[320.0],[146.0],[485.0],[453.0],[102.0],[276.0],[15.0],[100.0]
7,[313.0],[148.0],[149.0],[116.0],[47.0],[313.0],[445.0],[375.0],[441.0],[52.0],[485.0],[115.0],[119.0],[146.0],[485.0],[459.0],[276.0],[89.0],[196.0],[146.0],[485.0],[236.0],[485.0],[242.0],[15.0],[16.0],[306.0],[320.0],[242.0],[149.0],[452.0],[493.0],[320.0],[100.0],[236.0],[92.0],[313.0],[282.0],[485.0],[267.0],[359.0],[172.0],[320.0],[196.0],[390.0],[372.0],[89.0],[267.0],[267.0],[269.0],[411.0],[236.0],[119.0],[282.0],[267.0],[236.0],[277.0],[390.0],[236.0],[56.0],[247.0],[117.0],[352.0],[117.0],[441.0],[100.0],[236.0],[232.0],[236.0],[89.0],[375.0],[485.0],[276.0],[100.0],[372.0],[445.0],[441.0],[100.0],[47.0],[276.0],[282.0],[146.0],[47.0],[247.0],[441.0],[196.0],[320.0],[359.0],[247.0],[247.0],[401.0],[359.0],[441.0],[47.0],[236.0],[119.0],[282.0],[113.0],[365.0],[267.0]
8,[149.0],[267.0],[146.0],[146.0],[197.0],[279.0],[249.0],[485.0],[224.0],[82.0],[124.0],[282.0],[441.0],[89.0],[441.0],[359.0],[102.0],[179.0],[420.0],[445.0],[149.0],[79.0],[15.0],[148.0],[276.0],[236.0],[242.0],[267.0],[282.0],[249.0],[320.0],[89.0],[149.0],[452.0],[276.0],[493.0],[466.0],[236.0],[82.0],[249.0],[235.0],[320.0],[193.0],[249.0],[94.0],[249.0],[320.0],[249.0],[251.0],[375.0],[365.0],[445.0],[96.0],[360.0],[390.0],[493.0],[146.0],[359.0],[100.0],[235.0],[236.0],[269.0],[313.0],[249.0],[102.0],[282.0],[320.0],[470.0],[146.0],[149.0],[276.0],[89.0],[269.0],[149.0],[46.0],[55.0],[352.0],[189.0],[320.0],[15.0],[149.0],[276.0],[172.0],[102.0],[269.0],[117.0],[15.0],[313.0],[251.0],[15.0],[242.0],[96.0],[282.0],[269.0],[238.0],[146.0],[225.0],[188.0],[282.0],[179.0]
9,[224.0],[167.0],[117.0],[485.0],[359.0],[267.0],[117.0],[149.0],[267.0],[235.0],[493.0],[236.0],[453.0],[52.0],[498.0],[15.0],[149.0],[282.0],[115.0],[102.0],[15.0],[149.0],[146.0],[117.0],[277.0],[445.0],[375.0],[2.0],[89.0],[240.0],[441.0],[485.0],[236.0],[15.0],[282.0],[359.0],[146.0],[151.0],[149.0],[359.0],[117.0],[411.0],[148.0],[313.0],[313.0],[146.0],[249.0],[100.0],[452.0],[148.0],[86.0],[276.0],[236.0],[146.0],[459.0],[124.0],[378.0],[82.0],[149.0],[282.0],[149.0],[89.0],[167.0],[189.0],[235.0],[236.0],[313.0],[113.0],[124.0],[251.0],[47.0],[459.0],[445.0],[251.0],[269.0],[47.0],[493.0],[82.0],[235.0],[247.0],[365.0],[251.0],[445.0],[124.0],[242.0],[485.0],[267.0],[149.0],[445.0],[320.0],[196.0],[360.0],[445.0],[251.0],[146.0],[485.0],[100.0],[441.0],[352.0],[299.0]
