Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[236.0],[236.0],[498.0],[282.0],[249.0],[124.0],[359.0],[267.0],[320.0],[124.0],[124.0],[320.0],[89.0],[313.0],[149.0],[124.0],[249.0],[249.0],[320.0],[249.0],[313.0],[320.0],[236.0],[236.0],[236.0],[124.0],[498.0],[124.0],[236.0],[313.0],[320.0],[124.0],[124.0],[124.0],[249.0],[146.0],[236.0],[359.0],[282.0],[249.0],[313.0],[124.0],[249.0],[249.0],[124.0],[236.0],[124.0],[117.0],[249.0],[249.0],[124.0],[276.0],[46.0],[148.0],[249.0],[249.0],[247.0],[249.0],[236.0],[124.0],[249.0],[320.0],[359.0],[124.0],[124.0],[249.0],[282.0],[124.0],[117.0],[320.0],[146.0],[282.0],[313.0],[267.0],[124.0],[320.0],[236.0],[249.0],[249.0],[249.0],[269.0],[249.0],[236.0],[359.0],[249.0],[146.0],[359.0],[249.0],[249.0],[313.0],[249.0],[320.0],[249.0],[236.0],[249.0],[124.0],[249.0],[249.0],[124.0],[359.0]
1,[149.0],[282.0],[46.0],[82.0],[146.0],[110.0],[249.0],[146.0],[313.0],[249.0],[102.0],[267.0],[269.0],[249.0],[452.0],[249.0],[149.0],[146.0],[249.0],[117.0],[36.0],[249.0],[249.0],[110.0],[46.0],[110.0],[82.0],[249.0],[110.0],[459.0],[282.0],[249.0],[313.0],[359.0],[359.0],[313.0],[498.0],[249.0],[320.0],[313.0],[82.0],[498.0],[359.0],[359.0],[498.0],[249.0],[110.0],[249.0],[359.0],[117.0],[146.0],[267.0],[313.0],[249.0],[110.0],[359.0],[15.0],[359.0],[146.0],[82.0],[498.0],[249.0],[110.0],[390.0],[249.0],[359.0],[313.0],[498.0],[448.0],[89.0],[36.0],[249.0],[282.0],[313.0],[313.0],[119.0],[282.0],[146.0],[313.0],[236.0],[249.0],[359.0],[146.0],[267.0],[359.0],[46.0],[242.0],[100.0],[313.0],[267.0],[282.0],[249.0],[313.0],[282.0],[124.0],[110.0],[498.0],[320.0],[390.0],[267.0]
2,[498.0],[249.0],[313.0],[498.0],[119.0],[249.0],[313.0],[266.0],[146.0],[359.0],[267.0],[282.0],[17.0],[189.0],[313.0],[313.0],[247.0],[15.0],[359.0],[359.0],[276.0],[313.0],[110.0],[249.0],[146.0],[267.0],[249.0],[267.0],[15.0],[124.0],[390.0],[313.0],[498.0],[313.0],[110.0],[359.0],[146.0],[149.0],[445.0],[267.0],[53.0],[249.0],[189.0],[266.0],[313.0],[149.0],[15.0],[498.0],[247.0],[36.0],[313.0],[110.0],[306.0],[359.0],[498.0],[149.0],[498.0],[117.0],[117.0],[498.0],[359.0],[359.0],[313.0],[498.0],[498.0],[146.0],[266.0],[149.0],[110.0],[36.0],[424.0],[124.0],[276.0],[320.0],[267.0],[146.0],[313.0],[269.0],[149.0],[146.0],[110.0],[247.0],[110.0],[282.0],[267.0],[498.0],[149.0],[441.0],[267.0],[249.0],[498.0],[282.0],[282.0],[249.0],[313.0],[146.0],[269.0],[313.0],[359.0],[110.0]
3,[146.0],[498.0],[359.0],[124.0],[117.0],[313.0],[352.0],[15.0],[117.0],[269.0],[313.0],[146.0],[453.0],[448.0],[267.0],[146.0],[359.0],[102.0],[390.0],[110.0],[277.0],[282.0],[15.0],[36.0],[359.0],[249.0],[365.0],[269.0],[249.0],[249.0],[452.0],[89.0],[249.0],[498.0],[146.0],[249.0],[110.0],[124.0],[313.0],[282.0],[189.0],[313.0],[146.0],[498.0],[282.0],[452.0],[282.0],[352.0],[452.0],[102.0],[352.0],[313.0],[249.0],[306.0],[459.0],[498.0],[146.0],[89.0],[313.0],[313.0],[124.0],[390.0],[269.0],[453.0],[313.0],[110.0],[146.0],[197.0],[359.0],[365.0],[276.0],[146.0],[452.0],[352.0],[390.0],[15.0],[117.0],[282.0],[320.0],[313.0],[313.0],[452.0],[36.0],[146.0],[282.0],[115.0],[313.0],[146.0],[110.0],[247.0],[448.0],[15.0],[110.0],[498.0],[365.0],[282.0],[452.0],[146.0],[146.0],[146.0]
4,[197.0],[441.0],[249.0],[115.0],[359.0],[146.0],[269.0],[441.0],[459.0],[352.0],[452.0],[36.0],[249.0],[110.0],[320.0],[110.0],[313.0],[459.0],[36.0],[493.0],[359.0],[398.0],[359.0],[53.0],[498.0],[359.0],[453.0],[247.0],[36.0],[439.0],[267.0],[498.0],[352.0],[452.0],[267.0],[100.0],[301.0],[102.0],[267.0],[266.0],[100.0],[100.0],[269.0],[267.0],[390.0],[313.0],[146.0],[146.0],[269.0],[313.0],[189.0],[359.0],[359.0],[146.0],[269.0],[102.0],[249.0],[82.0],[377.0],[352.0],[146.0],[36.0],[249.0],[113.0],[390.0],[498.0],[267.0],[306.0],[313.0],[115.0],[313.0],[359.0],[320.0],[445.0],[36.0],[189.0],[46.0],[36.0],[269.0],[445.0],[17.0],[282.0],[313.0],[115.0],[82.0],[249.0],[498.0],[439.0],[276.0],[102.0],[313.0],[146.0],[359.0],[359.0],[306.0],[352.0],[146.0],[388.0],[15.0],[498.0]
5,[56.0],[46.0],[146.0],[17.0],[242.0],[189.0],[459.0],[282.0],[224.0],[82.0],[249.0],[115.0],[359.0],[116.0],[485.0],[459.0],[447.0],[498.0],[282.0],[15.0],[146.0],[189.0],[269.0],[267.0],[267.0],[445.0],[149.0],[359.0],[53.0],[146.0],[276.0],[452.0],[58.0],[146.0],[398.0],[388.0],[390.0],[448.0],[249.0],[178.0],[113.0],[146.0],[110.0],[146.0],[249.0],[301.0],[352.0],[149.0],[313.0],[110.0],[459.0],[100.0],[448.0],[282.0],[313.0],[313.0],[110.0],[110.0],[445.0],[448.0],[267.0],[452.0],[288.0],[267.0],[102.0],[313.0],[276.0],[113.0],[238.0],[146.0],[420.0],[498.0],[117.0],[359.0],[445.0],[117.0],[235.0],[313.0],[110.0],[102.0],[485.0],[445.0],[388.0],[189.0],[269.0],[100.0],[267.0],[102.0],[365.0],[359.0],[359.0],[352.0],[448.0],[197.0],[435.0],[498.0],[359.0],[448.0],[249.0],[269.0]
6,[249.0],[452.0],[441.0],[119.0],[269.0],[235.0],[36.0],[498.0],[249.0],[286.0],[282.0],[235.0],[110.0],[282.0],[247.0],[359.0],[146.0],[276.0],[276.0],[320.0],[390.0],[113.0],[449.0],[359.0],[313.0],[313.0],[63.0],[498.0],[146.0],[498.0],[247.0],[146.0],[110.0],[352.0],[189.0],[17.0],[92.0],[313.0],[359.0],[301.0],[249.0],[267.0],[388.0],[313.0],[448.0],[365.0],[189.0],[493.0],[388.0],[459.0],[388.0],[282.0],[189.0],[94.0],[390.0],[448.0],[42.0],[313.0],[249.0],[267.0],[119.0],[146.0],[498.0],[313.0],[146.0],[459.0],[498.0],[313.0],[249.0],[224.0],[89.0],[119.0],[485.0],[249.0],[113.0],[47.0],[276.0],[359.0],[189.0],[267.0],[352.0],[119.0],[117.0],[276.0],[115.0],[15.0],[110.0],[189.0],[242.0],[115.0],[117.0],[36.0],[115.0],[452.0],[36.0],[359.0],[377.0],[359.0],[149.0],[445.0]
7,[447.0],[313.0],[36.0],[313.0],[247.0],[106.0],[110.0],[46.0],[149.0],[189.0],[359.0],[383.0],[47.0],[269.0],[359.0],[352.0],[269.0],[448.0],[313.0],[352.0],[149.0],[102.0],[282.0],[313.0],[282.0],[352.0],[17.0],[282.0],[149.0],[359.0],[359.0],[276.0],[445.0],[269.0],[149.0],[115.0],[149.0],[100.0],[15.0],[224.0],[452.0],[119.0],[282.0],[276.0],[445.0],[117.0],[116.0],[313.0],[113.0],[390.0],[269.0],[53.0],[224.0],[320.0],[388.0],[267.0],[276.0],[452.0],[189.0],[249.0],[282.0],[282.0],[40.0],[58.0],[113.0],[420.0],[448.0],[359.0],[116.0],[269.0],[110.0],[313.0],[470.0],[167.0],[110.0],[453.0],[28.0],[276.0],[267.0],[119.0],[89.0],[498.0],[390.0],[15.0],[47.0],[380.0],[390.0],[115.0],[47.0],[124.0],[113.0],[276.0],[276.0],[146.0],[15.0],[249.0],[485.0],[115.0],[448.0],[452.0]
8,[313.0],[167.0],[276.0],[249.0],[498.0],[149.0],[448.0],[485.0],[493.0],[307.0],[146.0],[224.0],[124.0],[58.0],[110.0],[276.0],[448.0],[313.0],[485.0],[242.0],[288.0],[359.0],[498.0],[82.0],[266.0],[102.0],[276.0],[445.0],[17.0],[235.0],[249.0],[485.0],[470.0],[282.0],[354.0],[89.0],[69.0],[447.0],[117.0],[189.0],[267.0],[193.0],[441.0],[89.0],[267.0],[276.0],[307.0],[276.0],[146.0],[388.0],[110.0],[249.0],[135.0],[472.0],[359.0],[119.0],[359.0],[307.0],[383.0],[36.0],[445.0],[313.0],[352.0],[452.0],[36.0],[113.0],[249.0],[459.0],[485.0],[47.0],[189.0],[235.0],[110.0],[116.0],[249.0],[249.0],[359.0],[189.0],[112.0],[193.0],[320.0],[236.0],[247.0],[320.0],[452.0],[267.0],[146.0],[359.0],[498.0],[352.0],[36.0],[17.0],[124.0],[313.0],[135.0],[288.0],[115.0],[149.0],[498.0],[2.0]
9,[354.0],[276.0],[269.0],[266.0],[441.0],[359.0],[2.0],[276.0],[52.0],[477.0],[36.0],[189.0],[267.0],[383.0],[189.0],[307.0],[441.0],[388.0],[117.0],[189.0],[249.0],[36.0],[113.0],[452.0],[224.0],[485.0],[441.0],[313.0],[498.0],[113.0],[288.0],[148.0],[441.0],[168.0],[276.0],[110.0],[459.0],[276.0],[224.0],[276.0],[307.0],[352.0],[119.0],[124.0],[115.0],[459.0],[313.0],[354.0],[2.0],[119.0],[119.0],[352.0],[267.0],[115.0],[36.0],[36.0],[224.0],[276.0],[320.0],[17.0],[441.0],[445.0],[2.0],[249.0],[448.0],[39.0],[15.0],[36.0],[276.0],[17.0],[485.0],[47.0],[288.0],[189.0],[115.0],[36.0],[36.0],[224.0],[247.0],[110.0],[441.0],[146.0],[269.0],[249.0],[119.0],[313.0],[249.0],[110.0],[359.0],[276.0],[276.0],[100.0],[288.0],[119.0],[224.0],[119.0],[174.0],[17.0],[459.0],[313.0]
