Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[129.0],[348.0],[436.0],[338.0],[2.0],[289.0],[86.0],[255.0],[420.0],[420.0],[255.0],[222.0],[436.0],[133.0],[253.0],[420.0],[360.0],[203.0],[289.0],[420.0],[253.0],[255.0],[105.0],[487.0],[49.0],[2.0],[86.0],[255.0],[204.0],[487.0],[255.0],[431.0],[2.0],[56.0],[420.0],[86.0],[362.0],[289.0],[204.0],[4.0],[420.0],[474.0],[204.0],[290.0],[255.0],[29.0],[303.0],[433.0],[111.0],[129.0],[211.0],[420.0],[15.0],[390.0],[105.0],[420.0],[36.0],[2.0],[253.0],[105.0],[420.0],[436.0],[222.0],[288.0],[420.0],[420.0],[255.0],[29.0],[420.0],[372.0],[487.0],[181.0],[129.0],[222.0],[376.0],[253.0],[73.0],[255.0],[285.0],[492.0],[235.0],[255.0],[49.0],[420.0],[86.0],[179.0],[221.0],[29.0],[204.0],[420.0],[114.0],[204.0],[364.0],[494.0],[253.0],[86.0],[88.0],[436.0],[288.0],[133.0]
1,[204.0],[185.0],[246.0],[480.0],[21.0],[494.0],[492.0],[23.0],[445.0],[225.0],[15.0],[276.0],[222.0],[203.0],[136.0],[445.0],[494.0],[362.0],[348.0],[436.0],[487.0],[29.0],[2.0],[255.0],[188.0],[427.0],[288.0],[487.0],[15.0],[36.0],[191.0],[249.0],[420.0],[362.0],[46.0],[105.0],[487.0],[68.0],[288.0],[348.0],[179.0],[222.0],[109.0],[288.0],[184.0],[490.0],[445.0],[288.0],[29.0],[492.0],[434.0],[253.0],[18.0],[487.0],[29.0],[253.0],[204.0],[215.0],[191.0],[420.0],[319.0],[222.0],[487.0],[348.0],[29.0],[204.0],[431.0],[303.0],[220.0],[397.0],[420.0],[276.0],[86.0],[46.0],[88.0],[289.0],[390.0],[431.0],[65.0],[12.0],[490.0],[20.0],[360.0],[129.0],[235.0],[105.0],[228.0],[427.0],[4.0],[49.0],[383.0],[365.0],[420.0],[203.0],[352.0],[178.0],[136.0],[349.0],[487.0],[420.0]
2,[276.0],[222.0],[222.0],[29.0],[487.0],[153.0],[466.0],[114.0],[60.0],[358.0],[156.0],[487.0],[420.0],[149.0],[251.0],[304.0],[167.0],[246.0],[49.0],[297.0],[431.0],[15.0],[73.0],[465.0],[431.0],[29.0],[49.0],[420.0],[344.0],[316.0],[276.0],[86.0],[390.0],[437.0],[431.0],[204.0],[111.0],[420.0],[71.0],[29.0],[436.0],[420.0],[243.0],[29.0],[221.0],[129.0],[36.0],[220.0],[94.0],[427.0],[420.0],[49.0],[390.0],[206.0],[420.0],[255.0],[352.0],[330.0],[257.0],[29.0],[195.0],[420.0],[46.0],[309.0],[23.0],[86.0],[420.0],[129.0],[46.0],[23.0],[359.0],[297.0],[272.0],[289.0],[23.0],[173.0],[65.0],[246.0],[338.0],[490.0],[29.0],[74.0],[427.0],[96.0],[105.0],[290.0],[181.0],[15.0],[478.0],[23.0],[23.0],[468.0],[431.0],[110.0],[289.0],[73.0],[436.0],[145.0],[319.0],[83.0]
3,[420.0],[494.0],[83.0],[420.0],[131.0],[105.0],[114.0],[228.0],[204.0],[204.0],[487.0],[445.0],[487.0],[487.0],[487.0],[207.0],[46.0],[297.0],[436.0],[203.0],[86.0],[297.0],[21.0],[204.0],[60.0],[480.0],[344.0],[217.0],[115.0],[192.0],[178.0],[474.0],[105.0],[291.0],[466.0],[255.0],[203.0],[431.0],[427.0],[222.0],[494.0],[2.0],[477.0],[450.0],[46.0],[255.0],[420.0],[204.0],[204.0],[221.0],[23.0],[96.0],[235.0],[235.0],[235.0],[243.0],[235.0],[179.0],[297.0],[151.0],[401.0],[15.0],[235.0],[487.0],[221.0],[466.0],[362.0],[111.0],[372.0],[188.0],[49.0],[272.0],[466.0],[487.0],[431.0],[464.0],[86.0],[490.0],[96.0],[440.0],[86.0],[114.0],[235.0],[478.0],[179.0],[57.0],[373.0],[297.0],[147.0],[18.0],[86.0],[253.0],[46.0],[7.0],[454.0],[51.0],[36.0],[105.0],[49.0],[51.0]
4,[23.0],[297.0],[338.0],[289.0],[255.0],[65.0],[478.0],[29.0],[23.0],[211.0],[469.0],[288.0],[427.0],[228.0],[86.0],[348.0],[105.0],[215.0],[360.0],[217.0],[285.0],[211.0],[289.0],[112.0],[73.0],[490.0],[297.0],[474.0],[222.0],[311.0],[388.0],[18.0],[436.0],[338.0],[49.0],[235.0],[129.0],[51.0],[420.0],[179.0],[203.0],[487.0],[480.0],[390.0],[477.0],[198.0],[365.0],[65.0],[60.0],[204.0],[288.0],[171.0],[360.0],[348.0],[319.0],[73.0],[49.0],[297.0],[129.0],[195.0],[273.0],[494.0],[7.0],[303.0],[276.0],[72.0],[432.0],[431.0],[49.0],[434.0],[480.0],[487.0],[220.0],[194.0],[362.0],[288.0],[466.0],[471.0],[235.0],[133.0],[431.0],[352.0],[494.0],[65.0],[348.0],[194.0],[477.0],[12.0],[397.0],[289.0],[480.0],[255.0],[2.0],[228.0],[346.0],[39.0],[253.0],[445.0],[253.0],[403.0]
5,[96.0],[487.0],[86.0],[2.0],[36.0],[471.0],[74.0],[148.0],[390.0],[206.0],[348.0],[7.0],[114.0],[46.0],[480.0],[49.0],[133.0],[131.0],[57.0],[221.0],[181.0],[487.0],[421.0],[148.0],[71.0],[133.0],[460.0],[400.0],[191.0],[427.0],[181.0],[109.0],[181.0],[490.0],[348.0],[49.0],[431.0],[204.0],[49.0],[434.0],[490.0],[204.0],[348.0],[490.0],[478.0],[191.0],[7.0],[251.0],[51.0],[245.0],[364.0],[321.0],[133.0],[203.0],[390.0],[90.0],[276.0],[222.0],[34.0],[12.0],[276.0],[12.0],[490.0],[494.0],[56.0],[109.0],[24.0],[477.0],[96.0],[420.0],[145.0],[221.0],[388.0],[149.0],[52.0],[204.0],[20.0],[304.0],[321.0],[46.0],[380.0],[420.0],[94.0],[318.0],[49.0],[148.0],[432.0],[204.0],[404.0],[68.0],[133.0],[83.0],[12.0],[221.0],[473.0],[372.0],[360.0],[348.0],[297.0],[49.0]
6,[188.0],[289.0],[202.0],[288.0],[289.0],[420.0],[261.0],[86.0],[297.0],[436.0],[220.0],[23.0],[46.0],[222.0],[474.0],[46.0],[29.0],[466.0],[288.0],[46.0],[420.0],[253.0],[136.0],[82.0],[285.0],[436.0],[29.0],[188.0],[338.0],[129.0],[211.0],[181.0],[290.0],[177.0],[454.0],[494.0],[445.0],[358.0],[316.0],[316.0],[480.0],[490.0],[124.0],[181.0],[272.0],[131.0],[390.0],[36.0],[71.0],[52.0],[49.0],[221.0],[494.0],[289.0],[348.0],[7.0],[431.0],[110.0],[249.0],[50.0],[255.0],[276.0],[204.0],[480.0],[181.0],[255.0],[246.0],[217.0],[466.0],[181.0],[490.0],[203.0],[222.0],[245.0],[123.0],[12.0],[297.0],[36.0],[487.0],[253.0],[49.0],[494.0],[220.0],[21.0],[436.0],[211.0],[129.0],[49.0],[112.0],[290.0],[145.0],[29.0],[427.0],[253.0],[442.0],[133.0],[220.0],[390.0],[390.0],[136.0]
7,[12.0],[420.0],[15.0],[253.0],[466.0],[179.0],[420.0],[297.0],[21.0],[56.0],[420.0],[382.0],[329.0],[309.0],[111.0],[408.0],[36.0],[276.0],[427.0],[29.0],[297.0],[83.0],[29.0],[423.0],[276.0],[111.0],[51.0],[195.0],[254.0],[436.0],[98.0],[203.0],[494.0],[65.0],[390.0],[254.0],[253.0],[221.0],[58.0],[204.0],[228.0],[221.0],[246.0],[228.0],[211.0],[136.0],[334.0],[53.0],[431.0],[86.0],[221.0],[228.0],[490.0],[269.0],[49.0],[222.0],[251.0],[431.0],[73.0],[460.0],[111.0],[105.0],[494.0],[220.0],[129.0],[487.0],[291.0],[80.0],[105.0],[255.0],[178.0],[420.0],[255.0],[420.0],[303.0],[49.0],[23.0],[311.0],[51.0],[191.0],[12.0],[155.0],[204.0],[472.0],[338.0],[36.0],[338.0],[86.0],[276.0],[487.0],[420.0],[49.0],[297.0],[304.0],[86.0],[129.0],[57.0],[57.0],[15.0],[272.0]
8,[490.0],[153.0],[415.0],[188.0],[332.0],[127.0],[358.0],[156.0],[348.0],[24.0],[492.0],[24.0],[241.0],[51.0],[390.0],[203.0],[480.0],[357.0],[204.0],[2.0],[36.0],[49.0],[235.0],[492.0],[86.0],[220.0],[56.0],[358.0],[105.0],[222.0],[424.0],[420.0],[285.0],[420.0],[235.0],[480.0],[436.0],[490.0],[65.0],[343.0],[2.0],[46.0],[494.0],[480.0],[460.0],[133.0],[2.0],[338.0],[221.0],[96.0],[51.0],[436.0],[304.0],[478.0],[494.0],[181.0],[487.0],[420.0],[480.0],[276.0],[73.0],[46.0],[136.0],[300.0],[251.0],[411.0],[344.0],[204.0],[179.0],[338.0],[424.0],[178.0],[436.0],[455.0],[86.0],[297.0],[49.0],[215.0],[204.0],[139.0],[412.0],[136.0],[410.0],[276.0],[372.0],[49.0],[427.0],[36.0],[71.0],[73.0],[129.0],[254.0],[90.0],[258.0],[222.0],[181.0],[204.0],[36.0],[494.0],[427.0]
9,[424.0],[65.0],[303.0],[12.0],[454.0],[480.0],[349.0],[343.0],[424.0],[335.0],[415.0],[319.0],[181.0],[424.0],[49.0],[338.0],[107.0],[365.0],[327.0],[431.0],[7.0],[249.0],[148.0],[2.0],[206.0],[297.0],[179.0],[23.0],[255.0],[253.0],[128.0],[12.0],[288.0],[52.0],[215.0],[327.0],[494.0],[222.0],[309.0],[273.0],[7.0],[243.0],[15.0],[2.0],[412.0],[145.0],[249.0],[71.0],[273.0],[420.0],[52.0],[400.0],[492.0],[72.0],[471.0],[20.0],[112.0],[263.0],[436.0],[253.0],[23.0],[480.0],[153.0],[411.0],[211.0],[222.0],[435.0],[51.0],[153.0],[179.0],[2.0],[474.0],[105.0],[297.0],[192.0],[487.0],[198.0],[285.0],[348.0],[445.0],[276.0],[465.0],[327.0],[7.0],[2.0],[304.0],[359.0],[344.0],[479.0],[7.0],[49.0],[420.0],[487.0],[490.0],[436.0],[297.0],[4.0],[309.0],[445.0],[191.0]
