Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[437.0],[437.0],[372.0],[370.0],[372.0],[372.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[372.0],[301.0],[372.0],[372.0],[372.0],[372.0],[437.0],[301.0],[437.0],[372.0],[437.0],[437.0],[24.0],[437.0],[372.0],[372.0],[24.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[370.0],[437.0],[437.0],[437.0],[24.0],[437.0],[372.0],[437.0],[155.0],[372.0],[372.0],[301.0],[24.0],[301.0],[301.0],[370.0],[372.0],[372.0],[437.0],[24.0],[437.0],[24.0],[372.0],[372.0],[24.0],[437.0],[437.0],[437.0],[437.0],[372.0],[301.0],[437.0],[372.0],[437.0],[437.0],[437.0],[370.0],[372.0],[437.0],[437.0],[24.0],[437.0],[437.0],[437.0],[430.0],[437.0],[437.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[529.0],[437.0],[437.0],[372.0],[372.0],[372.0],[437.0],[36.0]
1,[372.0],[155.0],[24.0],[333.0],[155.0],[24.0],[437.0],[473.0],[372.0],[332.0],[370.0],[5.0],[24.0],[24.0],[24.0],[36.0],[332.0],[437.0],[370.0],[437.0],[372.0],[128.0],[372.0],[370.0],[155.0],[24.0],[437.0],[437.0],[374.0],[24.0],[372.0],[372.0],[372.0],[333.0],[372.0],[24.0],[372.0],[430.0],[430.0],[372.0],[5.0],[128.0],[24.0],[24.0],[5.0],[372.0],[24.0],[317.0],[372.0],[530.0],[437.0],[372.0],[24.0],[155.0],[437.0],[24.0],[284.0],[155.0],[372.0],[473.0],[24.0],[437.0],[372.0],[370.0],[370.0],[24.0],[24.0],[437.0],[370.0],[24.0],[370.0],[332.0],[370.0],[437.0],[24.0],[301.0],[24.0],[370.0],[309.0],[370.0],[333.0],[5.0],[370.0],[370.0],[24.0],[24.0],[24.0],[301.0],[24.0],[333.0],[24.0],[24.0],[155.0],[372.0],[372.0],[24.0],[437.0],[24.0],[24.0],[529.0]
2,[24.0],[24.0],[437.0],[437.0],[24.0],[335.0],[301.0],[155.0],[301.0],[372.0],[108.0],[372.0],[402.0],[437.0],[317.0],[437.0],[370.0],[24.0],[333.0],[372.0],[24.0],[155.0],[264.0],[189.0],[534.0],[430.0],[69.0],[132.0],[372.0],[155.0],[108.0],[317.0],[370.0],[24.0],[24.0],[372.0],[301.0],[36.0],[372.0],[331.0],[317.0],[437.0],[529.0],[5.0],[372.0],[332.0],[352.0],[332.0],[437.0],[437.0],[24.0],[437.0],[437.0],[529.0],[24.0],[333.0],[301.0],[370.0],[437.0],[309.0],[437.0],[372.0],[396.0],[430.0],[430.0],[106.0],[530.0],[24.0],[135.0],[155.0],[396.0],[430.0],[5.0],[396.0],[437.0],[372.0],[135.0],[219.0],[372.0],[430.0],[370.0],[37.0],[69.0],[332.0],[437.0],[437.0],[372.0],[372.0],[529.0],[301.0],[5.0],[155.0],[36.0],[349.0],[430.0],[5.0],[24.0],[437.0],[430.0],[301.0]
3,[456.0],[473.0],[317.0],[529.0],[529.0],[437.0],[219.0],[36.0],[333.0],[530.0],[87.0],[24.0],[332.0],[370.0],[437.0],[529.0],[437.0],[352.0],[69.0],[370.0],[301.0],[219.0],[25.0],[98.0],[530.0],[372.0],[24.0],[24.0],[5.0],[473.0],[69.0],[66.0],[108.0],[301.0],[529.0],[473.0],[396.0],[24.0],[219.0],[389.0],[264.0],[370.0],[373.0],[349.0],[332.0],[303.0],[349.0],[5.0],[119.0],[303.0],[430.0],[24.0],[321.0],[530.0],[317.0],[529.0],[5.0],[473.0],[529.0],[332.0],[155.0],[473.0],[155.0],[534.0],[127.0],[372.0],[301.0],[473.0],[24.0],[437.0],[24.0],[370.0],[453.0],[473.0],[5.0],[332.0],[156.0],[529.0],[370.0],[303.0],[430.0],[473.0],[301.0],[430.0],[5.0],[301.0],[155.0],[127.0],[333.0],[372.0],[36.0],[437.0],[370.0],[301.0],[24.0],[399.0],[219.0],[301.0],[317.0],[372.0]
4,[5.0],[219.0],[332.0],[283.0],[473.0],[389.0],[370.0],[5.0],[69.0],[24.0],[301.0],[333.0],[389.0],[333.0],[473.0],[301.0],[155.0],[333.0],[389.0],[430.0],[370.0],[437.0],[317.0],[5.0],[301.0],[127.0],[349.0],[333.0],[301.0],[219.0],[24.0],[24.0],[5.0],[370.0],[530.0],[5.0],[24.0],[437.0],[155.0],[155.0],[27.0],[529.0],[372.0],[332.0],[24.0],[370.0],[437.0],[370.0],[332.0],[534.0],[372.0],[303.0],[69.0],[24.0],[370.0],[106.0],[333.0],[430.0],[397.0],[389.0],[309.0],[430.0],[127.0],[335.0],[284.0],[473.0],[473.0],[69.0],[372.0],[136.0],[317.0],[352.0],[430.0],[430.0],[301.0],[370.0],[372.0],[389.0],[396.0],[24.0],[372.0],[437.0],[332.0],[241.0],[69.0],[370.0],[309.0],[530.0],[473.0],[86.0],[332.0],[389.0],[430.0],[370.0],[155.0],[437.0],[335.0],[370.0],[69.0],[333.0]
5,[103.0],[88.0],[396.0],[473.0],[214.0],[309.0],[36.0],[430.0],[24.0],[303.0],[36.0],[100.0],[437.0],[473.0],[303.0],[349.0],[453.0],[136.0],[430.0],[136.0],[5.0],[529.0],[332.0],[473.0],[372.0],[530.0],[530.0],[120.0],[332.0],[530.0],[5.0],[219.0],[301.0],[297.0],[309.0],[430.0],[370.0],[349.0],[119.0],[24.0],[372.0],[332.0],[155.0],[370.0],[538.0],[136.0],[120.0],[481.0],[370.0],[317.0],[317.0],[396.0],[100.0],[473.0],[502.0],[89.0],[69.0],[372.0],[333.0],[317.0],[333.0],[333.0],[219.0],[303.0],[128.0],[349.0],[121.0],[155.0],[301.0],[370.0],[395.0],[5.0],[389.0],[349.0],[219.0],[352.0],[374.0],[108.0],[333.0],[333.0],[24.0],[349.0],[372.0],[69.0],[399.0],[367.0],[303.0],[440.0],[370.0],[24.0],[370.0],[456.0],[437.0],[24.0],[529.0],[317.0],[309.0],[303.0],[367.0],[24.0]
6,[529.0],[402.0],[370.0],[24.0],[219.0],[301.0],[303.0],[437.0],[103.0],[119.0],[69.0],[69.0],[303.0],[26.0],[301.0],[219.0],[317.0],[373.0],[347.0],[66.0],[139.0],[335.0],[156.0],[368.0],[396.0],[331.0],[335.0],[301.0],[370.0],[135.0],[189.0],[504.0],[121.0],[36.0],[219.0],[349.0],[461.0],[397.0],[36.0],[440.0],[36.0],[372.0],[331.0],[437.0],[240.0],[301.0],[264.0],[121.0],[453.0],[331.0],[397.0],[332.0],[5.0],[430.0],[5.0],[36.0],[473.0],[135.0],[309.0],[98.0],[5.0],[370.0],[367.0],[219.0],[24.0],[332.0],[194.0],[332.0],[119.0],[309.0],[303.0],[136.0],[529.0],[372.0],[370.0],[5.0],[22.0],[333.0],[24.0],[301.0],[5.0],[372.0],[473.0],[372.0],[370.0],[453.0],[520.0],[317.0],[397.0],[219.0],[389.0],[135.0],[98.0],[155.0],[219.0],[349.0],[301.0],[5.0],[309.0],[430.0]
7,[158.0],[530.0],[349.0],[389.0],[437.0],[473.0],[456.0],[121.0],[5.0],[301.0],[219.0],[103.0],[317.0],[127.0],[370.0],[476.0],[301.0],[527.0],[155.0],[5.0],[294.0],[127.0],[97.0],[389.0],[332.0],[301.0],[389.0],[530.0],[293.0],[317.0],[158.0],[370.0],[333.0],[473.0],[127.0],[333.0],[471.0],[101.0],[301.0],[473.0],[430.0],[301.0],[530.0],[127.0],[317.0],[397.0],[530.0],[36.0],[24.0],[389.0],[120.0],[317.0],[36.0],[127.0],[69.0],[486.0],[437.0],[331.0],[219.0],[352.0],[430.0],[25.0],[301.0],[318.0],[264.0],[103.0],[374.0],[370.0],[374.0],[367.0],[301.0],[219.0],[372.0],[366.0],[69.0],[219.0],[345.0],[437.0],[155.0],[372.0],[88.0],[303.0],[355.0],[25.0],[36.0],[166.0],[213.0],[27.0],[303.0],[120.0],[317.0],[374.0],[87.0],[5.0],[136.0],[453.0],[370.0],[332.0],[534.0],[317.0]
8,[394.0],[433.0],[530.0],[86.0],[367.0],[317.0],[121.0],[188.0],[370.0],[292.0],[333.0],[170.0],[333.0],[284.0],[333.0],[370.0],[333.0],[5.0],[317.0],[295.0],[100.0],[530.0],[430.0],[214.0],[264.0],[317.0],[366.0],[329.0],[333.0],[289.0],[396.0],[453.0],[453.0],[100.0],[332.0],[370.0],[430.0],[5.0],[370.0],[134.0],[158.0],[5.0],[318.0],[155.0],[303.0],[349.0],[112.0],[86.0],[389.0],[309.0],[363.0],[530.0],[386.0],[321.0],[335.0],[430.0],[372.0],[24.0],[530.0],[430.0],[529.0],[69.0],[534.0],[155.0],[303.0],[172.0],[335.0],[284.0],[133.0],[430.0],[372.0],[155.0],[301.0],[335.0],[332.0],[306.0],[451.0],[395.0],[219.0],[143.0],[366.0],[374.0],[24.0],[303.0],[86.0],[473.0],[16.0],[24.0],[134.0],[13.0],[301.0],[22.0],[372.0],[69.0],[370.0],[264.0],[367.0],[119.0],[164.0],[69.0]
9,[301.0],[453.0],[529.0],[430.0],[301.0],[370.0],[333.0],[264.0],[396.0],[136.0],[372.0],[172.0],[370.0],[303.0],[98.0],[317.0],[396.0],[143.0],[24.0],[514.0],[292.0],[440.0],[362.0],[219.0],[317.0],[5.0],[303.0],[155.0],[103.0],[371.0],[36.0],[128.0],[158.0],[5.0],[301.0],[301.0],[108.0],[290.0],[5.0],[5.0],[301.0],[530.0],[36.0],[333.0],[292.0],[37.0],[453.0],[26.0],[108.0],[366.0],[374.0],[370.0],[529.0],[332.0],[309.0],[440.0],[298.0],[303.0],[367.0],[303.0],[317.0],[301.0],[366.0],[397.0],[36.0],[430.0],[397.0],[372.0],[396.0],[5.0],[374.0],[476.0],[27.0],[391.0],[155.0],[24.0],[289.0],[396.0],[317.0],[394.0],[69.0],[301.0],[155.0],[317.0],[301.0],[389.0],[371.0],[333.0],[128.0],[119.0],[120.0],[370.0],[24.0],[352.0],[36.0],[289.0],[284.0],[482.0],[219.0],[306.0]
10,[370.0],[284.0],[66.0],[5.0],[370.0],[121.0],[461.0],[335.0],[486.0],[349.0],[24.0],[396.0],[453.0],[69.0],[121.0],[473.0],[24.0],[306.0],[56.0],[303.0],[333.0],[300.0],[327.0],[331.0],[335.0],[303.0],[430.0],[335.0],[65.0],[27.0],[301.0],[119.0],[292.0],[486.0],[367.0],[476.0],[74.0],[135.0],[476.0],[219.0],[486.0],[121.0],[317.0],[219.0],[290.0],[530.0],[155.0],[103.0],[430.0],[369.0],[172.0],[504.0],[332.0],[437.0],[219.0],[300.0],[103.0],[158.0],[366.0],[120.0],[301.0],[351.0],[5.0],[24.0],[219.0],[370.0],[367.0],[165.0],[306.0],[331.0],[473.0],[440.0],[332.0],[530.0],[284.0],[317.0],[487.0],[473.0],[61.0],[219.0],[214.0],[24.0],[318.0],[24.0],[332.0],[306.0],[333.0],[5.0],[284.0],[370.0],[430.0],[294.0],[301.0],[529.0],[473.0],[100.0],[430.0],[36.0],[453.0],[309.0]
11,[333.0],[330.0],[155.0],[396.0],[127.0],[127.0],[530.0],[317.0],[430.0],[317.0],[476.0],[370.0],[300.0],[372.0],[374.0],[430.0],[352.0],[66.0],[530.0],[309.0],[122.0],[534.0],[69.0],[453.0],[127.0],[309.0],[476.0],[219.0],[473.0],[333.0],[370.0],[333.0],[155.0],[37.0],[534.0],[300.0],[529.0],[372.0],[303.0],[530.0],[333.0],[366.0],[394.0],[298.0],[453.0],[24.0],[440.0],[169.0],[99.0],[18.0],[396.0],[264.0],[301.0],[37.0],[155.0],[490.0],[297.0],[301.0],[476.0],[301.0],[396.0],[529.0],[136.0],[127.0],[534.0],[517.0],[219.0],[127.0],[317.0],[301.0],[283.0],[236.0],[374.0],[134.0],[303.0],[331.0],[230.0],[155.0],[169.0],[36.0],[397.0],[370.0],[529.0],[36.0],[303.0],[165.0],[82.0],[232.0],[430.0],[161.0],[100.0],[453.0],[136.0],[127.0],[98.0],[370.0],[5.0],[158.0],[331.0],[158.0]
12,[471.0],[435.0],[303.0],[236.0],[530.0],[22.0],[264.0],[309.0],[317.0],[370.0],[453.0],[538.0],[5.0],[121.0],[331.0],[374.0],[5.0],[36.0],[398.0],[292.0],[298.0],[373.0],[125.0],[86.0],[65.0],[333.0],[318.0],[127.0],[430.0],[66.0],[332.0],[5.0],[335.0],[158.0],[165.0],[486.0],[27.0],[293.0],[481.0],[302.0],[374.0],[333.0],[301.0],[476.0],[301.0],[127.0],[370.0],[133.0],[158.0],[440.0],[303.0],[523.0],[372.0],[292.0],[476.0],[396.0],[332.0],[5.0],[335.0],[370.0],[355.0],[340.0],[331.0],[517.0],[372.0],[132.0],[370.0],[128.0],[69.0],[22.0],[453.0],[153.0],[156.0],[128.0],[471.0],[309.0],[430.0],[102.0],[36.0],[482.0],[453.0],[317.0],[5.0],[397.0],[530.0],[529.0],[471.0],[36.0],[394.0],[308.0],[402.0],[317.0],[333.0],[373.0],[333.0],[529.0],[27.0],[481.0],[473.0],[397.0]
13,[402.0],[128.0],[515.0],[440.0],[366.0],[5.0],[529.0],[301.0],[121.0],[333.0],[5.0],[453.0],[74.0],[103.0],[309.0],[158.0],[101.0],[453.0],[332.0],[290.0],[486.0],[334.0],[186.0],[367.0],[303.0],[27.0],[98.0],[367.0],[292.0],[119.0],[87.0],[402.0],[534.0],[430.0],[370.0],[389.0],[5.0],[332.0],[332.0],[453.0],[289.0],[65.0],[471.0],[65.0],[370.0],[214.0],[473.0],[106.0],[18.0],[352.0],[87.0],[323.0],[297.0],[317.0],[374.0],[169.0],[471.0],[453.0],[47.0],[135.0],[332.0],[136.0],[69.0],[372.0],[301.0],[301.0],[99.0],[100.0],[332.0],[349.0],[292.0],[473.0],[349.0],[36.0],[389.0],[335.0],[455.0],[347.0],[69.0],[291.0],[301.0],[443.0],[331.0],[74.0],[531.0],[122.0],[132.0],[490.0],[309.0],[108.0],[371.0],[127.0],[476.0],[355.0],[69.0],[367.0],[486.0],[120.0],[89.0],[396.0]
14,[473.0],[440.0],[397.0],[89.0],[333.0],[374.0],[294.0],[370.0],[471.0],[5.0],[292.0],[389.0],[465.0],[5.0],[332.0],[333.0],[128.0],[61.0],[301.0],[291.0],[430.0],[467.0],[530.0],[534.0],[366.0],[534.0],[317.0],[309.0],[355.0],[69.0],[103.0],[486.0],[284.0],[317.0],[303.0],[331.0],[352.0],[303.0],[473.0],[119.0],[386.0],[158.0],[473.0],[396.0],[155.0],[219.0],[301.0],[430.0],[331.0],[523.0],[121.0],[99.0],[333.0],[420.0],[332.0],[534.0],[453.0],[36.0],[317.0],[396.0],[370.0],[264.0],[309.0],[514.0],[333.0],[333.0],[89.0],[352.0],[36.0],[158.0],[333.0],[309.0],[292.0],[402.0],[187.0],[473.0],[458.0],[169.0],[461.0],[289.0],[394.0],[119.0],[389.0],[476.0],[25.0],[291.0],[461.0],[135.0],[367.0],[473.0],[363.0],[112.0],[408.0],[399.0],[236.0],[301.0],[374.0],[100.0],[47.0],[437.0]
15,[100.0],[352.0],[36.0],[303.0],[284.0],[392.0],[430.0],[538.0],[391.0],[389.0],[332.0],[486.0],[399.0],[292.0],[405.0],[136.0],[303.0],[336.0],[372.0],[482.0],[505.0],[69.0],[243.0],[372.0],[367.0],[37.0],[482.0],[318.0],[80.0],[366.0],[486.0],[136.0],[289.0],[289.0],[158.0],[127.0],[26.0],[169.0],[103.0],[355.0],[511.0],[188.0],[5.0],[69.0],[530.0],[335.0],[397.0],[102.0],[309.0],[402.0],[155.0],[36.0],[103.0],[69.0],[292.0],[49.0],[131.0],[119.0],[440.0],[119.0],[514.0],[36.0],[99.0],[529.0],[47.0],[290.0],[87.0],[264.0],[145.0],[103.0],[530.0],[141.0],[455.0],[143.0],[481.0],[134.0],[74.0],[430.0],[301.0],[121.0],[132.0],[36.0],[264.0],[155.0],[132.0],[158.0],[108.0],[13.0],[534.0],[245.0],[297.0],[471.0],[291.0],[303.0],[373.0],[333.0],[524.0],[66.0],[301.0],[303.0]
