Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[4758.0],[2781.0],[2781.0],[2781.0],[3542.0],[33.0],[2781.0],[2639.0],[3354.0],[2781.0],[2781.0],[2781.0],[4083.0],[2781.0],[2781.0],[2324.0],[2781.0],[2781.0],[2781.0],[2781.0],[3332.0],[2781.0],[3669.0],[2781.0],[2781.0],[2781.0],[2781.0],[1309.0],[2781.0],[2781.0],[2781.0],[4166.0],[2781.0],[2781.0],[2781.0],[2781.0],[1911.0],[302.0],[2781.0],[3829.0],[2781.0],[2781.0],[2781.0],[1552.0],[3590.0],[2781.0],[2781.0],[2781.0],[2781.0],[2203.0],[2781.0],[2781.0],[2781.0],[2781.0],[2781.0],[2720.0],[2781.0],[2781.0],[2781.0],[2781.0],[2781.0],[2781.0],[2781.0],[4404.0],[2781.0],[2781.0],[2781.0],[2781.0],[2781.0],[2781.0],[2781.0],[1923.0],[2781.0],[1713.0],[2781.0],[573.0],[2781.0],[4495.0],[2781.0],[2781.0],[3810.0],[176.0],[784.0],[2781.0],[2781.0],[2781.0],[614.0],[2781.0],[2781.0],[2068.0],[3624.0],[3199.0],[2781.0],[2781.0],[1548.0],[2781.0],[2437.0],[2781.0],[2781.0],[2781.0]
1,[3281.0],[1788.0],[3911.0],[2042.0],[1365.0],[2781.0],[985.0],[3698.0],[2650.0],[3777.0],[877.0],[3700.0],[2065.0],[2894.0],[4745.0],[2568.0],[2293.0],[3070.0],[3422.0],[4571.0],[3183.0],[232.0],[4766.0],[506.0],[4745.0],[1349.0],[3713.0],[3323.0],[1333.0],[1321.0],[1221.0],[2306.0],[606.0],[1138.0],[668.0],[2689.0],[2504.0],[4309.0],[197.0],[3046.0],[1999.0],[2161.0],[1856.0],[2067.0],[485.0],[91.0],[1951.0],[2129.0],[4120.0],[2336.0],[771.0],[4752.0],[1380.0],[2349.0],[3120.0],[378.0],[4623.0],[3096.0],[1730.0],[684.0],[2240.0],[2517.0],[2313.0],[2106.0],[4714.0],[506.0],[4393.0],[2687.0],[4750.0],[3595.0],[613.0],[2951.0],[503.0],[4253.0],[2346.0],[2556.0],[42.0],[4431.0],[1659.0],[190.0],[3540.0],[3666.0],[4410.0],[2611.0],[3946.0],[832.0],[190.0],[1607.0],[2960.0],[2840.0],[3568.0],[1603.0],[4392.0],[1033.0],[2529.0],[446.0],[491.0],[1949.0],[2307.0],[4471.0]
2,[350.0],[3054.0],[1704.0],[3963.0],[731.0],[1354.0],[3332.0],[2824.0],[3528.0],[474.0],[1131.0],[2180.0],[436.0],[341.0],[1898.0],[4462.0],[2306.0],[4021.0],[19.0],[936.0],[2386.0],[240.0],[1501.0],[1334.0],[2446.0],[2742.0],[1853.0],[1563.0],[4248.0],[725.0],[586.0],[4894.0],[4198.0],[1787.0],[3097.0],[3930.0],[1334.0],[4154.0],[3895.0],[2911.0],[3671.0],[1735.0],[221.0],[4634.0],[2635.0],[2072.0],[3566.0],[2942.0],[157.0],[3709.0],[4554.0],[1382.0],[3695.0],[3734.0],[228.0],[3176.0],[234.0],[835.0],[41.0],[2948.0],[3140.0],[3885.0],[42.0],[1100.0],[2942.0],[1913.0],[1063.0],[1053.0],[3055.0],[713.0],[3777.0],[3495.0],[4797.0],[4520.0],[3313.0],[3788.0],[497.0],[922.0],[1081.0],[2465.0],[1441.0],[1198.0],[3864.0],[2021.0],[356.0],[2039.0],[2206.0],[1571.0],[1306.0],[4287.0],[4132.0],[4387.0],[2088.0],[2712.0],[2038.0],[2559.0],[4362.0],[2232.0],[1461.0],[3904.0]
3,[1275.0],[4623.0],[557.0],[3335.0],[4575.0],[1949.0],[2695.0],[2720.0],[2333.0],[2599.0],[1164.0],[737.0],[3039.0],[1708.0],[1136.0],[4303.0],[3887.0],[2674.0],[605.0],[4750.0],[4393.0],[4782.0],[3141.0],[4036.0],[1862.0],[2514.0],[3202.0],[4133.0],[1597.0],[3464.0],[1867.0],[2091.0],[3322.0],[2612.0],[4625.0],[584.0],[720.0],[3398.0],[4625.0],[4090.0],[2317.0],[1327.0],[2834.0],[1159.0],[1143.0],[2748.0],[860.0],[3577.0],[3603.0],[4451.0],[3306.0],[2313.0],[1249.0],[725.0],[3284.0],[1132.0],[2823.0],[1892.0],[2660.0],[2331.0],[1132.0],[725.0],[4619.0],[109.0],[4014.0],[2796.0],[2739.0],[4169.0],[1322.0],[2161.0],[2965.0],[1301.0],[1309.0],[273.0],[1846.0],[2298.0],[2931.0],[1851.0],[465.0],[1732.0],[1735.0],[592.0],[3009.0],[2752.0],[4332.0],[1019.0],[1927.0],[3151.0],[1170.0],[1482.0],[4612.0],[2180.0],[3700.0],[556.0],[1405.0],[906.0],[4261.0],[2901.0],[3054.0],[2633.0]
4,[1652.0],[2192.0],[4262.0],[2924.0],[4811.0],[4536.0],[2571.0],[857.0],[802.0],[401.0],[2942.0],[4006.0],[3369.0],[1090.0],[3852.0],[1230.0],[2412.0],[456.0],[2150.0],[1329.0],[4511.0],[930.0],[273.0],[1050.0],[4361.0],[3055.0],[3298.0],[1445.0],[2348.0],[804.0],[1660.0],[4871.0],[1878.0],[1901.0],[3128.0],[1008.0],[3777.0],[1894.0],[2375.0],[4614.0],[1417.0],[3102.0],[4311.0],[3776.0],[1331.0],[337.0],[1562.0],[3738.0],[1955.0],[1161.0],[240.0],[1525.0],[4539.0],[1334.0],[3295.0],[3668.0],[4781.0],[4416.0],[2806.0],[363.0],[3400.0],[3012.0],[378.0],[1276.0],[674.0],[3340.0],[651.0],[1665.0],[993.0],[4436.0],[2739.0],[2781.0],[157.0],[121.0],[2909.0],[2696.0],[2643.0],[3447.0],[4406.0],[3013.0],[2789.0],[3123.0],[1547.0],[4644.0],[42.0],[2518.0],[606.0],[1438.0],[4678.0],[1131.0],[397.0],[2332.0],[619.0],[72.0],[4458.0],[4772.0],[1650.0],[516.0],[2800.0],[4609.0]
5,[2240.0],[1784.0],[2979.0],[700.0],[1224.0],[2090.0],[2878.0],[3380.0],[1134.0],[4753.0],[936.0],[3794.0],[721.0],[126.0],[253.0],[1260.0],[539.0],[4259.0],[3507.0],[2034.0],[1743.0],[2111.0],[2067.0],[4697.0],[2482.0],[4677.0],[4653.0],[305.0],[663.0],[44.0],[3077.0],[2420.0],[3532.0],[2337.0],[4481.0],[3729.0],[4221.0],[1863.0],[2564.0],[3391.0],[4156.0],[2786.0],[4427.0],[4089.0],[2647.0],[2405.0],[2912.0],[3898.0],[3769.0],[4309.0],[4168.0],[3721.0],[2733.0],[393.0],[1382.0],[495.0],[3355.0],[2471.0],[4670.0],[1839.0],[2020.0],[2886.0],[1898.0],[4451.0],[4104.0],[291.0],[526.0],[312.0],[912.0],[3653.0],[3174.0],[3298.0],[78.0],[1192.0],[1027.0],[1308.0],[785.0],[3537.0],[103.0],[1188.0],[2243.0],[4896.0],[2510.0],[2646.0],[1804.0],[2554.0],[1898.0],[274.0],[2096.0],[3783.0],[1081.0],[4860.0],[3529.0],[1818.0],[3464.0],[2677.0],[3709.0],[3197.0],[476.0],[4342.0]
6,[4556.0],[2958.0],[3948.0],[810.0],[4394.0],[873.0],[2095.0],[2957.0],[4677.0],[1513.0],[1868.0],[1468.0],[931.0],[4872.0],[561.0],[4218.0],[3294.0],[3463.0],[1029.0],[2632.0],[1161.0],[629.0],[97.0],[3225.0],[1570.0],[1851.0],[3111.0],[856.0],[3519.0],[1485.0],[1260.0],[172.0],[2524.0],[3302.0],[3604.0],[1441.0],[2505.0],[4772.0],[224.0],[831.0],[3326.0],[2267.0],[1079.0],[1679.0],[2872.0],[119.0],[4634.0],[3508.0],[4638.0],[1970.0],[1053.0],[3297.0],[3725.0],[1410.0],[166.0],[3974.0],[1606.0],[4532.0],[2883.0],[4216.0],[716.0],[3859.0],[4348.0],[3778.0],[1537.0],[2190.0],[4740.0],[460.0],[79.0],[3079.0],[4623.0],[1466.0],[3111.0],[510.0],[4200.0],[2598.0],[944.0],[1466.0],[3709.0],[1664.0],[3919.0],[3233.0],[112.0],[4894.0],[3346.0],[4267.0],[2091.0],[2378.0],[3323.0],[1177.0],[944.0],[4224.0],[4431.0],[4393.0],[3304.0],[3050.0],[224.0],[927.0],[1349.0],[4589.0]
7,[3276.0],[789.0],[3576.0],[2320.0],[1241.0],[1710.0],[1972.0],[233.0],[2367.0],[2050.0],[1242.0],[4315.0],[925.0],[2344.0],[1261.0],[3131.0],[4892.0],[2143.0],[3876.0],[1266.0],[4268.0],[3176.0],[1956.0],[4276.0],[4388.0],[4239.0],[3883.0],[143.0],[3522.0],[4183.0],[1132.0],[4268.0],[3816.0],[2674.0],[2976.0],[3498.0],[1700.0],[281.0],[929.0],[2594.0],[2451.0],[3315.0],[2942.0],[2889.0],[1000.0],[4119.0],[1133.0],[2041.0],[1467.0],[1756.0],[3680.0],[1573.0],[2106.0],[4271.0],[1416.0],[2433.0],[4569.0],[4723.0],[1789.0],[1978.0],[4218.0],[2294.0],[3357.0],[1392.0],[547.0],[2055.0],[3120.0],[1172.0],[721.0],[1725.0],[4777.0],[4267.0],[3645.0],[2501.0],[4842.0],[1772.0],[1235.0],[4458.0],[827.0],[3129.0],[902.0],[1192.0],[1236.0],[1868.0],[1918.0],[901.0],[3225.0],[4637.0],[4632.0],[2113.0],[4653.0],[3158.0],[4521.0],[805.0],[2321.0],[2507.0],[2807.0],[4414.0],[1924.0],[1344.0]
8,[1261.0],[1002.0],[1605.0],[2189.0],[318.0],[3316.0],[4534.0],[1725.0],[63.0],[499.0],[4482.0],[704.0],[2889.0],[4041.0],[2460.0],[2306.0],[4634.0],[2704.0],[4324.0],[3294.0],[498.0],[4681.0],[4048.0],[71.0],[3437.0],[971.0],[687.0],[3387.0],[4829.0],[4660.0],[1134.0],[79.0],[4841.0],[2689.0],[4061.0],[1335.0],[1670.0],[420.0],[471.0],[3421.0],[4806.0],[4211.0],[655.0],[2520.0],[4101.0],[2599.0],[918.0],[739.0],[4324.0],[378.0],[2679.0],[4120.0],[4214.0],[1602.0],[2698.0],[3697.0],[3530.0],[310.0],[1080.0],[2636.0],[561.0],[4267.0],[1154.0],[4156.0],[3215.0],[342.0],[3051.0],[3310.0],[562.0],[2266.0],[246.0],[4269.0],[3053.0],[552.0],[3181.0],[2792.0],[4086.0],[2035.0],[703.0],[1764.0],[2633.0],[4347.0],[3068.0],[2771.0],[6.0],[4064.0],[3463.0],[4840.0],[2646.0],[110.0],[881.0],[4830.0],[4652.0],[4200.0],[4065.0],[2089.0],[897.0],[3539.0],[94.0],[3540.0]
9,[2563.0],[343.0],[4717.0],[2705.0],[3639.0],[775.0],[3141.0],[2066.0],[1051.0],[1258.0],[3130.0],[4875.0],[2658.0],[4165.0],[2594.0],[2781.0],[595.0],[3307.0],[2965.0],[3093.0],[2842.0],[4777.0],[1048.0],[902.0],[4169.0],[3773.0],[3682.0],[3013.0],[4629.0],[3609.0],[1209.0],[3595.0],[179.0],[539.0],[809.0],[755.0],[1819.0],[4858.0],[199.0],[3476.0],[3009.0],[430.0],[3031.0],[3696.0],[445.0],[1350.0],[2205.0],[4049.0],[3391.0],[2375.0],[990.0],[4651.0],[95.0],[2641.0],[79.0],[3815.0],[2679.0],[4818.0],[2206.0],[1548.0],[4470.0],[1844.0],[1680.0],[629.0],[2867.0],[1130.0],[205.0],[78.0],[1249.0],[3340.0],[2055.0],[1719.0],[119.0],[4189.0],[1288.0],[2728.0],[2616.0],[3656.0],[3048.0],[4251.0],[1578.0],[4226.0],[307.0],[119.0],[3332.0],[2437.0],[284.0],[821.0],[3610.0],[1001.0],[4723.0],[2065.0],[999.0],[2046.0],[4315.0],[1222.0],[1549.0],[150.0],[255.0],[4586.0]
