Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[28.0],[28.0],[154.0],[27.0],[280.0],[238.0],[293.0],[294.0],[39.0],[238.0],[238.0],[56.0],[238.0],[28.0],[266.0],[224.0],[224.0],[238.0],[280.0],[28.0],[238.0],[210.0],[266.0],[56.0],[280.0],[210.0],[28.0],[28.0],[28.0],[280.0],[28.0],[41.0],[252.0],[224.0],[252.0],[168.0],[294.0],[84.0],[292.0],[238.0],[14.0],[28.0],[28.0],[168.0],[84.0],[56.0],[168.0],[14.0],[238.0],[210.0],[182.0],[14.0],[56.0],[84.0],[28.0],[28.0],[70.0],[28.0],[182.0],[38.0],[224.0],[84.0],[28.0],[28.0],[48.0],[210.0],[28.0],[28.0],[56.0],[224.0],[238.0],[14.0],[28.0],[28.0],[28.0],[238.0],[28.0],[84.0],[266.0],[210.0],[28.0],[238.0],[56.0],[28.0],[238.0],[154.0],[224.0],[210.0],[14.0],[294.0],[14.0],[28.0],[224.0],[210.0],[28.0],[70.0],[280.0],[280.0],[182.0],[266.0]
1,[294.0],[14.0],[28.0],[14.0],[281.0],[163.0],[266.0],[209.0],[266.0],[237.0],[84.0],[13.0],[41.0],[280.0],[55.0],[278.0],[28.0],[41.0],[63.0],[252.0],[168.0],[84.0],[238.0],[252.0],[252.0],[70.0],[280.0],[224.0],[252.0],[224.0],[238.0],[31.0],[253.0],[26.0],[84.0],[220.0],[265.0],[280.0],[55.0],[252.0],[41.0],[224.0],[266.0],[84.0],[182.0],[266.0],[237.0],[168.0],[223.0],[28.0],[14.0],[163.0],[266.0],[168.0],[14.0],[236.0],[14.0],[266.0],[252.0],[14.0],[28.0],[251.0],[266.0],[168.0],[168.0],[252.0],[210.0],[307.0],[154.0],[28.0],[210.0],[252.0],[70.0],[56.0],[252.0],[266.0],[84.0],[224.0],[210.0],[13.0],[238.0],[140.0],[26.0],[224.0],[210.0],[252.0],[280.0],[28.0],[238.0],[123.0],[84.0],[224.0],[126.0],[224.0],[210.0],[14.0],[14.0],[182.0],[14.0],[294.0]
2,[35.0],[204.0],[168.0],[25.0],[28.0],[12.0],[26.0],[14.0],[238.0],[266.0],[224.0],[210.0],[239.0],[154.0],[28.0],[28.0],[225.0],[36.0],[224.0],[237.0],[266.0],[252.0],[14.0],[294.0],[84.0],[36.0],[238.0],[210.0],[14.0],[238.0],[84.0],[39.0],[92.0],[238.0],[168.0],[307.0],[238.0],[83.0],[252.0],[56.0],[280.0],[193.0],[238.0],[28.0],[219.0],[252.0],[306.0],[138.0],[265.0],[252.0],[306.0],[224.0],[28.0],[28.0],[294.0],[53.0],[252.0],[84.0],[84.0],[238.0],[70.0],[182.0],[70.0],[182.0],[189.0],[266.0],[292.0],[14.0],[252.0],[252.0],[140.0],[266.0],[294.0],[83.0],[210.0],[28.0],[252.0],[56.0],[78.0],[14.0],[193.0],[280.0],[266.0],[154.0],[25.0],[152.0],[106.0],[252.0],[13.0],[210.0],[154.0],[84.0],[252.0],[266.0],[252.0],[210.0],[238.0],[154.0],[210.0],[70.0]
3,[84.0],[237.0],[307.0],[266.0],[25.0],[168.0],[252.0],[28.0],[252.0],[303.0],[154.0],[94.0],[280.0],[182.0],[294.0],[154.0],[126.0],[237.0],[8.0],[67.0],[182.0],[266.0],[237.0],[210.0],[28.0],[195.0],[14.0],[124.0],[154.0],[14.0],[220.0],[70.0],[195.0],[22.0],[28.0],[182.0],[139.0],[85.0],[28.0],[125.0],[36.0],[14.0],[84.0],[266.0],[28.0],[70.0],[266.0],[28.0],[280.0],[182.0],[183.0],[88.0],[196.0],[238.0],[224.0],[182.0],[90.0],[56.0],[217.0],[210.0],[210.0],[153.0],[140.0],[169.0],[229.0],[70.0],[252.0],[182.0],[224.0],[294.0],[8.0],[210.0],[238.0],[27.0],[180.0],[140.0],[125.0],[85.0],[233.0],[222.0],[14.0],[190.0],[84.0],[274.0],[237.0],[224.0],[9.0],[224.0],[137.0],[107.0],[28.0],[259.0],[70.0],[70.0],[249.0],[40.0],[168.0],[41.0],[183.0],[238.0]
4,[77.0],[56.0],[83.0],[26.0],[224.0],[234.0],[83.0],[280.0],[56.0],[68.0],[85.0],[179.0],[190.0],[14.0],[24.0],[225.0],[295.0],[210.0],[134.0],[69.0],[210.0],[154.0],[210.0],[28.0],[154.0],[28.0],[294.0],[14.0],[182.0],[28.0],[139.0],[40.0],[266.0],[25.0],[182.0],[69.0],[164.0],[217.0],[193.0],[41.0],[238.0],[148.0],[56.0],[42.0],[266.0],[51.0],[169.0],[137.0],[13.0],[56.0],[222.0],[66.0],[57.0],[54.0],[70.0],[154.0],[28.0],[182.0],[8.0],[96.0],[279.0],[154.0],[56.0],[266.0],[7.0],[41.0],[263.0],[266.0],[305.0],[126.0],[14.0],[293.0],[56.0],[19.0],[56.0],[304.0],[280.0],[225.0],[294.0],[168.0],[97.0],[163.0],[238.0],[93.0],[138.0],[275.0],[290.0],[176.0],[70.0],[280.0],[252.0],[252.0],[76.0],[235.0],[307.0],[154.0],[107.0],[39.0],[196.0],[28.0]
5,[210.0],[210.0],[84.0],[77.0],[14.0],[70.0],[28.0],[166.0],[182.0],[94.0],[95.0],[266.0],[134.0],[252.0],[293.0],[251.0],[209.0],[153.0],[65.0],[266.0],[176.0],[70.0],[168.0],[110.0],[85.0],[294.0],[133.0],[41.0],[280.0],[223.0],[168.0],[168.0],[233.0],[223.0],[27.0],[67.0],[279.0],[182.0],[196.0],[265.0],[40.0],[280.0],[52.0],[153.0],[85.0],[124.0],[97.0],[182.0],[79.0],[290.0],[168.0],[280.0],[210.0],[266.0],[279.0],[7.0],[302.0],[222.0],[205.0],[265.0],[277.0],[247.0],[168.0],[14.0],[289.0],[56.0],[14.0],[306.0],[53.0],[29.0],[304.0],[28.0],[235.0],[40.0],[189.0],[278.0],[56.0],[24.0],[290.0],[42.0],[181.0],[182.0],[252.0],[10.0],[266.0],[180.0],[154.0],[266.0],[15.0],[81.0],[22.0],[231.0],[154.0],[56.0],[182.0],[106.0],[177.0],[224.0],[242.0],[56.0]
6,[7.0],[232.0],[265.0],[56.0],[182.0],[67.0],[303.0],[165.0],[307.0],[164.0],[280.0],[252.0],[224.0],[195.0],[13.0],[67.0],[223.0],[137.0],[294.0],[235.0],[258.0],[164.0],[139.0],[126.0],[223.0],[265.0],[119.0],[252.0],[42.0],[84.0],[263.0],[14.0],[56.0],[280.0],[56.0],[236.0],[14.0],[27.0],[206.0],[280.0],[182.0],[40.0],[194.0],[14.0],[154.0],[193.0],[210.0],[42.0],[11.0],[14.0],[154.0],[98.0],[250.0],[180.0],[280.0],[63.0],[56.0],[85.0],[275.0],[239.0],[278.0],[306.0],[210.0],[307.0],[238.0],[126.0],[221.0],[210.0],[208.0],[150.0],[294.0],[70.0],[181.0],[224.0],[253.0],[294.0],[182.0],[280.0],[238.0],[292.0],[294.0],[34.0],[251.0],[56.0],[140.0],[177.0],[70.0],[191.0],[98.0],[261.0],[262.0],[76.0],[56.0],[14.0],[196.0],[260.0],[36.0],[168.0],[266.0],[14.0]
7,[161.0],[233.0],[238.0],[106.0],[238.0],[280.0],[220.0],[224.0],[168.0],[67.0],[27.0],[223.0],[291.0],[224.0],[110.0],[195.0],[23.0],[14.0],[275.0],[68.0],[259.0],[196.0],[166.0],[196.0],[81.0],[279.0],[93.0],[70.0],[39.0],[220.0],[266.0],[38.0],[66.0],[225.0],[83.0],[14.0],[124.0],[222.0],[56.0],[136.0],[224.0],[191.0],[38.0],[109.0],[223.0],[196.0],[140.0],[265.0],[205.0],[24.0],[84.0],[68.0],[252.0],[234.0],[265.0],[105.0],[51.0],[41.0],[246.0],[294.0],[294.0],[28.0],[196.0],[306.0],[182.0],[236.0],[220.0],[183.0],[26.0],[56.0],[36.0],[307.0],[295.0],[266.0],[286.0],[29.0],[224.0],[28.0],[248.0],[182.0],[152.0],[28.0],[182.0],[249.0],[28.0],[279.0],[238.0],[9.0],[9.0],[290.0],[42.0],[294.0],[40.0],[126.0],[13.0],[224.0],[28.0],[37.0],[41.0],[287.0]
8,[49.0],[136.0],[12.0],[51.0],[144.0],[294.0],[153.0],[222.0],[83.0],[168.0],[25.0],[84.0],[182.0],[294.0],[210.0],[294.0],[280.0],[181.0],[238.0],[182.0],[62.0],[126.0],[41.0],[218.0],[224.0],[96.0],[187.0],[150.0],[38.0],[281.0],[14.0],[280.0],[247.0],[281.0],[41.0],[183.0],[98.0],[266.0],[210.0],[193.0],[70.0],[154.0],[236.0],[11.0],[222.0],[294.0],[221.0],[169.0],[220.0],[193.0],[217.0],[16.0],[138.0],[80.0],[281.0],[134.0],[192.0],[238.0],[193.0],[264.0],[14.0],[69.0],[238.0],[183.0],[160.0],[196.0],[70.0],[196.0],[123.0],[179.0],[121.0],[267.0],[82.0],[252.0],[154.0],[93.0],[164.0],[154.0],[235.0],[28.0],[70.0],[275.0],[196.0],[252.0],[251.0],[28.0],[292.0],[233.0],[275.0],[154.0],[206.0],[147.0],[243.0],[294.0],[154.0],[148.0],[232.0],[84.0],[70.0],[280.0]
9,[302.0],[181.0],[280.0],[17.0],[168.0],[14.0],[23.0],[238.0],[82.0],[182.0],[252.0],[238.0],[290.0],[220.0],[56.0],[69.0],[281.0],[154.0],[51.0],[84.0],[41.0],[182.0],[265.0],[70.0],[222.0],[14.0],[305.0],[236.0],[84.0],[222.0],[251.0],[34.0],[294.0],[85.0],[266.0],[28.0],[295.0],[252.0],[176.0],[224.0],[168.0],[36.0],[235.0],[277.0],[238.0],[95.0],[265.0],[238.0],[194.0],[262.0],[93.0],[190.0],[137.0],[14.0],[98.0],[294.0],[210.0],[252.0],[196.0],[240.0],[126.0],[68.0],[104.0],[208.0],[280.0],[249.0],[9.0],[179.0],[166.0],[238.0],[28.0],[290.0],[27.0],[84.0],[302.0],[205.0],[193.0],[234.0],[168.0],[169.0],[224.0],[52.0],[253.0],[263.0],[70.0],[124.0],[252.0],[122.0],[168.0],[41.0],[26.0],[161.0],[19.0],[149.0],[96.0],[182.0],[65.0],[235.0],[118.0],[224.0]
